cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,19101.2,0,5,101,125,0,5,135,-9.50338,-11.0389,-13.4826,-10.3814,-11.9335,339.021,-5.93656,32077.1,-32.5829,16439.4,-10.8133,-12.3488,-16.1025,-11.6913,-13.2434,0.74918,-25.7489,30591.2,-52.3953,0.290544,-0.00048121,1.00093,-88.6233,565.865,624.724,0.538338,43474.7,9.3403e-07,0.636561,111.729,86.4043,26.2742,27.3612,0.96027,627.513,693.24,0.706143 
1,4.99,0.01,1,18634.8,0,5,101,125,0,5,135,-7.78497,-10.512,-16.6343,-7.74773,-11.7887,358.873,-22.0879,31701.9,-64.994,16439.4,-9.17159,-11.8986,-19.4075,-9.13435,-13.1753,0.690901,-43.0604,30128.9,-85.9665,0.29449,-0.000817356,1.00155,-146.22,621.346,661.879,0.52617,43290.9,9.32711e-07,0.687557,111.822,85.7096,27.6356,28.2631,0.977798,694.228,739.692,0.768297 
2,1.49,3.51,2,20264.7,0,5,101,125,0,5,135,-8.25022,-11.4316,-23.1086,-9.6947,-9.06727,294.404,-33.5505,33115.9,-47.1735,16439.4,-9.38773,-12.5691,-25.3837,-10.8322,-10.2048,0.628772,-50.7554,31825.5,-64.3784,0.396497,-0.000912148,1.0011,-128.01,559.772,593.532,0.59969,44345.8,9.40227e-07,0.613048,111.358,85.9962,25.8099,26.3376,0.979963,605.531,642.339,0.663312 
3,2.99,2.01,3,16301.4,0,5,101,125,0,5,135,-9.74347,-9.01019,-10.9373,-5.24779,-11.2334,370.8,-19.9585,29066.2,-46.8159,16439.4,-11.1762,-10.4429,-13.8027,-6.68049,-12.6661,0.747981,-41.628,27441,-68.4854,0.336224,-0.00086761,1.00136,-123.811,600.422,657.569,0.805349,39881.2,9.07551e-07,0.692353,111.919,86.496,26.1626,27.1329,0.96424,622.197,681.718,0.717621 
4,4.49,0.51,4,18320,0,5,101,125,0,5,135,-5.20807,-8.07567,-24.0247,-8.9193,-7.78668,320.716,-34.466,30865.9,-24.7491,16439.4,-6.44725,-9.31486,-26.5031,-10.1585,-9.02587,0.568702,-53.2086,29460.2,-43.4918,0.504832,-0.00103313,1.0008,-105.399,572.949,622.806,0.477053,41588.7,9.20323e-07,0.649074,111.788,86.4368,26.9385,27.8279,0.968039,659.648,717.09,0.747314 
5,3.49,1.51,5,18129.8,0,5,101,125,0,5,135,-7.61858,-5.46549,-19.3463,-8.91779,-12.9563,324.79,-33.8891,30785.6,-56.3506,16439.4,-8.87351,-6.72041,-21.8562,-10.1727,-14.2113,0.646535,-52.8699,29362,-75.3314,0.369029,-0.00102999,1.00139,-143.268,567.682,625.067,0.499136,41492.8,9.19615e-07,0.647754,111.884,85.7997,26.6006,27.672,0.961283,643.204,709.077,0.73437 
6,3.99,1.01,6,18736.5,0,5,101,125,0,5,135,-11.7366,-6.80792,-20.3003,-9.88706,-8.79377,274.272,-22.5187,31514.8,-23.789,16439.4,-12.7963,-7.86766,-22.4197,-10.9468,-9.8535,0.649055,-38.5471,30312.7,-39.8175,0.446519,-0.000727185,1.00071,-86.3281,604.06,655.216,0.648783,42661.9,9.28172e-07,0.677803,111.751,86.5191,26.6201,27.4761,0.968844,644.146,699.075,0.722978 
7,0.49,4.51,7,18603.8,0,5,101,125,0,5,135,-12.355,-8.97346,-15.662,-5.09304,-8.81008,322.024,-30.2961,31539.2,-36.5003,16439.4,-13.5992,-10.2177,-18.1505,-6.33728,-10.0543,0.688985,-49.1152,30127.8,-55.3194,0.425246,-0.000932429,1.001,-115.498,528.405,532.621,0.502463,42269.7,9.25319e-07,0.573326,111.144,86.9521,25.6051,25.4906,1.00449,595.96,601.69,0.647148 
8,0.99,4.01,8,17241.6,0,5,101,125,0,5,135,-6.27895,-9.30394,-18.5641,-9.25123,-13.5716,386.846,-26.1306,30236.2,-34.3312,16439.4,-7.77364,-10.7986,-21.5535,-10.7459,-15.0663,0.673125,-48.7379,28540.7,-56.9385,0.416335,-0.000976762,1.00108,-117.064,549.754,564.118,0.624071,40804,9.14498e-07,0.608957,111.503,87.0388,25.4753,25.579,0.995947,589.937,605.871,0.653748 
9,0.01,4.99,9,17169.4,0,5,101,125,0,5,135,-9.69827,-6.46229,-13.746,-6.78858,-1.93261,366.607,-34.4477,30047.9,-62.7785,16439.4,-11.1148,-7.87879,-16.579,-8.20508,-3.34911,0.648205,-55.8722,28441.1,-84.203,0.356065,-0.00112383,1.00161,-156.916,521.78,526.269,0.568101,40341.1,9.11027e-07,0.575197,110.821,87.0171,25.0429,24.927,1.00465,570.079,575.375,0.628654 
10,1.99,3.01,10,17674.4,0,5,101,125,0,5,135,-12.9577,-9.08932,-14.844,-9.08569,-9.23092,238.517,-16.4851,29705.4,-45.3923,16439.4,-13.8793,-10.0109,-16.6871,-10.0073,-10.1525,0.725256,-30.424,28660,-59.3312,0.299386,-0.000606969,1.00113,-101.621,530.701,568.322,0.488707,40106.3,9.09255e-07,0.603999,112.113,86.5407,25.7955,26.4556,0.975049,604.856,648.106,0.688594 
11,2.49,2.51,11,16899.1,0,5,101,125,0,5,135,-2.80774,-6.69566,-13.9558,-8.6723,-2.89833,337.245,-16.7685,29465.3,-54.7607,16439.4,-4.11078,-7.99871,-16.5619,-9.97535,-4.20138,0.613475,-36.4771,27987.2,-74.4693,0.289868,-0.000745326,1.00145,-125.84,574.331,616.859,0.661228,40433.9,9.11724e-07,0.652846,111.913,86.9913,25.913,26.6098,0.973813,610.382,655.687,0.693882 
12,4.99,0.01,12,17538.9,0,5,101,125,0,5,135,-5.53234,-7.76017,-18.4082,-3.80644,-7.78826,307.693,-6.79509,29887.2,-40.9777,16439.4,-6.72121,-8.94903,-20.7859,-4.9953,-8.97712,0.587815,-24.7766,28538.6,-58.9593,0.259366,-0.00049635,1.00112,-95.5278,605.653,641.395,0.516565,40762.7,9.14189e-07,0.681771,111.757,86.174,27.3602,27.8915,0.980951,680.462,720.37,0.76585 
13,1.49,3.51,13,17977.4,0,5,101,125,0,5,135,-4.73724,-12.8549,-17.2504,-6.18418,-9.10485,368.284,-1.02888,30911.1,-55.6612,16439.4,-6.16021,-14.2779,-20.0964,-7.60715,-10.5278,0.657465,-22.5514,29296.9,-77.1837,0.195806,-0.000440053,1.00143,-115.172,527.63,570.068,0.504865,41350.6,9.18563e-07,0.597061,111.768,86.6863,25.5886,26.3567,0.970857,595.193,643.271,0.673623 
14,2.99,2.01,14,18290.6,0,5,101,125,0,5,135,-6.86297,-6.75208,-21.2721,-10.4291,-8.0898,343.777,-23.7765,31005.4,-42.0958,16439.4,-8.19126,-8.08037,-23.9287,-11.7574,-9.41809,0.610128,-43.8668,29498.6,-62.1861,0.370215,-0.000850482,1.00115,-118.49,579.204,644.091,0.614827,42057.2,9.23766e-07,0.661192,112.196,86.5036,26.1959,27.3825,0.956663,623.78,694.321,0.712416 
15,4.49,0.51,15,17130.1,0,5,101,125,0,5,135,-11.0319,-11.3465,-14.3537,-8.41856,-10.3454,354.257,-23.0634,30141.8,-27.1049,16439.4,-12.4006,-12.7153,-17.0913,-9.78734,-11.7142,0.731728,-43.7661,28589.1,-47.8077,0.432748,-0.000875549,1.00091,-101.135,607.636,657.71,0.648101,41499.7,9.19666e-07,0.687399,111.35,86.223,26.7104,27.535,0.970053,648.527,702.075,0.733712 
16,3.49,1.51,16,15433.9,0,5,101,125,0,5,135,-9.46989,-8.6934,-14.1019,-11.61,-11.3646,339.523,-20.1358,28279.5,-40.7545,16439.4,-10.7817,-10.0052,-16.7256,-12.9218,-12.6765,0.73498,-39.9775,26791.4,-60.5962,0.354747,-0.0008534,1.00123,-112.693,569.24,609.85,0.519488,38610.9,8.97811e-07,0.656257,112.412,86.3895,26.4926,27.1643,0.975274,637.992,683.297,0.735406 
17,3.99,1.01,17,16933.8,0,5,101,125,0,5,135,-7.46214,-11.7625,-15.9975,-5.61768,-9.28367,362.514,-4.77874,29412.6,-27.5149,16439.4,-8.86282,-13.1632,-18.7989,-7.01836,-10.6844,0.678803,-25.964,27823.7,-48.7002,0.307615,-0.00053352,1.00095,-84.4043,579.488,634.958,0.528645,39983.9,9.0833e-07,0.667808,111.93,85.8549,26.6634,27.6696,0.963636,646.244,708.953,0.745184 
18,0.49,4.51,18,15926.3,0,5,101,125,0,5,135,-8.63269,-10.8121,-16.5642,-8.52252,-6.38561,287.314,-14.5158,28646.5,-42.8215,16439.4,-9.74282,-11.9222,-18.7844,-9.63264,-7.49573,0.673756,-31.3064,27387.2,-59.6121,0.304416,-0.000653629,1.00118,-102.841,521.631,539.655,0.60944,38826.6,8.99481e-07,0.589859,111.479,87.2447,24.859,25.065,0.99178,561.737,581.767,0.635549 
19,0.99,4.01,19,13689.7,0,5,101,125,0,5,135,-8.64805,-7.46151,-15.2285,-7.8711,-11.5385,313.746,-25.1132,26483.5,-53.4285,16439.4,-9.8603,-8.67376,-17.653,-9.08335,-12.7508,0.695749,-43.4485,25108.3,-71.7639,0.335341,-0.000989802,1.00155,-129.565,508.544,524.542,0.502501,36001.8,8.77115e-07,0.58884,111.493,87.307,25.1247,25.3106,0.992656,573.809,593.221,0.665174 
20,0.01,4.99,20,16745,0,5,101,125,0,5,135,-5.50175,-8.72373,-18.9373,-10.8847,-9.93056,396.372,-29.2349,30477.4,-53.4578,16439.4,-7.03325,-10.2552,-22.0003,-12.4162,-11.4621,0.651712,-52.3989,28740.1,-76.6218,0.363011,-0.00104291,1.00145,-144.345,489.094,508.307,0.428945,40976.9,9.15788e-07,0.544458,111.075,86.8223,25.3102,25.5675,0.989937,582.313,605.324,0.648302 
22,2.49,2.51,22,15506.6,0,5,101,125,0,5,135,-6.83289,-6.76877,-14.477,-5.53124,-4.22975,335.338,-15.9894,28512.2,-37.7169,16439.4,-8.12857,-8.06445,-17.0684,-6.82692,-5.52542,0.625806,-35.5865,27042.4,-57.3141,0.340987,-0.000752538,1.00115,-104.363,548.621,596.76,0.565032,38900.5,9.00051e-07,0.635725,111.975,86.3777,25.7214,26.5796,0.967712,601.389,654.2,0.696893 
23,4.99,0.01,23,18553.1,0,5,101,125,0,5,135,-17.6236,-7.55808,-18.6462,-8.57433,-7.3929,355.027,7.47411,31210.1,-31.9795,16439.4,-18.9954,-8.92983,-21.3897,-9.94608,-8.76465,0.685564,-13.2737,29654,-52.7273,0.173407,-0.000255847,1.00097,-76.5464,568.725,615.885,0.444479,41765.9,9.21628e-07,0.642163,111.592,85.898,27.1554,27.9931,0.970075,670.316,725.63,0.756731 
24,1.49,3.51,24,13547.4,0,5,101,125,0,5,135,-11.477,-8.65422,-12.8643,-11.6672,-13.5394,354.417,-32.4579,26525.4,-42.0814,16439.4,-12.8464,-10.0236,-15.6031,-13.0366,-14.9088,0.765079,-53.17,24972,-62.7935,0.413703,-0.00121816,1.00137,-128.522,547.398,601.153,0.746482,36472.3,8.8092e-07,0.65119,111.586,87.0404,25.0781,26.0438,0.96292,571.682,628.088,0.680223 
25,2.99,2.01,25,16803.8,0,5,101,125,0,5,135,-6.4308,-5.73006,-15.0609,-8.58773,-9.58495,265.124,-19.1236,28778.2,-36.9527,16439.4,-7.45519,-6.75445,-17.1097,-9.61212,-10.6093,0.668036,-34.6174,27616.2,-52.4465,0.354857,-0.000716809,1.00103,-97.5532,576.805,630.38,0.671139,39233.7,9.02613e-07,0.668058,112.337,86.5169,25.9382,26.8685,0.965378,611.571,668.496,0.708388 
26,4.49,0.51,26,18685.6,0,5,101,125,0,5,135,-15.2676,-13.7285,-17.266,-8.85234,-9.96581,337.674,-14.4377,31852.5,-40.5541,16439.4,-16.5723,-15.0332,-19.8754,-10.157,-11.2705,0.727392,-34.1713,30372.5,-60.2878,0.320807,-0.000643314,1.00108,-106.517,586.916,637.959,0.521388,43183,9.31936e-07,0.656596,111.569,85.9208,26.8995,27.781,0.96827,657.741,714.675,0.735692 
27,3.49,1.51,27,13683.9,0,5,101,125,0,5,135,-8.92275,-12.4414,-23.5928,-6.35522,-11.7131,320.29,-12.7172,26756.8,-47.2919,16439.4,-10.1603,-13.679,-26.0678,-7.59276,-12.9506,0.629983,-31.435,25353,-66.0097,0.284103,-0.000709012,1.00142,-110.647,570.544,630.838,0.576968,36879.2,8.84183e-07,0.678517,112.113,86.9135,26.1667,27.2736,0.959414,622.39,688.807,0.740522 
28,3.99,1.01,28,17222.8,0,5,101,125,0,5,135,-4.16755,-7.39916,-12.1302,-7.4711,-13.4831,302.42,-20.0934,30122.3,-37.0081,16439.4,-5.33604,-8.56766,-14.4672,-8.63959,-14.6516,0.719964,-37.7668,28796.8,-54.6815,0.365304,-0.000749988,1.00103,-103.385,575.502,655.606,0.591158,40938.9,9.15505e-07,0.670941,111.604,86.1158,26.2132,27.7319,0.945234,624.604,712.152,0.728498 
29,0.49,4.51,29,15603,0,5,101,125,0,5,135,-3.63444,-10.8897,-11.8986,-13.2108,-12.3736,323.653,-22.5156,28663.6,-62.6038,16439.4,-4.88497,-12.1402,-14.3996,-14.4613,-13.6241,0.758031,-41.4298,27245.1,-81.5181,0.297518,-0.000869691,1.00163,-139.252,540.493,566.959,0.786951,38703.5,8.98528e-07,0.616083,111.081,86.9896,24.8435,25.2171,0.985182,561.035,588.849,0.639684 
30,0.99,4.01,30,17192.1,0,5,101,125,0,5,135,-6.44602,-7.38939,-12.4271,-9.07438,-9.3884,303.965,-5.75245,29462.6,-47.5132,16439.4,-7.62048,-8.56385,-14.776,-10.2488,-10.5629,0.714595,-23.5162,28130.3,-65.2769,0.230894,-0.000477926,1.00126,-101.848,528.356,571.383,0.594723,39324.8,9.03311e-07,0.608261,111.093,86.8931,25.0859,25.8615,0.970012,572.04,619.325,0.658924 
31,0.01,4.99,31,13307.6,0,5,101,125,0,5,135,-7.94371,-13.221,-21.5304,-10.9648,-8.03442,277.303,-22.3989,26258.9,-42.1403,16439.4,-9.01516,-14.2924,-23.6732,-12.0363,-9.10586,0.652492,-38.6045,25043.5,-58.3458,0.35541,-0.000881631,1.00127,-108.62,491.336,485.52,0.470369,35760,8.75147e-07,0.5581,110.929,87.2526,24.9378,24.5824,1.01445,565.302,559.58,0.642673 
32,1.99,3.01,32,18754.6,0,5,101,125,0,5,135,-8.55728,-6.30292,-20.4032,-7.50417,-9.5043,313.473,-23.7234,31228.1,-38.9395,16439.4,-9.76847,-7.51411,-22.8256,-8.71536,-10.7155,0.616628,-42.0427,29854.1,-57.2589,0.379607,-0.000805375,1.00104,-110.753,551.345,583.751,0.532967,41992.7,9.23293e-07,0.614449,112.264,86.6981,25.9712,26.4813,0.980736,613.125,649.369,0.683409 
33,2.49,2.51,33,15060.3,0,5,101,125,0,5,135,-10.8325,-7.39421,-18.0133,-7.66239,0.300337,307.25,-32.2972,27548.7,-55.9504,16439.4,-12.0196,-8.58136,-20.3876,-8.84954,-0.886815,0.598076,-50.2529,26202,-73.906,0.361687,-0.00109715,1.00153,-138.94,568.071,617.32,0.660376,37783.1,8.91349e-07,0.664368,111.685,86.6793,25.774,26.6264,0.967987,603.851,656.504,0.706376 
