cyc,wiggle time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
96,12,100,96,10575.9,0,5,101,125,0,5,135,-8.74437,-11.3596,-14.2747,-8.17553,-9.73735,204.318,17.5968,19064.5,66.0939,16439.4,-9.53381,-12.149,-15.8536,-8.96498,-10.5268,0.722005,5.65646,18168.9,54.1536,0.0800736,0.000177869,0.998385,70.6407,924.978,1033.34,0.242148,31424.2,1.12625e-06,0.868063,113.937,85.6871,42.8074,44.9554,0.952221,1677.73,1874.71,1.57468 
97,0.01,100,97,10039.5,0,5,101,125,0,5,135,-9.39116,-8.92567,-13.5048,-7.97129,-11.0934,167.666,12.2315,19010.3,72.7269,16439.4,-10.039,-9.5735,-14.8005,-8.61912,-11.7412,0.729787,2.43312,18275.4,62.9285,0.0312149,7.6072e-05,0.998134,77.9473,1206.43,1380.74,0.369817,34042.8,1.15671e-06,1.11579,115.206,85.8829,42.1937,44.9016,0.939693,1629.97,1870.23,1.50943 
98,16,100,98,10685,0,5,101,125,0,5,135,-5.54931,-7.50599,-10.7154,-1.68282,-7.71397,175.894,18.7069,18819.8,62.608,16439.4,-6.22893,-8.18561,-12.0747,-2.36244,-8.39359,0.675806,8.42768,18048.8,52.3288,0.118329,0.00026675,0.998429,71.2222,1256.53,1417.94,0.369295,33894.4,1.15502e-06,1.15565,114.589,85.1582,43.132,45.5717,0.946465,1703.27,1926.47,1.56831 
99,28,100,99,9360.84,0,5,101,125,0,5,135,-4.35095,-2.55138,-10.9654,-8.17808,-10.9465,244.181,3.01974,17673.9,72.3301,16439.4,-5.29442,-3.49485,-12.8523,-9.12155,-11.8899,0.698678,-11.2502,16603.7,58.0602,-0.192568,-0.000387334,0.998105,58.422,1209.14,1330.57,0.327958,31497.8,1.12713e-06,1.12534,114.92,86.3037,43.87,45.8524,0.956766,1762.06,1950.28,1.64469 
100,20,100,100,9197.13,0,5,101,125,0,5,135,-3.93731,-4.57021,-10.3334,-9.94835,-10.2642,213.955,43.8763,18342.2,58.2527,16439.4,-4.76399,-5.39689,-11.9867,-10.775,-11.0909,0.727658,31.3728,17404.4,45.7491,0.363651,0.00102898,0.998575,86.2717,1044.55,1158.04,0.271167,32025.9,1.1334e-06,0.970389,115.375,85.5105,43.5773,45.6809,0.95395,1738.62,1935.71,1.61861 
101,24,100,101,9615.56,0,5,101,125,0,5,135,-4.05871,-12.5456,-16.9345,-6.36191,-14.0551,241.202,35.2226,18384.9,61.6898,16439.4,-4.99067,-13.4775,-18.7984,-7.29386,-14.9871,0.684313,21.1268,17327.8,47.594,0.270027,0.000696226,0.998511,78.2395,1267.49,1401.58,0.350347,33533.1,1.1509e-06,1.15809,115.247,86.2187,43.9896,46.0609,0.955031,1771.68,1968.05,1.62245 
102,8,100,102,10230.2,0,5,101,125,0,5,135,-9.03095,-6.60157,-26.9972,-8.87341,-14.3086,246.575,16.7757,19158.4,66.7214,16439.4,-9.98367,-7.55429,-28.9027,-9.82612,-15.2613,0.595925,2.3659,18077.6,52.3116,0.0363203,7.47798e-05,0.998432,65.1399,1332.89,1453.36,0.402936,35248.5,1.1702e-06,1.18939,115.094,85.3761,43.3882,45.0775,0.962524,1723.57,1884.92,1.54028 
103,4,100,103,8694.79,0,5,101,125,0,5,135,-4.87055,-8.76565,-14.9614,-10.5826,-14.614,287.926,27.9269,18293.7,42.5457,16439.4,-5.98304,-9.87814,-17.1864,-11.6951,-15.7265,0.715783,11.1005,17031.7,25.7193,0.264527,0.000372294,0.999181,41.9637,1517.88,1635.52,0.626103,35207.2,1.16975e-06,1.34696,115.114,85.6162,42.6317,43.9834,0.969269,1663.99,1794.52,1.47726 
104,12,100,104,8032.8,0,5,101,125,0,5,135,-7.90045,-8.61404,-22.9495,-6.46153,-14.6154,253.471,37.4375,17124.9,61.2759,16439.4,-8.87981,-9.5934,-24.9082,-7.44089,-15.5947,0.624972,22.6247,16013.9,46.4631,0.288653,0.00080667,0.998427,78.3804,1128.91,1303.26,0.312907,30949.8,1.12056e-06,1.08246,114.754,84.8814,43.0195,46.0396,0.934402,1694.39,1966.23,1.62889 
105,0.01,100,105,8475.9,0,5,101,125,0,5,135,-5.1956,-12.5512,-14.0487,-7.73544,-12.922,235.61,21.1076,17784.7,51.4629,16439.4,-6.10595,-13.4616,-15.8694,-8.64579,-13.8323,0.725988,7.33856,16752,37.6938,0.139593,0.000250264,0.99878,52.5712,1223.01,1375.35,0.408831,31650.3,1.12895e-06,1.14881,115.454,84.5294,41.2832,43.5536,0.947871,1560.38,1759.62,1.46775 
106,16,100,106,8831.62,0,5,101,125,0,5,135,-9.18964,-12.7085,-15.5774,-8.65312,-12.8542,213.399,32.0294,17472.4,54.2433,16439.4,-10.0142,-13.5331,-17.2264,-9.47765,-13.6787,0.730543,19.5584,16537.1,41.7722,0.280668,0.000675371,0.998631,69.685,1247.93,1379.34,0.345433,32172.9,1.13513e-06,1.15581,115.288,84.9113,43.8584,45.8942,0.955642,1761.13,1953.83,1.63416 
107,28,100,107,8107.49,0,5,101,125,0,5,135,-8.47616,-7.0549,-18.3034,-12.5503,-14.6644,211.546,34.5824,16559.6,61.4718,16439.4,-9.29353,-7.87227,-19.9382,-13.3677,-15.4818,0.697693,22.2197,15632.4,49.1091,0.273808,0.000811563,0.998298,81.1506,1077.06,1215.92,0.270887,29725.6,1.10558e-06,1.03509,115.052,85.0821,44.4243,47.0306,0.944582,1806.86,2051.79,1.74156 
108,20,100,108,6644.53,0,5,101,125,0,5,135,-4.03308,-4.61746,-24.3513,0.031643,-11.8195,244.797,10.7664,16151,51.415,16439.4,-4.97892,-5.56331,-26.243,-0.914204,-12.7654,0.479974,-3.5395,15078,37.1091,-0.0863474,-0.000134158,0.998666,40.9914,1068.41,1212.98,0.286229,29079.4,1.09751e-06,1.03726,114.66,84.5203,43.1349,45.8585,0.940608,1703.5,1950.8,1.66099 
109,24,100,109,7048.24,0,5,101,125,0,5,135,-4.57544,-9.1408,-19.1699,-10.6076,-7.2134,280.55,28.1563,16575,45.6809,16439.4,-5.65943,-10.2248,-21.3378,-11.6916,-8.29739,0.627033,11.761,15345.4,29.2856,0.250748,0.000437763,0.998965,46.9037,1312.32,1516.27,0.380359,32369,1.13743e-06,1.24018,115.183,85.5529,43.7934,46.8719,0.934322,1755.91,2037.97,1.66313 
110,8,100,110,8128.98,0,5,101,125,0,5,135,-10.5707,-6.77581,-21.2669,-12.3122,-5.04904,241.363,20.466,17251.3,56.7824,16439.4,-11.5033,-7.70839,-23.1321,-13.2447,-5.98162,0.624297,6.36077,16193.4,42.6771,0.110481,0.000224407,0.998571,57.5733,1282.45,1378.05,0.380381,32051.4,1.1337e-06,1.17262,113.835,85.6163,43.1663,44.496,0.970114,1705.98,1836.6,1.56134 
111,4,100,111,9063.2,0,5,101,125,0,5,135,-8.1933,-13.563,-14.8501,-9.03771,-9.41679,213.96,33.7805,18058.8,49.8449,16439.4,-9.02,-14.3897,-16.5035,-9.86441,-10.2435,0.725038,21.2767,17121.1,37.3411,0.321955,0.000709623,0.998817,66.0861,1371.3,1526.79,0.477223,33950.4,1.15566e-06,1.25206,115.305,85.187,42.278,44.3556,0.953161,1636.49,1825.02,1.49541 
112,12,100,112,8424.26,0,5,101,125,0,5,135,-7.38402,-7.49335,-24.9997,-12.4254,-17.5907,278.058,24.7203,18370.8,36.1818,16439.4,-8.45838,-8.56771,-27.1484,-13.4997,-18.665,0.644372,8.47055,17152.1,19.9321,0.261525,0.00028212,0.99937,32.3891,1227.96,1380.47,0.364398,33605.3,1.15173e-06,1.13046,114.727,84.5492,42.7753,45.1332,0.947756,1675.22,1889.58,1.54478 
113,0.01,100,113,6711.32,0,5,101,125,0,5,135,-9.18242,-12.9931,-20.962,-10.8389,-9.79944,247.602,4.62921,16866.3,40.6546,16439.4,-10.1391,-13.9498,-22.8753,-11.7956,-10.7561,0.670934,-9.84063,15781,26.1848,-0.455982,-0.000356455,0.9991,21.5811,1187.87,1395.45,0.389811,31050.9,1.12178e-06,1.14772,114.209,84.994,41.1623,44.4004,0.92707,1551.26,1828.71,1.50144 
114,16,100,114,7725.95,0,5,101,125,0,5,135,-8.90898,-5.80525,-25.0424,-7.53292,-13.232,209.343,33.906,16796.4,59.4654,16439.4,-9.71784,-6.61411,-26.6601,-8.34178,-14.0409,0.592195,21.672,15878.9,47.2314,0.276606,0.000779295,0.998388,78.3497,1322.18,1513.67,0.427764,31571.3,1.12801e-06,1.25415,114.851,85.5869,42.5414,45.2709,0.939706,1656.94,1901.13,1.57343 
115,28,100,115,7562.24,0,5,101,125,0,5,135,-7.40181,-6.51645,-14.875,-8.17541,-13.8298,230.004,35.8953,16745.3,55.3342,16439.4,-8.29049,-7.40514,-16.6524,-9.0641,-14.7184,0.703328,22.4539,15737.2,41.8928,0.30875,0.000814652,0.998557,72.7252,1726.44,1975.09,1.25143e+09,34841.9,1.16569e-06,1.58412,115.598,83.7514,43.4236,46.143,0.941067,1726.38,1975.07,1.58408 
116,20,100,116,7966.88,0,5,101,125,0,5,135,-4.71285,-5.87678,-6.64489,-10.9417,-14.7231,210.973,10.3176,16841,65.4679,16439.4,-5.52801,-6.69193,-8.27521,-11.7568,-15.5383,0.826843,-2.0117,15916.3,53.1387,-0.0325757,-7.22296e-05,0.998191,61.7547,1489.68,1664.79,0.473062,33581.2,1.15145e-06,1.36766,115.539,84.7378,44.3224,46.5921,0.951285,1798.58,2013.71,1.65279 
117,24,100,117,7047.41,0,5,101,125,0,5,135,-4.3053,-7.26147,-24.8552,-13.9626,-7.64296,216.74,22.886,16182.9,67.009,16439.4,-5.14274,-8.09891,-26.53,-14.8001,-8.4804,0.579237,10.2197,15233,54.3427,0.135484,0.000383222,0.998067,75.431,1365.02,1575.89,0.359971,32543.9,1.13947e-06,1.28714,115.648,85.4864,45.6666,48.8906,0.934058,1909.34,2217.29,1.80571 
118,8,100,118,8068.1,0,5,101,125,0,5,135,-5.06265,-6.73674,-17.2824,-10.7613,-12.2326,244.272,18.9649,16817.1,57.324,16439.4,-6.00647,-7.68056,-19.1701,-11.7051,-13.1764,0.667985,4.68961,15746.5,43.0487,0.0832258,0.000170154,0.998518,56.3481,1094.98,1203.42,0.303073,30027.4,1.10931e-06,1.0348,115.497,85.2859,42.9099,44.7258,0.959401,1685.78,1855.61,1.59437 
119,4,100,119,8149.18,0,5,101,125,0,5,135,-6.50081,-10.5851,-20.8305,-9.1185,-13.2471,257.088,11.9549,17114.2,56.9287,16439.4,-7.49415,-11.5784,-22.8172,-10.1118,-14.2404,0.655548,-3.0693,15987.4,41.9044,-0.0650055,-0.000109717,0.998579,47.216,1297.77,1474.55,0.40475,32020.4,1.13333e-06,1.2206,114.644,85.6381,42.7166,45.2945,0.943086,1670.62,1903.1,1.57331 
120,12,100,120,7139.91,0,5,101,125,0,5,135,-9.25243,-6.00551,-18.9126,-1.77809,-5.04748,235.5,23.7567,16690.5,69.2799,16439.4,-10.1624,-6.91543,-20.7325,-2.68802,-5.95741,0.553715,9.99412,15658.3,55.5173,0.130446,0.000364588,0.998079,76.6149,1251.12,1411.35,0.348587,32095.5,1.13422e-06,1.17157,114.997,84.8689,43.8977,46.3921,0.946232,1764.28,1996.45,1.65469 
121,0.01,100,121,9660.22,0,5,101,125,0,5,135,-7.22751,-5.86278,-17.7511,-13.0802,-11.9397,278.306,17.2112,19293.5,58.1432,16439.4,-8.30283,-6.9381,-19.9017,-14.1555,-13.0151,0.680618,0.946994,18073.6,41.879,0.0184953,2.99399e-05,0.998744,51.2018,1188.55,1372.34,0.41634,33456.8,1.15003e-06,1.11053,114.598,84.355,40.4511,43.2437,0.93542,1498.11,1734.68,1.40175 
122,16,100,122,7472.5,0,5,101,125,0,5,135,-5.98654,-8.40093,-25.165,-11.2364,-11.8324,291.876,19.1027,16681.8,33.7759,16439.4,-7.11429,-9.52868,-27.4205,-12.3642,-12.9601,0.604823,2.04542,15402.5,16.7186,0.0925205,7.58789e-05,0.999411,22.1077,1385.91,1497,0.413229,32327.8,1.13695e-06,1.26689,115.554,84.7416,44.0387,45.5272,0.967305,1775.63,1922.71,1.62515 
123,28,100,123,6646.66,0,5,101,125,0,5,135,-4.95239,-2.16568,-15.7425,-11.0686,-13.5336,260.912,17.023,16072.1,54.1398,16439.4,-5.96051,-3.1738,-17.7587,-12.0767,-14.5417,0.668132,1.77529,14928.6,38.8921,0.0366448,6.7949e-05,0.998588,48.4458,1158.97,1376.04,0.320861,29936.6,1.10819e-06,1.13956,115.434,84.5511,43.4186,47.1176,0.921493,1725.98,2059.39,1.70126 
124,20,100,124,6114.23,0,5,101,125,0,5,135,-5.83599,-14.4491,-19.7774,-14.1096,-2.81467,250.753,11.1987,15589.7,49.8489,16439.4,-6.80485,-15.418,-21.7151,-15.0785,-3.78353,0.654218,-3.45526,14490.6,35.1949,-0.0891021,-0.000136275,0.998683,38.7786,1221.75,1309.75,0.314066,29586.3,1.10385e-06,1.14597,115.79,84.9721,44.9768,46.3051,0.971316,1852.09,1988.97,1.73874 
125,24,100,125,5403.47,0,5,101,125,0,5,135,-0.61685,-1.86534,-15.79,-5.3642,-8.54938,277.949,-2.13451,14629.8,43.6511,16439.4,-1.69079,-2.93928,-17.9379,-6.43814,-9.62332,0.535642,-18.3779,13411.6,27.4078,-1.26644,-0.000783641,0.998892,14.5115,1104,1219.57,0.266886,27704.7,1.07994e-06,1.07446,115.764,85.2312,45.3755,47.5769,0.953728,1885.07,2099.74,1.84224 
126,8,100,126,6851.71,0,5,101,125,0,5,135,-3.30491,-11.3294,-25.0808,-11.3217,-11.8896,233.046,16.7812,16421.9,40.1308,16439.4,-4.20535,-12.2299,-26.8816,-12.2221,-12.79,0.606585,3.16205,15400.5,26.5116,0.0904064,0.000117313,0.999066,34.976,1177.25,1284.23,0.335372,29828.4,1.10686e-06,1.11087,114.987,85.2048,42.9458,44.5945,0.963029,1688.6,1844.74,1.59455 
127,4,100,127,8659.28,0,5,101,125,0,5,135,-6.64604,-7.49276,-23.0427,-8.41195,-11.7443,259.608,19.0403,17490.7,46.9272,16439.4,-7.64912,-8.49584,-25.0489,-9.41503,-12.7474,0.604634,3.86876,16352.8,31.7557,0.0921668,0.000135171,0.998947,41.9756,1076.84,1162.12,0.284373,30538.5,1.11557e-06,1.00278,114.912,84.9714,43.5093,44.9633,0.967662,1733.2,1875.37,1.61611 
