cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
0,0.1,0,31026.8,0,5,101,125,0,5,135,-4.56056,-7.72158,1.51498,-6.02467,-3.01472,-172.084,22.0612,32102.3,28.4641,16439.4,-3.89566,-7.05669,2.84478,-5.35977,-2.34982,1.17985,32.1178,32856.6,38.5207,0.409966,0.000558268,0.999364,78.3426,7.20457e-30,10.8731,1.16239e-29,17.5427,2.32478e-29,35.0854 
1,380,1,6820.35,0,5,101,125,0,5,135,-1.71063,-3.73612,-1.8214,2.8531,-0.330768,-263.721,-5.94736,8075.74,11.2108,16439.4,-0.691665,-2.71716,0.216531,3.87206,0.688196,0.841713,9.46448,9231.63,26.6226,0.228547,0.000585498,0.998437,41.4116,1.37873e-29,20.8076,2.08676e-29,31.4932,4.17353e-29,62.9865 
2,20,2,24363.8,0,5,101,125,0,5,135,1.08966,-4.29354,-1.81804,-2.87704,-2.28608,-276.373,6.8512,25319.9,29.7709,16439.4,2.15751,-3.22569,0.317657,-1.80919,-1.21823,1.08408,23.0024,26531.3,45.9221,0.294491,0.000495179,0.999061,78.1089,7.89073e-30,11.9086,1.25433e-29,18.9302,2.50866e-29,37.8605 
3,40,3,20468.8,0,5,101,125,0,5,135,-0.0418514,-6.32609,-1.87357,2.21353,-5.35551,-275.991,-3.92753,21507.1,33.1144,16439.4,1.02452,-5.25971,0.259178,3.27991,-4.28914,1.05199,12.2014,22716.7,49.2433,0.171143,0.000306825,0.998825,71.2934,8.82945e-30,13.3253,1.38666e-29,20.9274,2.77333e-29,41.8548 
4,220,4,8874.67,0,5,101,125,0,5,135,-4.85074,2.10811,-11.8717,-1.00111,-2.7661,-316.224,1.85279,10171.1,37.3234,16439.4,-3.62891,3.32993,-9.42804,0.220715,-1.54428,0.146829,20.3329,11557.1,55.8035,0.232916,0.00100433,0.997386,87.2971,1.13327e-29,17.1032,1.74858e-29,26.3894,3.49715e-29,52.7787 
5,160,5,11774.7,0,5,101,125,0,5,135,-2.06954,-0.753855,1.45028,-2.19276,-2.77464,-317.306,2.05796,12657,38.3113,16439.4,-0.843537,0.47215,3.90229,-0.966755,-1.54863,-2.84266,20.6013,14047.7,56.8546,0.231926,0.000837309,0.997808,88.8268,1.10051e-29,16.6088,1.71483e-29,25.88,3.42966e-29,51.76 
6,320,6,6902.59,0,5,101,125,0,5,135,-3.82499,-7.25167,-2.50958,-5.39998,-7.86078,-388.142,5.40033,8205.63,8.4263,16439.4,-2.32528,-5.75197,0.489819,-3.90028,-6.36108,1.02744,28.0833,9906.85,31.1093,0.429314,0.00161723,0.998298,65.4145,1.24974e-29,18.8609,1.91483e-29,28.8984,3.82965e-29,57.7967 
7,10,7,27057.2,0,5,101,125,0,5,135,-3.4803,2.07287,-7.66757,-4.84697,-5.01811,-279.117,15.9771,28469.6,31.1355,16439.4,-2.40185,3.15132,-5.51066,-3.76852,-3.93965,0.558064,32.2887,29692.9,47.4471,0.361879,0.000620998,0.999133,89.2253,7.21242e-30,10.8849,1.16036e-29,17.5121,2.32072e-29,35.0241 
8,420,8,6022.63,0,5,101,125,0,5,135,-0.66634,-3.18293,-1.23906,2.12872,-0.50171,-332.357,8.37315,7414.66,22.7549,16439.4,0.617821,-1.89876,1.32926,3.41288,0.782451,0.686765,27.7961,8871.38,42.1778,0.354499,0.00178722,0.997426,78.4094,1.32072e-29,19.9321,2.04788e-29,30.9064,4.09576e-29,61.8127 
9,500,9,5500.43,0,5,101,125,0,5,135,-0.0466677,-0.252047,-5.5509,-2.27009,-3.60628,-363.932,9.63326,6787.5,3.74968,16439.4,1.35949,1.15411,-2.73857,-0.863924,-2.20012,0.167357,30.9014,8382.61,25.0179,0.507222,0.00210207,0.998382,60.9229,1.35414e-29,20.4366,2.08521e-29,31.4697,4.17041e-29,62.9395 
10,280,10,8386.26,0,5,101,125,0,5,135,0.47656,-1.51547,-6.88532,0.500922,-0.955719,-429.933,-5.42813,9791.08,9.47589,16439.4,2.13773,0.145707,-3.56297,2.1621,0.705456,3.24366,19.6971,11675.5,34.6012,0.321751,0.000963102,0.998394,61.2185,1.24714e-29,18.8217,1.86895e-29,28.206,3.73789e-29,56.4119 
11,80,11,15297.5,0,5,101,125,0,5,135,-4.93624,-3.69152,-7.47216,-4.29601,-3.43309,-345.052,31.3102,16315.5,41.8293,16439.4,-3.60303,-2.35831,-4.80573,-2.9628,-2.09988,0.696411,51.4751,17827.9,61.9942,0.40896,0.00164719,0.998116,125.868,1.02225e-29,15.4277,1.59443e-29,24.0629,3.18885e-29,48.1258 
12,480,12,5560.52,0,5,101,125,0,5,135,-13.8636,-2.86331,-5.55397,-3.44667,-3.06812,-391.859,20.1963,7054.94,36.6892,16439.4,-12.3496,-1.34925,-2.52584,-1.93261,-1.55406,0.871858,43.0965,8772.46,59.5894,0.376048,0.0027994,0.996326,114.604,1.43659e-29,21.6808,2.20087e-29,33.2152,4.40173e-29,66.4305 
13,0.1,13,28008.3,0,5,101,125,0,5,135,0.139044,-2.49417,-2.01923,-0.883879,-2.4843,-354.767,34.9416,29652.7,15.0577,16439.4,1.50979,-1.12342,0.72227,0.48687,-1.11355,-0.498604,55.6742,31207.7,35.7903,0.564518,0.00101839,0.999378,98.6226,6.86297e-30,10.3575,1.0967e-29,16.5513,2.1934e-29,33.1026 
14,380,14,6478.18,0,5,101,125,0,5,135,-1.53239,-0.691711,-8.77094,-1.5743,-0.500894,-310.139,19.598,7759.54,36.1859,16439.4,-0.334078,0.506605,-6.37431,-0.375979,0.697422,-0.0840036,37.7225,9118.88,54.3104,0.366612,0.00235828,0.996777,102.895,1.2863e-29,19.4128,1.96317e-29,29.6279,3.92633e-29,59.2559 
15,20,15,19313,0,5,101,125,0,5,135,-4.87566,-5.8427,-10.0131,-1.98918,1.71008,-291.239,15.1704,20561.3,23.7478,16439.4,-3.75037,-4.71741,-7.76257,-0.863887,2.83537,0.455597,32.1905,21837.8,40.7678,0.396865,0.000841619,0.998988,81.1118,7.75052e-30,11.697,1.22717e-29,18.5203,2.45433e-29,37.0405 
16,40,16,21016.8,0,5,101,125,0,5,135,-0.125213,-2.17659,-0.304288,-0.546537,0.973742,-323.583,-5.34794,22093.6,38.7184,16439.4,1.12505,-0.926324,2.19624,0.703725,2.224,0.587382,13.5623,23511.9,57.6286,0.163961,0.000329506,0.998671,82.7166,8.28905e-30,12.5098,1.29866e-29,19.5993,2.59733e-29,39.1986 
17,220,17,9930.34,0,5,101,125,0,5,135,-4.0269,-6.28673,-5.00091,0.568513,-2.42013,-406.179,17.5401,11193.3,28.5803,16439.4,-2.4575,-4.71733,-1.86211,2.13791,-0.85073,0.75972,41.2773,12973.6,52.3174,0.396675,0.00181478,0.997816,104.058,1.24061e-29,18.7232,1.89922e-29,28.6629,3.79845e-29,57.3258 
18,160,18,11830.1,0,5,101,125,0,5,135,2.49158,-9.35872,-0.448995,-4.14405,-2.33204,-347.849,11.2127,12922.3,25.948,16439.4,3.8356,-8.0147,2.23905,-2.80003,-0.988023,1.39089,31.541,14446.9,46.2763,0.362238,0.00124601,0.998264,87.0725,1.07286e-29,16.1915,1.66614e-29,25.1453,3.33229e-29,50.2905 
19,320,19,7400.81,0,5,101,125,0,5,135,-0.530457,-5.78403,-2.85424,-4.29092,-1.98112,-369.334,19.9749,8868.91,-0.434466,16439.4,0.896577,-4.357,-0.000171941,-2.86388,-0.554085,0.999975,41.5588,10487.7,21.1494,0.620854,0.00225924,0.998906,66.9381,1.22295e-29,18.4566,1.86821e-29,28.1949,3.73642e-29,56.3897 
20,10,20,26590.3,0,5,101,125,0,5,135,-1.80325,-6.20464,2.27963,-1.31738,-3.13328,-217.45,21.839,27943.5,25.6431,16439.4,-0.963065,-5.36446,3.95999,-0.477201,-2.2931,1.77075,34.5468,28896.6,38.3509,0.428791,0.000682694,0.99928,80.5678,7.11476e-30,10.7375,1.14079e-29,17.2167,2.28159e-29,34.4335 
21,420,21,6408.53,0,5,101,125,0,5,135,-2.69653,-6.39265,-0.124293,-0.931416,-7.65985,-307.427,2.71,7677.49,30.3841,16439.4,-1.5087,-5.20481,2.25138,0.25642,-6.47201,1.21085,20.676,9024.94,48.3501,0.262732,0.00130742,0.9971,78.6961,1.24252e-29,18.752,1.85936e-29,28.0613,3.71873e-29,56.1227 
22,500,22,5363.65,0,5,101,125,0,5,135,-0.822377,0.172727,-3.9899,-0.733469,-5.43432,-311.727,16.6181,6735.49,16.5013,16439.4,0.382073,1.37718,-1.581,0.470981,-4.22988,0.558459,34.8354,8101.79,34.7186,0.455378,0.00245096,0.997679,76.4977,1.33994e-29,20.2223,2.01697e-29,30.4399,4.03394e-29,60.8798 
23,280,23,7836.57,0,5,101,125,0,5,135,-3.42793,-3.47304,-0.664773,-0.913316,2.47858,-325.306,12.0627,9176.99,18.4457,16439.4,-2.17101,-2.21612,1.84906,0.343603,3.7355,-0.199884,31.0735,10602.8,37.4566,0.408747,0.00167188,0.998086,76.0215,1.24999e-29,18.8648,1.89264e-29,28.5635,3.78527e-29,57.1269 
24,80,24,13368.6,0,5,101,125,0,5,135,-1.78815,-8.82266,-1.34984,-2.06905,-1.66362,-190.529,7.78629,14662.2,33.9316,16439.4,-1.05198,-8.08649,0.122488,-1.33289,-0.927457,1.01086,18.9208,15497.3,45.0661,0.259189,0.000697177,0.998424,73.0001,1.0174e-29,15.3545,1.58427e-29,23.9097,3.16854e-29,47.8193 
25,480,25,-694.221,0,5,101,125,0,5,135,-0.0604265,-0.947516,0.51103,1.80684,-1.31218,-342.937,5.68095,570.59,1.97151,16439.4,1.26461,0.377524,3.16111,3.13188,0.0128631,0.602276,25.7222,2073.68,22.0127,0.493353,0.00703818,0.99427,52.1375,0,0,0,0,0,0 
26,0.1,26,33342.5,0,5,101,125,0,5,135,0.990786,-1.9179,3.22355,-6.12356,-7.20627,-169.256,29.3655,34684.9,22.1362,16439.4,1.64476,-1.26393,4.53149,-5.46959,-6.5523,1.63738,39.2568,35426.7,32.0275,0.505302,0.000632806,0.999509,77.6898,7.26217e-30,10.96,1.15907e-29,17.4926,2.31815e-29,34.9853 
27,380,27,6537.18,0,5,101,125,0,5,135,0.61463,-1.1665,-0.498327,-2.85493,0.380957,-303.796,19.4774,7690.82,9.85903,16439.4,1.78844,0.00731266,1.84929,-1.68112,1.55477,0.474438,37.2312,9022.36,27.6129,0.529103,0.00235248,0.998341,70.3667,1.3727e-29,20.7166,2.08342e-29,31.4428,4.16684e-29,62.8856 
