cyc,freq,Vpp,time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot_kHz
176,150,0.54,0.1,10.9,176,28917.1,0,5,101,125,0,5,135,-10.1658,5.44817,9.95138,-2.94953,-11.2078,-144.064,24.0356,29402.5,28.0727,16439.4,-9.60919,6.0048,11.0647,-2.39289,-10.6511,2.98158,32.4547,30033.9,36.4918,0.425664,0.000617105,0.999341,76.2449,6.9868e-30,10.5444,1.12876e-29,17.0351,34.0702 
177,150,0.54,1,10,177,29664.3,0,5,101,125,0,5,135,-6.69703,-9.2279,6.17252,4.81477,-1.22027,-184.056,16.8017,30126.2,14.2749,16439.4,-5.98588,-8.51674,7.59484,5.52593,-0.509114,5.01638,27.558,30932.9,25.0312,0.478476,0.000508824,0.999561,57.5954,6.54253e-30,9.87392,1.07302e-29,16.1938,32.3877 
178,150,0.54,3,8,178,29281.6,0,5,101,125,0,5,135,-5.11155,1.45105,13.6903,-4.22457,-9.4772,-71.9331,18.4458,29723.3,8.5248,16439.4,-4.83361,1.72899,14.2462,-3.94664,-9.19926,8.10766,22.6495,30038.6,12.7286,0.597238,0.00043068,0.99977,37.9238,6.98345e-30,10.5394,1.1298e-29,17.0508,34.1015 
179,150,0.54,10,1,179,29738,0,5,101,125,0,5,135,3.1794,7.13809,3.35155,-4.54857,-8.48612,-211.76,22.3376,30207.4,13.5025,16439.4,3.9976,7.95629,4.98795,-3.73037,-7.66792,0.100224,34.7129,31135.6,25.8778,0.527822,0.000636677,0.999549,65.7663,7.57016e-30,11.4248,1.21897e-29,18.3966,36.7932 
180,150,0.54,8,3,180,33768.4,0,5,101,125,0,5,135,-1.66229,6.25358,19.8439,8.8882,-4.86866,-160.382,8.50273,33910.4,38.2956,16439.4,-1.0426,6.87326,21.0833,9.50788,-4.24898,0.344687,17.8754,34613.3,47.6683,0.238094,0.000295017,0.999253,75.0774,7.31175e-30,11.0348,1.1855e-29,17.8914,35.7829 
181,150,0.54,2,9,181,31013.9,0,5,101,125,0,5,135,-1.15261,4.50253,-4.05109,-2.43148,-0.858699,-169.781,16.2076,31450.4,5.71862,16439.4,-0.496608,5.15852,-2.7391,-1.77548,-0.202701,-48.4736,26.1296,32194.5,15.6406,0.581973,0.000463565,0.999736,44.8983,7.07377e-30,10.6757,1.13593e-29,17.1434,34.2867 
182,150,0.54,6,5,182,29440.7,0,5,101,125,0,5,135,-11.7919,-4.44245,3.35093,6.00261,3.01133,-111.714,7.29403,29884.8,16.1944,16439.4,-11.3602,-4.01081,4.21421,6.43425,3.44297,4.29339,13.8226,30374.4,22.723,0.336396,0.000259974,0.999594,41.0902,7.02295e-30,10.599,1.13576e-29,17.1408,34.2816 
183,150,0.54,4,7,183,32897.8,0,5,101,125,0,5,135,0.905643,-10.3461,-7.77916,3.08857,5.79196,-169.515,20.351,33233.2,20.8204,16439.4,1.56062,-9.69114,-6.46921,3.74354,6.44694,-0.46719,30.2575,33976.2,30.7268,0.450732,0.000508627,0.999509,67.1297,7.93569e-30,11.9765,1.27325e-29,19.2157,38.4315 
184,150,0.54,5,6,184,32129.9,0,5,101,125,0,5,135,1.72732,3.21703,3.54441,1.01971,-2.46057,-169.711,20.5323,32670,21.2072,16439.4,2.38305,3.87276,4.85587,1.67544,-1.80484,0.557845,30.4501,33413.8,31.1251,0.449115,0.000520474,0.999495,67.8003,7.46307e-30,11.2632,1.20172e-29,18.1362,36.2723 
185,150,0.54,9,2,185,32037.6,0,5,101,125,0,5,135,3.1652,4.24322,9.13731,-2.47483,0.245911,-169.67,20.7656,32754,13.8291,16439.4,3.82077,4.89879,10.4485,-1.81926,0.901481,0.427489,30.6811,33497.7,23.7446,0.518484,0.000523108,0.999615,59.1747,7.67523e-30,11.5834,1.23225e-29,18.597,37.194 
186,150,0.54,7,4,186,32285.1,0,5,101,125,0,5,135,2.07104,-0.144845,-3.83135,2.29963,-0.0212172,-273.633,29.7265,32759.4,12.7476,16439.4,3.12831,0.912418,-1.71683,3.3569,1.03605,1.2556,45.7176,33958.7,28.7387,0.570016,0.000768705,0.999541,80.204,7.20462e-30,10.8731,1.15444e-29,17.4227,34.8455 
187,150,0.54,0.1,10.9,187,30749.2,0,5,101,125,0,5,135,11.2369,3.88903,-9.2758,-4.00901,1.45921,-173.735,8.04485,31483.9,13.2862,16439.4,11.9082,4.56031,-7.93325,-3.33773,2.13048,2.0826,18.1979,32245.4,23.4392,0.392831,0.000322385,0.999606,46.3249,6.84929e-30,10.3369,1.09886e-29,16.5838,33.1677 
188,150,0.54,1,10,188,31043.6,0,5,101,125,0,5,135,0.867006,4.18738,-2.36312,-6.4511,3.08044,-183.609,22.4986,31665,21.7335,16439.4,1.57643,4.89681,-0.94427,-5.74167,3.78986,1.26397,33.2287,32469.7,32.4636,0.460327,0.000584444,0.999458,72.185,7.52843e-30,11.3618,1.20918e-29,18.2488,36.4977 
189,150,0.54,3,8,189,31102,0,5,101,125,0,5,135,3.72522,3.57763,-0.999916,-5.01056,0.0437712,-173.28,30.7021,31629,16.8453,16439.4,4.39474,4.24715,0.339122,-4.34104,0.71329,0.936651,40.8286,32388.5,26.9718,0.557808,0.000719818,0.999548,73.1947,7.62623e-30,11.5094,1.22434e-29,18.4776,36.9552 
190,150,0.54,10,1,190,32274.2,0,5,101,125,0,5,135,1.57361,-2.21052,-3.06792,2.36007,4.49396,-193.297,29.5547,32581.8,35.1501,16439.4,2.32047,-1.46366,-1.5742,3.10692,5.24082,1.20631,40.8509,33429,46.4463,0.422946,0.00069781,0.999246,96.5865,7.5259e-30,11.358,1.22076e-29,18.4237,36.8473 
191,150,0.54,8,3,191,32985.1,0,5,101,125,0,5,135,0.290556,-1.27025,-9.15896,0.427464,4.86402,-296.061,39.8791,33676,21.8302,16439.4,1.43448,-0.126333,-6.87113,1.57138,6.00794,4.40772,57.1809,34973.6,39.132,0.549081,0.000933397,0.999393,104.139,7.651e-30,11.5468,1.22259e-29,18.4512,36.9024 
192,150,0.54,2,9,192,31525.5,0,5,101,125,0,5,135,10.6182,7.97857,-5.72184,-7.82691,-4.34306,-14.7679,21.2152,32269.1,33.072,16439.4,10.6753,8.03563,-5.60771,-7.76985,-4.286,6.35431,22.0783,32333.8,33.935,0.351563,0.000390032,0.999431,62.8003,7.2418e-30,10.9293,1.17177e-29,17.6843,35.3686 
193,150,0.54,6,5,193,30788.4,0,5,101,125,0,5,135,-12.3454,-2.38727,14.9898,-1.93329,-2.98627,-316.371,25.8424,31180.7,32.3601,16439.4,-11.123,-1.16487,17.4346,-0.710898,-1.76387,-5.52516,44.3311,32567.4,50.8488,0.4208,0.000777231,0.999153,105.35,6.94653e-30,10.4836,1.12359e-29,16.9571,33.9143 
194,150,0.54,4,7,194,31063.2,0,5,101,125,0,5,135,1.97483,1.28243,-1.53413,-4.83135,-3.82577,-218.075,22.3019,31629.6,21.9318,16439.4,2.81742,2.12503,0.151061,-3.98875,-2.98317,1.08042,35.0462,32585.4,34.6761,0.457179,0.000614205,0.999423,76.6575,7.27769e-30,10.9834,1.16983e-29,17.655,35.31 
195,150,0.54,5,6,195,32179.7,0,5,101,125,0,5,135,4.86038,0.648097,-2.29905,-3.47622,-3.61473,-94.5534,45.8351,32962.1,25.3414,16439.4,5.22571,1.01343,-1.56838,-3.11088,-3.24939,0.0716935,51.3608,33376.5,30.8671,0.580996,0.000878559,0.999498,88.4012,8.11047e-30,12.2402,1.30251e-29,19.6573,39.3146 
196,150,0.54,9,2,196,30944.6,0,5,101,125,0,5,135,0.309883,-2.47144,1.82088,-0.0829277,1.91769,-197.163,19.1037,31522.9,22.4868,16439.4,1.07168,-1.70964,3.34448,0.678871,2.67949,0.44855,30.6259,32387.1,34.009,0.428713,0.000540063,0.99943,71.4367,7.7906e-30,11.7575,1.25206e-29,18.8959,37.7919 
197,150,0.54,7,4,197,32123.7,0,5,101,125,0,5,135,4.27172,2.41454,2.12315,-2.8152,-4.68257,-160.288,31.5555,32499.4,29.9583,16439.4,4.89104,3.03386,3.36179,-2.19588,-4.06325,0.331328,40.9227,33201.9,39.3255,0.464433,0.000703812,0.999357,88.1133,7.69952e-30,11.62,1.24427e-29,18.7785,37.5569 
198,150,0.54,0.1,10.9,198,29845.1,0,5,101,125,0,5,135,-12.2827,3.59212,14.5045,0.914204,-4.53021,-251.438,4.895,30364.5,2.35326,16439.4,-11.3112,4.56363,16.4475,1.88571,-3.55871,-1.04904,19.589,31466.5,17.0473,0.489166,0.000355608,0.999706,40.0458,6.50854e-30,9.82262,1.05105e-29,15.8623,31.7247 
199,150,0.54,1,10,199,29117,0,5,101,125,0,5,135,0.405842,-2.57583,-1.95514,2.62043,0.428234,-197.79,-0.860331,29765.1,16.9406,16439.4,1.17006,-1.8116,-0.426696,3.38466,1.19246,1.1216,10.6985,30632,28.4995,0.238286,0.000199538,0.999495,44.8979,6.38832e-30,9.64119,1.03337e-29,15.5955,31.191 
200,150,0.54,3,8,200,27383.7,0,5,101,125,0,5,135,14.8166,8.19924,-5.02854,-6.49529,2.32886,-240.89,12.9826,27910.7,28.2574,16439.4,15.7473,9.12999,-3.16704,-5.56454,3.25961,1.1632,27.0602,28966.5,42.335,0.34754,0.000533539,0.999207,77.8622,6.90055e-30,10.4142,1.10599e-29,16.6915,33.3831 
201,150,0.54,10,1,201,33782.1,0,5,101,125,0,5,135,13.1927,6.97901,-7.35975,-9.29968,-1.47354,-182.922,20.0057,34408.8,24.0916,16439.4,13.8994,7.68578,-5.9462,-8.59291,-0.766763,1.94695,30.6957,35210.5,34.7816,0.423777,0.000497909,0.999464,72.4336,7.84324e-30,11.8369,1.25631e-29,18.9601,37.9202 
202,150,0.54,8,3,202,29182.6,0,5,101,125,0,5,135,7.35339,6.9352,-1.65539,-4.15172,-4.7753,-157.133,21.6782,29922.8,17.1744,16439.4,7.96052,7.54233,-0.441129,-3.54459,-4.16818,1.06003,30.861,30611.5,26.3572,0.493858,0.000575754,0.999533,62.4897,8.01469e-30,12.0957,1.28226e-29,19.3517,38.7034 
203,150,0.54,2,9,203,32293.1,0,5,101,125,0,5,135,0.849721,3.07838,0.0898639,-1.15607,0.220074,-180.446,26.7138,32811,12.8817,16439.4,1.54693,3.77559,1.48428,-0.458865,0.917281,0.795701,37.2591,33601.9,23.427,0.569959,0.000633221,0.999622,65.3714,7.20209e-30,10.8693,1.16544e-29,17.5887,35.1774 
204,150,0.54,6,5,204,31244.9,0,5,101,125,0,5,135,-1.79672,-2.15473,0.713404,-3.83958,-5.0788,-234.722,11.8083,31845.5,16.5665,16439.4,-0.889799,-1.24781,2.52724,-2.93266,-4.17188,1.37636,25.5255,32874.3,30.2836,0.412594,0.000443494,0.9995,61.8659,7.02416e-30,10.6008,1.1414e-29,17.2259,34.4519 
205,150,0.54,4,7,205,32301.1,0,5,101,125,0,5,135,0.769249,7.70592,5.04028,-3.7359,-6.22511,-219.538,16.3761,32931.9,18.3812,16439.4,1.6175,8.55417,6.73678,-2.88765,-5.37686,0.220636,29.2059,33894.1,31.211,0.438138,0.000492147,0.9995,66.6591,6.92086e-30,10.4449,1.12814e-29,17.0258,34.0517 
206,150,0.54,5,6,206,32690.3,0,5,101,125,0,5,135,-0.59699,-3.19121,-3.3749,2.75227,3.00705,-138.8,11.4399,33133.6,23.5047,16439.4,-0.060695,-2.65492,-2.30231,3.28857,3.54334,2.26921,19.5513,33741.9,31.6161,0.340078,0.000330997,0.999492,57.4907,7.24366e-30,10.9321,1.17524e-29,17.7365,35.4731 
207,150,0.54,9,2,207,32494.3,0,5,101,125,0,5,135,-3.23559,1.77001,6.20941,-1.42705,-5.98291,-217.004,38.0118,33172.3,22.901,16439.4,-2.39713,2.60847,7.88633,-0.58859,-5.14445,-2.33514,50.6935,34123.4,35.5827,0.542799,0.000848191,0.999434,93.3928,7.93623e-30,11.9773,1.26754e-29,19.1296,38.2591 
208,150,0.54,7,4,208,31957.5,0,5,101,125,0,5,135,-6.87596,-7.30452,6.55259,5.17911,-1.10892,-185.236,9.37243,32333.3,32.8006,16439.4,-6.16024,-6.58881,7.98402,5.89483,-0.393208,-9.83923,20.1976,33145.2,43.6257,0.278401,0.000348088,0.999286,72.5485,7.45853e-30,11.2563,1.1935e-29,18.0123,36.0245 
209,150,0.54,0.1,10.9,209,29390.8,0,5,101,125,0,5,135,-3.49361,-4.24105,-6.39045,-0.775901,2.5207,-247.091,24.2479,29931.6,10.9382,16439.4,-2.5389,-3.28634,-4.48103,0.178809,3.47541,0.326368,38.6879,31014.6,25.3781,0.559546,0.000712298,0.999556,69.1417,6.63524e-30,10.0138,1.07854e-29,16.2772,32.5544 
210,150,0.54,1,10,210,30754.4,0,5,101,125,0,5,135,11.3838,2.19147,-12.7119,-2.37333,1.68044,-137.49,15.8047,31286.8,8.3729,16439.4,11.9151,2.72271,-11.6494,-1.84209,2.21167,4.46922,23.8396,31889.4,16.4078,0.547672,0.000427002,0.999721,43.529,7.32542e-30,11.0555,1.16844e-29,17.6341,35.2681 
211,150,0.54,3,8,211,32375.3,0,5,101,125,0,5,135,-10.5271,-1.04041,11.7347,-5.28573,-7.7496,-197.924,29.6675,32876,5.81664,16439.4,-9.76233,-0.275667,13.2642,-4.52099,-6.98486,2.60202,41.2342,33743.6,17.3833,0.664059,0.000697792,0.99972,62.0942,7.33819e-30,11.0747,1.17964e-29,17.8031,35.6061 
212,150,0.54,10,1,212,31809.2,0,5,101,125,0,5,135,2.58314,4.73414,4.08793,-3.36149,-0.466258,-172.035,27.3148,32528.1,5.53182,16439.4,3.24785,5.39885,5.41735,-2.69678,0.198452,0.531603,37.3685,33282.2,15.5856,0.666448,0.000641177,0.999746,56.0712,7.63285e-30,11.5194,1.22498e-29,18.4873,36.9747 
213,150,0.54,8,3,213,31222.2,0,5,101,125,0,5,135,-11.3053,-2.21089,10.6048,1.76843,-1.07125,-187.398,32.5561,31620.6,26.9698,16439.4,-10.5812,-1.48682,12.053,2.4925,-0.347184,-4.65794,43.5077,32442,37.9213,0.488777,0.000765752,0.999366,89.0133,7.42901e-30,11.2118,1.18944e-29,17.951,35.902 
