cyc,time,thermal time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
0,8,12.02,4.39099e-07,8.24296e-07,1.13807e-29,0.532695,-0.110213,3.46615e-14,49995.6,68543.1,1.46626,0.0066,1.39829 
1,19.5,0.52,4.59945e-07,8.11711e-07,1.12069e-29,0.566637,-0.275053,-1.65486e-13,47740.3,65357.2,1.56939,0.0066,1.3843 
2,20,0.02,4.54654e-07,8.42504e-07,1.1632e-29,0.539645,-0.144813,2.89195e-13,53382.4,74228.4,1.48717,0.0066,1.42559 
3,19,1.02,4.34838e-07,7.60475e-07,1.04995e-29,0.571797,-0.299244,-7.86018e-14,39258.7,53628.8,1.58523,0.0066,1.37458 
4,14,6.02,4.55518e-07,8.33084e-07,1.1502e-29,0.546785,-0.179896,1.08994e-13,51611.7,72396,1.50875,0.0066,1.36272 
5,2,18.02,4.49759e-07,8.41408e-07,1.16169e-29,0.534531,-0.119404,-4.41159e-13,53174.3,70883.3,1.47177,0.0066,1.40015 
6,18,2.02,4.47802e-07,7.94523e-07,1.09696e-29,0.563611,-0.260768,-2.0362e-13,44771.4,60992.1,1.56006,0.0066,1.39321 
7,12,8.02,4.42017e-07,8.03007e-07,1.10867e-29,0.550452,-0.197733,-1.33764e-13,46221,63371.4,1.51988,0.0066,1.3633 
8,10,10.02,4.44736e-07,8.29975e-07,1.14591e-29,0.535843,-0.125934,2.44708e-13,51036,70698.6,1.47571,0.0066,1.3981 
10,6,14.02,4.39868e-07,8.1047e-07,1.11898e-29,0.542732,-0.160038,6.50325e-14,47521.8,65658.3,1.49648,0.0066,1.3696 
11,16,4.02,4.37151e-07,8.03753e-07,1.1097e-29,0.543887,-0.165713,-4.70937e-14,46350,63346.3,1.49997,0.0066,1.37548 
12,1,19.02,4.59499e-07,8.29933e-07,1.14585e-29,0.553657,-0.213223,2.67796e-13,51028.3,71232.9,1.52963,0.0066,1.41909 
13,8,12.02,4.36171e-07,7.76076e-07,1.07149e-29,0.56202,-0.253225,-1.48662e-13,41724.9,56949.8,1.55518,0.0066,1.37454 
14,19.5,0.52,4.60482e-07,8.15786e-07,1.12631e-29,0.564465,-0.264805,-6.54257e-13,48463,64216,1.56268,0.0066,1.40848 
15,20,0.02,4.50833e-07,7.94138e-07,1.09643e-29,0.567701,-0.280064,-1.22712e-13,44706.4,61287.3,1.57264,0.0066,1.35399 
16,19,1.02,4.55146e-07,8.29769e-07,1.14562e-29,0.548521,-0.188353,-1.53645e-13,50998,69255.2,1.51402,0.0066,1.41245 
17,14,6.02,4.42244e-07,8.06222e-07,1.11311e-29,0.548538,-0.188438,-2.09519e-13,46778.5,63395.1,1.51407,0.0066,1.37324 
18,2,18.02,4.34559e-07,8.02414e-07,1.10785e-29,0.541564,-0.15429,3.47105e-13,46118.8,64164.7,1.49295,0.0066,1.40232 
19,18,2.02,4.54783e-07,7.93913e-07,1.09612e-29,0.572837,-0.304109,-6.04158e-13,44668.3,59677.5,1.58842,0.0066,1.36585 
20,12,8.02,4.34883e-07,8.22678e-07,1.13583e-29,0.528619,-0.0897093,-2.8754e-14,49701.6,67961.5,1.45404,0.0066,1.38169 
21,10,10.02,4.4408e-07,8.32423e-07,1.14929e-29,0.533478,-0.114137,-2.68179e-13,51488.9,68887.6,1.46861,0.0066,1.41173 
22,4,16.02,4.57539e-07,8.15595e-07,1.12605e-29,0.560988,-0.248323,-1.24474e-13,48429,66549.8,1.55203,0.0066,1.37608 
24,16,4.02,4.38556e-07,8.16185e-07,1.12687e-29,0.537324,-0.13331,3.48447e-13,48534.1,68548.3,1.48017,0.0066,1.3262 
25,1,19.02,4.5658e-07,7.89412e-07,1.0899e-29,0.578381,-0.329808,-4.56082e-13,43912.9,59819.5,1.60557,0.0066,1.34084 
26,8,12.02,4.46936e-07,8.11866e-07,1.1209e-29,0.550505,-0.197988,-2.553e-13,47767.8,65617.3,1.52004,0.0066,1.33785 
27,19.5,0.52,4.5749e-07,7.89246e-07,1.08967e-29,0.579655,-0.335679,-5.59491e-13,43885.3,58950.4,1.60951,0.0066,1.36649 
28,20,0.02,4.4747e-07,7.90064e-07,1.0908e-29,0.566372,-0.273802,1.25786e-13,44021.9,61590.9,1.56859,0.0066,1.32878 
29,19,1.02,4.37387e-07,7.87714e-07,1.08756e-29,0.555261,-0.22094,1.57434e-13,43630.2,60347.6,1.53452,0.0066,1.35578 
30,14,6.02,4.56412e-07,7.82439e-07,1.08028e-29,0.583319,-0.352511,1.8245e-13,42759.6,58747.3,1.62087,0.0066,1.42711 
31,2,18.02,4.64504e-07,8.26449e-07,1.14104e-29,0.562048,-0.253357,1.16481e-13,50388.3,69955.3,1.55527,0.0066,1.38101 
32,18,2.02,4.84733e-07,8.23866e-07,1.13747e-29,0.588365,-0.37552,4.64663e-15,49917.3,69584.3,1.63654,0.0066,1.37349 
33,12,8.02,4.52717e-07,8.3164e-07,1.1482e-29,0.544366,-0.16806,-1.95539e-13,51343.8,69973.2,1.50143,0.0066,1.39502 
34,10,10.02,4.42016e-07,7.66293e-07,1.05798e-29,0.576824,-0.322609,7.98733e-13,40166.8,58460.7,1.60075,0.0066,1.35169 
35,4,16.02,4.53428e-07,8.00366e-07,1.10503e-29,0.566526,-0.27453,7.47123e-13,45766.5,65231.9,1.56905,0.0066,1.36459 
36,6,14.02,4.43372e-07,7.98502e-07,1.10245e-29,0.555254,-0.22091,-3.47061e-13,45447.5,61067.6,1.5345,0.0066,1.394 
37,16,4.02,4.4083e-07,7.89609e-07,1.09017e-29,0.558289,-0.235452,4.05732e-13,43945.8,62294.3,1.54377,0.0066,1.35578 
38,1,19.02,4.40002e-07,7.97777e-07,1.10145e-29,0.551535,-0.202974,-4.38933e-14,45323.8,62109.3,1.52317,0.0066,1.35718 
39,8,12.02,4.6512e-07,8.35182e-07,1.1531e-29,0.556908,-0.22885,8.91656e-14,52002.7,72464.5,1.53954,0.0066,1.37325 
40,19.5,0.52,4.74348e-07,7.80043e-07,1.07697e-29,0.608105,-0.463808,-5.55161e-13,42367.9,57737.9,1.69816,0.0066,1.33918 
41,20,0.02,4.47494e-07,7.80588e-07,1.07772e-29,0.573278,-0.30616,7.58528e-14,42456.7,59235,1.58979,0.0066,1.35894 
42,19,1.02,4.52198e-07,8.21428e-07,1.13411e-29,0.550502,-0.197974,-8.88877e-14,49475.5,67367.3,1.52003,0.0066,1.40809 
43,14,6.02,4.56225e-07,7.78066e-07,1.07424e-29,0.586358,-0.366386,-1.96009e-13,42046.6,57479.1,1.6303,0.0066,1.3816 
44,2,18.02,4.3782e-07,8.23605e-07,1.13711e-29,0.53159,-0.104667,-3.55152e-14,49869.9,68099.4,1.46294,0.0066,1.39808 
45,18,2.02,4.58227e-07,7.61646e-07,1.05157e-29,0.601628,-0.435134,3.22479e-13,39440.4,55963,1.6779,0.0066,1.36126 
46,12,8.02,4.51825e-07,8.37197e-07,1.15588e-29,0.539688,-0.145028,4.56058e-13,52379.9,72932.3,1.48729,0.0066,1.43815 
47,10,10.02,4.50068e-07,8.29656e-07,1.14546e-29,0.542476,-0.158778,4.07105e-13,50977.2,70577.6,1.49571,0.0066,1.43772 
