cyc,freq,Vpp,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
0,5,0.9,0.1,10.9,3.88309e-07,7.95374e-07,1.09813e-29,0.488209,0.122978,-1.16248e-13,44915.5,59719.6,1.33501,0.0066,1.41964 
1,5,0.9,3,8,3.89412e-07,7.25088e-07,1.00109e-29,0.537055,-0.131976,-5.4031e-13,34029.3,44251.4,1.47936,0.0066,1.37256 
2,5,0.9,9,2,4.04341e-07,7.37201e-07,1.01782e-29,0.548481,-0.188159,-4.50351e-13,35763.4,47456.4,1.51389,0.0066,1.44959 
3,5,0.9,8,3,3.94108e-07,7.55034e-07,1.04244e-29,0.521974,-0.0559161,2.84432e-13,38422.1,53262.7,1.43421,0.0066,1.41325 
4,5,0.9,7,4,4.05941e-07,6.92893e-07,9.56643e-30,0.585864,-0.364137,-1.56088e-13,29694.7,39656.7,1.62877,0.0066,1.40378 
5,5,0.9,1,10,3.92324e-07,7.9204e-07,1.09353e-29,0.495334,0.0841464,7.33319e-14,44353,59332.1,1.35569,0.0066,1.40575 
6,5,0.9,6,5,4.01398e-07,7.71358e-07,1.06498e-29,0.520378,-0.0477364,3.40884e-14,40968.4,55678.7,1.42946,0.0066,1.41808 
7,5,0.9,4,7,3.92371e-07,8.05169e-07,1.11166e-29,0.487314,0.127894,-3.97201e-14,46595.5,62417.8,1.33242,0.0066,1.44156 
8,5,0.9,10,1,3.95571e-07,7.89847e-07,1.0905e-29,0.50082,0.0546815,-4.58258e-13,43985.6,57840.8,1.37175,0.0066,1.414 
9,5,0.9,2,9,3.91402e-07,7.68778e-07,1.06141e-29,0.509122,0.0106968,-7.52772e-14,40558.7,54697,1.39613,0.0066,1.39296 
10,5,0.9,5,6,3.93043e-07,8.03877e-07,1.10987e-29,0.488935,0.118992,1.37373e-13,46371.4,62796.2,1.33711,0.0066,1.42246 
11,5,0.9,0.1,10.9,3.93342e-07,7.8499e-07,1.0838e-29,0.501079,0.0533016,2.96024e-13,43179.1,59237,1.37251,0.0066,1.40599 
12,5,0.9,3,8,3.99907e-07,7.81981e-07,1.07964e-29,0.511403,-0.00124764,2.70851e-13,42684.6,58466.7,1.40286,0.0066,1.40533 
13,5,0.9,9,2,3.88146e-07,7.71695e-07,1.06544e-29,0.502978,0.0432451,-4.409e-14,41022.2,54435.5,1.37822,0.0066,1.45404 
14,5,0.9,8,3,3.8392e-07,7.62851e-07,1.05323e-29,0.50327,0.0416143,-5.73281e-13,39627.8,50791,1.37895,0.0066,1.41249 
15,5,0.9,7,4,3.96609e-07,7.64114e-07,1.05497e-29,0.519044,-0.0408824,9.907e-13,39825,57490.9,1.4255,0.0066,1.43192 
16,5,0.9,1,10,4.11635e-07,7.47765e-07,1.0324e-29,0.550488,-0.197906,-1.6222e-13,37323,49715,1.51999,0.0066,1.45787 
17,5,0.9,6,5,3.83553e-07,7.43058e-07,1.0259e-29,0.516182,-0.0261064,2.25705e-13,36622.6,49316.2,1.417,0.0066,1.43214 
18,5,0.9,4,7,4.0168e-07,7.79577e-07,1.07632e-29,0.515254,-0.0212981,1.8969e-13,42292,57330,1.41425,0.0066,1.44892 
19,5,0.9,10,1,4.04719e-07,7.50194e-07,1.03576e-29,0.539486,-0.144027,-1.02197e-13,37687.9,50798.5,1.48669,0.0066,1.39663 
20,5,0.9,2,9,3.81947e-07,7.97571e-07,1.10117e-29,0.478888,0.174716,1.81938e-13,45288.6,60965.6,1.30816,0.0066,1.46111 
21,5,0.9,5,6,3.86236e-07,7.80673e-07,1.07784e-29,0.494747,0.0873293,2.22971e-13,42470.6,57398.7,1.35399,0.0066,1.41899 
