cyc,field,FB,time,waittime,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
0,202,3.257,0.1,10.9,4.20163e-07,7.23247e-07,9.98551e-30,0.58094,-0.341597,6.02515e-14,33770.8,46944.7,1.61349,24.3154,0.0066,1.35351 
1,202,3.257,3,8,4.28168e-07,6.94625e-07,9.59035e-30,0.616402,-0.500155,8.75184e-14,29918.1,42508.2,1.72416,24.9548,0.0066,1.33429 
2,202,3.257,9,2,4.48451e-07,6.5195e-07,9.00115e-30,0.687861,-0.796929,-7.44312e-14,24735.7,34614.5,1.9489,26.4747,0.0066,1.33619 
3,202,3.257,8,3,4.37931e-07,6.86801e-07,9.48233e-30,0.637638,-0.591275,1.15968e-13,28918.5,40948.5,1.79085,25.6283,0.0066,1.30085 
4,202,3.257,7,4,4.57915e-07,6.48234e-07,8.94984e-30,0.706404,-0.869658,-4.6768e-13,24315.1,32936.2,2.00725,27.112,0.0066,1.3322 
5,202,3.257,1,10,4.29368e-07,7.01366e-07,9.68341e-30,0.612188,-0.48175,1.09284e-13,30797.5,43013.1,1.71095,25.004,0.0066,1.35853 
6,202,3.257,6,5,4.28677e-07,7.25545e-07,1.00172e-29,0.590835,-0.386712,2.3126e-13,34093.7,48544.5,1.64423,24.8573,0.0066,1.35908 
7,202,3.257,4,7,4.34803e-07,7.04852e-07,9.73154e-30,0.616871,-0.502201,-5.85887e-13,31259,41964.6,1.72563,25.3439,0.0066,1.32201 
8,202,3.257,10,1,4.72009e-07,6.39644e-07,8.83124e-30,0.737924,-0.989698,-1.24501e-13,23361.2,33100.6,2.10632,28.0731,0.0066,1.29236 
9,202,3.257,2,9,4.22019e-07,7.00299e-07,9.66869e-30,0.602626,-0.439568,-2.43084e-13,30657.2,41994.6,1.68102,24.5292,0.0066,1.37368 
10,202,3.257,5,6,4.63418e-07,6.58008e-07,9.08479e-30,0.704274,-0.861392,1.52541e-13,25431.7,36942.8,2.00054,27.4288,0.0066,1.31885 
11,202,3.257,0.1,10.9,4.33622e-07,7.07723e-07,9.77119e-30,0.6127,-0.483996,-6.40378e-14,31642.6,43546,1.71255,25.2543,0.0066,1.38344 
12,202,3.257,3,8,4.47638e-07,6.71387e-07,9.2695e-30,0.666737,-0.712035,1.44229e-13,27014.7,38482.3,1.8824,26.3337,0.0066,1.3502 
13,202,3.257,9,2,4.27014e-07,7.13352e-07,9.8489e-30,0.598602,-0.421645,4.70138e-13,32403.7,46547.7,1.66844,24.7995,0.0066,1.33512 
14,202,3.257,8,3,4.55063e-07,7.29079e-07,1.0066e-29,0.624162,-0.533766,-2.60561e-13,34594.3,47857.5,1.74851,26.5625,0.0066,1.33865 
15,202,3.257,7,4,4.65856e-07,6.96002e-07,9.60936e-30,0.669331,-0.722577,-3.74555e-13,30096.3,41435.2,1.89056,27.4176,0.0066,1.3397 
16,202,3.257,1,10,4.3904e-07,6.74825e-07,9.31697e-30,0.650599,-0.645629,-2.0815e-13,27431.8,38098.7,1.83161,25.7545,0.0066,1.3494 
17,202,3.257,6,5,4.63896e-07,7.21684e-07,9.96393e-30,0.642796,-0.61301,4.95864e-13,33552.4,49014.3,1.8071,27.1742,0.0066,1.34038 
18,202,3.257,4,7,4.35957e-07,7.18677e-07,9.92242e-30,0.60661,-0.457218,-1.02979e-13,33134.7,45542.9,1.69348,25.3596,0.0066,1.36784 
19,202,3.257,10,1,4.55482e-07,6.7858e-07,9.36882e-30,0.671228,-0.730274,2.84685e-13,27892.3,40634.2,1.89654,26.8157,0.0066,1.29151 
20,202,3.257,2,9,4.54554e-07,6.84016e-07,9.44387e-30,0.664537,-0.703064,-3.38807e-13,28568,39224.4,1.87547,26.7303,0.0066,1.35816 
