cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
0,15,0.75,0.1,10.9,3.49964e-07,7.40356e-07,1.02217e-29,0.472697,0.209702,7.90739e-13,36224.7,48545.3,1.29047,19.9075,0.0066,1.43366 
1,15,0.75,3,8,3.64426e-07,7.30621e-07,1.00873e-29,0.498789,0.0655409,5.5337e-13,34814.4,46830.2,1.36578,20.7922,0.0066,1.45727 
2,15,0.75,9,2,3.9645e-07,7.00207e-07,9.66741e-30,0.56619,-0.272945,3.23173e-13,30645.1,41411.6,1.56798,22.8767,0.0066,1.38862 
3,15,0.75,8,3,3.92255e-07,7.26958e-07,1.00368e-29,0.539584,-0.144512,1.02711e-12,34293.3,48151.9,1.48698,22.5239,0.0066,1.40008 
4,15,0.75,7,4,3.87521e-07,7.28891e-07,1.00634e-29,0.531658,-0.105007,2.58342e-13,34567.7,46602.2,1.46314,22.2217,0.0066,1.40287 
5,15,0.75,1,10,3.57871e-07,7.15186e-07,9.87422e-30,0.500389,0.0569854,4.23403e-13,32654.2,44645.6,1.37048,20.423,0.0066,1.4033 
6,15,0.75,6,5,3.91619e-07,7.2842e-07,1.00569e-29,0.537629,-0.134824,-1.51611e-13,34500.6,44900.7,1.48109,22.4797,0.0066,1.42004 
7,15,0.75,4,7,3.70197e-07,7.56417e-07,1.04435e-29,0.489409,0.116397,4.14011e-13,38633.6,51667.2,1.33848,21.0961,0.0066,1.4604 
8,15,0.75,10,1,4.01993e-07,7.13554e-07,9.85169e-30,0.563367,-0.25961,2.70549e-13,32431.2,43592.8,1.55931,23.184,0.0066,1.43971 
9,15,0.75,2,9,3.94221e-07,7.00903e-07,9.67702e-30,0.562447,-0.255247,3.96912e-13,30736.6,42271.6,1.55649,22.7318,0.0066,1.41778 
10,15,0.75,5,6,4.01482e-07,6.83893e-07,9.44217e-30,0.587054,-0.369558,3.00276e-13,28552.6,38753.2,1.63247,23.2627,0.0066,1.42522 
11,15,0.75,0.1,10.9,3.73381e-07,7.52607e-07,1.03909e-29,0.496118,0.0799204,-9.21844e-14,38052.7,49115.3,1.35799,21.2957,0.0066,1.4417 
12,15,0.75,3,8,3.8944e-07,7.17052e-07,9.89998e-30,0.543112,-0.16191,2.26073e-13,32910.4,44339.7,1.49763,22.376,0.0066,1.47505 
13,15,0.75,9,2,4.32375e-07,7.66951e-07,1.05889e-29,0.563759,-0.261466,1.04233e-13,40270.3,54984,1.56051,24.9381,0.0066,1.4061 
14,15,0.75,8,3,4.09811e-07,7.21651e-07,9.96348e-30,0.56788,-0.280903,8.60541e-14,33547.7,45595,1.57319,23.6557,0.0066,1.41246 
