cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
0,40,0.5,0.01,10.99,3.85752e-07,7.43895e-07,1.02706e-29,0.518556,1062.49,2846.28,2770.88,-0.0383686,-6.16347e-14,36746.6,49464.1,1.42405,22.0732,1.35343,20.9785,1.73809e-23,0.0066,1.4183 
1,40,0.5,0.01,10.99,3.97393e-07,7.06596e-07,9.75562e-30,0.562405,1062.49,2846.28,2770.88,-0.255049,4.97454e-13,31491.6,44582.6,1.55636,22.9145,1.44721,21.3074,2.05023e-23,0.0066,1.39174 
2,40,0.5,0.01,10.99,3.87027e-07,7.79091e-07,1.07565e-29,0.496767,1062.49,2846.28,2770.88,0.0764217,5.2109e-13,42213,58214.1,1.35989,22.076,1.30845,21.241,1.57427e-23,0.0066,1.46569 
3,40,0.5,10,1,4.67568e-07,7.06182e-07,9.74991e-30,0.662106,1062.49,2846.28,2770.88,-0.693121,7.76007e-15,31436.4,43689.5,1.86782,27.484,1.67605,24.6622,2.68801e-23,0.0066,1.36257 
4,40,0.5,10,1,4.65176e-07,7.27575e-07,1.00453e-29,0.639352,1062.49,2846.28,2770.88,-0.598545,3.27395e-13,34380.7,49767.8,1.79619,27.2307,1.62197,24.5894,2.55029e-23,0.0066,1.34897 
5,40,0.5,0.01,10.99,3.96503e-07,7.47296e-07,1.03175e-29,0.530584,1062.49,2846.28,2770.88,-0.0996098,4.48139e-13,37252.8,51917.8,1.45993,22.7327,1.37872,21.4682,1.82594e-23,0.0066,1.41262 
6,40,0.5,0.01,10.99,3.88198e-07,7.57848e-07,1.04632e-29,0.512237,1062.49,2846.28,2770.88,-0.00560607,4.80701e-13,38853.3,53995.9,1.40533,22.1915,1.34027,21.1643,1.69122e-23,0.0066,1.45887 
7,40,0.5,0.01,10.99,3.89174e-07,7.19675e-07,9.9362e-30,0.540763,1062.49,2846.28,2770.88,-0.150342,8.49119e-14,33273,45065,1.49054,22.3515,1.40038,20.9996,1.89893e-23,0.0066,1.41617 
8,40,0.5,10,1,4.52773e-07,7.67559e-07,1.05973e-29,0.589886,1062.49,2846.28,2770.88,-0.382421,5.30571e-13,40366.1,57675.8,1.64127,26.2495,1.50816,24.1205,2.23531e-23,0.0066,1.36322 
9,40,0.5,10,1,4.63462e-07,7.2934e-07,1.00696e-29,0.635454,1062.49,2846.28,2770.88,-0.582023,1.55038e-13,34631.5,48937.4,1.78399,27.1113,1.61281,24.5099,2.52627e-23,0.0066,1.34088 
10,40,0.5,10,1,4.51162e-07,7.33037e-07,1.01207e-29,0.61547,1062.49,2846.28,2770.88,-0.496098,8.4678e-13,35160.9,51963.5,1.72123,26.2902,1.56637,23.9248,2.401e-23,0.0066,1.39403 
11,40,0.5,0.01,10.99,3.99981e-07,7.76154e-07,1.0716e-29,0.515337,1062.49,2846.28,2770.88,-0.0217324,-2.08844e-13,41737.4,55938.9,1.4145,22.8759,1.34672,21.7797,1.71428e-23,0.0066,1.43138 
12,40,0.5,0.01,10.99,3.99467e-07,7.73309e-07,1.06767e-29,0.516569,1062.49,2846.28,2770.88,-0.0281082,1.01583e-12,41280.2,59150.7,1.41815,22.8509,1.34928,21.7412,1.7234e-23,0.0066,1.44245 
13,40,0.5,0.01,10.99,3.81707e-07,7.51012e-07,1.03689e-29,0.508257,1062.49,2846.28,2770.88,0.0152695,6.21891e-13,37811.4,53043.1,1.39361,21.8081,1.33203,20.8444,1.66144e-23,0.0066,1.41254 
14,40,0.5,10,1,4.79671e-07,7.76779e-07,1.07246e-29,0.617513,1062.49,2846.28,2770.88,-0.50499,-6.95485e-15,41838.4,58461,1.72764,27.9627,1.57108,25.4287,2.41397e-23,0.0066,1.37854 
15,40,0.5,10,1,4.74417e-07,7.26649e-07,1.00325e-29,0.652883,1062.49,2846.28,2770.88,-0.655114,-3.5737e-13,34249.6,46823.8,1.8388,27.8411,1.654,25.0431,2.63271e-23,0.0066,1.39127 
16,40,0.5,10,1,4.58986e-07,7.23374e-07,9.98726e-30,0.634508,1062.49,2846.28,2770.88,-0.578018,-1.12848e-13,33788.6,47021.8,1.78101,26.8446,1.61059,24.276,2.52043e-23,0.0066,1.35471 
17,40,0.5,10,1,4.67193e-07,7.46136e-07,1.03015e-29,0.62615,1062.49,2846.28,2770.88,-0.542318,1.00381e-13,37079.7,52222.7,1.75475,27.2811,1.59109,24.7366,2.46839e-23,0.0066,1.37073 
18,40,0.5,0.01,10.99,3.8467e-07,7.63257e-07,1.05379e-29,0.503984,1062.49,2846.28,2770.88,0.0378224,2.8229e-13,39691.2,54702.6,1.38104,21.9636,1.32323,21.0443,1.62925e-23,0.0066,1.42187 
19,40,0.5,10,1,4.60452e-07,7.48441e-07,1.03334e-29,0.615215,1062.49,2846.28,2770.88,-0.494984,1.03964e-13,37424.4,52804,1.72043,26.8302,1.56578,24.4184,2.39938e-23,0.0066,1.36741 
20,40,0.3,0.01,10.99,3.90623e-07,7.73895e-07,1.06848e-29,0.504749,1062.49,2846.28,2770.88,0.0337668,4.14982e-13,41374.1,56954.6,1.38327,22.3058,1.3248,21.3629,1.63502e-23,0.0066,1.45662 
21,40,0.3,0.01,10.99,3.94444e-07,7.49769e-07,1.03517e-29,0.526087,1062.49,2846.28,2770.88,-0.0768837,-1.89593e-13,37624,49724.5,1.44648,22.5978,1.36923,21.391,1.7933e-23,0.0066,1.43521 
22,40,0.3,10,1,4.36332e-07,7.07793e-07,9.77215e-30,0.616468,1062.49,2846.28,2770.88,-0.500445,-1.03324e-14,31652,43804.4,1.72436,25.431,1.56867,23.1348,2.40734e-23,0.0066,1.38179 
23,40,0.3,10,1,4.25207e-07,7.63785e-07,1.05452e-29,0.55671,1062.49,2846.28,2770.88,-0.227895,-3.03955e-14,39773.6,53833.7,1.53894,24.4919,1.43478,22.8342,2.01091e-23,0.0066,1.43263 
24,40,0.3,0.01,10.99,3.95891e-07,7.40483e-07,1.02235e-29,0.534639,1062.49,2846.28,2770.88,-0.119941,-4.73268e-13,36243.2,47037.8,1.47209,22.7132,1.38732,21.4052,1.85517e-23,0.0066,1.42775 
25,40,0.3,0.01,10.99,3.88464e-07,7.71447e-07,1.0651e-29,0.503553,1062.49,2846.28,2770.88,0.0401149,4.98925e-13,40982.6,55826.2,1.37978,22.179,1.32234,21.2558,1.62599e-23,0.0066,1.47535 
26,40,0.3,10,1,4.1849e-07,7.73879e-07,1.06846e-29,0.540769,1062.49,2846.28,2770.88,-0.150369,3.0245e-13,41371.5,56931.8,1.49055,24.0352,1.40039,22.5814,1.89897e-23,0.0066,1.42918 
27,40,0.3,0.01,10.99,3.81475e-07,7.7328e-07,1.06763e-29,0.49332,1062.49,2846.28,2770.88,0.095066,1.51213e-13,41275.4,55918.7,1.34984,21.7493,1.30144,20.9695,1.54776e-23,0.0066,1.45351 
28,40,0.3,0.01,10.99,3.94914e-07,7.53799e-07,1.04073e-29,0.523898,1062.49,2846.28,2770.88,-0.065747,6.94658e-13,38233.9,54467.2,1.43995,22.6167,1.36462,21.4336,1.77733e-23,0.0066,1.41631 
29,40,0.3,10,1,4.27062e-07,7.22488e-07,9.97504e-30,0.591098,1062.49,2846.28,2770.88,-0.387907,7.49504e-13,33664.7,49086.4,1.64505,24.7649,1.51088,22.7452,2.2433e-23,0.0066,1.39507 
30,40,0.3,10,1,4.21918e-07,7.29071e-07,1.00659e-29,0.578706,1062.49,2846.28,2770.88,-0.33131,-4.83596e-14,34593.2,46785.4,1.60657,24.4061,1.48316,22.5313,2.16093e-23,0.0066,1.40254 
31,40,0.3,10,1,4.15858e-07,7.72298e-07,1.06627e-29,0.538469,1062.49,2846.28,2770.88,-0.138991,4.28263e-13,41118.4,57571.8,1.48362,23.8745,1.39548,22.4562,1.88258e-23,0.0066,1.43969 
32,40,0.3,0.01,10.99,3.96108e-07,7.33341e-07,1.01249e-29,0.540142,1062.49,2846.28,2770.88,-0.147273,2.44788e-13,35204.6,48783.4,1.48866,22.7473,1.39905,21.3781,1.89451e-23,0.0066,1.42191 
33,40,0.3,0.01,10.99,3.88317e-07,7.28697e-07,1.00608e-29,0.532891,1062.49,2846.28,2770.88,-0.111197,4.49832e-13,34540.1,47550.4,1.46685,22.272,1.38361,21.0082,1.84259e-23,0.0066,1.45241 
34,40,0.3,0.01,10.99,3.73749e-07,7.58746e-07,1.04756e-29,0.492588,1062.49,2846.28,2770.88,0.0990397,-3.49191e-13,38991.6,49994.1,1.34771,21.307,1.29995,20.5519,1.54212e-23,0.0066,1.47027 
35,40,0.3,10,1,4.26823e-07,7.25961e-07,1.0023e-29,0.587942,1062.49,2846.28,2770.88,-0.373597,1.23485e-13,34152.5,47140.2,1.63523,24.7354,1.50379,22.7473,2.22246e-23,0.0066,1.41511 
36,40,0.3,10,1,4.50613e-07,6.76674e-07,9.3425e-30,0.665924,1062.49,2846.28,2770.88,-0.708719,-2.37616e-15,27657.9,38911,1.87984,26.505,1.68523,23.7611,2.71069e-23,0.0066,1.36463 
37,40,0.3,10,1,4.24548e-07,7.2362e-07,9.99066e-30,0.5867,1062.49,2846.28,2770.88,-0.36795,4.02777e-13,33823,47485.1,1.63137,24.5974,1.50101,22.6319,2.21424e-23,0.0066,1.40489 
38,40,0.3,10,1,4.29834e-07,7.09694e-07,9.7984e-30,0.605661,1062.49,2846.28,2770.88,-0.453025,3.48266e-13,31907.7,45425.4,1.69051,24.9987,1.54389,22.8305,2.3382e-23,0.0066,1.41837 
39,40,0.3,0.01,10.99,3.93922e-07,7.61111e-07,1.05083e-29,0.517562,1062.49,2846.28,2770.88,-0.033238,4.08455e-13,39357.4,53892.6,1.4211,22.5372,1.35135,21.4311,1.73075e-23,0.0066,1.45899 
40,40,0.7,0.01,10.99,3.90495e-07,7.40972e-07,1.02302e-29,0.527005,1062.49,2846.28,2770.88,-0.0815342,6.85529e-13,36315,51199.4,1.44922,22.375,1.37116,21.1698,1.79998e-23,0.0066,1.42837 
41,40,0.7,0.01,10.99,4.02843e-07,7.63054e-07,1.05351e-29,0.527935,1062.49,2846.28,2770.88,-0.0862431,7.15039e-13,39659.5,56272.9,1.452,23.086,1.37312,21.8319,1.80674e-23,0.0066,1.45125 
42,40,0.7,5,6,4.52001e-07,7.36833e-07,1.01731e-29,0.613438,1062.49,2846.28,2770.88,-0.487224,3.79328e-13,35709.9,51298.2,1.71486,26.3284,1.5617,23.9769,2.38806e-23,0.0066,1.38988 
43,40,0.7,0.01,10.99,3.87856e-07,7.74076e-07,1.06873e-29,0.501057,1062.49,2846.28,2770.88,0.0534217,5.42141e-13,41403.1,57291.1,1.37245,22.1364,1.31722,21.2457,1.60702e-23,0.0066,1.43389 
44,40,0.7,0.01,10.99,3.89337e-07,7.73619e-07,1.0681e-29,0.503267,1062.49,2846.28,2770.88,0.0416326,1.46717e-13,41329.8,55210.1,1.37894,22.228,1.32175,21.3062,1.62383e-23,0.0066,1.48086 
