cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
51,35,0.35,4,7,51,4.32564e-07,7.91742e-07,1.09312e-29,16.4973,0.546344,1062.49,2846.28,2770.88,4.94372,21.3079,20.4673,-0.177744,-1.06152e-30,9.04197e-13,1.022,0.939929,44303,66029.9,1.50742,24.8683,1.41236,23.3,1.40401,0.0066,1.45462,4.5,4.9223,1.85671e-29,28.0212,1.75133,1.69854 
52,35,0.35,10,1,52,4.61235e-07,7.80922e-07,1.07818e-29,16.2718,0.590629,1062.49,2846.28,2770.88,4.94899,21.3061,20.4657,-0.385782,-2.45667e-30,7.62432e-13,0.80892,0.750347,42511.4,64184.4,1.64358,26.7441,1.50983,24.5676,1.62257,0.0066,1.43485,4.5,5.23886,1.92811e-29,29.0989,1.81868,1.7883 
53,35,0.35,2,9,53,4.20182e-07,7.78676e-07,1.07508e-29,16.225,0.539611,1062.49,2846.28,2770.88,4.94029,21.309,20.4684,-0.144641,-8.39095e-31,8.38074e-13,1.06074,0.974396,42145.5,62525.3,1.48706,24.1276,1.39792,22.6812,1.36944,0.0066,1.46957,4.5,4.71637,1.80721e-29,27.2743,1.70464,1.681 
54,35,0.35,5,6,54,4.36456e-07,7.84006e-07,1.08244e-29,16.336,0.556701,1062.49,2846.28,2770.88,4.94137,21.3086,20.4681,-0.22785,-1.37301e-30,1.06298e-12,0.966015,0.890135,43016.9,65443.1,1.53892,25.1398,1.43476,23.4384,1.45645,0.0066,1.43467,4.5,4.78128,1.82308e-29,27.5138,1.71961,1.68424 
55,35,0.35,0.1,10.9,55,4.20378e-07,7.84978e-07,1.08378e-29,16.3563,0.535528,1062.49,2846.28,2770.88,4.93654,21.3103,20.4696,-0.124371,-7.21845e-31,1.3993e-12,1.08518,0.99614,43177.2,65818.3,1.47477,24.1217,1.38921,22.7224,1.34831,0.0066,1.47279,4.5,4.49177,1.75033e-29,26.4159,1.65099,1.61503 
56,35,0.35,3,8,56,4.33845e-07,7.88177e-07,1.0882e-29,16.423,0.550441,1062.49,2846.28,2770.88,4.93833,21.3097,20.469,-0.197678,-1.18407e-30,7.10233e-13,0.999347,0.919781,43707.1,65611.8,1.51985,24.9604,1.42119,23.3402,1.42485,0.0066,1.42546,4.5,4.59885,1.77783e-29,26.8309,1.67693,1.63374 
57,35,0.35,9,2,57,4.56189e-07,7.97847e-07,1.10155e-29,16.6245,0.571775,1062.49,2846.28,2770.88,4.949,21.3061,20.4656,-0.29914,-1.88409e-30,8.33621e-13,0.891607,0.823951,45335.7,68161.7,1.58517,26.3525,1.4678,24.4014,1.5313,0.0066,1.42084,4.5,5.23936,1.92822e-29,29.1005,1.81878,1.75047 
58,35,0.35,8,3,58,4.44128e-07,7.91539e-07,1.09284e-29,16.493,0.561095,1062.49,2846.28,2770.88,4.94597,21.3071,20.4666,-0.24883,-1.52579e-30,7.12094e-13,0.943495,0.870105,44268.8,66273,1.55235,25.6029,1.44434,23.8216,1.47845,0.0066,1.40143,4.5,5.0572,1.88781e-29,28.4906,1.78066,1.72744 
59,35,0.35,7,4,59,4.36029e-07,7.52857e-07,1.03943e-29,15.687,0.579166,1062.49,2846.28,2770.88,4.94324,21.308,20.4675,-0.33343,-2.00726e-30,8.72544e-13,0.857907,0.793965,38090.7,57634.3,1.608,25.2247,1.48419,23.2824,1.56739,0.0066,1.44897,4.5,4.8937,1.84998e-29,27.9197,1.74498,1.7798 
60,35,0.35,1,10,60,4.17939e-07,7.7232e-07,1.0663e-29,16.0926,0.541147,1062.49,2846.28,2770.88,4.93803,21.3098,20.4691,-0.152234,-8.78435e-31,7.32113e-13,1.05172,0.966376,41122,60797.2,1.4917,24.0053,1.4012,22.549,1.37737,0.0066,1.47006,4.5,4.58108,1.77332e-29,26.7628,1.67267,1.66305 
