cyc,freq,Vpp,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,5,0.9,0.1,10.9,0,4.20022e-07,7.7037e-07,1.06361e-29,16.0519,0.545221,1062.49,2846.28,2770.88,4.93865,21.3096,20.4689,-0.172248,-9.9887e-31,1.93349e-14,1.02833,0.94556,40811.2,58083,1.50401,24.1423,1.40994,22.6323,1.39826,0.0066,1.41984,4.5,4.61833,1.78276e-29,26.9052,1.68158,1.67614 
1,5,0.9,3,8,1,4.16101e-07,7.019e-07,9.69079e-30,14.6253,0.592821,1062.49,2846.28,2770.88,4.93866,21.3096,20.4689,-0.395683,-2.27316e-30,9.46454e-14,0.799979,0.742381,30868,44990.8,1.65041,24.1377,1.51476,22.1538,1.63302,0.0066,1.37359,4.5,4.61863,1.78283e-29,26.9064,1.68165,1.83972 
2,5,0.9,9,2,2,4.18143e-07,7.09449e-07,9.79501e-30,14.7825,0.589391,1062.49,2846.28,2770.88,4.9414,21.3086,20.468,-0.380175,-2.19478e-30,1.26481e-13,0.814026,0.754896,31874.7,45322.4,1.63973,24.2394,1.50705,22.278,1.61666,0.0066,1.45039,4.5,4.78331,1.82357e-29,27.5212,1.72007,1.86174 
3,5,0.9,8,3,3,4.23254e-07,7.29243e-07,1.00683e-29,15.195,0.580402,1062.49,2846.28,2770.88,4.93599,21.3105,20.4697,-0.339121,-1.98171e-30,2.95465e-13,0.852436,0.789096,34617.7,50920.4,1.61183,24.4917,1.48694,22.594,1.57338,0.0066,1.41382,4.5,4.45898,1.74177e-29,26.2867,1.64292,1.72996 
4,5,0.9,7,4,4,4.30501e-07,6.70066e-07,9.25126e-30,13.9619,0.642477,1062.49,2846.28,2770.88,4.94738,21.3066,20.4662,-0.611671,-3.6356e-30,4.32654e-13,0.628459,0.588896,26855.5,39954.7,1.80609,25.2165,1.62933,22.7486,1.86107,0.0066,1.40567,4.5,5.14203,1.90685e-29,28.778,1.79862,2.06118 
5,5,0.9,1,10,5,4.21156e-07,7.65256e-07,1.05655e-29,15.9454,0.550346,1062.49,2846.28,2770.88,4.93749,21.31,20.4693,-0.197219,-1.14677e-30,5.27892e-13,0.999864,0.920241,40003.9,58806.8,1.51956,24.2299,1.42099,22.6582,1.42437,0.0066,1.40649,4.5,4.54847,1.76498e-29,26.6369,1.66481,1.67051 
6,5,0.9,6,5,6,4.21408e-07,7.42898e-07,1.02568e-29,15.4795,0.567249,1062.49,2846.28,2770.88,4.93796,21.3098,20.4691,-0.277935,-1.61708e-30,6.24515e-13,0.913119,0.843103,36599.1,54697.2,1.57126,24.3223,1.45783,22.5665,1.50903,0.0066,1.41936,4.5,4.57699,1.77227e-29,26.747,1.67169,1.7279 
7,5,0.9,4,7,7,4.18015e-07,7.77449e-07,1.07338e-29,16.1994,0.537675,1062.49,2846.28,2770.88,4.93884,21.3095,20.4689,-0.135055,-7.79449e-31,4.51786e-13,1.07223,0.984619,41946.6,60937.5,1.48123,23.995,1.39379,22.5785,1.35944,0.0066,1.44254,4.5,4.62963,1.78561e-29,26.9482,1.68426,1.66353 
8,5,0.9,10,1,8,4.26526e-07,7.64298e-07,1.05523e-29,15.9254,0.558062,1062.49,2846.28,2770.88,4.93856,21.3096,20.4689,-0.234369,-1.38016e-30,-3.78352e-14,0.95896,0.88386,39853.8,57222.5,1.54308,24.5741,1.43773,22.8964,1.46328,0.0066,1.41489,4.5,4.61271,1.78134e-29,26.8838,1.68024,1.68811 
9,5,0.9,2,9,9,4.11611e-07,7.41026e-07,1.0231e-29,15.4405,0.555461,1062.49,2846.28,2770.88,4.93696,21.3101,20.4694,-0.221903,-1.26106e-30,4.88848e-13,0.972496,0.895899,36323.1,53958.2,1.53513,23.7032,1.43207,22.1119,1.45022,0.0066,1.39409,4.5,4.51723,1.75694e-29,26.5155,1.65722,1.71727 
10,5,0.9,5,6,10,4.15987e-07,7.7579e-07,1.0711e-29,16.1649,0.536211,1062.49,2846.28,2770.88,4.937,21.3101,20.4694,-0.127775,-7.33857e-31,7.59842e-13,1.08104,0.992456,41678.8,62210.7,1.47682,23.8726,1.39067,22.4799,1.35185,0.0066,1.42339,4.5,4.51949,1.75752e-29,26.5243,1.65777,1.64086 
11,5,0.9,0.1,10.9,11,4.22832e-07,7.59383e-07,1.04844e-29,15.823,0.55681,1062.49,2846.28,2770.88,4.93691,21.3102,20.4695,-0.228375,-1.33322e-30,3.29634e-13,0.965446,0.889628,39089.9,57345.5,1.53925,24.3555,1.435,22.706,1.457,0.0066,1.40674,4.5,4.51412,1.75613e-29,26.5034,1.65646,1.67499 
12,5,0.9,3,8,12,4.33633e-07,7.56732e-07,1.04478e-29,15.7677,0.573035,1062.49,2846.28,2770.88,4.9394,21.3093,20.4687,-0.305028,-1.82619e-30,1.76378e-13,0.885739,0.818723,38681.9,56554.1,1.58903,25.0555,1.47059,23.1879,1.53748,0.0066,1.40584,4.5,4.66331,1.79405e-29,27.0756,1.69223,1.71715 
13,5,0.9,9,2,13,4.1076e-07,7.45528e-07,1.02931e-29,15.5343,0.550966,1062.49,2846.28,2770.88,4.93644,21.3103,20.4696,-0.20022,-1.13548e-30,8.90219e-13,0.996495,0.917244,36989,55079.6,1.52144,23.6345,1.42233,22.0948,1.42751,0.0066,1.45524,4.5,4.48606,1.74885e-29,26.3935,1.64959,1.69904 
14,5,0.9,8,3,14,4.18288e-07,7.40681e-07,1.02262e-29,15.4333,0.564734,1062.49,2846.28,2770.88,4.93689,21.3102,20.4695,-0.266079,-1.53663e-30,5.06211e-15,0.925373,0.853987,36272.3,51825.6,1.56351,24.1301,1.45231,22.4139,1.49656,0.0066,1.41332,4.5,4.51271,1.75577e-29,26.4979,1.65612,1.71693 
15,5,0.9,7,4,15,4.19854e-07,7.36728e-07,1.01716e-29,15.3509,0.56989,1062.49,2846.28,2770.88,4.93724,21.31,20.4694,-0.290334,-1.68298e-30,6.26231e-13,0.900481,0.831846,35694.7,53065.1,1.57936,24.2446,1.46365,22.4683,1.52204,0.0066,1.43269,4.5,4.53368,1.76118e-29,26.5796,1.66122,1.73146 
16,5,0.9,1,10,16,4.36946e-07,7.22683e-07,9.97773e-30,15.0583,0.604615,1062.49,2846.28,2770.88,4.94312,21.3081,20.4675,-0.448392,-2.70501e-30,5.22593e-13,0.754069,0.701435,33691.9,50201.4,1.68724,25.407,1.5415,23.2124,1.68866,0.0066,1.45931,4.5,4.88615,1.8482e-29,27.8928,1.7433,1.85232 
17,5,0.9,6,5,17,4.11292e-07,7.18367e-07,9.91813e-30,14.9683,0.572538,1062.49,2846.28,2770.88,4.93492,21.3108,20.4701,-0.302718,-1.71898e-30,8.14864e-13,0.888047,0.820771,33091.8,50005.4,1.58749,23.7621,1.46949,21.9958,1.53504,0.0066,1.43361,4.5,4.39468,1.7248e-29,26.0305,1.6269,1.73903 
18,5,0.9,4,7,18,4.26375e-07,7.53807e-07,1.04074e-29,15.7068,0.565629,1062.49,2846.28,2770.88,4.94071,21.3089,20.4683,-0.270308,-1.59123e-30,7.75829e-13,0.920985,0.850085,38235.1,56869.7,1.56626,24.6009,1.45427,22.842,1.501,0.0066,1.44992,4.5,4.74192,1.81349e-29,27.369,1.71056,1.74249 
19,5,0.9,10,1,19,4.30483e-07,7.24497e-07,1.00028e-29,15.0961,0.594181,1062.49,2846.28,2770.88,4.94019,21.309,20.4684,-0.401812,-2.38815e-30,5.04317e-13,0.794496,0.737494,33946.2,50615.6,1.65465,24.9788,1.51783,22.9133,1.63948,0.0066,1.3974,4.5,4.71054,1.80577e-29,27.2525,1.70328,1.80527 
20,5,0.9,2,9,20,4.07652e-07,7.71324e-07,1.06493e-29,16.0718,0.528509,1062.49,2846.28,2770.88,4.93566,21.3106,20.4699,-0.089156,-5.01793e-31,9.76085e-13,1.12899,1.03513,40963.1,61403.6,1.45372,23.3639,1.37433,22.088,1.31164,0.0066,1.46284,4.5,4.43903,1.73653e-29,26.2076,1.63798,1.63066 
21,5,0.9,5,6,21,4.15276e-07,7.55184e-07,1.04264e-29,15.7355,0.549901,1062.49,2846.28,2770.88,4.93617,21.3104,20.4697,-0.195062,-1.11839e-30,6.89754e-13,1.00229,0.922401,38444.9,56918.7,1.51821,23.8897,1.42003,22.3448,1.42212,0.0066,1.41942,4.5,4.46936,1.74449e-29,26.3277,1.64548,1.67314 
22,5,0.9,0.1,10.9,22,4.0575e-07,7.16335e-07,9.89008e-30,14.926,0.566425,1062.49,2846.28,2770.88,4.93655,21.3103,20.4696,-0.274049,-1.53522e-30,1.23003e-13,0.917112,0.846666,32811.8,46789.2,1.56875,23.4151,1.45602,21.7326,1.50497,0.0066,1.41932,4.5,4.49228,1.75047e-29,26.4179,1.65112,1.76992 
23,5,0.9,3,8,23,4.21422e-07,7.6523e-07,1.05652e-29,15.9448,0.550713,1062.49,2846.28,2770.88,4.93705,21.3101,20.4694,-0.198996,-1.15783e-30,8.38843e-13,0.997868,0.918465,39999.8,60152.5,1.52067,24.2469,1.42178,22.67,1.42623,0.0066,1.41178,4.5,4.52232,1.75825e-29,26.5354,1.65846,1.6642 
24,5,0.9,9,2,24,4.29871e-07,7.13383e-07,9.84933e-30,14.8645,0.60258,1062.49,2846.28,2770.88,4.94123,21.3087,20.4681,-0.439365,-2.60763e-30,4.0419e-13,0.761736,0.708278,32407.9,48334.4,1.68087,24.9854,1.53687,22.8448,1.67913,0.0066,1.4194,4.5,4.77263,1.82098e-29,27.482,1.71763,1.84883 
25,5,0.9,8,3,25,4.16272e-07,7.34575e-07,1.01419e-29,15.3061,0.566683,1062.49,2846.28,2770.88,4.93612,21.3104,20.4697,-0.275274,-1.58207e-30,7.14828e-13,0.915856,0.845541,35382.7,53349.3,1.56953,24.0233,1.45659,22.2947,1.50624,0.0066,1.39414,4.5,4.46672,1.7438e-29,26.3173,1.64483,1.7194 
26,5,0.9,7,4,26,4.25576e-07,7.60794e-07,1.05039e-29,15.8524,0.559385,1062.49,2846.28,2770.88,4.94015,21.3091,20.4684,-0.240684,-1.4142e-30,6.37666e-13,0.952175,0.877825,39308.1,58516.7,1.54712,24.5255,1.44061,22.8371,1.46991,0.0066,1.40397,4.5,4.70802,1.80515e-29,27.2431,1.7027,1.71855 
27,5,0.9,1,10,27,4.13356e-07,7.64683e-07,1.05576e-29,15.9334,0.540558,1062.49,2846.28,2770.88,4.93433,21.311,20.4703,-0.149327,-8.52206e-31,3.91977e-13,1.05517,0.969437,39914.1,59016.6,1.48992,23.7395,1.39994,22.3059,1.37433,0.0066,1.41034,4.5,4.3593,1.71535e-29,25.8879,1.61799,1.62475 
28,5,0.9,6,5,28,4.11971e-07,7.30207e-07,1.00816e-29,15.2151,0.564184,1062.49,2846.28,2770.88,4.93525,21.3107,20.47,-0.26348,-1.49864e-30,3.04276e-13,0.928081,0.856396,34755.2,50587.1,1.56182,23.7632,1.4511,22.0786,1.49383,0.0066,1.42152,4.5,4.41473,1.73012e-29,26.1108,1.63192,1.71611 
29,5,0.9,4,7,29,4.26981e-07,7.63913e-07,1.0547e-29,15.9174,0.55894,1062.49,2846.28,2770.88,4.94015,21.3091,20.4684,-0.238562,-1.40635e-30,3.88363e-13,0.954451,0.87985,39793.5,58287.8,1.54576,24.6044,1.43964,22.9153,1.46768,0.0066,1.43811,4.5,4.70789,1.80512e-29,27.2427,1.70267,1.7115 
30,5,0.9,10,1,30,4.14454e-07,7.66712e-07,1.05856e-29,15.9757,0.540561,1062.49,2846.28,2770.88,4.93674,21.3102,20.4695,-0.149338,-8.54539e-31,5.11541e-13,1.05515,0.969425,40232.6,59076.7,1.48992,23.8026,1.39995,22.3652,1.37434,0.0066,1.44449,4.5,4.50359,1.7534e-29,26.4622,1.65389,1.6564 
31,5,0.9,2,9,31,4.04711e-07,7.1408e-07,9.85895e-30,14.879,0.566758,1062.49,2846.28,2770.88,4.93483,21.3109,20.4701,-0.275628,-1.54011e-30,5.93424e-13,0.915495,0.845216,32503,48554.3,1.56975,23.3564,1.45675,21.6751,1.50661,0.0066,1.42041,4.5,4.3895,1.72342e-29,26.0096,1.6256,1.74807 
32,5,0.9,5,6,32,4.19659e-07,7.46164e-07,1.03019e-29,15.5475,0.562423,1062.49,2846.28,2770.88,4.9391,21.3094,20.4688,-0.255132,-1.47824e-30,5.07793e-13,0.936828,0.864176,37083.8,54926,1.55642,24.1985,1.44725,22.5011,1.48506,0.0066,1.4243,4.5,4.64532,1.78955e-29,27.0077,1.68798,1.7371 
33,5,0.9,0.1,10.9,33,4.17503e-07,7.47151e-07,1.03155e-29,15.5681,0.558793,1062.49,2846.28,2770.88,4.93888,21.3095,20.4688,-0.237862,-1.3711e-30,8.42631e-13,0.955204,0.880519,37231.2,56094.7,1.54531,24.0575,1.43932,22.4075,1.46695,0.0066,1.45763,4.5,4.63218,1.78625e-29,26.9579,1.68487,1.73161 
34,5,0.9,3,8,34,3.93953e-07,7.7437e-07,1.06913e-29,16.1353,0.50874,1062.49,2846.28,2770.88,4.93316,21.3114,20.4706,0.0127083,6.91218e-32,2.6109e-13,1.26579,1.15696,41450.2,58749,1.395,22.5087,1.33303,21.5088,1.20599,0.0066,1.44907,4.5,4.2895,1.69648e-29,25.6032,1.6002,1.58678 
35,5,0.9,9,2,35,4.40244e-07,7.51526e-07,1.03759e-29,15.6593,0.5858,1062.49,2846.28,2770.88,4.93978,21.3092,20.4686,-0.363847,-2.21155e-30,2.66183e-13,0.829088,0.76831,37889.1,56206.6,1.62857,25.5022,1.49899,23.4731,1.59944,0.0066,1.39816,4.5,4.68603,1.79971e-29,27.161,1.69756,1.7345 
36,5,0.9,8,3,36,4.17944e-07,7.67592e-07,1.05978e-29,15.994,0.544488,1062.49,2846.28,2770.88,4.94021,21.309,20.4684,-0.168655,-9.73201e-31,3.3306e-13,1.03249,0.949264,40371.3,58535.6,1.5018,24.0198,1.40837,22.5255,1.39452,0.0066,1.41763,4.5,4.71149,1.80601e-29,27.2561,1.70351,1.70414 
37,5,0.9,7,4,37,4.25224e-07,7.69602e-07,1.06255e-29,16.0359,0.552524,1062.49,2846.28,2770.88,4.93935,21.3093,20.4687,-0.207756,-1.2197e-30,7.31343e-13,0.988085,0.909764,40689.4,60723.2,1.52618,24.4738,1.4257,22.8624,1.4354,0.0066,1.42772,4.5,4.65991,1.7932e-29,27.0628,1.69143,1.68764 
38,5,0.9,1,10,38,4.15999e-07,7.77991e-07,1.07413e-29,16.2107,0.534709,1062.49,2846.28,2770.88,4.93836,21.3097,20.469,-0.120291,-6.90888e-31,1.46055e-12,1.09018,1.00059,42034.5,64732.8,1.4723,23.8671,1.38747,22.4919,1.34405,0.0066,1.45003,4.5,4.60093,1.77836e-29,26.8388,1.67743,1.65562 
39,5,0.9,6,5,39,4.35137e-07,7.0917e-07,9.79116e-30,14.7767,0.613587,1062.49,2846.28,2770.88,4.94114,21.3087,20.4681,-0.487875,-2.93102e-30,7.50063e-13,0.721474,0.672312,31837.1,48456,1.71533,25.3469,1.56204,23.0818,1.73035,0.0066,1.40255,4.5,4.76779,1.8198e-29,27.4643,1.71652,1.85862 
40,5,0.9,4,7,40,4.14084e-07,7.49502e-07,1.0348e-29,15.6171,0.552478,1062.49,2846.28,2770.88,4.93794,21.3098,20.4691,-0.207534,-1.18648e-30,6.11878e-13,0.988332,0.909983,37583.7,54800.2,1.52604,23.8324,1.4256,22.2637,1.43517,0.0066,1.4606,4.5,4.57566,1.77194e-29,26.7419,1.67137,1.71235 
41,5,0.9,10,1,41,4.14028e-07,7.55212e-07,1.04268e-29,15.7361,0.548227,1062.49,2846.28,2770.88,4.93533,21.3107,20.47,-0.186928,-1.06853e-30,5.09995e-13,1.0115,0.930589,38449.3,56454.9,1.51312,23.8106,1.41641,22.2888,1.41361,0.0066,1.42807,4.5,4.41949,1.73138e-29,26.1298,1.63311,1.6605 
42,5,0.9,2,9,42,4.19154e-07,7.1875e-07,9.92342e-30,14.9763,0.58317,1062.49,2846.28,2770.88,4.93658,21.3103,20.4696,-0.351832,-2.03607e-30,-5.33405e-13,0.840354,0.77834,33144.8,46050.8,1.62041,24.2678,1.49311,22.3613,1.58677,0.0066,1.4004,4.5,4.49432,1.751e-29,26.4259,1.65162,1.76451 
