cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,6,1.8,10,0.01,0,4.41249e-07,7.58273e-07,1.04691e-29,15.7999,0.581914,1062.49,2846.28,2770.88,4.94032,21.309,20.4684,-0.346068,-2.10828e-30,-1.31275e-14,0.84581,0.783198,38918.6,58128.9,1.61651,25.5406,1.49031,23.5466,1.5807,0.0066,1.34564,3.7,4.71831,1.80769e-29,27.2814,1.70509,1.72669 
1,6,1.8,0.01,10,1,4.3258e-07,7.9133e-07,1.09255e-29,16.4887,0.54665,1062.49,2846.28,2770.88,4.94028,21.309,20.4684,-0.179234,-1.07046e-30,5.21677e-13,1.02029,0.938405,44233.7,66263.6,1.50834,24.8705,1.41301,23.2987,1.40556,0.0066,1.42014,3.7,4.71594,1.8071e-29,27.2726,1.70454,1.65403 
2,6,1.8,10,0.01,2,4.45874e-07,7.4616e-07,1.03019e-29,15.5475,0.597558,1062.49,2846.28,2770.88,4.9443,21.3077,20.4671,-0.41697,-2.56685e-30,2.00963e-13,0.781102,0.725553,37083.2,55518.9,1.66519,25.8894,1.52547,23.7172,1.65548,0.0066,1.37744,3.7,4.95696,1.8648e-29,28.1433,1.75896,1.81015 
3,6,1.8,0.01,10,3,4.12132e-07,8.19112e-07,1.13091e-29,17.0675,0.503145,1062.49,2846.28,2770.88,4.93442,21.311,20.4702,0.0422824,2.40591e-31,4.54865e-13,1.30849,1.19506,49058.2,72307.7,1.37858,23.5291,1.3215,22.5548,1.17547,0.0066,1.43345,3.7,4.36459,1.71677e-29,25.9093,1.61933,1.51804 
4,6,1.8,10,0.01,4,4.35144e-07,8.07472e-07,1.11484e-29,16.825,0.538896,1062.49,2846.28,2770.88,4.94012,21.3091,20.4684,-0.141112,-8.47774e-31,-1.26631e-13,1.06496,0.978147,46996.4,68513.7,1.4849,24.9835,1.39639,23.4943,1.36576,0.0066,1.39664,3.7,4.70605,1.80466e-29,27.2358,1.70224,1.61877 
5,6,1.8,10,0.01,5,4.61157e-07,7.34121e-07,1.01356e-29,15.2966,0.628175,1062.49,2846.28,2770.88,4.95542,21.3039,20.4636,-0.551004,-3.50822e-30,5.57825e-13,0.672367,0.628334,35317.1,54834.8,1.76111,26.939,1.5958,24.4103,1.79702,0.0066,1.34333,3.7,5.62576,2.00839e-29,30.3105,1.8944,1.98151 
6,6,1.8,10,0.01,6,4.55224e-07,7.61842e-07,1.05184e-29,15.8742,0.59753,1062.49,2846.28,2770.88,4.95015,21.3057,20.4653,-0.416845,-2.61989e-30,5.00632e-13,0.781212,0.725651,39470.9,60426.5,1.6651,26.4322,1.5254,24.2146,1.65535,0.0066,1.35792,3.7,5.30864,1.94314e-29,29.3256,1.83285,1.84737 
7,6,1.8,0.01,10,7,4.42193e-07,7.5357e-07,1.04042e-29,15.7019,0.586797,1062.49,2846.28,2770.88,4.93922,21.3094,20.4687,-0.368391,-2.24908e-30,4.61976e-13,0.824868,0.764552,38199.1,58464.2,1.63167,25.6203,1.50123,23.5721,1.60423,0.0066,1.33977,3.7,4.65217,1.79127e-29,27.0336,1.6896,1.72168 
8,6,1.8,10,0.01,8,4.60891e-07,7.18055e-07,9.91383e-30,14.9619,0.641861,1062.49,2846.28,2770.88,4.95481,21.3041,20.4638,-0.60909,-3.87582e-30,1.75067e-13,0.630269,0.590516,33048.7,50652.8,1.80413,26.9931,1.62788,24.3561,1.85833,0.0066,1.32904,3.7,5.58872,2.00101e-29,30.1991,1.88744,2.01841 
9,6,1.8,10,0.01,9,4.61282e-07,7.36014e-07,1.01618e-29,15.3361,0.62673,1062.49,2846.28,2770.88,4.94794,21.3064,20.466,-0.54481,-3.46973e-30,2.68144e-13,0.677029,0.63252,35591,54140.9,1.75658,26.9391,1.59243,24.4217,1.79049,0.0066,1.35434,3.7,5.17545,1.91424e-29,28.8896,1.8056,1.88377 
