cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
2,43.28,2,17899.9,-0.046896,39.9279,11.6173,121.839,-0.0206537,-17.4527,499.936,-4.11366,-4.88606,-11.0828,-5.82728,-6.21492,246.295,11676.3,32.4343,8964.88,15111.8,-5.66451,-6.43691,-14.1845,-7.37814,-7.76577,0.657627,11330.8,19.6398,8619.43,0.604519,0.996976,0.00417978,18743.5,-0.0027822,1.19175,11.6757,10.2449,121.8,87.9203,0.84613,11.6715,11.6892,120.648,137.596,1.15274,-49.6757 
3,43.36,3,14223.5,-0.75837,34.2534,11.5304,121.976,0.0621839,-292.1,296.73,-2.3115,-7.61191,-15.4284,-6.32619,-4.57257,175.782,9675.69,20.4944,7327.22,13448.4,-3.41835,-8.71876,-17.6421,-7.43304,-5.67943,0.588682,9429.14,11.3629,7080.67,0.607606,0.997896,0.00294745,15518.5,-0.00288493,1.02808,11.4856,10.0521,121.837,87.9194,0.724517,11.4557,11.5264,120.843,137.647,0.99368,-49.7278 
4,43.22,4,13985.5,-0.155384,32.6977,-11.6563,122.128,0.257215,318.766,6.05238e-06,-5.96914,-8.10441,-3.86208,-4.53873,-3.95793,204.308,9698.39,21.2363,7212.34,15076.3,-7.25562,-9.39089,-6.43503,-5.8252,-5.2444,0.811572,9411.82,10.6228,6925.77,0.61243,0.998029,0.00281749,15368,-0.00305445,0.986098,11.8165,10.2354,121.895,87.7981,0.668256,11.9684,11.8198,121.014,137.682,0.881282,-49.8837 
5,43.24,5,12733.8,-0.783765,30.9003,11.8277,122.098,0.443924,375.116,233.136,-5.64381,-1.84063,-15.0367,2.30475,-7.31433,224.047,8748.5,23.9515,6865.4,17318.4,-7.05457,-3.25139,-17.8582,0.893987,-8.7251,0.503873,8434.25,12.3126,6551.15,0.599524,0.997452,0.00345023,14068.2,-0.00289677,0.886341,11.625,10.3875,122.048,87.2779,0.639588,11.7508,11.8741,120.978,136.916,1.06988,-49.6384 
6,43.26,6,16494.7,-0.282866,38.2141,-11.4903,121.649,0.0632863,251.275,500,-2.33552,-6.9917,-10.4628,-3.46672,-2.0211,218.937,11157.3,37.3811,8237.65,14811.5,-3.71411,-8.37029,-13.22,-4.84531,-3.39969,0.605954,10850.2,26.0078,7930.57,0.61403,0.995823,0.00600479,17670.5,-0.00297066,1.16108,11.4832,10.1678,121.64,87.4261,0.781085,11.8344,11.6644,120.518,136.923,1.12146,-49.4965 
7,43.24,7,14315.6,-0.0375524,33.2216,11.3789,121.852,0.00972663,15.0667,499.628,-4.80507,-9.52561,-8.07753,-10.9314,-6.6224,234.481,9919.36,27.8069,7157.18,12310.7,-6.28153,-11.0021,-11.0305,-12.4079,-8.09887,0.774062,9590.47,15.626,6828.3,0.620228,0.997157,0.00419782,15462.8,-0.00286289,1.01182,11.6802,10.2787,121.863,87.7288,0.668807,11.8475,11.8265,120.936,137.46,0.926895,-49.7314 
8,43.06,8,17401.1,0.0165094,39.2205,11.4561,121.958,-0.0403181,-13.0642,1.38663e-11,-3.00415,-8.40514,-4.6186,-7.19181,-8.33501,246.756,11722.9,23.8269,8519,14643.8,-4.55791,-9.95889,-7.72611,-8.74557,-9.88877,0.810992,11376.8,11.0084,8172.9,0.618119,0.99831,0.00247507,18405.5,-0.00286657,1.24329,11.5116,9.99884,121.876,87.5537,0.817668,11.6511,11.5406,120.763,137.094,1.11277,-49.5406 
9,43.23,9,13074.5,-0.0342929,30.2282,11.6785,122.111,0.230779,35.9757,0.000338728,-7.09837,-3.89172,-17.6084,-6.09429,-0.939705,149.804,8587.84,20.0687,7272.73,11762.3,-8.04165,-4.835,-19.4949,-7.03756,-1.88298,0.527878,8377.73,12.2866,7062.61,0.57971,0.99744,0.00319442,14451.6,-0.00272637,0.852845,11.7276,10.3978,122.011,88.4656,0.6493,11.9351,12.1406,121.043,138.358,0.967752,-49.8923 
10,43.08,10,17237.3,0.0282294,39.6178,11.1817,122.094,-0.0518215,-22.6005,499.999,-7.47288,-8.25537,-6.08756,-5.16233,-2.46244,168.86,11751.1,32.2704,8188.5,14459.1,-8.53615,-9.31863,-8.21409,-6.2256,-3.52571,0.770685,11514.3,23.4985,7951.66,0.627389,0.996441,0.00541425,18352.7,-0.00281119,1.24809,11.3263,10.159,122.029,88.1255,0.794395,11.5266,11.6486,120.933,137.887,1.09604,-49.7616 
11,43.12,11,16797.9,-0.0116039,38.1348,-11.2646,122.037,0.00498941,-7.80604,500,-4.7562,-5.49967,-17.116,-7.70447,-3.18974,141.28,11176.8,25.4578,8279.84,13985.3,-5.64581,-6.38928,-18.8952,-8.59407,-4.07934,0.566661,10978.6,18.1185,8081.68,0.612344,0.99712,0.00411288,17928.9,-0.00271596,1.17751,11.4498,10.0861,121.873,87.9206,0.807136,11.5632,11.527,121.022,137.583,0.850992,-49.6619 
