cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.15,0,19041.8,-0.0170943,41.8289,11.3977,121.897,-0.029548,54.9872,500,-6.21033,-4.2442,-5.48647,-5.54145,-2.30475,88.9107,12144.7,33.7059,9306.82,15572.8,-6.77018,-4.80405,-6.60616,-6.10129,-2.8646,0.756646,12019.9,29.0872,9182.11,0.603515,0.995783,0.00580158,19916.6,-0.00259167,1.24744,11.5784,10.2882,121.759,89.6852,0.875918,11.7568,11.7251,120.813,139.829,0.945445,-50.1439 
1,43.205,1,13464.1,0.00232915,29.4678,12.0177,121.996,0.160301,-26.2995,6.53761e-11,-3.93637,-11.3869,-8.00509,-4.60446,-3.69629,105.324,9076.99,24.9789,6827.33,11665.5,-4.59957,-12.0501,-9.33149,-5.26766,-4.35949,0.737941,8929.26,19.5075,6679.61,0.60852,0.996191,0.005351,14673.7,-0.00248142,0.839882,12.15,10.9311,121.755,89.6634,0.556429,12.4264,12.7138,120.852,140.045,0.902685,-50.3811 
2,43.28,2,20703.9,0.046037,44.8671,11.3621,121.492,0.0135672,-35.8295,1.65694e-12,-8.54851,-7.97779,-4.93661,-11.1286,-3.00202,139.672,12984.5,32.7721,10025.4,16611,-9.42799,-8.85727,-6.69557,-12.0081,-3.8815,0.836176,12788.6,25.5164,9829.48,0.602044,0.99652,0.00475917,21241.9,-0.00238378,1.31934,11.558,10.3362,121.34,90.2988,0.94188,11.6057,11.8199,120.547,140.694,0.792134,-50.3948 
3,43.36,3,21199.3,0.0131267,45.1705,-11.7262,121.97,-0.0810678,105.643,500,-4.2318,-7.50941,-11.9035,-9.46834,-2.38286,182.681,13466.5,53.8202,10191.4,17521.6,-5.38209,-8.65971,-14.2041,-10.6186,-3.53315,0.66498,13210.3,44.3302,9935.16,0.607243,0.994162,0.00815238,21754.5,-0.00255805,1.34148,11.8366,10.3449,121.966,89.2206,0.925723,11.8662,11.9303,120.95,139.189,1.0159,-49.9689 
4,43.22,4,15628.3,-0.716779,36.2076,-11.6206,121.792,-0.149916,3277.13,452.711,-5.70452,-2.37486,-4.11434,-5.46895,-3.14331,99.3196,10323.5,19.2067,7749.5,29690.2,-6.32991,-3.00025,-5.36512,-6.09434,-3.7687,0.781536,10184.2,14.0472,7610.19,0.608775,0.997592,0.00338871,16728.9,-0.00264336,1.06753,11.6142,10.2411,121.611,89.4319,0.730991,11.7135,11.825,120.755,139.617,0.85607,-50.1852 
5,43.24,5,20230.5,-0.0271125,43.4231,11.6229,121.878,-0.056385,24.3868,500,-10.4141,-3.77789,-5.5501,-2.30432,-6.28705,171.934,12818.4,41.5001,9717.92,16474.4,-11.4967,-4.86052,-7.71535,-3.38695,-7.36967,0.778481,12577.2,32.5684,9476.76,0.606797,0.995489,0.00629087,20727.3,-0.00241917,1.27703,11.6998,10.4782,121.767,89.4757,0.882149,11.8049,11.9995,120.84,139.484,0.927014,-50.0079 
6,43.26,6,18214.7,-0.217269,41.6125,11.4376,121.831,0.0250825,110.925,0.00041063,-7.18368,-6.17925,-14.4622,-6.05656,-5.06237,160.103,11740.9,25.1685,9228.99,15584.2,-8.1918,-7.18738,-16.4784,-7.06469,-6.07049,0.633754,11516.3,16.8515,9004.43,0.597935,0.997446,0.0034356,19260.1,-0.00291213,1.20237,11.5358,10.3878,121.751,89.1477,0.864648,11.6445,11.876,120.805,138.925,0.945293,-49.7771 
7,43.24,7,19576.7,0.0109663,42.7278,11.6211,121.791,-0.0328522,-67.2434,9.10585e-11,-6.8634,-6.76663,-6.15422,-2.34281,-4.43939,196.29,12532.6,30.2311,9611.38,16236.1,-8.09939,-8.00261,-8.62619,-3.57879,-5.67538,0.746157,12257.3,20.0343,9336.06,0.604215,0.997148,0.00393741,20286.3,-0.00278189,1.26289,11.7948,10.3877,121.66,89.3989,0.876822,11.7681,11.9984,120.76,139.43,0.899648,-50.031 
8,43.06,8,20975.1,-0.0225703,45.5707,-11.5478,121.78,-0.0698983,115.467,500,-11.9011,-7.40141,-8.74558,-3.13084,-5.86431,223.962,13174.9,40.7235,10129.2,17393.6,-13.3113,-8.81164,-11.566,-4.54107,-7.27454,0.745827,12860.8,29.0891,9815.05,0.603744,0.996057,0.00542985,21301.7,-0.00258745,1.33237,11.7386,10.3541,121.646,89.014,0.932217,11.7334,11.9796,120.748,138.921,0.898593,-49.9071 
9,43.23,9,20414.7,-0.048176,44.0877,11.6312,121.83,-0.0340722,22.2167,499.712,-6.35019,-4.53826,-1.73071,-2.43358,-3.03621,136.728,13012.1,33.0667,9825.57,16717.8,-7.21113,-5.3992,-3.4526,-3.29452,-3.89715,0.851531,12820.4,25.9639,9633.8,0.607444,0.996468,0.0049401,21105.4,-0.00266782,1.28662,11.8342,10.4964,121.805,89.5051,0.880195,11.9192,12.1439,120.793,139.56,1.01241,-50.0546 
10,43.08,10,18637.8,-0.814527,41.9566,11.8506,121.78,-0.0655557,998.754,211.46,-4.82967,-6.84356,-8.69758,-7.91419,-8.44874,143.252,11821.7,27.862,9347.21,18317.2,-5.73168,-7.74558,-10.5016,-8.81621,-9.35076,0.750827,11620.7,20.4204,9146.29,0.596347,0.996934,0.00409591,19486.5,-0.00276685,1.22095,11.6439,10.2181,121.631,89.3819,0.881378,11.7093,11.7782,120.754,139.3,0.87614,-49.9185 
11,43.12,11,20133.6,-0.755943,44.6047,11.7265,121.843,0.986421,-334.235,45.5508,-5.79442,-3.45661,-10.8394,-2.36547,-4.60059,183.374,13083.8,32.1847,9367.6,27760,-6.94907,-4.61126,-13.1487,-3.52013,-5.75524,0.613096,12826.6,22.6588,9110.4,0.620796,0.996918,0.00456067,20661.5,-0.00258821,1.34889,11.5829,10.2719,121.699,89.7287,0.876459,11.6975,11.9176,120.899,139.732,0.800655,-50.0036 
12,43.18,12,16104.7,-0.0440194,35.834,-11.6018,121.705,0.0160508,7.8185,500,-4.81326,-6.16292,-3.57458,-6.8273,-8.24598,98.3316,10300.4,28.7954,8198.66,13537.8,-5.43243,-6.78208,-4.81291,-7.44647,-8.86514,0.855637,10162.5,23.6873,8060.74,0.594482,0.995938,0.00538407,17094.7,-0.0025913,1.01434,11.7934,10.6142,121.627,89.7402,0.742482,11.9318,12.0065,120.706,139.902,0.921132,-50.1618 
13,43.225,13,19111.8,-0.0993589,41.812,11.6033,121.817,0.200417,-30.667,9.80722,-2.5731,-6.35696,-11.5501,-3.3934,-3.33063,236.844,12107.1,44.0196,9365.1,15993.5,-4.06444,-7.8483,-14.5328,-4.88475,-4.82198,0.598011,11774.9,31.716,9032.9,0.602506,0.995308,0.00642637,19543.2,-0.00252553,1.2276,11.6923,10.3277,121.877,89.758,0.88051,11.6789,11.7706,120.852,139.828,1.02548,-50.0698 
14,43.3,14,19567.7,-0.676403,42.7718,11.7457,121.797,-2.03924,1634.26,497.408,-9.86317,-8.19453,-1.3437,-5.10203,-7.37477,156.838,12698.1,41.0722,9100.39,124843,-10.8507,-9.1821,-3.31883,-6.0896,-8.36233,0.912209,12478.1,32.9248,8880.41,0.62033,0.995404,0.00678342,20115.2,-0.00238968,1.31665,11.6433,10.1304,121.591,89.2004,0.860723,11.7815,11.6049,120.788,139.218,0.803103,-50.0176 
15,43.215,15,17039.5,-0.0248007,36.6651,11.8049,121.745,-0.0185681,-2.9867,6.36365e-07,-8.08016,-5.37328,-8.59549,-5.67123,-1.65157,191.421,10972.5,27.7792,8394.26,14091.8,-9.28549,-6.57861,-11.0062,-6.87656,-2.8569,0.699316,10704,17.8353,8125.77,0.605014,0.997093,0.00402696,17692.2,-0.00244216,1.08217,11.8036,10.5267,121.675,89.2772,0.735607,12.2008,12.0627,120.719,139.434,0.956324,-50.157 
16,43.27,16,19682.8,-0.73952,43.2853,11.8147,122.12,-0.800842,2578.64,275.563,-5.49192,-10.095,-4.13303,-10.2161,-1.92725,228.861,12660.9,35.0319,9354.34,83873.2,-6.933,-11.5361,-7.01519,-11.6571,-3.36833,0.826827,12339.9,23.143,9033.34,0.613664,0.996729,0.00469723,20108.6,-0.00254389,1.29274,11.6773,10.2879,122.027,89.1029,0.869755,11.8548,11.7575,121.106,139.212,0.921437,-50.1095 
