cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.165,0,18501.9,0.0128276,39.4959,11.6586,122.171,0.0885818,-128.297,500,-2.84472,-9.12567,-14.4869,-3.63857,-2.69476,113.752,11183.2,24.111,9401.16,15359.7,-3.56099,-9.84194,-15.9194,-4.35484,-3.41103,0.570769,11023.7,18.2018,9241.61,0.581066,0.997119,0.003615,18971.5,-0.00228587,1.11272,11.883,10.389,122.094,89.9834,0.849623,12.0276,11.8515,121.263,140.094,0.83024,-50.1104 
1,43.36,1,18366.1,-0.0447332,40.5735,11.5094,122.318,0.0877007,-68.38,500,-7.30712,-1.19419,2.14708,-3.96356,1.01811,138.355,11643.7,27.28,9135.66,15396.9,-8.1783,-2.06538,0.404705,-4.83475,0.14692,1.02786,11449.7,20.0927,8941.6,0.598224,0.996938,0.00412234,19139.4,-0.00262616,1.22075,11.5688,10.1329,122.202,89.546,0.862828,11.8345,11.5986,121.464,139.493,0.737756,-49.9469 
2,43.18,2,20480.6,-0.0461009,43.8219,11.6995,122.324,-0.0359395,17.2096,500,-5.30094,-7.33008,-7.86752,-4.37905,-2.14485,174.976,12643,30.8379,10161.3,16710.1,-6.40272,-8.43185,-10.0711,-5.48083,-3.24662,0.700561,12397.5,21.7483,9915.87,0.59247,0.996939,0.004024,20925.2,-0.00254453,1.25762,11.8245,10.3611,122.281,89.4456,0.927776,12.079,11.8002,121.369,139.47,0.912209,-50.0243 
3,43.08,3,19386.7,-0.190839,43.0721,11.5472,122.223,0.0146773,506.528,1.38644e-08,-7.39039,-9.05436,-12.3325,-3.2206,-5.5625,173.613,12325,30.7562,9686.46,16432.8,-8.48358,-10.1476,-14.5189,-4.31379,-6.65569,0.670919,12081.5,21.7374,9442.95,0.598022,0.996861,0.00422256,20202.5,-0.0028754,1.27128,11.5814,10.2938,122.132,89.3875,0.895831,11.8532,11.8613,121.286,139.488,0.846129,-50.1004 
4,43.235,4,15581.5,-0.115551,35.7605,11.604,122.307,0.00650041,118.849,1.89513,-6.84813,-7.5211,-11.3344,0.527397,2.9559,245.442,10123.7,28.3497,8205.89,13533.6,-8.39362,-9.06659,-14.4253,-1.01809,1.41041,0.541954,9779.43,15.5994,7861.64,0.591244,0.997216,0.00364188,16540.4,-0.0028873,1.01847,11.744,10.3861,122.092,89.2492,0.746738,11.9499,11.9699,121.451,139.368,0.641462,-50.1185 
5,43.215,5,13284.2,0.000109119,31.3319,-11.427,122.268,-0.0203819,2.48063,1.05323e-10,1.27279,-8.50209,-11.8064,-3.15084,1.5218,215.903,8475.05,2.47044,7412.86,11656.7,-0.0866961,-9.86157,-14.5254,-4.51032,0.162322,0.496025,8172.22,-8.74529,7110.04,0.57201,1.00188,-0.00227092,14286.9,-0.00277735,0.885556,11.5468,10.2569,122.245,89.8985,0.700377,11.7953,11.6784,121.262,139.973,0.982999,-50.0745 
6,43.25,6,14587.6,-0.833974,34.4538,11.9418,122.236,0.387904,-292.035,46.0146,-4.01863,-0.0114354,-8.54546,-2.96356,-3.64318,213.642,9598.52,23.4246,7564.33,17081.4,-5.36387,-1.35668,-11.236,-4.3088,-4.98842,0.587728,9298.86,12.3263,7264.68,0.598133,0.997686,0.00311584,15546.5,-0.0029408,0.974642,11.7316,10.4306,121.977,89.423,0.707599,12.0159,11.8008,121.3,139.271,0.676591,-49.8476 
7,43.28,7,17149.6,-0.018135,38.9816,11.4501,122.276,-0.0151749,15.7437,4.27934e-11,-8.45358,-3.90392,-8.90059,-6.31069,-0.646451,274.281,11025.4,24.8475,8965.66,14537.8,-10.1807,-5.63099,-12.3547,-8.03776,-2.37352,0.679744,10640.7,10.5991,8580.95,0.590483,0.99826,0.00227019,18020.3,-0.00293464,1.13986,11.6795,10.149,122.127,89.3699,0.848304,11.8805,11.4899,121.172,139.336,0.954263,-49.9665 
8,43.2,8,15701,-0.149319,35.6304,11.7003,122.328,0.123767,109.851,500,-3.16891,-6.75062,-12.0467,-7.29109,-0.728435,237.519,10321.9,18.2087,8119.05,14013.6,-4.66451,-8.24622,-15.0379,-8.78668,-2.22403,0.614011,9988.78,5.87,7785.9,0.59868,0.998973,0.00138688,16684.7,-0.00289206,1.03729,11.7261,10.3743,122.182,89.3209,0.762016,12.0333,11.6017,121.402,139.349,0.780461,-50.0278 
9,43.14,9,17717.7,-0.769732,39.8112,11.8321,121.994,0.755827,42.3898,198.208,-5.76546,-0.288498,-14.9772,-3.46689,-0.890643,219.656,10990.4,27.429,9218.84,16377.2,-7.14857,-1.67161,-17.7435,-4.85001,-2.27376,0.473291,10682.3,16.0183,8910.75,0.582284,0.997383,0.00330052,18345.6,-0.00267175,1.15837,11.5775,10.0694,121.802,89.7654,0.874542,11.8094,11.54,120.939,139.864,0.862331,-50.0989 
10,43.17,10,18150.3,-0.344898,40.0977,11.8963,122.244,0.109407,290.369,0.0117043,-5.53737,-2.91652,-3.45075,-3.42617,1.8613,159.639,11183.7,28.0325,9621.9,16562.6,-6.54257,-3.92172,-5.46115,-4.43138,0.856094,0.719951,10959.8,19.7396,9397.99,0.575558,0.996858,0.00385425,19042.1,-0.00284858,1.12379,11.8693,10.2479,122.2,89.5171,0.866819,12.2003,11.8472,121.263,139.639,0.936825,-50.1223 
11,43.205,11,17229.8,-0.80317,38.8245,-11.9857,122.512,2.169,171.236,76.6139,-4.31872,-1.80266,-14.7433,-3.34393,-1.19195,187.131,11101.6,26.486,8739.33,27239,-5.49704,-2.98098,-17.0999,-4.52224,-2.37026,0.47337,10839.2,16.7649,8476.86,0.597882,0.997301,0.00362996,18129.3,-0.00277929,1.10043,11.8338,10.4858,122.36,89.8561,0.7795,12.0013,12.0993,121.487,140.091,0.873151,-50.2354 
12,43.1,12,17602.8,-0.848794,40.4748,11.825,122.279,-0.422471,959.265,285.963,-6.97067,-1.84056,-7.20199,-3.79684,-1.88916,194.088,11393.8,37.8554,8944.56,28773.1,-8.19279,-3.06268,-9.64623,-5.01896,-3.11128,0.667737,11121.6,27.7729,8672.33,0.598586,0.995649,0.00586469,18579.8,-0.00289638,1.21249,11.6319,9.94946,122.178,89.4811,0.860976,11.7491,11.4291,121.178,139.332,0.99964,-49.8505 
13,43.16,13,17737.7,-0.0343222,40.0418,11.4323,122.251,0.0303906,17.2733,500,-5.98935,-3.90706,-4.37939,-8.58693,-9.3019,241.648,10807,25.7579,9472.95,14919,-7.51094,-5.42866,-7.42257,-10.1085,-10.8235,0.820252,10468.1,13.2048,9134.01,0.571299,0.997797,0.002656,18323.4,-0.00267224,1.12414,11.4466,10.2329,122.06,89.6576,0.897152,11.706,11.6934,121.18,139.707,0.8805,-50.049 
14,43.06,14,16125.5,-0.0562473,37.5995,11.2105,122.291,-0.00128201,27.3669,500,-4.94558,-10.406,-9.41842,-7.01925,-5.01764,238.735,10458.3,22.9715,8298.99,13722.7,-6.44883,-11.9092,-12.4249,-8.5225,-6.52089,0.728869,10123.5,10.5697,7964.14,0.596458,0.998176,0.0024388,16972.6,-0.00280401,1.11728,11.3359,10.1141,122.165,89.5569,0.80669,11.6337,11.5559,121.298,139.396,0.86712,-49.8389 
15,43.185,15,15401.6,-0.127045,35.9321,11.4202,122.383,0.124847,38.5791,499.996,-2.52867,-6.61962,-15.9601,-11.5307,-8.73992,219.346,9811.98,24.2411,8396.2,13515.1,-3.90983,-8.00079,-18.7224,-12.9118,-10.1211,0.651131,9504.32,12.8464,8088.55,0.577403,0.99764,0.00291715,16460.5,-0.00293823,1.02299,11.6195,10.1748,122.235,90.2511,0.816444,11.6229,11.4439,121.421,140.353,0.814315,-50.1021 
16,43.3,16,19056.8,0.0196135,41.8655,11.4995,122.21,-0.0583953,88.4977,1.04566,-1.52607,-8.41829,-10.1511,-1.53678,-7.83166,185.439,12138.8,33.49,9512.79,15840.4,-2.69372,-9.58595,-12.4864,-2.70444,-8.99931,0.657624,11878.7,23.8568,9252.69,0.598845,0.996498,0.00472716,19836,-0.0027403,1.25024,11.7023,10.1511,122.057,89.7041,0.883988,11.9917,11.6098,121.149,139.648,0.908465,-49.9436 
17,43.19,17,16097,-0.777128,36.8217,11.8891,122.114,1.39911,-50.2604,88.3742,-2.17714,-0.35039,-8.49105,-6.76526,-5.28161,152.584,10348.7,7.6484,8319.11,16540.3,-3.13792,-1.31117,-10.4126,-7.72604,-6.24239,0.638829,10134.7,-0.278058,8105.1,0.592497,1.00005,-6.32003e-05,17105.1,-0.00287852,1.07238,11.7957,10.1087,121.901,89.7986,0.789012,11.9532,11.596,120.976,139.679,0.924543,-49.8805 
18,43.27,18,14597.6,-0.0359606,33.7999,11.5625,122.204,0.0212738,-44.4438,3.04614e-11,-6.11275,-6.00126,-9.78843,-1.39357,-1.25087,134.623,9032.89,17.4313,8286.69,12753,-6.96044,-6.84895,-11.4838,-2.24125,-2.09856,0.612466,8844.07,10.4379,8097.87,0.559459,0.997939,0.00236879,15808.2,-0.00281485,0.930128,11.6096,10.2446,122.021,89.9447,0.767087,11.8682,11.7916,121.097,140.17,0.924314,-50.2249 
19,43.225,19,14625.7,-0.0358792,32.5269,11.8151,122.312,-0.00337132,2.78392,500,-4.05409,-2.0767,-14.5621,-6.19756,-4.76782,120.111,9457.77,24.0113,7698.96,12510.8,-4.8104,-2.83301,-16.0747,-6.95387,-5.52413,0.555899,9289.31,17.7718,7530.49,0.589216,0.996663,0.0043285,15765.5,-0.00268469,0.93121,11.9549,10.4533,122.141,90.355,0.677902,12.1679,12.1402,121.391,140.746,0.750357,-50.391 
20,43.32,20,17825.1,-0.095247,41.1419,11.2308,122.532,0.0320295,3.46949,1.67077e-07,-9.36771,-6.85159,-9.14903,-0.981087,-6.12308,170.729,11718.1,27.7036,8679.15,15045.1,-10.4427,-7.92662,-11.2991,-2.05612,-7.19812,0.709704,11478.7,18.8346,8439.68,0.612627,0.997137,0.00409414,18736.8,-0.00280024,1.26527,11.3401,10.0361,122.521,89.9612,0.850889,11.4761,11.6054,121.479,140.044,1.04183,-50.0824 
21,43.12,21,17552.6,-0.701447,40.656,11.5175,122.349,-0.339098,871.709,0.000252024,-5.14423,-8.769,-7.91398,-4.91985,-6.44619,185.453,11125.3,20.1865,9038.58,24865.8,-6.31199,-9.93675,-10.2495,-6.0876,-7.61394,0.745036,10865.1,10.5525,8778.46,0.590028,0.998303,0.00220949,18414.6,-0.00279364,1.18085,11.3878,10.2014,122.245,89.9092,0.870087,11.6461,11.5181,121.45,139.898,0.795271,-49.9892 
22,43.195,22,16530.1,0.00995018,36.9747,11.666,122.378,-0.0220841,1.74827,6.18654e-12,-7.41483,-4.55877,-10.2129,-4.11821,-6.81644,149.778,10371.2,35.7624,8777.61,14043.1,-8.35794,-5.50188,-12.0991,-5.06132,-7.75955,0.688005,10161.1,27.9817,8567.53,0.579669,0.995204,0.00598037,17529.2,-0.00277511,1.04361,11.7919,10.3417,122.073,89.851,0.797982,11.9813,11.9068,121.334,139.877,0.738792,-50.0263 
23,43.26,23,16324.5,-0.830652,37.258,-12.0455,122.325,0.466901,1.95,14.3944,-4.94476,-2.48885,-5.00898,0.836451,-3.01611,145.56,10290.4,0.44899,8656.79,14639.3,-5.86132,-3.40541,-6.84209,-0.080104,-3.93267,0.659963,10086.3,-7.11259,8452.62,0.581156,1.00124,-0.00155247,17355.5,-0.00283985,1.02809,11.9231,10.387,122.053,89.9551,0.791102,11.953,11.8614,121.167,139.969,0.886095,-50.0138 
24,43.23,24,13880.8,-0.0577933,31.8969,-11.7091,122.322,-0.0500881,-51.0885,500,-6.61768,-3.06945,-8.53363,-5.60367,-5.43157,171.678,9177.26,12.3802,7401,12241.4,-7.6987,-4.15046,-10.6957,-6.68468,-6.51258,0.700755,8936.47,3.46185,7160.2,0.592045,0.999323,0.000889837,15094.2,-0.00287165,0.912436,11.8267,10.5196,122.068,89.6719,0.660307,12.1909,11.9832,121.316,139.859,0.752786,-50.1873 
25,43.175,25,17866.4,-0.775189,40.1951,11.8418,122.136,-3.1966,-5289.54,499.952,-0.0915068,-6.30878,-11.5401,0.200024,-5.04202,119.328,11465.6,14.5829,8825.96,565923,-0.842885,-7.06016,-13.0429,-0.551354,-5.7934,0.522076,11298.3,8.38398,8658.59,0.602746,0.998703,0.00178051,18744.6,-0.00269381,1.17972,11.7143,10.2257,121.866,89.712,0.835412,11.8411,11.6293,120.981,139.761,0.885063,-50.0489 
26,43.34,26,17837,-0.247892,40.647,11.6067,122.028,0.0686549,-32.0972,0.466064,-4.25046,-6.26288,-14.6728,-0.370573,-4.1181,129.163,11385.6,20.1977,9054.69,15429.7,-5.06377,-7.07619,-16.2995,-1.18388,-4.93141,0.5283,11204.4,13.4879,8873.53,0.594851,0.997898,0.00279222,18835.6,-0.00289303,1.18273,11.7462,10.0832,122.01,89.7205,0.873656,11.7898,11.5218,121.098,139.771,0.911667,-50.0506 
27,43.24,27,15335.2,-0.463659,34.5518,11.9056,122.134,0.112518,546.839,500,-6.3732,-7.18825,-11.1032,-6.75553,-4.32827,148.467,9602.31,17.3166,8075.8,15394.1,-7.30805,-8.1231,-12.9729,-7.69039,-5.26312,0.686323,9394.07,9.60401,7867.56,0.58131,0.998214,0.00224363,16160.2,-0.00255501,0.959867,11.9783,10.3211,121.905,89.8916,0.721085,12.0012,12.1031,121.025,139.987,0.880185,-50.0959 
28,43.38,28,18188.4,-0.0321271,40.4211,-11.5892,122.061,0.00385492,12.4497,500,-4.11676,-2.0965,2.45062,-6.12966,-3.92318,131.949,11283.9,22.0934,9371.17,15251.1,-4.94761,-2.92735,0.788919,-6.96051,-4.75403,1.04196,11098.9,15.2389,9186.1,0.584184,0.997603,0.00304657,18998.9,-0.0026757,1.14302,11.6885,10.3669,121.841,90.3168,0.869848,11.8944,11.7476,121.153,140.596,0.687945,-50.2797 
29,43.21,29,16014.3,-0.844292,36.0867,-12.2926,122.48,3.87955,-755.255,403.687,-6.04591,-2.12087,-8.29247,-4.23583,-0.722456,162.915,10479.8,17.8813,8232.66,109823,-7.07174,-3.1467,-10.3441,-5.26166,-1.74829,0.624839,10251.2,9.41816,8004.16,0.59827,0.998395,0.00216284,17134.8,-0.00299318,1.01708,12.1025,10.5375,122.207,90.1364,0.728811,12.3747,11.9867,121.405,140.25,0.802137,-50.1135 
30,43.22,30,13996.7,-0.00645747,31.7301,-11.563,122.424,-0.0034234,5.54977,6.50904e-12,-2.19451,-4.38985,-7.03471,-3.00693,-4.9716,156.888,9007.39,26.0595,7329.67,11944.2,-3.18239,-5.37773,-9.01048,-3.99482,-5.95949,0.672643,8787.34,17.9094,7109.62,0.58969,0.996446,0.00461891,14901.6,-0.00252404,0.910116,11.8552,10.3041,122.247,89.1251,0.687653,11.764,11.7924,121.331,138.968,0.916572,-49.8428 
31,43.03,31,18432,-0.010569,40.4827,11.5321,122.157,0.019121,-98.232,3.98115e-11,-3.27288,-5.5925,-2.74356,-4.49371,-5.07652,178.252,11522.6,23.2135,9180.77,15258.7,-4.39529,-6.7149,-4.98837,-5.61612,-6.19892,0.821292,11272.6,13.9537,8930.75,0.594765,0.997838,0.0028699,18953,-0.00249142,1.17913,11.7169,10.2274,122.041,90.3429,0.861153,11.796,11.732,121.225,140.422,0.815857,-50.0796 
32,43,32,19834.6,0.0284644,43.3093,11.5148,122.382,0.0134303,-24.1709,499.803,-5.02547,-2.9032,-4.60446,0.130245,-2.89003,142.89,12234.9,41.0676,9931.48,16244.8,-5.92521,-3.80293,-6.40394,-0.769495,-3.78977,0.690502,12034.5,33.6448,9731.06,0.589833,0.995131,0.0063287,20403.2,-0.00251549,1.27722,11.6223,10.0738,122.155,90.1568,0.949906,11.6878,11.5706,121.476,140.308,0.679083,-50.1508 
33,43.41,33,20357.6,-0.6273,44.6475,11.762,122.271,0.124988,1121.37,0.0225483,-8.19907,-3.377,-7.92751,-4.32164,-3.91826,203.731,12307.9,31.7703,10373.4,21657.7,-9.4819,-4.65984,-10.4932,-5.60448,-5.2011,0.703921,12022.2,21.1869,10087.7,0.58085,0.996925,0.00385402,20697.6,-0.00243185,1.23372,11.7936,10.2977,122.158,90.1682,0.977204,11.701,11.668,121.287,140.198,0.870178,-50.0297 
34,43.41,34,20860.6,-0.306679,44.5164,11.8047,122.076,0.119548,245.63,497.901,-1.58641,-4.66192,-8.80556,-4.25093,-3.16903,154.103,12731.9,41.3142,10303.3,18062.8,-2.55676,-5.63227,-10.7463,-5.22128,-4.13938,0.620219,12515.8,33.3088,10087.1,0.590626,0.995364,0.00604605,21190.7,-0.00237222,1.2832,11.8663,10.2091,121.933,89.4277,0.960234,11.9202,11.6309,121.111,139.35,0.821777,-49.9224 
