cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.01,0,3.67121e-07,7.78629e-07,1.07501e-29,16.224,0.471496,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.216546,1.0976e-30,-7.49376e-14,42137.9,58230.7,1.28706,20.8812,1.25768,20.4047,1.42976,0.0066,1.41619,6.683e-06 
1,0.01,1,3.59148e-07,7.45246e-07,1.02892e-29,15.5284,0.481918,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.157773,7.82328e-31,2.44516e-13,36947.1,53111.5,1.31686,20.4488,1.27844,19.8521,1.37223,0.0066,1.38948,6.683e-06 
2,0.01,2,3.45597e-07,7.60261e-07,1.04965e-29,15.8413,0.454577,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.315164,1.5038e-30,3.18502e-15,39225.6,55096.1,1.23941,19.6339,1.22454,19.3983,1.52695,0.0066,1.40357,6.683e-06 
3,0.01,3,3.53595e-07,7.674e-07,1.05951e-29,15.99,0.46077,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.278587,1.36003e-30,4.69053e-13,40341,57044.8,1.25674,20.0953,1.23659,19.7731,1.4908,0.0066,1.475,6.683e-06 
4,0.01,4,3.69445e-07,7.41412e-07,1.02363e-29,15.4485,0.498298,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0681709,3.47722e-31,1.89608e-13,36379.9,51273.3,1.36434,21.0771,1.31158,20.262,1.28506,0.0066,1.41769,6.683e-06 
5,0.01,5,3.61969e-07,7.22178e-07,9.97076e-30,15.0478,0.501219,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0525584,2.62662e-31,1.85152e-13,33621.3,47868,1.37292,20.6594,1.31755,19.8262,1.26997,0.0066,1.40492,6.683e-06 
6,0.01,6,3.61965e-07,7.50285e-07,1.03588e-29,15.6334,0.482436,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.154889,7.7405e-31,6.98676e-14,37701.7,52266.4,1.31835,20.6103,1.27948,20.0026,1.36942,0.0066,1.43199,6.683e-06 
7,0.01,7,3.80491e-07,7.35433e-07,1.01538e-29,15.3239,0.517371,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0322541,-1.69439e-31,1.10019e-13,35506.7,51039,1.42053,21.7681,1.35095,20.7019,1.18804,0.0066,1.37043,6.683e-06 
8,0.01,8,3.42457e-07,7.82629e-07,1.08054e-29,16.3074,0.437573,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.418645,1.97941e-30,-2.82101e-14,42790.7,58654.1,1.19248,19.4462,1.19193,19.4372,1.62985,0.0066,1.4598,6.683e-06 
9,0.01,9,3.73625e-07,7.66134e-07,1.05776e-29,15.9637,0.487676,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.125906,6.4948e-31,1.03649e-12,40141.8,61157.1,1.33347,21.287,1.29002,20.5934,1.34116,0.0066,1.37906,6.683e-06 
10,0.01,10,3.44282e-07,8.16428e-07,1.1272e-29,17.0116,0.421693,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.519718,2.47039e-30,7.41202e-13,48577.6,69275.2,1.14961,19.5567,1.16212,19.7695,1.73135,0.0066,1.47192,6.683e-06 
11,0.01,11,3.86721e-07,7.19851e-07,9.93862e-30,14.9993,0.537224,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.132813,-7.09125e-31,2.55832e-13,33297.3,48167.8,1.47987,22.1969,1.39282,20.8913,1.09148,0.0066,1.40668,6.683e-06 
