cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,46.6742,1.5,10,16242.5,-0.0446414,27.5676,13.2122,114.15,-0.00299342,4.11103,500,-2.34242,-3.0951,4.04662,0.181271,-0.877077,138.737,109.409,-9.3449,15216,11857.2,-3.21601,-3.96869,2.29944,-0.692317,-1.75066,1.31378,-85.183,-16.552,15021.4,-0.00537855,0.746244,-0.00203393,15837.5,0.00148219,-0.0381998,-8.85444,36.2674,94.1979,108,1.129,13.6709,12.3582,113.011,133.723,-18.813,-25.7232 
11,46.6742,3,11,15449.5,-0.069894,25.3091,-13.5727,114.152,-0.32263,902.141,72.2173,-2.39203,1.43383,-2.90232,-0.100951,-3.28208,145.313,465.581,0.361547,14139.9,20657.4,-3.30703,0.518829,-4.73232,-1.01595,-4.19708,0.628358,261.765,-7.1872,13936.1,0.0174115,1.05047,-0.000950924,15034,0.00076916,0.0312754,10.4755,17.0015,120.102,86.872,1.02945,13.6265,12.3387,113.322,133.187,6.78025,-46.3153 
12,46.6742,8,12,14573.4,0.00834214,24.1666,13.4419,114.404,-0.00537236,-12.5323,4.01488e-12,-4.55242,-1.65208,0.42476,1.3878,-2.69623,86.6104,1204.97,-7.34794,12619,10576.9,-5.09778,-2.19744,-0.665965,0.842437,-3.2416,0.93572,1083.49,-11.8472,12497.5,0.0756056,1.01951,-0.0017493,14330.9,0.000632141,0.0854249,13.5114,12.8265,117.288,84.0866,0.899162,13.4308,12.8363,113.39,133.255,3.89844,-49.1682 
13,46.6742,9,13,15257.1,0.0342745,24.5433,13.7459,114.259,-0.00994783,-27.932,0.0307622,0.417811,2.02012,-2.72543,1.92476,-1.55538,24.6663,973.06,5.71233,13279.2,10991.5,0.262494,1.8648,-3.03606,1.76944,-1.7107,-2.57175,938.464,4.43097,13244.6,0.062657,0.991805,0.000615893,14977.8,0.000875799,0.068898,12.3971,13.0766,117.899,84.5379,0.931517,13.8193,12.7126,113.359,133.25,4.53949,-48.7118 
14,46.6742,6,14,15637.9,-0.11905,25.8058,13.6861,114.244,0.0651804,43.1146,28.0359,-0.0325968,0.137844,-6.22195,-0.917614,-1.65438,84.0701,1050.46,4.29551,13627.2,11588.7,-0.561964,-0.391524,-7.28069,-1.44698,-2.18374,0.386367,932.544,-0.0717683,13509.3,0.061141,1.00013,-9.78632e-06,15252.4,0.000791222,0.0732435,13.0096,12.3548,117.322,84.326,0.928472,13.8593,13.1245,113.256,133.24,4.06618,-48.9142 
15,46.6742,4,15,13430.6,-0.073529,21.9995,13.6399,114.19,-0.281656,380.706,10.2295,-2.83762,2.2214,-2.4951,-3.68095,-2.43226,89.7579,796.368,-5.09739,11897.1,13259,-3.4028,1.65621,-3.62546,-4.24613,-2.99744,0.712621,670.473,-9.76014,11771.2,0.0509944,1.02614,-0.00152972,13148,0.000604158,0.0499146,13.6192,13.8212,117.73,84.1856,0.847136,13.8599,12.5038,113.262,133.132,4.46827,-48.946 
16,46.6742,2,16,14746.2,0.00475429,24.8829,13.1935,114.152,-0.0102684,-2.13674,6.84988e-13,1.30849,2.02728,-1.78489,-2.22067,2.15323,185.94,221.631,-6.50987,13676.1,10687.8,0.13767,0.856466,-4.12652,-3.39149,0.98241,0.255337,-39.1683,-16.1691,13415.3,-0.00276203,0.580579,-0.00222519,14181,-0.000832257,0.0157436,-14.6363,433.628,121.047,108,1.01858,13.2469,12.2017,113.205,132.906,7.84188,-24.9063 
17,46.6742,5,17,15494,0.00769959,24.9958,13.7378,114.274,-0.00551667,0.227669,1.458e-11,2.4003,-1.02809,-1.11899,-0.173088,3.01343,122.865,1041.16,0.858886,13382.3,11178.4,1.62666,-1.80174,-2.66628,-0.946734,2.23979,-0.722059,868.826,-5.52369,13209.9,0.0584228,1.01125,-0.000770864,14871.4,0.000931729,0.0638241,13.6663,13.8914,117.064,83.6574,0.910352,13.9521,12.9772,113.305,133.093,3.75935,-49.4354 
18,46.6742,7,18,13266.6,-0.0780356,21.602,13.7496,114.304,-0.00690725,22.8485,449.351,-2.51669,-2.61603,1.42695,0.043464,-1.36495,68.7821,882.588,-2.56905,11609.6,9674.11,-2.94979,-3.04913,0.560747,-0.389639,-1.79806,1.07353,786.114,-6.14215,11513.1,0.0605167,1.01386,-0.000983712,12990,0.000645526,0.0651635,12.6016,13.0875,118.414,84.0717,0.809231,13.767,12.8245,113.201,133.681,5.21373,-49.6093 
19,46.6742,10,19,15256.7,-0.0695866,24.3039,13.9603,114.556,-0.150644,126.306,131.1,-4.84632,-4.3251,-1.26474,-1.63746,2.11773,75.7301,1266.94,10.4169,12921.6,11664.4,-5.32318,-4.80195,-2.21844,-2.11431,1.64088,0.826914,1160.73,6.48287,12815.4,0.0787198,0.990321,0.000930991,14745,0.00100235,0.0854358,13.9899,13.0023,117.579,84.0332,0.888242,13.8339,12.8187,113.511,133.458,4.06862,-49.4252 
60,46.6742,1.5,60,15906.3,-0.0460848,20.1713,16.8286,111.643,0.0071691,18.404,2.71981e-13,-2.04816,-1.8145,-6.22243,-3.02309,2.43738,-108.443,201.162,-9.93463,14414.1,11054.7,-1.36532,-1.13167,-4.85676,-2.34025,3.12022,0.261192,353.264,-4.30122,14566.3,0.0223677,1.02177,-0.000544245,15793.5,0.00224285,-0.00424005,5127.63,13.0088,106.279,100.283,0.864855,15.9981,12.2904,110.498,133.121,-4.21923,-32.8377 
61,46.6742,3,61,15047.8,-0.0175193,24.4713,-13.438,114.32,0.0377049,-11.3061,59.9562,-7.47046,-0.32896,-5.87684,-1.425,0.400732,-65.5879,591.923,3.38173,13163.4,10718.9,-7.05747,0.0840296,-5.05086,-1.01201,0.813721,0.58676,683.917,6.7889,13255.3,0.0464157,0.982925,0.000942569,14734.6,0.00122891,0.0321797,12.2177,17.993,120.611,85.8687,0.983824,13.4005,12.157,113.326,132.146,7.28582,-46.2774 
62,46.6742,8,62,14954.9,-0.0230969,23.1719,14.1319,114.017,0.0114999,-5.16084,5.44888,-1.67798,-3.58073,-1.77897,-1.71216,-5.48917,-76.6987,1128.76,3.82227,12796.2,10661.9,-1.19503,-3.09778,-0.813072,-1.22921,-5.00622,0.928309,1236.34,7.80662,12903.8,0.0828958,0.989071,0.00111321,14914.4,0.00104671,0.072353,13.3232,12.6983,116.797,84.1921,0.867238,14.2381,12.6743,113.098,133.506,3.6998,-49.3135 
63,46.6742,9,63,16949.9,-0.0386319,27.2507,13.6715,114.134,0.011681,-30.213,171.412,3.18811,-1.6363,-4.89082,-0.768766,-2.96564,-197.719,940.061,16.8428,14656.1,12139.5,4.4331,-0.391315,-2.40085,0.476221,-1.72065,7.05502,1217.38,27.1139,14933.5,0.0714139,0.962486,0.00333347,17046.8,0.00127837,0.0602127,11.9786,15.2989,117.49,84.3477,1.03533,13.7562,12.5639,113.161,132.552,4.32871,-48.2047 
64,46.6742,6,64,16790.3,-0.0453427,26.7017,13.8513,114.526,0.00932247,-13.54,0.729508,0.00607892,-2.78262,-0.911678,-1.42301,-2.27097,-118.167,1286.79,-0.474139,14236.2,12044,0.750146,-2.03856,0.576455,-0.678942,-1.52691,1.19756,1452.53,5.66441,14402,0.0868808,0.993222,0.000723991,16718.6,0.00118917,0.0829742,13.075,13.4579,117.103,84.8254,0.97085,13.9332,12.9115,113.617,133.917,3.48627,-49.092 
65,46.6742,4,65,14886.2,-0.0273112,23.7895,13.7874,114.521,0.00590101,3.39634,4.67061e-11,3.80436,-1.09755,-1.45392,1.23309,4.35182,-38.4272,982.832,0.0636717,12790.1,10677.9,4.04633,-0.855588,-0.969987,1.47505,4.59379,1.11701,1036.73,2.05989,12844,0.0707599,0.996535,0.000295345,14651.4,0.0009923,0.0572215,13.4155,14.7028,117.589,84.1449,0.877495,13.8855,12.9154,113.556,133.271,4.03266,-49.1256 
66,46.6742,2,66,15986.2,-0.0453267,26.5031,13.296,113.739,-0.00686117,13.5587,251.215,-0.0357901,-3.39919,2.93127,-5.70347,-3.1428,-2.96606,241.687,2.71541,14534.8,11474.3,-0.0171136,-3.38051,2.96862,-5.68479,-3.12412,1.32135,245.848,2.86949,14538.9,0.015702,0.979983,0.000363436,15657.1,-0.000592218,0.0180391,14.1451,10214.6,120.125,99.365,1.08386,13.2649,12.0255,112.708,132.468,7.41751,-33.1027 
67,46.6742,5,67,13567.7,-0.0218954,21.7865,13.6412,114.358,-0.0107,21.0462,194.456,-1.0685,-2.97541,3.02277,-0.280225,-0.821037,0.500205,1060.27,-4.19563,11539.5,9681.95,-1.07165,-2.97856,3.01647,-0.283375,-0.824187,2.40871,1059.56,-4.22161,11538.8,0.0797225,1.00702,-0.000674414,13290.7,0.000936508,0.0671561,12.7622,13.25,117.088,84.0885,0.804807,13.8442,12.737,113.51,132.917,3.57843,-48.8282 
68,46.6742,7,68,14266.4,-0.00659159,23.366,13.4429,113.887,-0.00278413,6.03555,1.29879e-10,-4.69227,-5.10742,-7.89297,-0.677439,1.15579,-25.725,1037.27,3.05231,12295.8,10225.8,-4.53029,-4.94544,-7.56901,-0.515456,1.31778,0.533997,1073.36,4.38867,12331.9,0.0758814,0.992896,0.000655138,14145.2,0.000810067,0.064337,13.4241,13.8003,116.773,84.3963,0.876707,13.677,12.6489,113.03,133.104,3.74329,-48.7075 
69,46.6742,10,69,16619.5,-0.0104594,26.2788,13.7824,114.364,-0.00923756,-4.28573,72.2488,-1.47253,1.02282,-0.975372,-0.46613,-1.60847,-42.0317,1336.74,16.9322,14090.9,11791.7,-1.20786,1.28749,-0.446047,-0.201467,-1.3438,0.766675,1395.69,19.1156,14149.9,0.0851312,0.976593,0.00248239,16394.6,0.00100401,0.0977201,13.216,12.5933,117.167,83.8584,0.990287,13.9117,12.5916,113.34,132.961,3.82752,-49.1027 
110,46.6742,1.5,110,13792.4,-0.0302967,22.7501,13.3198,114.463,-0.0186011,19.9085,476.045,1.78527,-2.70751,-3.45124,2.45453,-2.15075,-0.464587,122.707,-3.33816,12645.6,9876.6,1.78819,-2.70459,-3.44539,2.45746,-2.14782,0.149738,123.359,-3.31403,12646.2,0.00911854,1.04933,-0.00048297,13528.3,0.00111145,-0.0131679,9.36095,7.94271,109.739,80.669,0.923504,13.4768,12.4198,113.751,132.717,-4.01185,-52.048 
111,46.6742,3,111,13427.9,-0.0128041,21.9573,13.6227,114.686,0.0215358,-10.7317,500,0.0190699,-1.44804,0.325345,-0.705544,1.23797,65.9917,473.583,-2.8327,11977.8,9744.8,-0.396463,-1.86357,-0.50572,-1.12108,0.822433,0.834969,381.023,-6.26084,11885.3,0.029356,1.02961,-0.000971314,12979.4,0.000956412,0.0290718,10.717,15.9302,119.754,87.4696,0.848369,13.7969,12.5006,113.746,132.765,6.00769,-45.2956 
112,46.6742,8,112,14355.9,-0.0887397,23.4623,13.7197,114.628,0.0565639,-15.8935,466.188,-0.359159,2.6852,0.575445,-2.80198,-1.66003,-3.53582,1315.79,1.40621,12092.8,10508,-0.336894,2.70746,0.619973,-2.77971,-1.63777,1.43448,1320.75,1.58989,12097.8,0.0933764,0.997898,0.000242031,14144.4,0.000996204,0.0810098,13.3311,13.9405,117.451,83.2466,0.860333,13.5818,12.5844,113.582,132.761,3.86887,-49.5146 
113,46.6742,9,113,15530,-0.0905021,25.2461,13.7684,115.088,0.045279,19.224,217.14,1.56225,3.42009,-6.70229,1.74243,-4.12881,40.8571,1085.46,11.2713,13290.8,11343.8,1.30498,3.16283,-7.21682,1.48517,-4.38608,-0.277332,1028.15,9.14889,13233.5,0.0682899,0.984667,0.00127191,15055.7,0.0012117,0.0710961,13.9122,12.4686,117.448,82.8476,0.894161,13.84,13.0233,114.056,132.186,3.39147,-49.3379 
114,46.6742,6,114,14505.1,-0.0859092,23.1371,14.0387,114.802,0.00519696,4.35138,14.0962,2.03205,-3.52608,-0.174173,-2.54175,-1.13846,-3.01742,1223.8,12.9573,12228.4,10574.5,2.05105,-3.50708,-0.136174,-2.52275,-1.11946,0.973985,1228.04,13.1141,12232.7,0.086514,0.981655,0.00197094,14194.7,0.00109919,0.0808305,13.996,12.4582,117.042,83.0439,0.820523,13.9776,12.9398,113.72,132.349,3.32218,-49.305 
115,46.6742,4,115,14866.8,-0.0990531,24.5272,13.6242,115.016,0.159157,-50.3169,3.49114,0.359673,-1.54593,3.31266,-0.497208,-1.17919,-46.6134,1016.11,19.1307,12656.5,11138.8,0.653185,-1.25241,3.89968,-0.203695,-0.885682,-0.763703,1081.49,21.5522,12721.9,0.0742443,0.966301,0.003111,14566.7,0.0011237,0.0617239,13.0201,14.3766,117.511,83.6582,0.853599,13.809,13.153,114.061,132.691,3.45004,-49.0325 
116,46.6742,2,116,14580.5,-0.0180992,24.0015,13.5997,114.272,0.00218357,-1.07979,0.000467955,-2.04647,0.904747,-3.40008,2.84173,-7.08895,130.612,257.534,-2.79528,13288.5,10625.9,-2.8689,0.082315,-5.04495,2.0193,-7.91138,0.632389,74.337,-9.58035,13105.3,0.00532271,1.29121,-0.00134844,13966,-0.000799718,0.0177137,14.7867,10220.1,120.072,96.1117,0.942686,13.5627,12.3361,113.276,132.783,6.79563,-36.6708 
117,46.6742,5,117,13641.2,-0.0953413,22.0339,13.9462,115.42,-0.029936,66.113,74.5555,-2.96472,-2.28602,-1.79872,-5.40102,-2.94219,17.3015,1100.07,22.7544,11274.2,10067.7,-3.07366,-2.39496,-2.0166,-5.50997,-3.05113,0.874326,1075.8,21.8556,11250,0.0827491,0.965668,0.00356595,13000.7,0.0012478,0.0615043,13.4222,14.6986,118.655,83.5581,0.755728,13.9637,13.0502,114.23,131.854,4.42486,-48.2963 
118,46.6742,7,118,14199.8,0.00973567,22.6166,13.9827,114.963,-0.0159326,-16.2293,500,0.187918,-0.42835,-4.10785,-1.68037,-1.95126,23.0349,1096.37,18.0961,12188,10303.2,0.0428734,-0.573395,-4.39794,-1.82542,-2.09631,0.503068,1064.06,16.8995,12155.7,0.0762813,0.972958,0.00255444,13949.1,0.000987003,0.0629486,13.3207,14.1567,117.01,82.6877,0.814788,14.1327,12.8912,113.876,132.142,3.1342,-49.4545 
119,46.6742,10,119,14075.8,-0.0673675,22.7987,13.7458,115.167,-0.00413823,91.7308,91.9593,-0.830422,-1.9177,-4.31512,-1.4459,-5.71237,49.4679,1350.55,10.7234,11689.5,10214.1,-1.14191,-2.22918,-4.93809,-1.75739,-6.02386,0.693104,1281.16,8.15365,11620.1,0.0942136,0.988985,0.00129091,13598.5,0.0010748,0.0743965,13.6556,14.64,117.702,83.8008,0.804018,13.9033,12.7659,114.095,132.418,3.60708,-48.6171 
