cyc,time,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.01,43.07,0,3.47594e-07,7.71285e-07,1.06488e-29,16.071,0.450668,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.338545,1.6247e-30,1.06132e-12,40956.9,58326.2,1.22853,19.7437,1.21698,19.5581,1.55011,0.0066,1.42115,6.683e-06 
1,0.01,43.15,1,3.41477e-07,7.39279e-07,1.02069e-29,15.4041,0.461906,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.27194,1.28209e-30,-4.29121e-13,36066.8,48794.7,1.25993,19.4081,1.23881,19.0828,1.48424,0.0066,1.39198,6.683e-06 
2,0.01,43.09,2,3.32049e-07,7.55002e-07,1.04239e-29,15.7317,0.439799,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.404828,1.85591e-30,-5.7461e-13,38417.2,51113.5,1.19857,18.8555,1.19616,18.8176,1.61605,0.0066,1.40551,6.683e-06 
3,0.01,43.34,3,3.3099e-07,7.59476e-07,1.04857e-29,15.8249,0.435813,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.429624,1.9633e-30,9.40502e-13,39104.2,54601.8,1.18768,18.795,1.18859,18.8094,1.64083,0.0066,1.47931,6.683e-06 
4,0.01,43.13,4,3.43713e-07,7.31013e-07,1.00927e-29,15.2319,0.470187,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.22403,1.06313e-30,5.64941e-14,34870.4,47681.9,1.28334,19.5476,1.25509,19.1174,1.43711,0.0066,1.42044,6.683e-06 
5,0.01,43.12,5,3.39922e-07,7.1304e-07,9.84459e-30,14.8574,0.476723,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.186893,8.77117e-31,3.61318e-13,32361.1,44939.4,1.30196,19.3437,1.26806,18.84,1.4007,0.0066,1.40883,6.683e-06 
6,0.01,43.14,6,3.41526e-07,7.42908e-07,1.0257e-29,15.4797,0.459714,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.284781,1.34282e-30,1.45851e-12,36600.5,52808.9,1.25378,19.4081,1.23453,19.1102,1.49691,0.0066,1.43844,6.683e-06 
7,0.01,43.17,7,3.62863e-07,7.27986e-07,1.00509e-29,15.1688,0.498448,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0673674,3.37502e-31,2.66251e-13,34439,48553.4,1.36478,20.702,1.31188,19.8997,1.28428,0.0066,1.37301,6.683e-06 
8,0.01,43.08,8,3.17871e-07,7.73867e-07,1.06844e-29,16.1248,0.410756,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.592066,2.59839e-30,1.45875e-12,41369.6,59156.9,1.12064,18.0701,1.14195,18.4137,1.80462,0.0066,1.46564,6.683e-06 
9,0.01,43.16,9,3.58652e-07,7.5906e-07,1.048e-29,15.8163,0.472495,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.210853,1.04409e-30,7.13309e-14,39040.1,53869.3,1.2899,20.4014,1.25966,19.9231,1.42417,0.0066,1.3816,6.683e-06 
10,0.01,43.32,10,3.27462e-07,8.09918e-07,1.11821e-29,16.876,0.404315,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.635829,2.87465e-30,5.99825e-13,47424.8,64801.4,1.10382,18.6281,1.13022,19.0735,1.84921,0.0066,1.47484,6.683e-06 
11,0.01,43.18,11,3.66065e-07,7.10986e-07,9.81623e-30,14.8146,0.51487,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0193031,-9.75593e-32,8.55006e-13,32082.3,45979.9,1.41312,20.9347,1.34574,19.9366,1.20052,0.0066,1.4124,6.683e-06 
12,0.01,43.21,12,3.87946e-07,6.82529e-07,9.42334e-30,14.2216,0.568395,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.283322,-1.51752e-30,1.01334e-12,28382.1,41446.4,1.57476,22.3956,1.46035,20.7686,0.948024,0.0066,1.41496,6.683e-06 
13,0.01,43.23,13,3.75767e-07,7.01384e-07,9.68366e-30,14.6145,0.535751,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.12548,-6.50994e-31,1.58e-13,30799.9,43084.7,1.47544,21.5627,1.38969,20.3096,1.0985,0.0066,1.38069,6.683e-06 
14,0.01,43.36,14,3.32541e-07,7.40431e-07,1.02228e-29,15.4281,0.449118,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.347882,1.59721e-30,1.23964e-12,36235.6,51561.6,1.22423,18.8875,1.21399,18.7296,1.55937,0.0066,1.4526,6.683e-06 
15,0.01,43.25,15,3.55205e-07,7.09636e-07,9.79759e-30,14.7864,0.500545,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0561488,2.75361e-31,7.10216e-13,31899.8,44758.4,1.37094,20.2713,1.31617,19.4615,1.27344,0.0066,1.45233,6.683e-06 
16,0.01,43.31,16,3.26568e-07,7.46903e-07,1.03121e-29,15.563,0.43723,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.42078,1.8972e-30,2.72059e-13,37194.1,51109.7,1.19155,18.544,1.19128,18.5398,1.63199,0.0066,1.41268,6.683e-06 
17,0.01,43.37,17,3.36955e-07,6.69704e-07,9.24627e-30,13.9544,0.503141,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0423041,1.96806e-31,-3.63513e-14,26812,36850.5,1.37857,19.2371,1.3215,18.4406,1.26005,0.0066,1.37585,6.683e-06 
18,0.01,43.22,18,3.59613e-07,6.53534e-07,9.02302e-30,13.6175,0.550259,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.196798,-9.77102e-31,2.47674e-13,24916.5,35110.7,1.5193,20.6889,1.4208,19.3477,1.03034,0.0066,1.37112,6.683e-06 
19,0.01,43.35,19,3.44517e-07,7.10228e-07,9.80577e-30,14.7988,0.485079,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.140225,6.66989e-31,1.45353e-12,31979.8,46345.8,1.32597,19.6227,1.28479,19.0132,1.35511,0.0066,1.48822,6.683e-06 
20,0.01,43.24,20,3.97924e-07,6.56142e-07,9.05902e-30,13.6718,0.606461,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.45656,-2.50832e-30,7.3036e-13,25215.9,36679.4,1.69301,23.1465,1.54571,21.1327,0.784161,0.0066,1.41258,6.683e-06 
21,0.01,43.3,21,3.30988e-07,7.86162e-07,1.08542e-29,16.381,0.421018,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.524116,2.3951e-30,1.01878e-12,43372.9,60790.6,1.14781,18.8022,1.16086,19.0161,1.73579,0.0066,1.43473,6.683e-06 
22,0.01,43.27,22,3.48318e-07,7.15559e-07,9.87937e-30,14.9099,0.486777,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.130851,6.2927e-31,-1.35484e-13,32705.3,45006.7,1.33087,19.843,1.2882,19.2069,1.34598,0.0066,1.37641,6.683e-06 
23,0.01,43.29,23,3.46538e-07,7.12032e-07,9.83067e-30,14.8364,0.486689,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.131339,6.28387e-31,-6.27134e-13,32224.1,43236.8,1.33061,19.7415,1.28803,19.1096,1.34645,0.0066,1.3697,6.683e-06 
24,0.01,43.28,24,3.43748e-07,7.3833e-07,1.01938e-29,15.3843,0.465575,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.250596,1.18932e-30,1.14376e-12,35928,51379.7,1.27028,19.5424,1.246,19.1689,1.46322,0.0066,1.4513,6.683e-06 
25,0.01,43.1,25,3.66262e-07,7.25348e-07,1.00145e-29,15.1138,0.504947,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0327196,1.65456e-31,1.19761e-12,34066,49769.1,1.38385,20.9152,1.32521,20.029,1.25076,0.0066,1.41726,6.683e-06 
26,0.01,43.33,26,3.32315e-07,7.40047e-07,1.02175e-29,15.4201,0.449045,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.348322,1.59814e-30,5.1345e-13,36179.3,50194.9,1.22403,18.8746,1.21385,18.7177,1.55981,0.0066,1.45113,6.683e-06 
27,0.01,43.11,27,3.36083e-07,7.35748e-07,1.01581e-29,15.3305,0.456791,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.302018,1.40141e-30,8.30309e-13,35552.4,50327.1,1.24559,19.0955,1.22884,18.8387,1.51394,0.0066,1.41345,6.683e-06 
28,0.01,43.2,28,3.67423e-07,6.55674e-07,9.05256e-30,13.662,0.560375,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.245404,-1.24489e-30,6.84373e-13,25162,36415.3,1.55015,21.1782,1.44277,19.7112,0.984048,0.0066,1.37489,6.683e-06 
29,0.01,43.26,29,3.52447e-07,7.44713e-07,1.02819e-29,15.5173,0.473266,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.206462,1.00466e-30,8.98318e-13,36867.9,52060.1,1.29209,20.0498,1.26119,19.5703,1.41987,0.0066,1.46608,6.683e-06 
30,0.01,43.19,30,3.78521e-07,6.67887e-07,9.22118e-30,13.9165,0.566744,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.275561,-1.44009e-30,5.03863e-13,26594.4,38018.5,1.56971,21.8448,1.45672,20.2725,0.955414,0.0066,1.389,6.683e-06 
31,0.03,43.07,31,3.29898e-07,7.41623e-07,1.02392e-29,15.4529,0.444832,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.373899,1.70301e-30,-1.92139e-13,36411,49955.3,1.21239,18.735,1.20576,18.6326,1.58523,0.0066,1.39248,6.683e-06 
32,0.03,43.15,32,3.40936e-07,7.22668e-07,9.97751e-30,15.058,0.471774,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.21496,1.01185e-30,1.06693e-12,33689.7,48626.6,1.28785,19.3924,1.25823,18.9464,1.4282,0.0066,1.39254,6.683e-06 
33,0.03,43.09,33,3.55023e-07,6.74438e-07,9.31163e-30,14.053,0.526399,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0784631,-3.84597e-31,3.37516e-13,27384.6,38868.7,1.44741,20.3404,1.36988,19.251,1.1436,0.0066,1.37363,6.683e-06 
34,0.03,43.34,34,3.61818e-07,6.75778e-07,9.33013e-30,14.0809,0.535409,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.123776,-6.18315e-31,2.50886e-13,27548.3,38046.6,1.47441,20.761,1.38896,19.5579,1.10013,0.0066,1.42869,6.683e-06 
35,0.03,43.13,35,3.4584e-07,7.10516e-07,9.80974e-30,14.8048,0.486745,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.131031,6.25653e-31,1.3628e-12,32018.7,46358.8,1.33077,19.7018,1.28814,19.0706,1.34615,0.0066,1.44661,6.683e-06 
36,0.03,43.12,36,3.30635e-07,7.56024e-07,1.0438e-29,15.753,0.437335,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.420129,1.91786e-30,-1.02664e-13,38573.4,52832.4,1.19183,18.7749,1.19148,18.7693,1.63134,0.0066,1.40682,6.683e-06 
37,0.03,43.14,37,3.38954e-07,7.38728e-07,1.01992e-29,15.3926,0.458835,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.289952,1.35691e-30,2.26016e-13,35986.1,49812.2,1.25131,19.2609,1.23282,18.9762,1.50202,0.0066,1.39738,6.683e-06 
38,0.03,43.17,38,3.44259e-07,7.19841e-07,9.93849e-30,14.9991,0.478242,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.178339,8.47645e-31,4.24777e-13,33296,47127.2,1.30631,19.5934,1.27109,19.0652,1.39233,0.0066,1.38616,6.683e-06 
39,0.03,43.08,39,3.38295e-07,7.06774e-07,9.75807e-30,14.7268,0.478647,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.176063,8.22333e-31,3.39188e-13,31515.4,43769.7,1.30747,19.2548,1.2719,18.731,1.3901,0.0066,1.39883,6.683e-06 
40,0.03,43.16,40,3.60025e-07,7.04374e-07,9.72495e-30,14.6768,0.511127,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.000190271,9.45776e-34,1.12512e-12,31195.5,45777.7,1.40205,20.5776,1.33797,19.6371,1.21932,0.0066,1.38262,6.683e-06 
41,0.03,43.32,41,3.50027e-07,7.21527e-07,9.96176e-30,15.0342,0.485119,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.140003,6.76586e-31,-1.66854e-13,33530.4,45860.9,1.32608,19.9365,1.28487,19.3169,1.3549,0.0066,1.39278,6.683e-06 
42,0.03,43.18,42,3.72883e-07,7.00224e-07,9.66764e-30,14.5903,0.532519,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.109328,-5.62845e-31,2.02182e-13,30647.3,42962.6,1.46573,21.3854,1.38282,20.1758,1.11398,0.0066,1.37717,6.683e-06 
43,0.03,43.21,43,3.68966e-07,7.16326e-07,9.88996e-30,14.9258,0.515081,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0204,-1.0392e-31,-1.66706e-13,32810.6,45315.7,1.41374,21.1012,1.34618,20.0929,1.19947,0.0066,1.38646,6.683e-06 
44,0.03,43.23,44,3.71416e-07,7.10877e-07,9.81473e-30,14.8123,0.522475,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0584788,-2.99876e-31,-1.18822e-13,32067.6,44603.7,1.4357,21.2661,1.36163,20.1689,1.16281,0.0066,1.36586,6.683e-06 
45,0.03,43.36,45,3.43181e-07,7.354e-07,1.01533e-29,15.3233,0.466659,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.244324,1.15764e-30,1.31639e-12,35501.9,50980,1.27334,19.5117,1.24814,19.1255,1.45705,0.0066,1.4387,6.683e-06 
46,0.03,43.25,46,3.76954e-07,6.9659e-07,9.61747e-30,14.5146,0.541142,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.15221,-7.92167e-31,3.01973e-13,30172.7,42851.9,1.49168,21.6512,1.40119,20.3378,1.07292,0.0066,1.37156,6.683e-06 
47,0.03,43.31,47,3.61103e-07,6.67273e-07,9.21271e-30,13.9037,0.541162,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.152304,-7.59321e-31,3.66891e-13,26521.2,37887.6,1.49174,20.7408,1.40123,19.4824,1.07283,0.0066,1.35619,6.683e-06 
48,0.03,43.37,48,3.26367e-07,7.2633e-07,1.00281e-29,15.1343,0.449337,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.346562,1.5616e-30,2.52407e-13,34204.5,46689.5,1.22484,18.537,1.21441,18.3793,1.55806,0.0066,1.44902,6.683e-06 
49,0.03,43.22,49,3.7021e-07,6.90956e-07,9.53968e-30,14.3972,0.535795,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.125695,-6.42468e-31,1.87274e-14,29446.4,41440.4,1.47557,21.244,1.38978,20.0089,1.09829,0.0066,1.33926,6.683e-06 
50,0.03,43.35,50,3.53738e-07,7.00906e-07,9.67706e-30,14.6045,0.504687,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0340947,1.66515e-31,-3.93699e-13,30736.9,41418.2,1.38309,20.1994,1.32467,19.3462,1.25209,0.0066,1.39634,6.683e-06 
51,0.03,43.24,51,3.68549e-07,6.68313e-07,9.22707e-30,13.9254,0.551462,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.202622,-1.03102e-30,4.81976e-13,26645.4,37847.4,1.52295,21.2077,1.4234,19.8214,1.02478,0.0066,1.41097,6.683e-06 
52,0.03,43.3,52,3.26734e-07,7.29161e-07,1.00672e-29,15.1933,0.448096,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.354061,1.59719e-30,4.76669e-13,34606.1,48329.6,1.2214,18.5571,1.21203,18.4146,1.56551,0.0066,1.40944,6.683e-06 
53,0.03,43.27,53,3.50851e-07,6.85606e-07,9.46582e-30,14.2857,0.511738,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.00299616,-1.45134e-32,-1.33715e-13,28767.7,39330,1.40385,20.055,1.33924,19.132,1.21625,0.0066,1.39002,6.683e-06 
54,0.03,43.29,54,3.49238e-07,7.56523e-07,1.04449e-29,15.7634,0.461636,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.273514,1.31882e-30,8.08925e-13,38649.9,54997.1,1.25917,19.8489,1.23828,19.5196,1.4858,0.0066,1.41195,6.683e-06 
55,0.03,43.28,55,3.62399e-07,6.42968e-07,8.87714e-30,13.3973,0.563634,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.260877,-1.30529e-30,2.30079e-13,23727.4,33042.2,1.56013,20.9016,1.4499,19.4247,0.96934,0.0066,1.42616,6.683e-06 
56,0.03,43.1,56,3.46768e-07,7.46779e-07,1.03104e-29,15.5604,0.464351,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.257691,1.23374e-30,5.36328e-13,37175.6,51905.9,1.26682,19.7122,1.2436,19.3509,1.4702,0.0066,1.43633,6.683e-06 
57,0.03,43.33,57,3.53069e-07,7.10073e-07,9.80362e-30,14.7955,0.49723,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0739263,3.60365e-31,3.73564e-13,31958.8,44787.8,1.36123,20.1402,1.3094,19.3732,1.29065,0.0066,1.42011,6.683e-06 
