cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,5,7,0,40116.5,-0.334044,74.977,12.1273,116.552,0.670879,36.5021,300.272,-4.69571,1.12028,3.25555,-1.48179,-1.11135,-49.5879,20491.2,130.182,20132,30397,-4.38347,1.43252,3.88004,-1.16955,-0.799111,4.73235,20560.8,132.758,20201.6,0.469504,0.988827,0.0119609,43792.6,-0.000717469,1.6241,12.4971,12.2941,116.981,88.2176,1.57679,11.8456,13.4951,115.734,139.39,1.24768,-51.1726 
1,100,102,1,32724.3,-0.35403,60.971,12.3168,116.605,0.138214,-315.042,127.548,2.3474,-0.27543,-1.89068,-4.13924,1.04633,-34.6663,16461.6,110.597,16987.9,25864,2.56569,-0.0571459,-1.45411,-3.92096,1.26461,0.0922686,16510.2,112.398,17036.5,0.457318,0.988227,0.0120073,36102.2,-0.00119005,1.271,12.7727,12.6167,116.982,88.2989,1.28045,12.1123,13.717,115.889,139.531,1.09288,-51.2325 
2,45,47,2,34000.3,-0.379022,62.922,12.4205,116.202,0.70931,-111.844,491.603,0.287849,1.6375,-1.96722,-2.39147,-2.58193,-4.09174,18148.6,112.849,16604,28023.7,0.313614,1.66327,-1.91569,-2.36571,-2.55617,0.605881,18154.4,113.062,16609.8,0.487292,0.989219,0.0123838,37255.6,-0.00106996,1.37815,12.7559,12.6744,116.441,88.8527,1.26771,12.1811,13.5163,115.485,139.916,0.955759,-51.0638 
3,15,17,3,27951.8,-0.359198,52.8284,12.264,116.287,-1.12149,458.319,58.3675,-1.84254,2.53463,5.84093,-4.07663,-3.63991,-49.2652,14356.5,83.6689,14381.7,37823.4,-1.53233,2.84484,6.46135,-3.76642,-3.3297,-8.53365,14425.6,86.2282,14450.8,0.464682,0.989648,0.0108724,31044,-0.00124306,1.1348,12.5746,12.4334,116.66,88.2973,1.12726,12.0629,13.4128,115.589,139.495,1.07091,-51.198 
4,30,32,4,31173.6,-0.0422848,58.7271,12.0331,116.562,-0.00833655,-11.0413,500,0.246509,2.5814,3.92288,-1.96013,-7.9366,-136.709,15557.3,65.6399,16386.8,23007.3,1.10733,3.44222,5.64452,-1.09931,-7.07578,-1.79574,15749,72.7416,16578.6,0.452371,0.991982,0.00801778,34814.4,-0.00119799,1.25185,12.5607,12.3066,116.933,88.7164,1.29952,11.8801,13.2887,115.941,140.305,0.992089,-51.5885 
5,40,42,5,33767.8,-0.232575,62.3719,12.2743,116.57,0.0253378,378.055,6.35808e-08,-1.23397,-0.397827,5.81226,1.23353,0.0884452,-25.087,17236.6,94.9571,17147.4,25233.7,-1.07601,-0.239861,6.12819,1.39149,0.246411,0.0499266,17271.8,96.2603,17182.6,0.466404,0.990341,0.0102144,37031.8,-0.000955968,1.32757,12.7407,12.5035,116.855,88.6322,1.30111,12.0605,13.7401,115.91,140.135,0.944899,-51.5026 
6,60,62,6,32168,-0.0782013,60.1038,12.1541,116.636,0.0912209,-44.1739,499.997,-3.23497,2.41358,2.08497,-0.435542,-1.37199,-111.305,16030,96.8767,17025.1,23911.7,-2.53411,3.11444,3.48669,0.265319,-0.671132,0.047667,16186.2,102.659,17181.2,0.450309,0.989023,0.0108869,35944.5,-0.00112708,1.27571,12.4999,12.3876,116.922,88.207,1.29764,12.0784,13.5473,116.009,139.442,0.912429,-51.2346 
7,130,132,7,27030.3,-0.257429,51.8779,11.9753,116.324,0.143691,7.50642,172.244,-0.813938,-0.787813,4.60226,-1.06225,-2.1466,-76.4589,13822,62.4162,14046.5,20259,-0.332497,-0.306371,5.56514,-0.580807,-1.66516,-1.07631,13929.3,66.3881,14153.7,0.461142,0.991728,0.00856637,30206.1,-0.00122857,1.14984,12.4223,12.059,116.662,88.9562,1.15409,11.7081,13.0304,115.78,140.333,0.882389,-51.3769 
8,95,97,8,30645.7,-0.348367,57.2728,12.3126,116.371,-0.0525017,207.244,8.2712,2.51185,-0.256762,-1.93743,-1.29929,-3.96963,-89.4037,14851.7,75.4869,16647.1,23310,3.0748,0.306189,-0.811532,-0.736343,-3.40668,0.484273,14977.1,80.1313,16772.5,0.43709,0.990724,0.00872398,34265.4,-0.00121136,1.16485,12.7059,12.4444,116.804,89.2828,1.26132,12.1669,13.5667,115.667,140.852,1.1369,-51.5696 
9,50,52,9,32901.2,-0.0825844,61.4535,12.2388,116.268,0.145232,-33.5532,500,-0.834681,0.94609,-0.972665,-1.79848,-3.87939,3.17279,15893.7,102.9,17877.2,24642.6,-0.854659,0.926112,-1.01262,-1.81846,-3.89936,0.847932,15889.3,102.735,17872.8,0.436004,0.988812,0.0104778,36443,-0.00126957,1.23651,12.7356,12.5126,116.602,88.3599,1.35688,12.1629,13.5598,115.513,139.619,1.08889,-51.2596 
10,110,112,10,31437.8,-0.0183556,59.0246,12.0776,116.48,0.00383158,-62.8704,7.29781e-12,-1.75125,2.23804,-6.37598,-2.25348,-3.11956,-94.002,15725.5,88.3755,16427.7,23214.3,-1.15934,2.82994,-5.19217,-1.66157,-2.52766,0.326637,15857.4,93.2588,16559.6,0.454355,0.989813,0.0102677,34900.9,-0.00115271,1.23957,12.595,12.512,116.883,88.9435,1.28486,11.9125,13.4545,115.75,140.266,1.13318,-51.3221 
11,35,37,11,31126.4,-0.0443879,58.5588,12.0279,116.43,0.0462502,-94.3766,500,-0.481002,1.80566,2.69755,-0.930276,-2.36815,-60.7736,15635.4,86.2824,16249.3,23070.7,-0.0983268,2.18834,3.4629,-0.547601,-1.98547,-0.146716,15720.7,89.4394,16334.6,0.4556,0.990142,0.00998566,34505.5,-0.00107198,1.25312,12.4923,12.3681,116.754,89.0096,1.26815,11.905,13.4279,115.768,140.323,0.986634,-51.3138 
12,25,27,12,27693.3,-0.353163,52.5509,12.2089,116.621,2.6394,-1568.55,392.811,1.80406,3.17324,-1.67822,-0.24798,-2.45639,-36.6245,13401.6,90.3612,15172.8,155657,2.03467,3.40386,-1.21699,-0.0173652,-2.22578,1.61514,13452.9,92.2638,15224.2,0.434516,0.98814,0.0110405,30960.8,-0.00110755,1.0624,12.6086,12.379,116.943,88.6258,1.16708,12.0532,13.4313,115.845,139.931,1.09792,-51.3053 
13,125,127,13,30643.3,-0.0530158,57.6719,12.1379,116.242,0.00410809,27.0834,499.983,-1.81419,2.45377,3.02862,-2.61673,-0.583577,-26.8717,14929.7,90.044,16511.6,22791.4,-1.64499,2.62298,3.36703,-2.44752,-0.414374,-1.27023,14967.4,91.4399,16549.3,0.440229,0.989422,0.0100756,33999.1,-0.00114641,1.18945,12.562,12.3969,116.682,89.3695,1.28599,11.9993,13.3638,115.489,140.723,1.19232,-51.353 
14,85,87,14,31358.5,-0.0199167,58.8756,12.0467,116.521,0.0318503,-143.785,5.32638,-0.441811,-3.22157,-2.42439,-3.49843,-0.865741,-36.9438,15100.7,88.639,16944,23237.7,-0.209186,-2.98895,-1.95914,-3.26581,-0.633116,0.783669,15152.5,90.5582,16995.8,0.436701,0.989649,0.00971984,34697.6,-0.00103832,1.20937,12.5435,12.3585,116.925,89.2702,1.35998,11.8902,13.0635,115.768,140.535,1.15667,-51.2647 
15,65,67,15,30207.6,-0.341128,57.403,12.1046,116.302,0.00421363,259.097,12.0119,-3.05385,-0.800786,2.79654,0.572881,-3.40103,5.58916,14724.2,83.3081,16227.7,22654.8,-3.08904,-0.835979,2.72615,0.537688,-3.43622,1.66534,14716.3,83.0178,16219.8,0.441016,0.990224,0.00934037,33369.1,-0.00111853,1.18582,12.5055,12.2924,116.606,88.5483,1.25173,12.0309,13.509,115.68,139.993,0.925274,-51.4442 
16,80,82,16,31628.3,-0.0590632,58.7602,12.243,116.599,-0.129437,7.34987,0.000841947,-1.89518,-0.472631,-0.333002,-0.346122,-6.16165,-11.7702,16315.9,95.2311,16080.4,23449.8,-1.82106,-0.398517,-0.184775,-0.272008,-6.08754,0.978916,16332.4,95.8425,16096.9,0.468733,0.989835,0.0108491,34843.8,-0.00113201,1.27192,12.6012,12.4924,116.855,88.7938,1.21494,12.2499,13.6465,115.846,140.107,1.00984,-51.3129 
17,140,142,17,30104.8,0.0531903,56.7637,12.0819,116.249,-0.0504535,-21.5799,1.35461e-12,-2.31774,-1.77536,5.04617,-1.11458,-2.78224,-47.533,15938.7,99.1981,14952.9,22360.9,-2.01843,-1.47606,5.64477,-0.815278,-2.48293,5.91737,16005.4,101.667,15019.6,0.480961,0.989006,0.0123156,33277.9,-0.00121426,1.24758,12.6201,12.4767,116.435,88.2174,1.17722,11.957,13.4523,115.484,139.308,0.950976,-51.0902 
18,55,57,18,32449.6,-0.210942,61.379,12.1465,116.52,1.33349,-2818.07,0.000118898,-3.43202,0.976113,-1.14331,0.856078,-4.1734,-33.7026,15796.7,100.189,17460.3,146601,-3.2198,1.18833,-0.718879,1.06829,-3.96119,0.872613,15844,101.94,17507.6,0.440383,0.988866,0.010612,35977.7,-0.00130431,1.23651,12.5215,12.6626,116.898,89.0418,1.31739,12.1188,13.7629,115.712,140.668,1.18534,-51.6266 
19,150,152,19,30838.4,-0.379762,57.9455,12.3279,116.271,-0.542781,1150.54,263.572,-3.60825,0.144533,-2.1274,1.36448,-0.131524,-14.848,16127,80.5256,15584.5,43583.6,-3.51475,0.238027,-1.94041,1.45797,-0.0380296,0.488988,16147.8,81.2969,15605.3,0.473628,0.991266,0.00950536,34093.9,-0.00126679,1.25019,12.6627,12.5206,116.608,88.5096,1.20881,12.2151,13.3622,115.504,139.721,1.10382,-51.2116 
20,70,72,20,32321,-0.00486404,59.3905,12.3367,116.223,-0.0128645,-41.3417,500,1.6835,-0.889186,4.53845,3.01998,-4.81626,-119.387,15554.8,113.675,17524.4,23868.6,2.43525,-0.137439,6.04194,3.77173,-4.06452,0.249165,15722.2,119.877,17691.8,0.435908,0.986833,0.0123279,36067.8,-0.00108871,1.19987,12.7354,12.5677,116.574,88.7801,1.3024,12.2884,13.6941,115.43,139.995,1.14346,-51.215 
21,120,122,21,32773.8,-0.0129225,61.1803,12.1813,116.643,-0.183958,266.281,499.999,-2.86125,0.521724,-4.98228,-2.74613,-0.865456,-61.3419,16122.1,103.418,17395.8,25855.1,-2.47499,0.907977,-4.20978,-2.35988,-0.479202,0.511393,16208.2,106.605,17481.8,0.446355,0.988621,0.0111085,36312.3,-0.00105338,1.25777,12.6227,12.5704,117.004,88.8315,1.31538,12.0911,13.625,115.962,140.119,1.04128,-51.2878 
22,75,77,22,31754.1,-0.196662,59.4574,12.3464,116.487,0.183153,1.93799,499.28,1.98556,2.24179,6.54235,1.07049,1.17529,-7.20722,16094,97.9007,16491,23908.4,2.03094,2.28717,6.63311,1.11587,1.22067,0.500811,16104.1,98.2751,16501.1,0.459063,0.989433,0.0108519,35080.4,-0.00122207,1.23533,12.6503,12.6437,116.745,88.3557,1.22978,12.3169,13.767,115.885,139.884,0.860076,-51.5286 
23,90,92,23,32022.4,-0.0344003,60.0763,12.087,116.215,0.205673,42.8039,500,-0.721215,1.26378,-2.04335,-1.82404,1.42545,-29.0683,16188.5,108.874,16493.1,23925,-0.53818,1.44681,-1.67728,-1.641,1.60848,-1.09354,16229.3,110.384,16533.9,0.460493,0.988237,0.0121489,35243.3,-0.00102256,1.28132,12.5841,12.3474,116.548,89.3475,1.27987,12.0142,13.4972,115.495,140.357,1.05302,-51.0098 
24,20,22,24,29883.3,-0.193319,55.3713,12.39,116.674,-0.0708305,-6.99566,1.54401e-12,1.28854,0.232753,-1.18718,1.54567,-1.5751,-63.3741,14671.6,97.1469,16002.2,22349.3,1.68759,0.631803,-0.38908,1.94472,-1.17605,1.14416,14760.5,100.439,16091.1,0.443721,0.988232,0.0113675,33265.2,-0.00113845,1.09109,12.9046,12.9356,116.934,88.9538,1.17568,12.3026,13.8201,116.001,140.451,0.932639,-51.4971 
25,145,147,25,30149.8,-0.0358411,56.2022,12.2795,116.078,-0.0646787,36.8304,500,2.10349,0.186613,-1.4699,2.5993,0.103529,-51.6785,16260.2,97.8722,14719.2,22543.8,2.4289,0.512019,-0.819084,2.9247,0.428935,1.14959,16332.7,100.557,14791.7,0.489837,0.98934,0.0123681,33343.1,-0.00130569,1.26711,12.7532,12.3861,116.35,88.0476,1.12739,12.279,13.5415,115.269,139.181,1.08141,-51.1332 
