cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.05,43.24,0,34296.6,-0.017829,64.8894,12.0756,116.572,-0.103336,87.8833,500,-1.18334,-0.69309,-2.64949,-0.774613,-3.38255,-13.891,17503,159.917,17599.2,25803.7,-1.09587,-0.605622,-2.47455,-0.687146,-3.29508,0.696682,17522.5,160.999,17618.6,0.463755,0.984175,0.0165545,37783.9,-0.00131126,1.36935,12.5668,12.5725,116.882,89.8142,1.33394,11.9747,13.9079,115.805,141.513,1.07651,-51.6989 
1,0.05,43.05,1,40812.8,-0.376166,76.6462,12.1153,116.545,0.496942,125.363,0.533425,2.39449,-4.3558,-2.02983,-1.4241,-3.72949,-53.6713,21363.3,217.915,20010.9,32256.8,2.73244,-4.01785,-1.35392,-1.08615,-3.39153,0.809762,21438.6,222.097,20086.2,0.481358,0.982193,0.0199619,44537.7,-0.000930427,1.65848,12.4892,12.6119,116.908,89.3375,1.5088,11.8138,14.1292,115.762,140.961,1.14564,-51.6239 
2,0.05,43.2,2,34787.2,-0.0517637,65.6471,12.0089,116.68,-0.0787795,175.937,0.0976557,-0.403823,-2.88335,0.895552,-1.14991,-2.91904,-29.5592,18217.5,173.928,17269.5,26114.6,-0.217696,-2.69722,1.2678,-0.96378,-2.73291,1.23725,18258.9,176.231,17310.9,0.478402,0.98339,0.0184081,38166.5,-0.00107325,1.42892,12.4541,12.5535,117.024,89.4782,1.35138,11.8352,13.6189,115.898,141.044,1.12566,-51.566 
3,0.05,43.3,3,38155.9,-0.401354,73.475,11.8995,116.112,0.929444,-665.826,153.652,2.36582,-0.162424,-2.67985,-2.09594,-2.63976,-4.68016,19653.6,194.082,19104.4,48607.5,2.39529,-0.132954,-2.62091,-2.06647,-2.61029,0.479496,19660.2,194.447,19111,0.472171,0.982986,0.0183979,41637.8,-0.00100678,1.6073,12.2259,12.2653,116.355,89.4101,1.53536,11.6791,13.4153,115.363,140.662,0.992535,-51.2518 
4,0.05,43.25,4,38507.3,-0.0706579,72.6796,12.0045,116.406,0.00296787,-173.383,1.7134e-08,2.41755,-2.3563,-4.292,-1.80287,-1.41787,-6.06189,19736.1,187.67,19379,28419,2.45572,-2.31813,-4.21566,-1.7647,-1.3797,0.416314,19744.6,188.142,19387.5,0.46966,0.983598,0.0175624,42040.2,-0.00116757,1.55864,12.3866,12.5807,116.865,90.1741,1.49435,11.9388,13.7456,115.604,141.715,1.26033,-51.5411 
5,0.05,43.125,5,39883.8,-0.430308,76.0134,12.0629,116.374,0.465795,-51.0928,500,0.698762,-3.94355,-5.06599,-2.85257,-2.2971,63.2387,21383.1,200.827,19243.6,30624.2,0.300565,-4.34175,-5.86238,-3.25076,-2.6953,0.630125,21294.4,195.9,19154.9,0.491531,0.984156,0.0184911,43322.6,-0.00129528,1.71237,12.3061,12.4943,116.71,89.7179,1.51567,11.8757,13.5267,115.588,141.097,1.12188,-51.3793 
6,0.05,43.275,6,39345.6,-0.0771624,74.146,12.0043,116.65,0.106658,78.6521,499.634,1.12207,1.21102,0.214079,-2.2517,-3.292,5.42063,20732.7,183.947,19124.2,29247.8,1.08793,1.17689,0.145815,-2.28583,-3.32614,1.04555,20725.1,183.524,19116.6,0.485261,0.98474,0.0173774,42709.1,-0.00100027,1.63663,12.3992,12.5401,116.996,88.8426,1.47215,11.8369,13.8642,115.867,140.376,1.12955,-51.5337 
7,0.05,43.21,7,30493.8,-0.332957,58.616,11.9443,116.606,-0.132287,456.978,480.457,-1.1193,2.48008,-1.14377,-0.457073,1.13932,28.2457,15688.9,156.026,15470.1,24759.4,-1.29716,2.30223,-1.49949,-0.634928,0.96146,-7.9317,15649.3,153.825,15430.5,0.468621,0.983089,0.0180327,33394.3,-0.00108156,1.26498,12.3277,12.3557,116.893,89.127,1.20859,11.828,13.7136,115.875,140.552,1.01766,-51.4246 
8,0.05,43.325,8,39290.7,-0.434011,74.6855,12.0863,116.065,-0.0983183,-151.698,349.218,1.01554,-4.00769,-3.91709,-0.71202,1.27697,23.1054,21368.2,224.609,18558.1,29870.5,0.870054,-4.15318,-4.20807,-0.857508,1.13148,0.41694,21335.8,222.808,18525.7,0.500366,0.982053,0.0216748,42640.3,-0.00119008,1.70733,12.4155,12.4047,116.38,90.0398,1.46443,11.7887,13.6173,115.153,141.453,1.22725,-51.413 
9,0.05,43.175,9,38542.8,-0.120597,73.477,11.931,116.181,-0.0916302,-57.5263,0.000338918,-3.05229,-0.948586,-3.56252,-2.99059,-1.38376,26.7175,20563.3,219.674,18570.6,28709.6,-3.22052,-1.11682,-3.89898,-3.15882,-1.55199,0.698854,20525.8,217.592,18533.2,0.490591,0.981786,0.0211698,41839,-0.000978836,1.66714,12.1989,12.4011,116.419,89.6162,1.47328,11.799,13.4456,115.361,140.866,1.05857,-51.2494 
