cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
28,0.15,43.24,28,34232.5,-0.155277,63.1746,12.3991,116.694,-1.51219,-172.031,4.81785,0.424065,-1.84904,-2.08284,-0.864853,-1.36138,15.2332,17832.7,178.502,17017.3,33967.8,0.328146,-1.94496,-2.27468,-0.960773,-1.4573,0.639487,17811.3,177.315,16996,0.476791,0.982877,0.0188558,37356.7,-0.00107013,1.33293,12.7285,12.9134,116.992,88.9004,1.23892,12.222,14.2179,115.828,140.457,1.16421,-51.5568 
29,0.15,43.05,29,38939.9,-0.315852,74.8309,11.7819,116.394,-0.0149782,263.718,484.44,-2.62606,-2.78549,-0.591101,0.510957,0.108021,32.9455,20461.3,162.719,19024.3,28829.2,-2.83351,-2.99294,-1.006,0.303508,-0.099428,0.848228,20415.1,160.152,18978.1,0.483313,0.986458,0.0153072,42239.9,-0.00100657,1.69496,12.1809,12.2113,116.734,89.7481,1.56031,11.5207,13.2994,115.692,141.027,1.04181,-51.2791 
30,0.15,43.2,30,28973.3,-0.354201,56.4207,11.8664,116.37,0.526281,-568.057,333.778,-4.08075,-3.9897,-1.01536,-2.17022,-5.17075,57.672,14845.8,138.588,14774.8,31526.8,-4.4439,-4.35284,-1.74165,-2.53336,-5.5339,0.906391,14764.9,134.094,14693.9,0.466315,0.984355,0.0165328,31662.9,-0.000965798,1.23155,12.0945,12.226,116.653,89.2158,1.1875,11.7541,13.3524,115.493,140.706,1.16066,-51.4898 
31,0.15,43.3,31,34538.2,0.0267039,68.6118,11.4078,116.314,-0.0810102,66.6143,500,1.58681,-3.80198,-3.03524,-1.96189,-5.04603,-11.6037,17678.4,145.907,17608.7,25655.5,1.65987,-3.72891,-2.88911,-1.88882,-4.97296,0.755573,17694.7,146.811,17624.9,0.466099,0.985688,0.0151124,37963.4,-0.00116182,1.56564,11.6482,11.9132,116.67,89.8968,1.47639,11.4801,13.1063,115.595,141.199,1.07487,-51.3017 
32,0.15,43.25,32,33375,-0.350773,63.9507,11.9582,116.553,-0.144486,275.222,110.619,0.0621288,-1.3933,-6.41485,-1.38275,-4.77596,-88.3413,16570.5,133.093,17518.9,26189.1,0.618391,-0.837042,-5.30233,-0.826483,-4.2197,0.498226,16694.4,139.977,17642.8,0.4514,0.985539,0.0144046,36983.7,-0.00122237,1.32693,12.3361,12.5931,116.954,90.266,1.37471,11.8194,13.5304,115.815,142.071,1.13831,-51.8046 
33,0.15,43.125,33,38087.7,-0.0544475,72.9982,11.817,116.511,0.0114801,-13.0103,1.6345e-11,-3.35923,-3.32138,1.80526,-3.07323,-0.979716,-8.94349,20749.4,161.1,18011.6,28086,-3.30291,-3.26507,1.91789,-3.01692,-0.923401,1.22326,20762,161.797,18024.1,0.500413,0.986546,0.016267,41489.7,-0.00112878,1.71623,12.205,12.1905,116.861,89.8301,1.48442,11.6876,13.0892,115.643,140.905,1.21848,-51.0749 
34,0.15,43.275,34,35313,-0.351969,69.4152,11.625,116.533,-0.0483819,55.7707,477.767,2.19086,-5.83706,-5.38129,-3.1837,-2.43015,27.8126,18520,151.911,17479.4,26356.7,2.01573,-6.01219,-5.73155,-3.35883,-2.60528,0.63475,18481,149.744,17440.4,0.479559,0.986019,0.0155701,38537.5,-0.00104127,1.59523,11.9144,11.9527,116.943,89.7476,1.48875,11.4402,12.9196,115.807,140.995,1.13633,-51.2469 
35,0.15,43.21,35,33346.4,0.00602726,64.1646,11.7194,116.607,-0.0543087,-30.4257,11.4551,-1.6869,4.10538,-3.94204,0.464995,-1.79325,-69.021,17461.9,149.117,16541.6,24532.8,-1.2523,4.53998,-3.07283,0.899602,-1.35865,-11.5839,17558.7,154.495,16638.4,0.478532,0.984836,0.0168171,36692.9,-0.00110376,1.44677,12.1539,12.1977,116.961,89.1785,1.33834,11.6583,13.4272,115.902,140.502,1.05903,-51.3235 
36,0.15,43.325,36,36372,-0.356279,70.7944,11.7305,116.641,0.00580994,84.0875,426.058,-1.22171,1.32382,3.10259,-0.15854,-1.38243,51.6206,19624.2,160.824,17514,27050,-1.54675,0.998783,2.4525,-0.483581,-1.70748,9.55963,19551.8,156.802,17441.6,0.493613,0.98616,0.016291,39609.6,-0.00118228,1.65088,12.1177,12.0558,117.003,89.2843,1.44184,11.5499,13.2695,115.85,140.58,1.15303,-51.2955 
37,0.15,43.175,37,36483.2,-0.359291,71.1089,11.7174,116.579,-0.0181713,29.4017,57.3194,-5.36417,-3.39115,-0.27085,-1.77923,-2.87208,71.8768,19765.3,166.757,17391.9,27141.3,-5.81676,-3.84374,-1.17603,-2.23182,-3.32467,0.92826,19664.5,161.156,17291.1,0.497215,0.985861,0.016879,39549.2,-0.00119013,1.66289,12.0413,12.1704,116.924,89.4785,1.42595,11.545,13.3595,115.827,140.722,1.09688,-51.2436 
