cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.8,42,0,30508.7,-0.325053,61.0123,11.6451,117.291,-0.242173,-215.036,499.996,0.846268,2.93407,0.991664,1.16986,0.951419,-151.501,16313.3,129.242,15487.8,24824.1,1.80023,3.88804,2.89959,2.12382,1.90538,0.770185,16525.8,141.047,15700.2,0.477885,0.985284,0.0162796,34581.1,-0.00145091,1.44924,11.927,11.5758,117.626,87.8113,1.36004,11.3554,12.5578,116.514,138.486,1.11283,-50.6747 
1,0.9,42,1,28514.6,-0.0321708,56.5342,11.5173,117.317,0.178311,-60.5176,203.204,-1.52844,0.441949,-3.77632,0.616351,1.05756,-61.8567,15105.8,133.285,14610.7,21547.5,-1.13895,0.831444,-2.99733,1.00585,1.44705,-2.51827,15192.6,138.105,14697.5,0.473368,0.984341,0.0170148,32094.6,-0.00138422,1.34152,11.8673,11.6048,117.728,88.5223,1.28412,11.2919,12.6835,116.461,139.353,1.26714,-50.831 
2,0.7,43.2289,2,25293.4,-0.398527,50.7015,11.7276,117.126,0.273743,1153.34,34.3639,1.86202,1.15941,-0.809037,1.73463,-0.699957,-82.6878,13334,116.011,13302.6,29634.1,2.38269,1.68007,0.232289,2.25529,-0.179294,0.96354,13449.9,122.454,13418.6,0.465697,0.984317,0.0165326,28881.3,-0.00141141,1.19553,11.8697,11.4699,117.434,88.3677,1.1272,11.4717,12.8996,116.457,139.098,0.976225,-50.7301 
3,0.6,42,3,30506.5,0.324657,60.3324,11.4282,117.272,-0.0378119,-249.225,497.931,-1.45731,-2.61221,2.91012,1.18385,-2.92472,-55.8342,16143.4,103.995,15475.8,22751.9,-1.10574,-2.26064,3.61327,1.53542,-2.57314,5.56892,16221.7,108.346,15554.1,0.475585,0.988447,0.0126691,34108.9,-0.00134554,1.46303,11.8527,11.4441,117.64,87.9806,1.35212,11.3521,12.6448,116.633,138.771,1.00704,-50.7903 
4,0.5,42,4,25972.2,-0.207393,53.3603,11.396,116.783,0.846434,-370.163,500,0.818861,-2.35104,-4.30647,-1.3286,1.65298,-114.608,13713.6,111.366,13574.4,29995,1.54052,-1.62938,-2.86316,-0.606943,2.37463,-1.41752,13874.3,120.296,13735.2,0.467625,0.985054,0.0158775,29669.7,-0.00141155,1.26593,11.655,11.3666,117.251,87.6948,1.21759,11.1736,12.5087,116.021,138.202,1.22962,-50.5067 
5,0.9,42,5,28268.7,0.0162278,56.901,11.4058,117.062,-0.00282494,-21.073,500,-2.14364,-0.131849,-1.15565,-0.720805,-2.28269,-121.542,15143.6,125.989,14309.2,21129.2,-1.37833,0.633468,0.37498,0.0445123,-1.51737,1.20349,15314.1,135.46,14479.6,0.47908,0.984756,0.0169413,31965.7,-0.00129763,1.38875,11.676,11.3754,117.406,88.044,1.25295,11.3117,12.7,116.353,138.799,1.05275,-50.7546 
6,1.5,43.2289,6,26379.1,-0.148929,52.5918,11.6174,117.492,0.202941,-131.148,500,-4.32445,1.30555,-1.36455,-1.64709,-0.855761,-66.293,13486.3,134.534,13979.1,20755.9,-3.90702,1.72298,-0.529692,-1.22966,-0.438332,0.879113,13579.3,139.7,14072,0.45626,0.982315,0.0179591,29762.1,-0.0013111,1.19559,11.8982,11.6142,117.878,87.1449,1.14939,11.6875,13.1213,116.741,137.997,1.13714,-50.8519 
7,0.2,43.236,7,25014.7,-0.0893164,50.7635,11.4102,117.365,0.0840891,-60.6822,0.00154284,0.183667,-0.998092,1.62708,0.35946,-3.06447,-80.0943,12828,126.678,13310.6,19021.7,0.687999,-0.49376,2.63575,0.863792,-2.56014,-1.32503,12940.3,132.919,13423,0.456019,0.982342,0.0179144,28376.8,-0.00121259,1.18192,11.6677,11.3464,117.744,89.1288,1.15885,11.3426,12.6991,116.606,140.08,1.13732,-50.9507 
8,1.1,43.2289,8,25225.7,-0.405926,51.2296,11.6048,117.294,-1.03324,-373.026,482.144,2.25883,-4.75586,-1.489,2.35207,-1.09009,-52.6106,13227.4,101.681,13254.1,31900.1,2.5901,-4.42459,-0.826453,2.68334,-0.758815,-0.122274,13301.2,105.78,13327.9,0.464617,0.986274,0.0144097,28628.3,-0.00138211,1.18572,11.7948,11.6162,117.635,87.8743,1.15086,11.3724,12.6737,116.557,138.622,1.07831,-50.7474 
9,0.9,42,9,30107.1,-0.406152,60.0111,11.665,117.013,-1.21627,1468.86,340.251,2.41619,-3.52522,0.939847,0.595043,-1.79415,-69.8303,16210.4,141.182,15085.1,80945.6,2.85589,-3.08551,1.81925,1.03475,-1.35445,-0.432561,16308.4,146.623,15183,0.482941,0.98451,0.0174784,33768.9,-0.00142518,1.44395,11.852,11.6342,117.474,88.4594,1.28527,11.455,12.8812,116.256,139.34,1.21834,-50.8803 
10,1.3,43.2231,10,26849.9,-0.208094,52.9098,11.7564,117.012,0.324198,-172.188,500,1.44506,-4.55274,0.529296,-0.0675059,0.0428413,-58.0894,14454.6,152.487,13465,22066.3,1.81083,-4.18697,1.26084,0.298267,0.408615,4.08717,14536.1,157.014,13546.5,0.482694,0.981448,0.020905,30114.6,-0.0010971,1.25687,11.9427,11.7283,117.354,87.7248,1.12601,11.5597,12.9247,116.193,138.286,1.16103,-50.5608 
11,0.9,42,11,26609.3,-0.400014,54.5252,11.4325,117.39,0.53511,-324.125,496.05,-0.559693,-0.126459,-1.6238,-2.68572,0.0979275,-91.1157,14153.6,118.616,13625.9,25938.5,0.0140382,0.447273,-0.476337,-2.11199,0.671659,0.672702,14281.4,125.716,13753.7,0.474495,0.984829,0.016559,30098.2,-0.00128056,1.32032,11.6976,11.1773,117.761,88.2856,1.21125,11.136,12.696,116.696,138.939,1.0645,-50.6533 
12,1.5,42,12,27327.5,-0.0559207,55.7734,11.3499,117.205,0.0834909,-74.3867,500,-0.362107,-2.37578,-2.35159,-0.0691812,-0.0709105,-112.723,13697.1,118.535,14820.8,20809.1,0.347679,-1.66599,-0.932014,0.640604,0.638875,0.0400022,13855.2,127.319,14978.9,0.445779,0.984173,0.0154163,31081,-0.00129296,1.30066,11.5876,11.1995,117.509,87.7156,1.30294,11.2728,12.5314,116.501,138.38,1.00737,-50.6641 
13,0.7,42,13,31938.7,-0.0755695,63.1294,11.6101,117.292,-0.0316571,48.3998,499.999,0.924564,-0.85234,-3.0349,-3.65825,-5.64994,-116.253,16411.5,174.695,16705.5,23909.4,1.65658,-0.120327,-1.57087,-2.92623,-4.91793,0.80062,16574.5,183.754,16868.6,0.460745,0.980968,0.0196719,35973.4,-0.0014735,1.4374,11.9239,11.7363,117.819,89.3159,1.4095,11.5031,12.9962,116.532,140.133,1.28695,-50.8171 
14,1,42,14,30499.2,-0.367575,60.5909,11.6218,117.234,-0.106781,349.266,11.5376,-0.899287,-2.70259,-2.96451,0.528866,-0.726456,-70.6392,16038.2,151.774,15463.5,24137.2,-0.454491,-2.2578,-2.07492,0.973662,-0.28166,0.493329,16137.3,157.278,15562.6,0.474148,0.98323,0.0182763,34034.3,-0.0012942,1.45202,11.8,11.4802,117.691,88.068,1.32818,11.4802,12.7913,116.466,138.657,1.22408,-50.5894 
15,0.8,42,15,27991.1,-0.186522,56.9036,11.3941,116.96,1.27156,-366.301,499.999,-1.67784,-2.61346,-5.4708,-4.80049,-2.29991,-145.62,15132,129.118,14003.1,36268.9,-0.760905,-1.69652,-3.63693,-3.88356,-1.38297,0.679873,15336.3,140.465,14207.4,0.484179,0.984225,0.0178867,31674.7,-0.00132682,1.38024,11.6704,11.495,117.365,88.4867,1.26406,11.2585,12.3875,116.216,139.023,1.14927,-50.5364 
16,1.4,43.236,16,24143.9,-0.397671,49.4113,11.5265,117.063,0.915129,120.441,235.248,-0.27608,-0.173268,4.95884,-2.45004,-3.94881,-125.261,12690.5,101.653,12752.1,22128.3,0.512653,0.615465,6.5363,-1.66131,-3.16008,-1.29906,12866.2,111.413,12927.8,0.463929,0.985072,0.0156274,27733.2,-0.00146769,1.14108,11.7579,11.6086,117.619,88.5826,1.11329,11.3105,12.7473,116.292,139.387,1.32673,-50.8044 
17,0.5,42,17,29867.5,-0.201747,60.1077,11.3557,117.442,-0.144907,344.352,20.9392,-1.03833,4.01965,-4.38813,0.587434,-1.45621,-82.1713,15899.5,123.828,15066.1,23844.2,-0.520917,4.53706,-3.35331,1.10485,-0.938794,5.04558,16014.8,130.23,15181.4,0.478433,0.985969,0.0155563,33473.3,-0.00116498,1.44052,11.7842,11.4401,117.722,87.5275,1.29676,11.2921,12.8389,116.707,138.362,1.01484,-50.8344 
18,0.2,43.236,18,23698.3,-0.0399403,47.2879,11.6103,117.517,0.0472713,-152.566,500,0.638905,1.57014,-0.607824,-0.785471,-3.20633,-130.81,12175.3,116.442,12608.9,18107.4,1.46258,2.39381,1.03952,0.0382023,-2.38265,0.592577,12358.8,126.635,12792.4,0.456549,0.982384,0.0179089,27070,-0.00116262,1.09503,11.8495,11.4831,117.911,88.2668,1.06541,11.4824,12.8797,116.871,139.072,1.04075,-50.8051 
19,0.2,43.236,19,26510.4,-0.298901,52.5953,11.7671,116.671,0.734788,-271.525,500,-3.96308,-1.00585,-2.33772,-0.342383,-3.45186,-235.514,13695.9,119.658,14135.7,26641.8,-2.48012,0.477114,0.628218,1.14058,-1.9689,1.28515,14026.2,138.01,14466,0.457445,0.983073,0.0172707,30662.1,-0.00146202,1.1865,12.0036,11.744,117.088,87.6779,1.17395,11.6149,13.0487,115.826,138.545,1.26216,-50.8671 
20,0.5,43.2231,20,25984.3,-0.328212,52.2526,11.6062,117.273,1.00991,-887.916,500,0.872284,0.0509254,-2.14386,-0.516711,-4.15869,-22.539,13533.6,117.893,13611.8,48933.3,1.01421,0.192848,-1.86002,-0.374789,-4.01677,0.63128,13565.3,119.65,13643.4,0.463688,0.984799,0.015898,29255.2,-0.00122584,1.20831,11.908,11.4783,117.692,87.6697,1.1754,11.2902,12.8333,116.543,138.489,1.14834,-50.8191 
21,1.3,43.2231,21,20764.6,-0.35311,42.9258,11.4402,117.096,-0.0897876,233.054,360.189,-0.895514,-4.31699,3.1711,1.23805,1.63045,-82.3133,11656.7,101.464,10385.1,16667.5,-0.377209,-3.79869,4.20771,1.75636,2.14875,-0.0687807,11772.2,107.879,10500.5,0.493638,0.984216,0.0185736,23847.8,-0.00136441,1.0786,11.6812,11.3758,117.449,87.1244,0.918015,11.2099,12.641,116.285,137.824,1.16426,-50.6991 
22,0.7,42,22,26232.7,-0.365434,53.6463,11.3941,117.338,0.523717,-173.596,464.606,-3.38902,-1.65384,-2.42298,-4.91484,0.383692,-88.9724,13709.1,121.057,13524.4,22857.9,-2.82878,-1.09361,-1.30251,-4.3546,0.943927,0.84917,13833.9,127.99,13649.2,0.468461,0.984067,0.0169803,29530.4,-0.00100118,1.28056,11.5284,11.3031,117.698,87.7062,1.20623,11.1639,12.514,116.619,138.239,1.07893,-50.5328 
23,0.4,42,23,29776,-0.145989,59.7223,11.5056,117.227,-0.282348,296.971,1.45287e-07,0.75292,0.0614934,1.46817,4.32145,2.60652,12.3852,16048.9,157.857,14836.4,25098.2,0.674934,-0.016493,1.3122,4.24347,2.52853,0.849908,16031.6,156.892,14819,0.484727,0.983162,0.0191297,33073.4,-0.00124905,1.42959,11.7828,11.6477,117.562,88.7605,1.28019,11.2845,12.8785,116.446,139.331,1.11656,-50.5702 
24,0.8,43.216,24,26361,-0.152609,52.5329,11.6362,117.295,0.21035,-145.337,500,-1.69912,-3.99769,-6.57255,-1.48755,0.45161,-157.023,13217.6,113.246,14337.5,20894.6,-0.710386,-3.00896,-4.59509,-0.498822,1.44034,0.376761,13437.9,125.481,14557.8,0.445268,0.983921,0.0156299,30179.3,-0.00130697,1.18524,11.8283,11.5283,117.574,89.4216,1.18323,11.6308,13.0492,116.626,140.602,0.947872,-51.1801 
25,1.4,43.236,25,24871.8,-0.409201,51.3462,11.4255,116.89,0.842338,-495.543,481.086,-5.13268,-2.82379,-6.2549,-1.8674,-4.34895,-81.4044,13056.7,105.938,13110.8,32685.9,-4.6201,-2.31121,-5.22974,-1.35482,-3.83637,0.698613,13170.9,112.281,13225,0.464097,0.985301,0.0153987,28379.7,-0.0013506,1.17903,11.62,11.6677,117.309,88.9437,1.14788,11.235,12.6939,116.192,139.901,1.11743,-50.9571 
26,0.9,43.2231,26,24965,-0.448485,51.2684,11.5692,116.856,0.976132,-1177.13,41.913,0.742874,-0.943471,-5.65641,-0.299375,-2.33678,-94.8642,12665.4,115.063,13585.3,56713.4,1.34021,-0.346137,-4.46174,0.29796,-1.73945,0.0911386,12798.5,122.455,13718.4,0.447896,0.983532,0.0161773,28574.6,-0.00146066,1.14438,11.6691,11.7137,117.209,88.2967,1.16941,11.4774,12.6514,116.106,139.284,1.10261,-50.987 
27,0.4,42,27,29052,-0.463953,59.6067,11.4696,117.17,-0.17751,1457.09,23.4667,-1.1957,-0.791844,-3.14568,1.96337,-2.7903,1.57482,15702.8,112.486,14709,30675.5,-1.20561,-0.801761,-3.16552,1.95345,-2.80022,0.474137,15700.6,112.363,14706.8,0.481416,0.987631,0.0138788,32613.4,-0.0015698,1.43766,11.6392,11.4967,117.49,87.8105,1.29696,11.2696,12.6881,116.44,138.506,1.05031,-50.6955 
28,1,42,28,25554.4,-0.21112,52.8875,11.2886,117.024,0.824283,-592.105,499.631,0.961017,3.37474,-1.849,-4.29703,0.684314,-129.919,12884.4,106.25,13861.1,35323.1,1.77908,4.1928,-0.212877,-3.47897,1.50238,1.05628,13066.6,116.373,14043.3,0.447236,0.984653,0.0150355,29216.5,-0.00137688,1.21089,11.5294,11.4524,117.472,87.8858,1.21585,11.2082,12.651,116.306,138.616,1.16554,-50.7299 
29,0.9,43.2231,29,23405.1,-0.423085,47.9608,-11.6006,117.042,0.125165,-151.885,494.108,3.53241,-2.71172,-2.81422,0.703451,-2.94223,-90.9098,11493.1,98.2446,13154.5,18730.6,4.10484,-2.13929,-1.66935,1.27589,-2.3698,-1.09269,11620.6,105.328,13282,0.432073,0.984386,0.0143978,26894.9,-0.00149251,1.06686,11.7368,11.4263,117.428,88.286,1.11511,11.4777,12.8509,116.313,139.367,1.11525,-51.0808 
30,0.9,43.2231,30,23541.6,-0.411866,49.1037,11.365,117.283,-0.941586,2592.68,214.386,-0.590185,2.31765,-5.31552,1.37857,-2.61762,-54.62,12587.3,81.647,12256,97637.1,-0.246258,2.66158,-4.62767,1.7225,-2.2737,-0.674542,12663.9,85.9031,12332.6,0.471719,0.988269,0.0126687,26846.4,-0.00151642,1.16145,11.6469,11.4532,117.612,87.8216,1.1063,11.2789,12.3919,116.531,138.69,1.0808,-50.8682 
31,0.7,42,31,27798.6,-0.406631,56.5811,11.4869,117.124,-3.87765,2995.84,197.541,-0.672831,2.68727,2.91818,2.11451,-3.69537,-79.3585,14819.9,105.88,14239.1,399324,-0.173132,3.18697,3.91758,2.61421,-3.19567,0.383055,14931.2,112.064,14350.4,0.474999,0.987036,0.0141812,31434.1,-0.00138803,1.37778,11.6732,11.3471,117.549,87.6552,1.26785,11.2396,12.4523,116.451,138.431,1.09804,-50.7755 
32,0.9,42,32,27805.2,-0.480312,57.8521,11.3809,117.421,0.354945,129.801,498.448,-5.62791,-4.44438,0.626196,0.441739,-0.390898,-268.671,14766.2,95.6644,14393,22933.2,-3.93616,-2.75263,4.0097,2.13349,1.30085,-4.30909,15143,116.6,14769.9,0.471329,0.986704,0.0143339,32128.4,-0.00149786,1.39279,11.6226,11.2065,117.753,88.9649,1.30429,11.1196,12.4208,116.777,139.895,0.97662,-50.9296 
