cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
465,0.52,0.05,43.3756,465,26313.9,0.038824,54.2586,10.9747,116.859,0.0359868,54.694,0.00231689,1.99572,1.63519,8.09755,2.21961,-2.28097,-47.7992,15034.5,123.615,12041,19448.7,2.2967,1.93616,8.69951,2.52059,-1.97999,0.354299,15101.6,127.339,12108.1,0.52028,0.985458,0.019005,29025.9,-0.000849921,1.45231,11.2265,11.2327,117.106,85.1079,1.08154,10.9385,12.7752,116.154,135.093,0.952618,-49.9851 
466,0.52,0.05,43.4156,466,24291.2,-0.283526,50.7958,11.0205,117.055,0.190597,90.8796,270.895,-1.01234,4.00553,-2.22997,3.26923,-2.46228,-71.906,14199.1,103.871,10957.9,18787,-0.559567,4.4583,-1.32443,3.722,-2.00951,1.30895,14299.9,109.474,11058.8,0.529283,0.98678,0.017909,27017.5,-0.00094714,1.37331,11.2005,11.2608,117.343,84.5888,0.980399,10.8321,12.9597,116.38,134.593,0.962884,-50.0041 
467,0.52,0.05,43.3356,467,28053.8,-0.285292,58.0139,11.0618,116.748,0.946086,-3252.08,0.00099928,3.52684,3.99768,1.12267,3.8826,0.761868,-55.6069,15732.9,140.231,13097.8,121049,3.87698,4.34782,1.82295,4.23274,1.11201,0.881569,15810.9,144.564,13175.8,0.510638,0.984251,0.0198111,30963,-0.000987975,1.4786,11.4085,11.4186,117.125,86.0974,1.18744,10.7582,12.9085,115.997,136.405,1.12838,-50.3073 
468,0.52,0.05,43.1606,468,26337.3,-0.168809,55.0703,10.9448,116.913,0.221184,-144.292,500,0.943009,4.47869,5.42284,-0.834949,1.40028,-65.3983,14898.7,114.378,12261.5,20659.8,1.3548,4.89049,6.24643,-0.423153,1.81207,0.54999,14990.5,119.473,12353.2,0.513431,0.986244,0.017504,29196.7,-0.00088658,1.44485,11.1965,11.2307,117.182,85.4625,1.12677,10.6892,12.7357,116.179,135.568,1.00331,-50.1059 
469,0.52,0.05,43.2356,469,22746.7,-0.0403104,46.5786,11.161,116.791,-0.00284379,-19.8766,6.38729e-12,0.0699826,-0.802773,1.02073,-2.00057,-2.98622,15.6212,12630.6,105.716,11003.6,16925.2,-0.0283796,-0.901135,0.82401,-2.09893,-3.08458,1.1558,12608.6,104.498,10981.6,0.499599,0.985704,0.017227,25237.5,-0.000951624,1.16505,11.5066,11.5006,117.073,85.3384,0.963965,11.0008,12.9947,116.072,135.494,1.00173,-50.1553 
470,0.52,0.05,43.0406,470,25005.9,-0.305584,52.2824,11.0519,116.913,0.129719,-53.2237,125.429,-1.38799,2.20293,1.18013,1.48953,-3.05823,-38.4702,13943.1,111.29,11855.7,19034.7,-1.14575,2.44516,1.66461,1.73177,-2.816,0.114473,13997.1,114.288,11909.7,0.505433,0.985912,0.0173701,27693.2,-0.000943366,1.36176,11.2303,11.1748,117.276,85.2607,1.08883,10.8585,12.5728,116.089,135.417,1.1873,-50.1567 
471,0.52,0.05,43.2506,471,19670.8,-0.00881479,41.2164,10.9113,116.829,-0.0204664,1.3504,1.7372e-11,-0.5284,5.56649,3.70582,2.75195,-1.28194,-45.5944,11248.2,97.9091,9248.53,14641,-0.241304,5.85359,4.28002,3.03904,-0.99484,0.641435,11312.1,101.462,9312.48,0.513686,0.984546,0.0196753,22021.5,-0.000954252,1.10263,11.1988,11.0961,117.077,84.7793,0.822116,10.9785,12.9963,116.09,134.728,0.987344,-49.949 
472,0.52,0.05,43.2056,472,21757.3,-0.0486771,44.9292,11.0677,116.625,-0.256311,134.096,500,-3.95062,-0.589838,-0.65126,2.46664,0.544653,-61.2092,11985.8,92.476,10545.3,17306.4,-3.5652,-0.20442,0.119576,2.85206,0.930071,0.0947025,12071.7,97.2456,10631.2,0.496827,0.986099,0.0165709,24297.5,-0.000953202,1.17098,11.3176,11.0252,116.893,85.0463,0.930449,11.0622,12.9953,115.9,134.976,0.993461,-49.9295 
473,0.52,0.05,43.0806,473,27178,-0.248711,55.845,11.0762,116.969,0.661341,-469.185,381.871,-1.45943,4.4246,6.38858,0.462383,0.184074,-51.76,15183.4,135.636,12742.8,30236.9,-1.13352,4.75052,7.04042,0.788302,0.509993,0.411126,15256,139.67,12815.4,0.508639,0.984231,0.0196811,29993.7,-0.000871108,1.46356,11.2467,11.2231,117.24,85.5126,1.13244,10.9885,12.8921,116.267,135.671,0.973342,-50.1585 
474,0.52,0.05,43.2956,474,22474.3,-0.231817,46.5054,11.0624,116.669,0.0704941,172.826,20.3932,-1.55627,1.81328,7.18694,0.481683,2.41858,-24.9726,13431.2,93.1874,9712.8,17144.1,-1.39902,1.97053,7.50143,0.638929,2.57583,0.335433,13466.3,95.1333,9747.83,0.545717,0.987788,0.0176604,24676.3,-0.000871887,1.2819,11.3712,11.3056,116.841,84.72,0.890579,10.8266,12.7285,115.944,134.536,0.896285,-49.816 
