cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
102,0.16,0.6,43.312,102,24311.1,-0.209564,50.2577,11.1532,118.041,-0.0997278,182.577,500,-0.0884429,2.30371,1.06684,-1.99292,-1.93672,125.704,11934.9,901.709,10362.4,18839.9,-0.879968,1.51218,-0.516208,-2.78445,-2.72824,0.904347,11888.9,872.571,10316.4,0.500527,0.88618,0.134804,23752.8,-0.000993495,1.29109,11.4801,11.0951,118.372,87.5188,1.07895,11.0062,12.4022,117.354,137.931,1.01814,-50.4123,366.886,328.575,695.461 
103,0.16,0.6,43.222,103,19798.5,-0.253298,41.3082,11.1063,118.198,0.344719,-87.7342,0.637062,-1.37974,-1.17429,0.467243,-0.596225,-0.255564,20.4761,9183.8,723.147,9000.76,15919.4,-1.50868,-1.30323,0.209378,-0.725157,-0.384496,1.0564,9176.31,718.4,8993.27,0.470132,0.879504,0.128275,19518.6,-0.000989112,1.00028,11.3147,11.1743,118.574,87.1707,0.918599,11.078,12.7645,117.553,137.87,1.02141,-50.6996,282.154,289.793,571.947 
104,0.16,0.6,43.262,104,21973.8,-0.0473514,45.5927,10.9649,117.915,-0.0237386,22.1809,500,0.506155,3.149,2.27781,1.79374,0.763452,104.965,10477,771.132,9597.99,16291.2,-0.154779,2.48807,0.955946,1.13281,0.102518,0.788721,10438.6,746.802,9559.57,0.487055,0.888732,0.125803,21432.1,-0.000767725,1.13357,11.354,11.2537,118.385,87.3416,1.03118,10.7187,12.2236,117.206,138.031,1.17883,-50.6896,323.141,301.421,624.561 
105,0.16,0.6,43.232,105,19365.1,-0.190677,41.2855,10.9429,118.303,0.655969,-957.142,500,-1.29596,1.67074,-0.888917,-0.941722,0.9784,103.344,9260.98,658.008,8694.37,35145.8,-1.94668,1.02001,-2.19037,-1.59245,0.327673,0.500123,9223.16,634.053,8656.55,0.480919,0.892614,0.118885,19178.2,-0.000989289,1.0364,11.1656,10.9472,118.623,88.037,0.91279,10.9062,12.4936,117.694,138.767,0.929974,-50.7296,282.625,277.478,560.103 
106,0.16,0.6,43.362,106,22383.7,-0.307245,46.9091,11.1077,118.188,0.13199,61.5997,279.305,-2.74125,3.72429,1.66019,-4.68695,-1.74531,86.0595,10974.1,763.994,9566.41,17226.6,-3.28314,3.1824,0.576398,-5.22884,-2.2872,1.08187,10942.6,744.046,9534.91,0.499485,0.893661,0.12568,21907.7,-0.000898469,1.21603,11.3326,10.8912,118.519,87.2599,1.00816,10.8938,12.4466,117.543,137.823,0.976128,-50.5634,334.85,304.971,639.82 
107,0.16,0.6,43.212,107,18323.6,0.019603,37.3526,11.255,118.168,-0.00797613,26.0094,500,-0.378267,-0.936038,2.06252,0.145118,0.712446,49.9787,8162.59,649.493,8695.53,13692.3,-0.692969,-1.25074,1.43312,-0.169585,0.397744,6.07413,8144.3,637.908,8677.24,0.449387,0.879453,0.119271,18123.1,-0.00103617,0.862707,11.7604,11.252,118.407,87.4442,0.869528,11.2584,12.7465,117.704,138.429,0.703449,-50.9844,254.692,278.388,533.08 
108,0.16,0.6,43.242,108,21873,-0.317641,45.8742,11.1421,118.411,0.515824,-1506.67,92.2509,-1.92344,1.15211,-2.04201,0.989233,-0.318196,82.1537,10410.3,724.115,9839.32,41938.8,-2.44074,0.634806,-3.07661,0.471933,-0.835496,0.413543,10380.3,705.072,9809.26,0.479217,0.893761,0.116925,21660.9,-0.00104079,1.17254,11.3042,10.7207,118.698,86.9905,1.03753,11.1015,12.1899,117.855,137.582,0.842989,-50.5917,317.023,313.241,630.264 
109,0.16,0.6,43.062,109,23636.3,-0.287726,49.0943,11.1224,118.007,-0.121642,223.576,4.57501,-2.03965,0.20451,-1.90749,-0.71179,3.35229,74.5214,10353.5,890.156,11237,18660.9,-2.5089,-0.264732,-2.84598,-1.18103,2.88305,0.273539,10326.3,872.882,11209.7,0.444764,0.871135,0.125447,23217.4,-0.000881416,1.13843,11.4037,11.0656,118.46,88.2456,1.17342,10.987,12.2741,117.407,139.044,1.05325,-50.7981,320.5,353.038,673.538 
110,0.16,0.6,43.112,110,23368.9,-0.316745,48.3836,-11.2337,118.297,-0.0438425,375.673,460.923,2.67133,-2.52738,1.78661,1.61815,-0.832902,108.788,11077.1,808.355,10276.9,18229.8,1.98632,-3.21239,0.416588,0.933134,-1.51791,1.29879,11037.3,783.138,10237,0.483882,0.889546,0.123516,22809.9,-0.00108583,1.19953,11.6062,10.9908,118.637,87.4358,1.06155,11.0309,12.6773,117.698,138.29,0.939241,-50.8538,341.373,331.188,672.56 
111,0.16,0.6,43.252,111,23400.4,-0.243358,47.5511,11.2697,118.113,0.232581,90.8213,137.929,-0.394754,1.16561,1.0237,0.378172,0.956255,103.031,11069.3,872.713,10032.1,18132.6,-1.04352,0.516845,-0.273826,-0.270589,0.307493,0.641397,11031.6,848.83,9994.35,0.489746,0.881325,0.135286,22525.1,-0.000770964,1.18704,11.5917,11.1519,118.47,86.9284,1.0296,11.1007,12.6016,117.472,137.55,0.998237,-50.6217,342.344,321.324,663.668 
112,0.16,0.6,43.412,112,19626.1,-0.0656226,41.6029,10.85,118.183,-0.0301254,-204.559,499.987,3.12175,0.904003,2.15442,1.1695,-1.91113,104.077,9955.19,674.435,8279.99,14894.9,2.46641,0.248661,0.843733,0.514155,-2.56648,0.439932,9917.1,650.31,8241.89,0.511315,0.897058,0.126903,19395.3,-0.000940682,1.10722,11.1695,11.029,118.558,86.2318,0.88648,10.8891,12.1395,117.425,136.707,1.13292,-50.4756,304.3,261.433,565.732 
113,0.16,0.6,43.192,113,13870,-0.0190101,28.9369,-11.2505,118.156,-0.00974201,15.9707,4.70043e-13,0.520082,-0.74449,4.2445,-0.820857,-1.43733,51.6545,6423.43,506.851,6554.63,10602.9,0.194828,-1.06974,3.59399,-1.14611,-1.76259,19.9532,6404.52,494.878,6535.73,0.460075,0.880884,0.122408,13920.6,-0.00111036,0.670993,11.749,11.4029,118.724,87.4374,0.659686,11.2724,12.8425,117.503,138.168,1.22057,-50.7303,200.554,213.058,413.613 
114,0.16,0.6,43.182,114,17667.3,-0.232501,36.4185,11.2615,118.157,0.0567481,85.4676,34.1564,-0.352482,1.72312,2.022,-1.01053,0.577043,83.3757,8227.32,623.401,7926.04,13508.9,-0.877476,1.19813,0.972009,-1.53553,0.0520481,6.09394,8196.8,604.074,7895.53,0.474444,0.885764,0.123527,17276.7,-0.000863817,0.881275,11.5188,11.2145,118.547,87.0892,0.803546,11.2625,12.6703,117.548,137.905,0.998533,-50.8157,253.979,255.819,509.798 
115,0.16,0.6,43.162,115,22856.1,0.0331909,46.4448,-11.2193,118.16,0.065278,-60.8396,6.14218e-11,-1.35793,-0.218164,-0.543575,0.800584,-0.411576,51.58,10733.2,846.145,9998.8,17092.1,-1.68272,-0.542949,-1.19315,0.475798,-0.736362,0.675721,10714.3,834.189,9979.92,0.482817,0.880087,0.133431,22191.2,-0.000968346,1.15536,11.5242,11.1555,118.59,86.6202,1.01421,11.2826,12.6731,117.538,137.24,1.05255,-50.6198,331.371,323.531,654.902 
116,0.16,0.6,43.012,116,24771.5,-0.0465203,50.3986,11.196,118.222,0.00101878,58.258,0.00245215,3.09777,2.73132,5.72976,-1.14496,-0.386373,61.5744,11735,846.497,10773.5,18370.5,2.71005,2.3436,4.95432,-1.53268,-0.774091,0.356682,11712.5,832.225,10751,0.486478,0.889406,0.1248,24076.1,-0.000900765,1.28569,11.4761,10.9426,118.575,86.6919,1.11357,11.1785,12.4218,117.571,137.278,1.00365,-50.5863,360.203,344.971,705.174 
117,0.16,0.6,43.172,117,17385.4,-0.0507667,36.4879,-11.0162,117.941,0.0259675,-17.1915,500,0.710886,0.40181,3.27609,0.15107,-2.68052,69.796,8611.65,622.888,7488.41,13099.6,0.2714,-0.0376766,2.39711,-0.288416,-3.12001,4.08276,8586.11,606.71,7462.86,0.500111,0.88995,0.130252,17168.4,-0.000910264,0.931307,11.4452,11.1509,118.219,87.3273,0.781408,10.8235,12.6323,117.275,137.968,0.944165,-50.6409,265.17,238.356,503.526 
118,0.16,0.6,43.202,118,13825.2,-0.0198242,29.2163,-11.165,117.801,-0.000611187,-2.20046,1.81499e-12,2.72977,0.900263,5.17296,0.820276,-3.56376,65.1016,6574.44,502.516,6533.31,10619,2.31984,0.490336,4.35311,0.410348,-3.97369,-0.209213,6550.62,487.425,6509.48,0.466684,0.884787,0.121216,14036.5,-0.00117273,0.705528,11.5465,11.1758,118.107,87.9439,0.667642,11.3311,12.5138,117.117,138.751,0.990323,-50.8075,203.114,211.204,414.318 
119,0.16,0.6,43.312,119,24194.9,-0.242721,49.9982,11.1035,118.045,0.0554409,62.2383,3.10086e-05,1.39188,0.306483,0.853009,-3.39541,-3.11904,36.2794,11415.8,821.359,10695,18184.5,1.16344,0.0780418,0.396126,-3.62386,-3.34748,1.07427,11402.5,812.95,10681.7,0.481393,0.889073,0.122958,23686.5,-0.000963031,1.24808,11.3431,11.0729,118.384,87.5746,1.10523,11.0794,12.5044,117.479,138.37,0.904907,-50.7955,349.731,341.609,691.34 
120,0.16,0.6,43.222,120,21158.2,-0.297198,43.3908,11.3686,117.893,0.292351,-83.7075,11.6721,1.98951,-0.236774,0.662947,1.76364,-2.89863,62.8646,9978.82,792.29,9265.06,16854.9,1.59367,-0.632615,-0.128736,1.3678,-3.29447,0.882362,9955.81,777.718,9242.05,0.483664,0.879736,0.134209,20584.2,-0.000913217,1.07238,11.4576,11.2406,118.279,87.6457,0.936755,11.3635,12.5753,117.125,138.416,1.15408,-50.7708,308.126,298.643,606.77 
121,0.16,0.6,43.262,121,18528.2,-0.320616,40.5117,-10.8319,117.812,-0.0990127,269.805,491.67,1.04465,1.1042,1.18527,-0.734885,-3.81766,105.377,8832.38,596.398,8791.16,15154.7,0.381114,0.440665,-0.141801,-1.39842,-4.48119,0.972729,8793.81,571.971,8752.59,0.466285,0.897808,0.107445,18859.3,-0.00117218,1.01991,11.0007,10.6713,118.234,87.7058,0.957284,10.8106,11.9443,117.089,138.339,1.14513,-50.6335,267.114,275.771,542.885 
122,0.16,0.6,43.232,122,22476.2,-0.345515,46.7336,11.2853,118.354,0.00232318,104.219,200.892,0.553756,2.48118,2.99785,-1.88358,-4.41238,73.1931,10846.2,831.058,9733.16,17176.5,0.0928779,2.0203,2.07609,-2.34446,-4.87325,1.68553,10819.4,814.092,9706.37,0.492201,0.883645,0.133825,21981.8,-0.00113983,1.17467,11.4466,11.1402,118.699,87.3731,0.985188,11.2408,12.7757,117.705,138.112,0.994394,-50.7386,334.183,315.644,649.827 
123,0.16,0.6,43.362,123,21182.9,-0.269988,44.1896,11.1054,118.046,0.212271,-48.6849,305.784,-0.840429,-1.1727,5.3795,0.360267,-1.2214,19.5705,9945.97,730.288,9605.23,16311.7,-0.96366,-1.29593,5.13304,0.237037,-1.34463,-1.90683,9938.81,725.752,9598.07,0.473805,0.886691,0.12226,20976.6,-0.000991796,1.08131,11.5435,10.9682,118.437,88.049,1.00079,10.8407,12.5779,117.477,138.779,0.959843,-50.7299,305.436,304.443,609.879 
124,0.16,0.6,43.212,124,17026.2,-0.276265,36.1499,11.0972,117.939,-0.855025,-109.583,232.568,2.85986,4.89287,4.80465,1.16575,-2.36424,101.594,7985.56,622.535,7823.81,16109.3,2.22015,4.25316,3.52524,0.526038,-3.00395,0.531258,7948.38,598.986,7786.63,0.470235,0.883487,0.124116,16903,-0.000993329,0.855047,11.4346,11.3325,118.316,87.0522,0.812037,10.8573,12.6637,117.328,137.853,0.988269,-50.8006,247.193,249.088,496.281 
125,0.16,0.6,43.242,125,21920.5,0.00248724,45.178,11.0902,117.917,-0.0357947,57.8482,6.85147e-12,-0.474337,-0.735184,-0.324695,1.78943,-2.28331,66.6825,10505.2,809.594,9599.05,16377.7,-0.894219,-1.15507,-1.16446,1.36955,-2.70319,0.743928,10480.8,794.137,9574.65,0.487669,0.882926,0.132537,21491.7,-0.000917626,1.13653,11.4156,11.1982,118.376,87.0235,1.00447,10.9144,12.4133,117.288,137.632,1.08853,-50.6087,324.135,303.613,627.748 
126,0.16,0.6,43.062,126,19039.5,0.0126859,39.6298,11.0696,118.061,-0.0687129,-28.1054,500,1.15741,0.233012,0.357116,0.304191,1.75512,44.1983,9473.08,631.765,8337.76,14343.6,0.879108,-0.0452932,-0.199494,0.0258861,1.47682,1.09335,9456.9,621.52,8321.58,0.497033,0.896851,0.120943,19026.7,-0.00102313,1.05128,11.3697,10.8345,118.295,87.0337,0.868998,11.0533,12.2885,117.617,137.544,0.678238,-50.5107,288.914,263.334,552.248 
127,0.16,0.6,43.112,127,19594,0.1646,41.0003,10.9151,117.84,-0.0301856,14.3899,500,-0.481219,-0.080335,2.67265,0.767073,-1.42947,35.5504,9529.9,662.443,8662.64,14582.5,-0.705071,-0.304186,2.22495,0.543222,-1.65332,-20.0714,9516.88,654.203,8649.63,0.488949,0.89262,0.122287,19464,-0.00101604,1.04522,11.3533,11.0324,118.291,87.4333,0.914928,10.9329,12.3278,117.219,138.02,1.07132,-50.5866,292.08,275.109,567.189 
128,0.16,0.6,43.252,128,22379.1,-0.279077,46.3028,11.1817,117.976,-0.12831,59.0061,198.476,2.57688,-1.77278,5.9399,-3.29223,-4.37621,72.1089,11029.8,848.899,9451.93,17100.8,2.12283,-2.22683,5.0318,-3.74628,-4.83026,2.37905,11003.4,832.184,9425.54,0.503755,0.883118,0.139889,21842.8,-0.00084169,1.20644,11.3411,11.0498,118.318,87.1305,0.968848,11.0408,12.5978,117.305,137.579,1.01251,-50.4481,337.297,300.639,637.936 
129,0.16,0.6,43.412,129,22135.9,-0.287137,45.8238,11.2035,117.927,-0.0794441,-48.2925,269.134,0.847748,3.2161,0.344201,-0.153962,-0.623467,42.4629,10728.8,784.302,9716.14,16837.3,0.58037,2.94873,-0.190554,-0.421339,-0.890845,1.09404,10713.2,774.459,9700.6,0.489883,0.887699,0.128211,21868.9,-0.000964541,1.18404,11.3288,10.9511,118.303,87.5748,1.01703,11.1099,12.1932,117.27,137.967,1.03324,-50.3921,327.723,307.368,635.091 
