cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
34,0.26,0.5,43.3009,34,21164.3,-0.0376473,43.883,10.9443,118.059,0.0894362,-58.9985,1.319,1.72296,-0.45458,1.35388,1.00032,1.8816,-16.1454,11616.8,71.0849,10092.4,15806.2,1.82462,-0.352917,1.55721,1.10198,1.98326,0.745311,11639.4,72.343,10115.1,0.500152,0.98924,0.0130034,23271.8,-0.000663458,1.1535,11.2815,10.9183,118.341,85.9103,0.945146,10.8017,12.3907,117.408,135.981,0.933095,-50.0708 
35,0.26,0.5,43.2109,35,13645.9,-0.0685095,28.4515,11.2273,117.661,-0.057286,17.0388,500,1.43652,-1.98408,6.06201,-0.915468,-0.424015,-59.319,7709.98,39.7034,6645.35,10430.4,1.81003,-1.61056,6.80904,-0.541952,-0.0504992,-0.0612494,7793.18,44.3257,6728.55,0.501782,0.990145,0.0119897,15531,-0.000870967,0.752244,11.5935,10.9886,117.912,85.8556,0.59778,11.1609,12.5139,116.894,135.787,1.01806,-49.9318 
36,0.26,0.5,43.2509,36,23092,0.022127,47.6544,10.9799,117.99,0.0121264,-21.6811,4.64917e-11,1.4238,0.724628,-0.14407,0.487926,0.136098,-68.7814,12632.4,94.2476,11001.3,17041.7,1.8569,1.15773,0.722126,0.921024,0.569196,0.861846,12728.8,99.6072,11097.8,0.499341,0.986491,0.0162648,25491.3,-0.000510228,1.25321,11.1573,10.9501,118.248,86.1551,1.00702,10.8753,12.5067,117.368,136.286,0.880163,-50.131 
37,0.26,0.5,43.2209,37,15785.4,-0.0981867,33.8208,10.9066,117.935,0.0418256,297.111,500,-0.243936,0.000885322,0.329672,-0.129298,-1.81767,-75.4535,8945.76,47.0713,7602.93,12412.5,0.231175,0.475996,1.27989,0.345813,-1.34256,-0.292407,9051.59,52.9508,7708.76,0.505205,0.989866,0.0124952,17916.7,-0.000907893,0.9116,11.1243,10.8877,118.08,85.5304,0.712574,10.8112,12.4153,117.321,135.781,0.759191,-50.2503 
38,0.26,0.5,43.3509,38,19819.6,-0.242284,41.7816,10.9738,117.974,0.2536,64.0447,2.30193e-11,-0.997315,4.57554,5.43005,-1.78145,-1.54561,-26.7383,11495.7,69.2131,8904.47,15454.5,-0.828952,4.74391,5.76678,-1.61309,-1.37725,0.13818,11533.2,71.2966,8941.97,0.528646,0.989297,0.014475,21816.4,-0.000710707,1.16324,11.1444,10.8787,118.147,85.4502,0.849932,10.7601,12.2173,117.311,135.464,0.836403,-50.0138 
39,0.26,0.5,43.2009,39,12322.1,-0.237166,26.0778,11.2771,118.139,-1.60406,1659.12,256.633,1.13696,0.134835,0.560146,-1.33159,-0.64989,-56.2781,6848.38,43.9139,6190.52,96208.5,1.49133,0.489203,1.26888,-0.977222,-0.295521,0.358072,6927.32,48.2992,6269.46,0.490007,0.987946,0.0139928,14137.2,-0.000870308,0.641241,11.5892,11.4133,118.373,85.739,0.546859,11.1942,12.7864,117.449,136.018,0.92348,-50.2791 
40,0.26,0.5,43.2309,40,19527.1,-0.266426,41.2952,11.003,117.777,-0.50859,1657.05,255.852,-1.74388,-2.08656,0.85548,-5.00958,-0.692618,13.1388,11087.7,69.6803,9046.63,42225.8,-1.82661,-2.1693,0.690017,-5.09231,-0.775349,1.07522,11069.3,68.6565,9028.2,0.51601,0.989262,0.0138151,21451.8,-0.000755394,1.14949,11.09,10.6406,117.847,86.1755,0.87446,10.8384,12.044,117.141,136.188,0.706033,-50.0127 
41,0.26,0.5,43.0509,41,24172.6,-0.294253,50.1728,11.1302,117.944,0.0804706,64.5394,445.794,3.30017,4.59146,-3.80805,-2.35775,2.41287,3.17636,13586.1,104.129,11170.7,18348,3.28017,4.57146,-3.84805,-2.37775,2.39287,1.95754,13581.6,103.881,11166.3,0.514011,0.986792,0.0168486,26422.8,-0.00069091,1.33653,11.2343,11.0391,118.191,85.9697,1.01623,10.928,12.6135,117.244,136.039,0.946483,-50.0695 
42,0.26,0.5,43.1009,42,22158.5,-0.228855,45.8814,11.0561,117.775,-0.102708,-108.204,464.01,2.93553,-0.649412,-2.03867,1.62772,-3.27301,34.3464,11777.1,78.2568,10929.6,16875.1,2.71926,-0.865682,-2.47121,1.41145,-3.48928,0.083195,11728.9,75.5804,10881.4,0.483816,0.988849,0.0126333,24242.6,-0.000700865,1.17752,11.1895,10.9425,118.101,86.5008,1.02189,10.9349,12.2699,117.138,136.546,0.962638,-50.0455 
43,0.26,0.5,43.2409,43,22144.5,-0.203042,45.904,11.019,117.772,-0.0241381,-14.9296,1.99153,1.73079,-3.03999,-3.4519,-2.47817,-3.11145,44.0255,12497.2,90.8881,10125.4,16477.8,1.45358,-3.3172,-4.00633,-2.75539,-3.38866,0.666528,12435.4,87.4575,10063.6,0.517957,0.987842,0.0157565,24008.6,-0.000585978,1.2454,11.1564,10.9725,118.058,85.7839,0.955182,10.8234,12.2906,117.099,135.571,0.958557,-49.787 
44,0.26,0.5,43.4009,44,19686.7,-0.202456,41.5643,10.9639,118.128,0.222331,-84.5245,498.519,-0.0284123,-1.16437,4.18234,-3.44762,0.936683,-28.7527,11022.3,70.2666,9319.85,15446.6,0.152636,-0.983325,4.54444,-3.26657,1.11773,-1.90397,11062.6,72.5071,9360.18,0.506836,0.98866,0.0140688,21826.8,-0.00070938,1.12368,11.1023,10.7889,118.35,85.9714,0.877833,10.7547,12.3415,117.428,136.134,0.921645,-50.1622 
45,0.26,0.5,43.1809,45,15786.9,-0.254291,33.6288,11.0536,117.568,-0.0907487,50.2536,258.365,2.7545,-1.76595,-1.55524,-0.278465,0.698793,-10.5265,8198.34,54.743,8250.45,12249.2,2.82079,-1.69967,-1.42268,-0.212182,0.765076,6.66043,8213.11,55.5632,8265.21,0.463543,0.988299,0.0122321,17718.1,-0.000930968,0.818927,11.2052,11.1163,117.833,86.0417,0.766039,10.9462,12.4492,116.956,136.553,0.877503,-50.5112 
46,0.26,0.5,43.1709,46,15987,0.0366037,33.903,10.8784,117.879,-0.0265597,-19.2236,3.15138e-12,-1.68501,-2.30772,-0.385244,-1.97422,4.40658,-23.1567,8962.78,50.8359,7743.14,12022.7,-1.53919,-2.1619,-0.0936205,-1.82841,4.55239,0.912565,8995.26,52.6403,7775.62,0.501486,0.989863,0.0123173,17937.2,-0.00079474,0.890603,11.0558,11.1326,118.187,86.0758,0.730187,10.8098,12.3321,117.145,136.202,1.04215,-50.1265 
47,0.26,0.5,43.1509,47,18611.6,0.0105051,38.0425,-11.1005,117.79,-0.00167468,-65.8354,2.45854e-13,-0.607538,1.21841,-0.441916,0.860435,2.41442,32.1114,10633.5,70.3115,8456.28,13750.5,-0.809736,1.01621,-0.846311,0.658238,2.21222,1.37941,10588.4,67.8093,8411.24,0.522593,0.988917,0.0146333,20261.4,-0.00056885,1.05942,11.2055,10.8943,118.045,86.0747,0.767728,11.0717,12.5474,117.033,136.121,1.01196,-50.0461 
48,0.26,0.5,43.0009,48,18554.7,-0.0350752,39.2577,10.8506,117.767,0.0883468,-141.985,483.545,3.33839,1.18859,-2.31705,-1.9426,2.69504,24.3369,10087,81.5066,9055.71,14275,3.18515,1.03534,-2.62353,-2.09584,2.5418,2.28421,10052.8,79.6102,9021.58,0.492119,0.986331,0.0159955,20427.7,-0.000710892,1.0436,11.0096,10.7549,118.075,86.3611,0.877114,10.8136,11.9864,117.113,136.553,0.962874,-50.1917 
