cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
294,0.28,0.48,43.182,294,15769.3,-0.0684659,34.5211,-10.737,117.861,0.00946944,-27.7914,496.366,0.882074,0.241807,-0.593209,-4.35827,-1.44351,89.7748,7626.19,467.812,7519.46,12074.6,0.316786,-0.323482,-1.72379,-4.92356,-2.0088,0.801014,7593.33,447.003,7486.61,0.468639,0.906603,0.0990882,16202.9,-0.0012412,0.86423,11.2159,10.7378,118.292,87.7218,0.81715,10.7644,12.0966,117.228,138.566,1.06443,-50.8443,232.208,237.384,469.592 
295,0.28,0.48,43.192,295,14509.7,-0.267058,30.8766,11.1883,117.556,-0.235054,179.832,14.5746,2.74338,-0.62334,-1.30762,0.468953,-1.67419,93.9412,6668.47,470.04,7234.51,12621.8,2.15186,-1.21486,-2.49066,-0.12257,-2.26571,0.368165,6634.08,448.264,7200.12,0.444816,0.894257,0.102886,14914.2,-0.00124797,0.722225,11.5853,11.0511,117.986,87.9952,0.744995,11.1822,12.3252,116.884,138.812,1.10266,-50.8164,206.292,229.072,435.364 
296,0.28,0.48,43.222,296,12365.3,-0.263396,27.2262,10.9624,117.973,0.00931118,80.2568,497.598,1.99698,1.26345,-0.391354,0.662495,2.07975,69.254,5902.73,373.138,5988.13,9740.3,1.56091,0.827374,-1.2635,0.226421,1.64368,1.42189,5877.38,357.085,5962.79,0.461529,0.903895,0.0993551,12734.6,-0.00118507,0.655401,11.3907,10.8699,118.243,87.7463,0.627699,10.9407,12.6454,117.44,139.029,0.802642,-51.2832,181.043,193.743,374.786 
297,0.28,0.48,43.232,297,12006.9,-0.105677,26.2365,10.8778,117.563,0.0153595,36.6891,500,0.137209,0.814338,-0.753361,-3.58828,-3.76837,79.957,6248.91,352.09,5432.74,9308.89,-0.366259,0.31087,-1.7603,-4.09175,-4.27184,0.82707,6219.65,333.556,5403.48,0.500227,0.914201,0.102102,12433.6,-0.00116584,0.695228,11.2641,10.9289,117.937,87.7356,0.576279,10.9711,12.297,116.857,138.501,1.08046,-50.7658,190.939,173.451,364.391 
298,0.28,0.48,43.352,298,14083.2,-0.215118,30.5226,10.8216,117.7,0.635617,-219.981,4.05538,2.5078,2.04229,-4.64306,0.400342,-1.94621,106.947,7455.21,433.812,6064.75,15304.2,1.83438,1.36887,-5.9899,-0.273078,-2.61963,-0.0546799,7416.07,409.022,6025.61,0.516961,0.911977,0.111145,14345.5,-0.00100909,0.848669,11.114,10.7154,118.109,87.2383,0.650014,10.7164,12.2788,116.983,137.754,1.12617,-50.5156,225.483,190.819,416.303 
299,0.28,0.48,43.202,299,11727.2,-0.25251,25.79,10.9875,117.779,0.0153857,24.2051,216.119,-1.39158,-1.81121,-4.77446,-0.631977,-1.36438,39.6772,5641.07,356.776,5826.74,9236.66,-1.64142,-2.06105,-5.27413,-0.881814,-1.61422,0.540286,5626.54,347.579,5812.21,0.457049,0.902441,0.0992295,12310.6,-0.0012428,0.617048,11.4686,11.0087,118.143,87.6493,0.616108,10.8765,12.396,117.177,138.646,0.965143,-50.9963,173.805,185.321,359.127 
300,0.28,0.48,43.162,300,19339.5,-0.0708185,41.3942,10.806,117.996,-0.326384,656.926,499.998,5.2369,0.0980265,-5.74131,-0.135506,-1.80159,95.8484,9243.69,632.641,8874.9,21541.1,4.63337,-0.505505,-6.94838,-0.739038,-2.40512,-0.164923,9208.61,610.423,8839.82,0.475298,0.896054,0.11285,19374.4,-0.0010932,1.03728,11.0509,11.0507,118.528,88.2391,0.96067,10.8,12.0972,117.23,139.107,1.29779,-50.8683,282.605,280.015,562.62 
301,0.28,0.48,43.062,301,19049.5,-0.0974859,40.8296,10.7636,117.959,-0.114565,189.024,0.00097661,-2.10493,2.58218,-5.40085,-1.6697,0.186768,97.0671,9232.33,529.921,8907.45,15011.3,-2.71614,1.97098,-6.62326,-2.28091,-0.424438,0.342524,9196.81,507.421,8871.93,0.474074,0.911948,0.0953153,19399.5,-0.00117937,1.05306,11.117,10.7005,118.329,88.1439,0.970602,10.7372,11.9518,117.284,139.024,1.04565,-50.8803,279.476,277.883,557.359 
302,0.28,0.48,43.112,302,17304.8,-0.286263,37.8388,10.7917,117.957,0.201113,85.0988,462.091,-2.3823,-2.66072,-3.04163,0.453688,-5.48741,28.9064,8502.89,488.319,8082.92,13850.1,-2.56431,-2.84274,-3.40566,0.271672,-5.66943,0.760341,8492.31,481.619,8072.34,0.477754,0.909714,0.0990222,17775.5,-0.00116467,0.977821,11.1147,10.6068,118.348,87.5853,0.895629,10.6326,11.8623,117.295,138.424,1.05338,-50.8382,257.183,252.019,509.201 
303,0.28,0.48,43.212,303,11205.4,-0.224719,24.5162,10.9676,117.753,0.102735,-237.551,461.479,1.5323,-1.31963,-3.98169,-1.51662,-2.54409,80.023,5503.54,343.797,5402.75,9547.48,1.02842,-1.82351,-4.98946,-2.0205,-3.04798,0.540271,5474.25,325.248,5373.46,0.469742,0.905818,0.100315,11653.7,-0.00112607,0.593716,11.5865,11.0842,118.078,87.428,0.573207,10.8451,12.3395,117.266,138.342,0.812034,-50.914,170.111,171.135,341.246 
304,0.28,0.48,43.302,304,13782.7,-0.254677,30.6905,10.6977,118.046,0.296531,812.748,434.21,-0.66988,2.32256,-0.0582844,2.28125,0.511449,86.8369,6985.17,418.521,6287.67,18533.3,-1.21667,1.77577,-1.15186,1.73446,-0.03534,2.04112,6953.39,398.393,6255.89,0.491487,0.908871,0.104994,14147.7,-0.00112784,0.786831,11.0765,10.9918,118.39,87.8904,0.696168,10.5772,12.0552,117.467,138.885,0.922947,-50.9951,213.723,198.041,411.764 
305,0.28,0.48,43.252,305,18210.6,-0.258078,39.0943,-10.8668,117.673,0.169956,-36.3457,462.682,2.83788,1.34769,-0.0416295,-0.862537,-3.63858,113.821,8599.27,566.416,8546.5,14030.7,2.12118,0.630987,-1.47503,-1.57924,-4.35528,0.683293,8557.61,540.032,8504.84,0.466655,0.900548,0.104719,18338.2,-0.000962248,0.978674,11.0695,10.7561,118.046,87.5742,0.935777,10.6364,12.0569,116.999,138.291,1.04688,-50.7168,259.966,267.733,527.699 
