cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
96,0.09,0.67,43.237,96,21821.9,0.153529,43.0994,11.3502,117.647,-0.378164,-159.193,6.91813e-12,-0.902619,3.77893,-3.35036,-2.59897,-4.65909,177.623,10331.6,956.64,9000.33,17884.4,-2.02106,2.66049,-5.58725,-3.71742,-5.77753,0.613146,10266.6,915.468,8935.32,0.49978,0.865017,0.158768,20542.2,-0.000811315,1.06845,11.7163,11.6364,117.937,86.1264,0.87156,11.4345,13.3479,116.961,136.591,0.976598,-50.4645,324.991,296.775,621.766 
97,0.09,0.67,43.197,97,20837.4,-0.17219,41.7914,11.2977,117.997,0.19231,-71.5734,24.5424,0.475925,1.44637,0.998506,-3.20517,0.0743104,185.012,9797.32,904.169,8662.6,15818,-0.689047,0.281399,-1.33144,-4.37015,-1.09066,0.815075,9729.6,861.284,8594.89,0.496061,0.865866,0.15583,19613.7,-0.000638553,1.02011,11.5232,11.7259,118.356,85.2792,0.854056,11.3374,13.0533,117.304,135.325,1.05155,-50.046,307.516,281.982,589.498 
98,0.09,0.67,43.227,98,23004.3,-0.237204,44.8577,-11.6923,118.023,-0.0905989,27.1517,3.35541e-12,-1.37751,-2.24197,-0.816901,-1.33827,-1.52009,122.615,10315.8,1024.31,9749.78,17153.9,-2.14959,-3.01405,-2.36105,-2.11035,-2.29217,0.802045,10271,995.89,9704.91,0.479244,0.854933,0.15898,21431.6,-0.000803981,1.02007,12.0473,12.0098,118.376,85.4076,0.917586,11.6063,13.6613,117.361,135.766,1.01557,-50.3585,329.287,324.589,653.876 
99,0.09,0.67,43.257,99,27420.5,-0.182515,54.3742,11.3347,118.065,1.43942,-920.979,244.545,-1.06644,-1.26409,-1.88096,-2.26956,-1.48706,135.761,12919.6,1109.66,11378.8,63218.3,-1.92129,-2.11895,-3.59067,-3.12442,-2.34191,0.725845,12869.9,1078.19,11329.1,0.49694,0.872138,0.149163,25898.4,-0.000791574,1.34767,11.5969,11.5779,118.523,86.0921,1.13885,11.2893,12.9177,117.301,136.468,1.2222,-50.3757,403.698,370.526,774.224 
100,0.09,0.67,43.247,100,27445.9,-0.113361,54.0174,11.3769,117.895,-1.376,1264.52,319.248,2.78925,0.153098,1.98948,-4.11332,-2.66907,181.231,12825.8,1206.49,11353.6,76648,1.64809,-0.988066,-0.292849,-5.25448,-3.81023,0.96633,12759.5,1164.48,11287.3,0.495709,0.862283,0.159696,25739.8,-0.000733293,1.31445,11.7703,11.6942,118.258,85.4119,1.12048,11.2192,13.1736,117.216,135.659,1.04172,-50.2475,403.653,369.462,773.116 
101,0.09,0.67,43.067,101,23197.7,0.0316315,47.1743,11.1098,117.999,0.0109397,-29.9704,13.7621,0.267751,-0.572541,-1.91403,-0.914192,-0.789194,172.816,11043.3,913.583,9812.21,17071.8,-0.820427,-1.66072,-4.09038,-2.00237,-1.87737,0.608623,10980.1,873.525,9748.96,0.49479,0.877792,0.141672,22191.4,-0.000786896,1.18295,11.4369,11.3191,118.361,85.4652,0.995028,11.0763,12.891,117.304,135.75,1.05732,-50.2845,341.655,316.968,658.622 
102,0.09,0.67,43.117,102,29221.6,0.10386,57.8392,11.2274,117.947,0.468356,-401.745,500,-1.62764,1.53332,4.70397,-3.28704,-0.6271,151.293,13438.4,1265.78,12036.6,27264.7,-2.58029,0.580669,2.79867,-4.23969,-1.57975,1.55746,13383,1230.71,11981.3,0.492721,0.861378,0.159113,27161.5,-0.000544313,1.39687,11.5614,11.6722,118.419,85.4885,1.18333,11.1665,13.4077,117.239,135.853,1.1803,-50.3643,420.558,395.256,815.814 
103,0.09,0.67,43.167,103,30476.1,-0.233745,59.7071,11.5312,117.514,-0.097305,216.351,189.929,-1.49534,-1.59891,0.774015,-1.49054,0.441629,157.288,14054.8,1334.95,12546.7,23098.1,-2.48574,-2.58931,-1.20679,-2.48094,-0.548772,0.870399,13997.2,1298.49,12489.1,0.49356,0.860331,0.160738,28359.7,-0.000601616,1.42864,11.8647,11.729,117.92,87.0585,1.24905,11.2283,13.0505,116.713,137.587,1.20611,-50.5288,443.547,408.339,851.885 
104,0.09,0.67,43.177,104,25921.1,0.0373927,51.7615,11.2404,117.971,-0.0987391,-60.1567,1.90215e-12,-0.697963,2.75294,-0.0277855,-2.7002,-2.33969,123.117,12287.1,1073.15,10902.3,19133.5,-1.4732,1.9777,-1.57826,-3.47544,-3.11493,0.794072,12242.1,1044.62,10857.3,0.49507,0.870074,0.150552,24728,-0.000876177,1.30532,11.4903,11.4201,118.367,85.9253,1.08623,11.3776,12.8284,117.211,136.174,1.15641,-50.2489,382.139,353.707,735.847 
105,0.09,0.67,43.187,105,26109.7,-0.18266,51.6029,11.3919,117.637,0.276087,-157.428,499.087,-1.51578,0.827735,0.620261,-1.64477,0.695864,149.206,12162.4,1122.72,10771.3,20551.6,-2.45529,-0.111778,-1.25876,-2.58428,-0.243649,0.810819,12107.8,1088.14,10716.7,0.495571,0.8641,0.157569,24431.9,-0.000515831,1.26047,11.6519,11.6365,117.936,86.3285,1.08776,11.2214,12.7995,116.886,136.722,1.05035,-50.3934,381.288,348.556,729.843 
