cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
192,0.27,0.44,43.2125,192,21241.1,-0.150973,42.275,-11.7717,122.411,0.0854359,-10.8003,500,-2.97822,-1.7221,-4.67227,0.596236,-4.17774,-167.79,9766.45,89.4407,12954.6,16230.2,-1.92169,-0.665571,-2.5592,1.65277,-3.12121,0.613116,9900.1,101.591,13088.2,0.508884,0.982359,0.0140968,19454.5,-0.00171388,0.969429,11.983,10.4593,122.884,81.6371,1.19006,11.9795,11.4059,121.7,129.412,1.18417,-47.7753 
193,0.27,0.44,43.3825,193,23886.7,-0.0578914,46.7333,11.7594,122.317,0.109008,-41.8347,500,2.24974,-1.22102,-2.76246,-2.52831,-4.78885,-184.865,10947.6,91.4894,14282.5,18038.2,3.41378,-0.0569723,-0.434367,-1.36427,-3.6248,0.789818,11094.8,104.876,14429.8,0.512972,0.983727,0.0132116,21628.6,-0.0016527,1.09148,11.9984,10.4208,122.719,82.2455,1.31317,12.0506,11.3247,121.649,130.107,1.0695,-47.8611 
194,0.27,0.44,43.3325,194,24785.2,-0.0134362,48.2591,11.7305,122.64,-0.048797,20.7777,500,2.57704,1.45723,0.912551,-1.66239,2.92821,-199.115,11579.1,93.6454,14520.2,18461.6,3.83082,2.711,3.4201,-0.408618,4.18199,0.750999,11737.7,108.064,14678.8,0.522763,0.984144,0.0133799,22453.3,-0.00164233,1.15731,12.0834,10.3217,123.022,82.1407,1.35833,12.0082,11.1705,122.011,129.933,1.01157,-47.7923 
195,0.27,0.44,43.0425,195,24352.3,-0.0220721,48.0032,11.7006,122.704,0.0459974,25.8515,499.21,-2.11546,-1.63792,-5.63562,-0.512024,2.08069,-195.765,11392.8,102.96,14472.4,18322.8,-0.88278,-0.405239,-3.17025,0.720658,3.31337,-6.47268,11548.7,117.136,14628.3,0.51957,0.98256,0.0145362,22227.4,-0.00179072,1.14987,11.8313,10.3719,123.221,82.2269,1.33346,12.0889,11.3025,122.007,130.281,1.21378,-48.0542 
196,0.27,0.44,43.2225,196,25357.6,-0.338898,48.7657,12.083,122.514,0.187336,-65.6303,385.118,-3.24936,3.0618,-3.38221,0.563821,-0.857492,-184.444,12209.1,109.206,14481.8,19581.9,-2.08796,4.2232,-1.05942,1.72522,0.303902,1.34121,12356,122.562,14628.7,0.536403,0.982938,0.015199,23035,-0.00167519,1.174,12.1666,10.627,122.944,82.1953,1.28689,12.2756,11.5352,121.798,130.162,1.14546,-47.9671 
197,0.27,0.44,43.2025,197,19954.6,-0.344453,39.805,-11.8705,122.407,0.648794,109.656,472.467,-0.0332589,-0.987954,-1.87089,-3.00331,-0.386641,-280.697,8911.96,80.5738,12596.6,17697.6,1.73422,0.779521,1.66406,-1.23583,1.38083,0.61505,9135.54,100.9,12820.2,0.493966,0.981038,0.0142909,18494.3,-0.00183309,0.895669,11.9099,10.4548,122.872,81.84,1.15374,12.1588,11.2965,121.778,129.774,1.09402,-47.9339 
198,0.27,0.44,43.2325,198,23966.5,-0.334001,46.6211,11.9788,122.13,-0.157769,355.422,156.677,-2.13095,0.102915,-2.76723,-3.2592,-1.96948,-296.428,10685.1,106.543,14727.5,20005.3,-0.264428,1.96944,0.965827,-1.39267,-0.102958,0.178168,10921.2,128.008,14963.6,0.499948,0.9799,0.015514,21844.6,-0.00173716,1.06216,12.0137,10.4013,122.598,81.858,1.33817,12.252,11.29,121.409,129.625,1.18894,-47.7666 
199,0.27,0.44,43.1525,199,21870.4,-0.343827,43.9418,11.6984,122.343,0.824031,-223.723,441.761,-3.80031,-5.14583,-4.29769,-1.00124,-2.2803,-244.117,10169.6,81.5798,13178.6,22735.4,-2.26317,-3.60869,-1.22341,0.535897,-0.743158,0.832467,10364.1,99.2569,13373.1,0.514949,0.983516,0.013488,20126.4,-0.00171892,1.04388,11.8816,10.2265,122.723,81.9292,1.24628,11.9637,11.0696,121.726,129.775,0.996398,-47.8455 
200,0.27,0.44,43.1825,200,17391.7,-0.376487,35.0863,11.9844,122.385,0.374958,-406.812,358.919,-3.92077,-0.346624,-3.41212,1.18983,-1.11931,-294.161,7383.71,86.281,11564,18653.9,-2.06852,1.50563,0.292392,3.04209,0.73295,0.916568,7618.02,107.582,11798.3,0.469356,0.975882,0.0165196,16230.8,-0.00181697,0.718235,12.2005,10.5832,122.954,82.3148,1.04374,12.1489,11.4843,121.649,130.408,1.30465,-48.0933 
201,0.27,0.44,43.1725,201,18579.6,-0.352135,37.4664,11.8375,122.229,0.760495,-653.965,469.112,1.13834,-0.266396,-4.98512,-0.132027,2.47279,-281.467,7873.68,89.2904,12205.2,30627.7,2.91067,1.50592,-1.44048,1.64029,4.24511,1.16255,8097.88,109.672,12429.4,0.471593,0.976848,0.0159941,17171.3,-0.00174019,0.779044,11.8608,10.6038,122.709,81.7242,1.08099,12.172,11.6944,121.592,129.552,1.11766,-47.8278 
