cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
54,0.08,0.68,43.072,54,13278.9,-0.291861,31.5747,-10.1833,121.625,0.0951821,186.585,114.035,-3.4347,-1.78978,-4.1852,-4.42171,-5.00747,-107.249,8192.67,33.0595,6461.37,11045.1,-2.75938,-1.11446,-2.83455,-3.74639,-4.33215,0.808307,8278.09,40.8257,6546.8,0.55109,0.991443,0.0113569,15021.3,-0.00134056,1.08017,10.4139,8.94202,121.899,82.6256,0.828815,10.1702,9.58073,121.11,130.348,0.78856,-47.7228 
55,0.08,0.68,43.182,55,10528.6,-0.168992,26.5338,9.8271,121.53,0.0496416,75.7459,500,-0.747592,-3.88696,-1.22015,-2.13064,-4.07924,-143.699,6321.44,15.1969,5781.67,8610.71,0.157241,-2.98212,0.589516,-1.2258,-3.17441,1.08884,6435.9,25.6025,5896.13,0.514505,0.993086,0.00793542,12508.9,-0.00153147,0.871753,10.188,8.81669,121.87,82.2726,0.758962,9.98944,9.49484,120.954,130.029,0.915979,-47.7565 
56,0.08,0.68,43.192,56,8501.71,-0.0709941,22.8759,9.36644,121.259,0.654632,-257.818,500,-3.21052,1.45168,-5.17083,-0.716764,-4.35984,-166.465,5258.83,7.4014,4868.23,12469.3,-2.16233,2.49987,-3.07445,0.331424,-3.31165,0.462239,5391.42,19.4556,5000.82,0.51141,0.993725,0.00711566,10542.3,-0.00153718,0.766879,9.79498,8.61745,121.51,82.5051,0.677016,9.73177,9.22814,120.759,130.48,0.751611,-47.9752 
57,0.08,0.68,43.272,57,13242.6,-0.0562848,32.1987,-9.92263,121.454,0.00816482,49.1427,500,-2.38421,-0.367343,-2.45902,-4.2207,-1.72274,-69.0497,8451.38,32.8424,6361.06,10413.7,-1.94943,0.0674445,-1.58944,-3.78591,-1.28796,0.813998,8506.38,37.8424,6416.06,0.56278,0.992275,0.0107481,15114.9,-0.00153274,1.12445,10.2931,8.99121,121.861,83.0321,0.821122,10.0899,9.59602,120.818,130.814,1.04315,-47.7819 
58,0.08,0.68,43.212,58,8069.36,-0.0167905,21.3405,9.61348,121.531,-0.0176378,2.2783,500,-5.36192,1.58179,-0.553214,-2.36118,-2.12704,-111.377,5014.48,12.8124,4666.77,6679.83,-4.66061,2.2831,0.849407,-1.65987,-1.42573,1.18411,5103.2,20.8775,4755.49,0.510251,0.992892,0.0080223,10001.4,-0.00156511,0.708138,10.0093,8.76575,121.824,82.898,0.611149,10.1607,9.41883,120.833,130.817,0.991104,-47.9194 
59,0.08,0.68,43.232,59,11121.1,-0.0329788,27.3665,9.75497,121.554,0.0120307,-8.95816,1.98498e-12,-3.22793,-0.0985899,-4.35304,-1.30005,-0.82273,-107.043,6826.09,11.3938,5718.34,8693.93,-2.55391,0.57543,-3.005,-0.626026,-0.148709,0.478137,6911.36,19.1451,5803.61,0.536218,0.995176,0.00604007,12889.1,-0.00134419,0.937005,10.1122,8.84964,121.866,82.7262,0.746106,9.97022,9.55786,121.046,130.683,0.820609,-47.9568 
60,0.08,0.68,43.202,60,8198.99,-0.00212505,21.3953,9.68101,121.626,-0.00317738,-23.7894,499.999,-3.82975,-0.309176,-5.25114,-5.90236,-4.3296,-161,5067.05,24.9313,4744.02,6745.15,-2.81598,0.704595,-3.2236,-4.88859,-3.31583,0.76191,5195.3,36.5897,4872.26,0.508658,0.987825,0.0136451,10213.7,-0.00157006,0.683681,10.1731,9.03253,121.93,82.8453,0.604002,10.1011,9.7449,121.067,130.628,0.86276,-47.7828 
61,0.08,0.68,43.152,61,12881.3,-0.0333436,31.1958,9.90015,121.372,-0.000764141,-10.4267,500,-1.03575,-0.82553,-7.65886,-1.83495,1.32783,-94.7808,7931.42,30.6963,6424.9,10054.1,-0.43894,-0.228721,-6.46524,-1.23814,1.92464,-0.00292344,8006.91,37.5596,6500.4,0.544602,0.991858,0.0105317,14702.3,-0.0014105,1.07195,10.3238,8.80232,121.636,83.0783,0.846958,9.92721,9.51862,120.887,130.959,0.748682,-47.8803 
62,0.08,0.68,43.332,62,13206.6,-0.304181,32.1694,9.98972,121.732,-1.78532,927.314,253.665,-2.2071,-0.25096,-6.4531,-5.84448,-5.7122,-105.986,8218.46,38.9772,6449.36,64355.2,-1.53973,0.416403,-5.11837,-5.17712,-5.04484,0.689111,8302.88,46.6519,6533.78,0.552322,0.990263,0.0129821,15032.7,-0.00145774,1.10383,10.2417,8.94664,121.982,82.046,0.841179,10.0609,9.56447,121.259,129.63,0.722647,-47.5844 
63,0.08,0.68,43.012,63,13889.3,-0.138744,33.181,10.0177,121.798,-6.04374e-05,128.046,500,-1.52213,2.97098,-13.0665,-3.19201,-2.22734,7.94747,8388.73,37.2279,6890.76,10820.9,-1.57217,2.92093,-13.1665,-3.24205,-2.27738,0.240562,8382.4,36.6525,6884.43,0.541731,0.992406,0.00971205,15473.4,-0.00131217,1.13717,10.2084,8.84887,122.054,82.9847,0.888094,10.1913,9.46957,121.218,130.695,0.836654,-47.7099 
64,0.08,0.68,43.392,64,13981.6,-0.258865,32.8221,10.1483,121.419,-1.71142,888.903,195.279,-2.51819,0.270257,-8.41422,-4.52705,-4.76197,-148.704,8449.98,27.1928,6788.98,60366,-1.58184,1.20661,-6.54152,-3.5907,-3.82562,0.543607,8568.43,37.9608,6907.43,0.546349,0.992307,0.0100221,15683.1,-0.00121846,1.11411,10.4,8.97088,121.685,82.5854,0.86857,10.1695,9.54592,120.919,130.347,0.765227,-47.762 
65,0.08,0.68,43.262,65,13509.2,-0.0109112,31.8245,9.99214,121.584,-0.00237236,19.9125,500,-4.20419,1.30586,-4.19104,-3.05383,1.40509,-96.7918,8232.85,33.0271,6573.04,10353.3,-3.59472,1.91534,-2.9721,-2.44436,2.01456,0.415089,8309.95,40.0361,6650.14,0.548165,0.991639,0.0109685,15159.6,-0.00130574,1.09931,10.3105,8.95615,121.907,83.0237,0.836169,10.1485,9.68341,121.047,130.714,0.860088,-47.6903 
66,0.08,0.68,43.162,66,12429.3,-0.340355,31.3188,9.85291,121.53,0.0639938,230.748,497.333,-4.62535,3.1514,-7.81387,-1.88953,-1.27962,-91.3035,7603.83,33.7072,6483.51,10526,-4.05044,3.72631,-6.66404,-1.31461,-0.704701,0.260166,7676.56,40.3187,6556.24,0.532005,0.990892,0.0112014,14429.5,-0.00165119,1.08012,10.1385,8.57443,121.772,82.7387,0.877502,10.0917,9.18629,120.94,130.568,0.831944,-47.8292 
67,0.08,0.68,43.222,67,10220.5,-0.244627,26.105,9.75925,121.776,0.218274,39.6792,0.159564,-2.03066,1.6262,-1.59922,-1.40667,-3.67467,-74.3958,6328.15,21.3647,5356.72,8575.38,-1.56221,2.09465,-0.662316,-0.938222,-3.20622,0.845047,6387.41,26.7518,5415.97,0.533803,0.992724,0.00901691,11965.9,-0.00145859,0.88222,10.0157,8.86452,121.977,82.5983,0.720051,10.0808,9.25449,121.196,130.407,0.780667,-47.8087 
68,0.08,0.68,43.252,68,12629.6,-0.096232,31.5168,9.69999,121.552,0.031215,28.5641,500,-4.48452,-1.21113,0.901649,-3.54004,-1.8123,-98.5831,7754.37,26.2244,6386.13,9980.99,-3.86377,-0.590377,2.14315,-2.91929,-1.19155,1.33373,7832.89,33.363,6464.66,0.540517,0.992601,0.00941726,14491.5,-0.00148167,1.09503,10.0423,8.67375,121.832,82.6364,0.847643,9.96517,9.46671,121.053,130.379,0.778897,-47.7421 
69,0.08,0.68,43.242,69,12589.3,-0.284492,31.0381,9.84986,121.535,0.0404905,56.8525,48.482,-5.74706,2.75275,-3.42208,-3.91075,-2.11813,-92.5706,7790.87,9.06126,6264.89,10027.2,-5.16417,3.33564,-2.2563,-3.32786,-1.53524,0.747841,7864.61,15.7645,6338.63,0.546404,0.996504,0.00456052,14393.4,-0.00141261,1.0802,10.098,8.79045,121.789,82.5057,0.838189,9.97101,9.33404,120.994,130.267,0.795576,-47.761 
70,0.08,0.68,43.172,70,12576.9,-0.272571,30.5087,9.96761,121.689,-1.81582,2877.74,316.443,-2.88576,0.639173,-3.52582,-3.75727,-3.08828,-98.9563,7746.4,29.151,6217.03,180006,-2.26265,1.26227,-2.27961,-3.13417,-2.46518,0.743267,7825.22,36.3167,6295.86,0.546838,0.991944,0.0105142,14310,-0.00139179,1.05266,10.3039,8.84573,122.04,82.544,0.832004,10.0449,9.27418,121.075,130.338,0.965426,-47.7941 
