cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
312,0.36,0.4,43.242,312,8750.98,-0.137024,23.7722,9.23537,121.748,0.259986,172.067,0.0796616,-0.448623,-2.82765,-1.23279,2.56444,1.09154,-234.383,6191.92,14.0292,4159.94,8603.18,1.02723,-1.3518,1.71891,4.04029,2.56739,0.78519,6378.61,31.0015,4346.64,0.587585,0.991566,0.012968,10855.7,-0.00141781,0.899504,9.46777,8.85545,121.952,81.7026,0.577996,9.46821,9.41285,121.128,129.247,0.824133,-47.5447 
313,0.36,0.4,43.177,313,6257.06,-0.0206263,17.9826,8.94638,121.618,0.0128257,-7.32249,3.41598e-12,-2.85086,-2.20729,0.794982,1.28067,-0.201033,-173.465,4416.07,12.0666,3317.14,5240.2,-1.7586,-1.11503,2.9795,2.37293,0.891227,0.115881,4554.24,24.6276,3455.31,0.561336,0.990625,0.0129594,8113.21,-0.00135558,0.647707,9.37752,8.88984,121.784,81.3882,0.452534,9.4207,9.73574,121.178,128.86,0.606191,-47.4713 
314,0.36,0.4,43.207,314,5262.85,-0.03406,16.234,8.88478,121.777,0.00808676,-27.8591,0.0864037,-4.4653,-0.956875,-9.23559,-1.15427,-1.68811,-184.684,4057.54,11.0834,2870.23,4702.67,-3.3024,0.206031,-6.90978,0.00863393,-0.525202,0.343346,4204.64,24.4568,3017.34,0.574994,0.989923,0.0147114,7312.5,-0.00156069,0.604862,9.48568,8.69664,121.891,81.6761,0.426441,9.28385,9.16074,121.171,129.419,0.719934,-47.7427 
315,0.36,0.4,43.192,315,4550.49,-0.229784,14.7648,9.08842,121.655,0.524895,-607.363,8.49056e-07,-2.71197,0.042112,-5.57812,-2.13205,-0.557695,-230.406,3667,14.9747,2591.88,14746.4,-1.26117,1.49292,-2.67651,-0.681245,0.893109,-0.198671,3850.52,31.6589,2775.4,0.573918,0.985816,0.0205804,6709.19,-0.00160138,0.564079,9.487,8.42653,121.745,82.5015,0.37602,9.48623,9.22499,121.055,130.266,0.69008,-47.7644 
316,0.36,0.4,43.252,316,8795.68,-0.223816,24.5627,9.13983,121.598,0.103284,-8.68819,5.79762,4.62019,1.59247,-1.84265,-2.82307,-1.74907,-145.286,6070.77,12.1747,4266.52,7337.39,5.53501,2.50729,-0.0130021,-1.90825,-0.834245,1.00246,6186.49,22.6952,4382.25,0.578165,0.993621,0.0094499,10700.2,-0.00135888,0.936829,9.24742,8.50876,121.824,81.6012,0.613128,9.3352,9.25004,121.163,129.12,0.660876,-47.5188 
317,0.36,0.4,43.197,317,4331.21,-0.0856778,14.4139,8.96075,121.631,0.0722535,-49.6025,467.811,0.508905,0.276903,2.33461,-1.41256,-0.721037,-246.379,3609.74,12.4313,2446.98,4321.23,2.06029,1.82829,5.43737,0.138822,0.830345,0.471849,3805.99,30.2722,2643.23,0.582979,0.986272,0.0206613,6528.51,-0.00163392,0.546116,9.40013,8.74395,121.616,81.312,0.354516,9.24546,9.42029,121.146,128.939,0.470686,-47.6269 
318,0.36,0.4,43.217,318,6177.97,-0.322357,19.0689,8.9512,121.851,0.260705,-190.881,256.821,1.11881,-2.14651,-2.48475,-0.753858,-2.55176,-139.893,4796,2.79804,3136.8,7176.49,1.99968,-1.26564,-0.723009,0.12701,-1.67089,0.528321,4907.43,12.928,3248.23,0.594616,0.995411,0.00727826,8253.1,-0.0016466,0.750001,9.35602,8.44358,122.01,81.6014,0.470997,9.05445,9.22085,121.54,129.173,0.46999,-47.5715 
319,0.36,0.4,43.012,319,6789.92,-0.0273297,20.7848,8.65042,121.714,0.00981413,19.6434,500,-3.52636,-0.999951,4.37783,-0.380421,0.127512,-153.498,5357.5,-3.52896,3182.25,5859.29,-2.55982,-0.0334147,6.3109,0.586115,1.09405,-0.169156,5479.77,7.58621,3304.52,0.616853,0.997583,0.00421113,8883.42,-0.00160029,0.883654,9.06394,8.19498,121.848,81.2242,0.500999,8.8977,8.92649,121.206,128.629,0.642207,-47.4051 
320,0.36,0.4,43.062,320,7927.43,-0.035328,22.4679,8.79217,121.711,-0.0419629,7.757,67.9699,-3.09963,0.0233599,-1.86602,-0.566713,0.331408,-206.162,5659.39,20.639,3860.39,6441.23,-1.80149,1.3215,0.730265,0.731431,1.62955,0.72034,5823.61,35.5677,4024.6,0.584175,0.989425,0.0160189,9968.95,-0.00139892,0.866054,9.17239,8.68851,121.85,81.0977,0.561383,8.98182,9.43107,121.268,128.595,0.581232,-47.4977 
321,0.36,0.4,43.247,321,8282.73,-0.0245888,22.9874,8.99226,121.545,0.0386008,3.85514,5.72762e-14,0.0864611,-0.632988,1.15829,-1.10358,0.213618,-237.893,5947.93,5.48708,3921.43,6733.91,1.58441,0.864964,4.15419,0.394375,1.71157,0.523028,6137.42,22.7135,4110.92,0.591749,0.993565,0.0100754,10371.7,-0.00138323,0.917308,9.24189,8.52735,121.781,81.3851,0.585865,9.08769,9.09394,120.983,128.852,0.798978,-47.4671 
322,0.36,0.4,43.202,322,5094.75,-0.290084,15.3515,9.33311,121.501,0.29392,-70.8522,11.2395,-2.30998,2.2679,5.64166,-3.39442,-0.0362751,-217.92,3834.08,-0.194811,2820.93,5342.06,-0.937793,3.64008,8.38603,-2.02224,1.33591,0.193805,4007.66,15.5853,2994.51,0.565096,0.99324,0.00949642,7092.01,-0.0014855,0.568517,9.61639,8.74022,121.599,81.3104,0.401718,9.40185,9.34024,120.92,128.978,0.67869,-47.6678 
323,0.36,0.4,43.112,323,8281.49,-0.0469137,22.7393,9.14012,121.349,0.00535878,60.8784,500,0.816594,-1.19353,1.60244,-1.41316,1.92139,-194.221,5972.35,6.86977,3950.96,6776.49,2.03955,0.0294334,4.04836,-0.190199,3.14435,0.553727,6127.05,20.9338,4105.66,0.59165,0.994056,0.00930507,10355.9,-0.00153004,0.894676,9.5684,8.56385,121.52,81.4855,0.569058,9.33469,9.30362,120.847,128.979,0.67315,-47.4933 
324,0.36,0.4,43.162,324,7848.51,-0.0302116,21.4668,9.18397,121.435,0.0066857,-20.2117,500,1.7957,1.5002,-3.46166,-0.241608,0.344607,-235.863,5633.41,12.2281,3726.26,6422.31,3.28087,2.98536,-0.491328,1.24356,1.82977,1.05553,5821.28,29.3075,3914.13,0.590823,0.991267,0.0136053,9852.84,-0.00137496,0.818724,9.64596,8.77525,121.591,81.1366,0.517126,9.3844,9.47306,120.979,128.718,0.612241,-47.5812 
325,0.36,0.4,43.402,325,8944.88,0.00199359,24.2002,9.04912,121.514,-0.0250428,15.8382,499.995,-1.94701,-0.143526,-0.267697,-1.90405,-5.60299,-215.001,6329.98,22.4842,4141.34,7141.78,-0.593205,1.21028,2.43991,-0.550243,-4.24918,2.40028,6501.24,38.053,4312.59,0.594089,0.989861,0.0159942,10943.2,-0.00136638,0.939609,9.38566,8.71585,121.645,81.7024,0.586964,9.32506,9.4504,121.114,129.308,0.530301,-47.6059 
326,0.36,0.4,43.237,326,8195.42,-0.0668397,22.8573,8.9574,121.678,0.0427974,-13.1813,474.392,-1.62782,-3.41546,0.0996736,-2.08205,-3.0532,-179.872,5805.85,24.2575,3947.76,6683.39,-0.495218,-2.28285,2.36489,-0.94944,-1.92059,1.7203,5949.12,37.2825,4091.03,0.585377,0.989152,0.0165103,10162.9,-0.00136429,0.847769,9.5745,8.69699,121.826,81.4456,0.552384,9.34607,9.44937,121.171,128.952,0.654998,-47.5061 
