cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
120,0.08,0.79,43.1645,120,7129.81,-0.31465,21.659,8.79729,122.039,4.41195,5520.94,444.915,-1.49432,-0.004881,-3.21294,0.188183,1.60995,-219.137,5179.61,11.4152,3675.08,799140,-0.114471,1.37496,-0.453254,1.56803,2.9898,1.08448,5354.16,27.2834,3849.63,0.574526,0.991161,0.0128873,9319.28,-0.00157627,0.814459,9.20697,8.48363,122.218,81.4636,0.561893,8.83817,9.19117,121.664,128.905,0.553704,-47.4416 
121,0.08,0.79,43.2045,121,6170.71,-0.0425184,18.3639,9.0354,121.843,-0.025285,28.7314,500,-0.700531,-0.895105,-0.382619,-4.0353,-0.796678,-182.079,4625.85,0.986131,3329.36,5425.06,0.445972,0.251397,1.91039,-2.8888,0.349824,-26.7756,4770.88,14.1709,3474.39,0.571397,0.994829,0.00745732,8349.5,-0.00167601,0.679029,9.58593,8.74769,121.932,81.3727,0.483149,9.37133,9.26548,121.295,128.857,0.636419,-47.4843 
122,0.08,0.79,43.0145,122,8607.02,-0.31738,24.5551,9.07956,122.119,0.0553369,513.731,467.312,1.84622,1.43698,-8.33957,-3.73548,-1.49711,-178.599,6292.42,7.11972,4075.32,8183.16,2.97081,2.56157,-6.0904,-2.61089,-0.372518,-0.719759,6434.69,20.0525,4217.58,0.596977,0.994576,0.00868226,10778.8,-0.0015898,0.967891,9.40027,8.43974,122.378,81.1707,0.616087,9.05126,9.1033,121.537,128.678,0.841321,-47.5075 
123,0.08,0.79,43.2245,123,6400.27,-0.105829,18.7334,8.95637,121.946,0.0466409,-93.0738,500,0.0270392,0.407896,-3.7652,1.92792,-1.84812,-179.169,4689.48,24.8876,3301.58,5603.22,1.15522,1.53607,-1.50885,3.0561,-0.719941,1.42882,4832.19,37.8616,3444.29,0.576647,0.986474,0.0198476,8379.81,-0.00139859,0.702301,9.31188,8.72574,122.095,81.3257,0.471778,9.18843,9.40945,121.412,128.886,0.683115,-47.5604 
124,0.08,0.79,43.2145,124,6559.31,-0.177964,19.3585,9.19452,121.575,0.213076,234.446,331.655,-2.38021,-1.30302,-2.05431,-1.07667,-2.48541,-166.3,4801.14,6.75678,3467.95,7420.42,-1.33307,-0.255875,0.0399786,-0.02952,-1.43827,1.01325,4933.6,18.799,3600.42,0.570884,0.993376,0.0095266,8642.03,-0.00164282,0.725385,9.50626,8.60359,121.85,81.4967,0.509929,9.3956,9.15561,121.263,128.99,0.587691,-47.4935 
125,0.08,0.79,43.2745,125,8095.26,-0.00588752,23.2434,8.81141,121.905,-0.0313194,-6.54543,500,0.618242,2.03143,1.0103,-1.91885,-2.79364,-161.454,5890.95,4.60623,3872,6673.84,1.63487,3.04806,3.04357,-0.90222,-1.77701,0.396988,6019.55,16.2975,4000.6,0.593634,0.995284,0.0074484,10140.2,-0.00152911,0.911092,9.26157,8.49112,122.092,81.6413,0.583567,9.05304,9.23488,121.355,129.183,0.737272,-47.5418 
126,0.08,0.79,43.1545,126,7680.08,-0.273393,22.297,8.87234,121.82,2.40642,665.29,217.818,0.46788,-3.20999,2.48707,-3.87141,-0.559922,-149.554,5451.69,5.53612,3752.38,58556.8,1.40958,-2.26829,4.37047,-2.92971,0.381781,-3.53445,5570.81,16.3657,3871.51,0.582815,0.994885,0.00772681,9558.46,-0.00139341,0.846877,9.20548,8.52143,122.015,81.8182,0.573207,8.90001,9.21941,121.363,129.501,0.652723,-47.683 
127,0.08,0.79,43.2445,127,7001.98,-0.335481,21.5883,8.80743,121.979,0.585601,-52.0349,407.713,-1.17383,-1.83063,-2.10558,0.889794,1.7549,-193.103,5347.94,6.19686,3455.56,7181.57,0.0420849,-0.614709,0.326255,2.10571,2.97082,0.932455,5501.75,20.1799,3609.37,0.596758,0.993622,0.0101942,9219.4,-0.00164328,0.84599,9.08857,8.44261,122.181,82.0895,0.526824,8.89344,9.32933,121.421,129.699,0.760671,-47.6093 
128,0.08,0.79,43.3845,128,8565.93,-0.242905,24.3642,8.91414,122.16,0.474256,-206.736,0.000976875,-5.97806,-2.71319,-3.38313,-0.622286,-1.57773,-125.267,5973.35,14.3539,4110.74,10261.8,-5.18929,-1.92442,-1.80558,0.166486,-0.788957,0.810771,6073.13,23.4248,4210.52,0.583396,0.993295,0.0101444,10410,-0.00135427,0.922742,9.1946,8.55622,122.23,82.0043,0.623717,8.94741,9.17188,121.696,129.637,0.533868,-47.633 
129,0.08,0.79,43.3345,129,8418.98,0.149685,23.3291,8.97769,122.016,-0.120383,95.8671,7.79073e-13,-0.369845,0.215986,1.36347,-4.04476,-1.40457,-167.392,6031.67,21.7943,4109.93,7193.7,0.684176,1.27001,3.47151,-2.99074,-0.350552,-0.665474,6165,33.9156,4243.27,0.585161,0.990465,0.0145099,10535.6,-0.0015462,0.89398,9.50935,8.67725,122.179,81.7365,0.607389,9.07428,9.23053,121.496,129.202,0.683528,-47.4651 
130,0.08,0.79,43.1445,130,7997.3,-0.262699,22.243,9.14912,121.943,0.218841,562.676,142.512,3.58807,-0.150786,-0.86253,-2.10109,2.60318,-149.85,5579.88,21.8575,3894.83,10633.2,4.53164,0.792779,1.0246,-1.15752,3.54675,0.882745,5699.24,32.7085,4014.19,0.579553,0.990056,0.0147879,9833.86,-0.0012924,0.815043,9.34552,8.8556,122.191,81.4547,0.551366,9.22931,9.53037,121.454,129.055,0.737058,-47.5998 
131,0.08,0.79,43.2545,131,7918.75,-0.271873,22.315,9.08975,121.921,0.321139,896.741,82.7681,-0.628103,0.722726,-5.69957,-1.82758,1.54858,-259.042,5545.41,11.0695,3956.26,15977.7,1.00301,2.35384,-2.43733,-0.196466,3.1797,1.62451,5751.75,29.8274,4162.6,0.572928,0.991006,0.0130278,10039.2,-0.00135817,0.8225,9.34203,8.70601,122.19,81.6626,0.576492,9.06467,9.37783,121.375,129.381,0.8149,-47.7182 
132,0.08,0.79,43.2345,132,6634.55,-0.279916,20.1766,8.71579,121.886,19.9233,-16781.4,319.238,-0.916825,-1.58216,-3.06476,-1.37345,-0.172907,-170.903,5109.79,8.12302,3136.48,1.08896e+07,0.159305,-0.506029,-0.912501,-0.29732,0.903224,-0.396712,5245.92,20.4985,3272.61,0.608808,0.993208,0.0114067,8616.7,-0.00144763,0.815621,9.13333,8.35213,122.05,81.5614,0.501395,8.68798,8.99595,121.43,128.889,0.620197,-47.3281 
133,0.08,0.79,43.1145,133,8960.62,-0.0357149,24.7027,9.03109,121.763,-0.0379035,27.5608,499.781,-3.29921,-1.76861,2.44707,0.784487,-2.6063,-184.952,6283.16,26.1662,4289.34,7296.38,-2.13461,-0.604013,4.77626,1.94908,-1.44171,-0.87672,6430.48,39.559,4436.66,0.584576,0.989349,0.0161595,11000.2,-0.00141969,0.917663,9.50653,8.74992,121.917,81.9669,0.611522,9.14361,9.51277,121.334,129.525,0.583713,-47.558 
134,0.08,0.79,43.1745,134,6517.97,-0.121658,19.1367,8.99434,122.042,-0.10235,-291.054,498.026,3.82652,1.03016,-1.81627,1.13854,-0.729188,-206.292,4880.03,16.5737,3297.59,6572.88,5.12548,2.32913,0.781656,2.43751,0.569777,0.93048,5044.35,31.5118,3461.91,0.585863,0.989186,0.0164911,8610.12,-0.00148674,0.742792,9.31856,8.58846,122.286,81.597,0.485193,9.10902,9.29316,121.374,129.234,0.911579,-47.6374 
135,0.08,0.79,43.2845,135,7986.93,-0.321914,23.0538,9.10939,121.787,0.151562,72.1156,486.572,-2.14557,-1.76636,-2.29869,-1.88998,-0.380813,-182.738,5712.86,14.7395,4000.3,7192.21,-0.994921,-0.615709,0.00261725,-0.739323,0.769841,1.00166,5858.41,27.972,4145.86,0.5784,0.991714,0.012276,10128.7,-0.00153994,0.861501,9.33014,8.66325,122.059,81.8102,0.596343,9.07476,9.17014,121.236,129.544,0.823258,-47.734 
136,0.08,0.79,43.0645,136,7842.89,-0.020172,22.2091,8.80172,121.805,-0.00521347,7.7513,500,0.494807,0.892296,-1.86881,1.49364,-1.38811,-234.426,5521.41,13.4421,3830.56,6364.77,1.97093,2.36841,1.08342,2.96976,0.0880069,0.872246,5708.14,30.4174,4017.29,0.579745,0.990761,0.0137559,9845.95,-0.00133208,0.860564,9.2502,8.42027,121.908,82.0248,0.581928,8.97551,9.10966,121.256,129.698,0.652162,-47.6735 
137,0.08,0.79,43.1845,137,5718.45,0.0071931,17.6679,8.7425,122.016,-0.00297579,18.6151,0.00511208,0.799224,-1.96738,0.978777,1.15586,0.1315,-228.743,4344.11,14.0174,3141.46,5030.05,2.23956,-0.527047,3.85944,2.5962,1.57183,0.603753,4526.32,30.5812,3323.66,0.569371,0.988315,0.0166668,7949.68,-0.0016254,0.654552,9.27033,8.77517,122.222,81.9245,0.458678,9.1074,9.43165,121.462,129.379,0.759949,-47.455 
138,0.08,0.79,43.2645,138,6988.52,-0.271878,20.6577,8.84091,121.907,0.814801,649.979,120.677,-3.28961,-0.587594,-2.88848,-0.774827,-4.60366,-232.126,5067.26,15.082,3537.4,23185.7,-1.82797,0.874044,0.0347967,0.686811,-3.14202,1.01031,5252.15,31.8908,3722.3,0.578041,0.989486,0.015537,9086.12,-0.00142756,0.779282,9.11907,8.63185,122.154,82.0041,0.520878,9.09991,9.30892,121.294,129.781,0.859861,-47.7773 
