cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
220,0.26,0.61,43.2007,220,29622.3,-0.212165,51.5628,12.9489,122.309,0.255722,-195.056,54.7978,-3.91955,-3.90551,-5.68443,-3.29216,-5.01211,-85.1321,16352.1,146.492,13618.6,23359,-3.3835,-3.36945,-4.61232,-2.7561,-4.47606,0.751991,16419.9,152.657,13686.4,0.538059,0.983991,0.0201329,30516.9,-0.00105122,1.35806,13.333,11.358,122.707,82.2078,1.09239,12.9483,12.1572,121.457,130.403,1.2495,-48.1948 
221,0.26,0.61,43.2407,221,29936.6,-0.167359,50.6029,13.2255,122.522,0.327173,-111.942,497.926,-4.80375,-2.76135,-4.40796,-1.22883,-0.711057,-173.543,16015.5,159.81,14033.7,22978.5,-3.711,-1.66859,-2.22245,-0.136072,0.381698,0.69789,16153.7,172.377,14171.9,0.525311,0.981668,0.021915,30750.8,-0.000921774,1.2689,13.5329,11.7428,122.938,82.4153,1.07457,13.2159,12.5359,121.723,130.612,1.21502,-48.1965 
222,0.26,0.61,43.2907,222,33497.9,0.0370078,56.7642,13.163,122.253,-0.0241596,-34.3459,500,-4.03309,-3.08199,-4.40506,-2.40608,-2.2753,-26.6908,18330.7,179.301,15189.7,24350.5,-3.86503,-2.91392,-4.06893,-2.23802,-2.10724,0.732186,18351.9,181.233,15211,0.539458,0.983012,0.0214767,34019.2,-0.00090676,1.47076,13.5918,11.554,122.575,82.1895,1.19101,13.1304,12.2864,121.579,130.355,0.99581,-48.1657 
223,0.26,0.61,43.3507,223,32912.4,-0.234196,57.1698,12.9695,122.433,0.376978,-356.925,498.205,-2.44503,-3.11122,-7.94446,-0.260107,-2.35005,-37.1781,17983.6,150.054,15210.6,28517.3,-2.21093,-2.87712,-7.47626,-0.0260068,-2.11595,0.491628,18013.2,152.746,15240.3,0.534347,0.985378,0.0181278,33710.7,-0.000981294,1.52286,13.2155,11.1869,122.79,82.5873,1.22917,12.8694,12.1266,121.773,130.699,1.01697,-48.1113 
224,0.26,0.61,43.2307,224,29830.3,-0.235765,51.4567,13.1119,122.305,0.226927,19.6368,106.145,-3.96923,-3.96038,-6.32019,-3.91806,-2.57304,-135.286,16157.5,136.262,14019.4,22108.6,-3.11737,-3.10852,-4.61647,-3.06619,-1.72117,0.704635,16265.3,146.058,14127.2,0.527814,0.984529,0.0186892,30816.3,-0.00104134,1.32324,13.4059,11.4617,122.658,82.3375,1.1183,12.9566,12.1958,121.521,130.642,1.13694,-48.3046 
225,0.26,0.61,43.0807,225,32809.3,-0.0684794,56.5206,12.9973,122.41,-0.0505027,64.6957,500,-0.278965,-3.7774,-2.81529,1.05372,3.26683,-45.7556,17955.6,147.821,15186.2,24020.5,0.00914636,-3.48929,-2.23906,1.34183,3.55494,-1.72248,17992,151.134,15222.6,0.534343,0.985513,0.0179604,33671.3,-0.00105886,1.47962,13.3835,11.394,122.831,82.9273,1.21992,12.9868,12.0654,121.609,131.174,1.22195,-48.2464 
226,0.26,0.61,43.2607,226,31196.1,-0.15012,53.2007,13.0656,122.219,0.142131,-125.418,319.159,-1.56235,-3.35343,-5.60452,0.244209,0.495667,-109.126,17100.4,161.201,14232.4,23208,-0.875214,-2.66629,-4.23025,0.931346,1.1828,0.252289,17187.3,169.103,14319.3,0.538176,0.983073,0.021291,31936.2,-0.000978759,1.3565,13.4772,11.7919,122.688,82.3915,1.09584,13.1511,12.5125,121.403,130.587,1.285,-48.1952 
227,0.26,0.61,43.2807,227,32600.1,-0.0442635,55.9626,13.0581,122.415,-0.0201492,7.62342,500,-2.89959,-4.14617,-8.87362,-1.85213,-1.33213,-63.2013,17819.7,161.797,14996.2,23793.8,-2.50163,-3.74821,-8.07769,-1.45417,-0.934168,0.516765,17870,166.373,15046.6,0.535544,0.983968,0.019962,33368,-0.0010263,1.44889,13.3312,11.609,122.844,82.2051,1.18102,13.064,12.2842,121.557,130.231,1.28636,-48.0264 
228,0.26,0.61,43.1707,228,29834.2,-0.232106,52.1631,12.928,122.161,0.144253,-197.382,266.42,-2.53532,0.411901,-3.03556,-1.54301,-1.17002,-170.243,16288.2,130.78,14064.7,22879.7,-1.46334,1.48388,-0.891605,-0.471039,-0.0980456,0.380896,16423.8,143.107,14200.3,0.528945,0.984981,0.0182259,31050.2,-0.00109985,1.37079,13.2084,11.2416,122.618,82.5763,1.14265,12.8774,12.0529,121.481,130.794,1.13705,-48.2182 
229,0.26,0.61,43.3007,229,31901.5,-0.189644,55.6151,12.9192,122.297,-0.0863375,298.01,500,0.00371059,-5.91582,-1.54427,-2.81728,-1.66929,-37.1604,17947.8,138.88,14405.8,24227.2,0.2377,-5.68183,-1.07629,-2.58329,-1.4353,0.897876,17977.4,141.571,14435.4,0.547327,0.986406,0.0177453,32845.8,-0.00119409,1.51036,13.2461,11.2814,122.711,82.1815,1.17392,12.8511,12.053,121.563,130.167,1.14826,-47.9857 
230,0.26,0.61,43.0307,230,32290.6,-0.219597,55.7493,13.0381,122.399,-0.0543908,237.16,499.888,-0.852354,-0.457734,-6.034,-2.26609,-0.758656,-108.11,17697.2,149.558,14938.7,24081.8,-0.171616,0.223004,-4.67253,-1.58535,-0.0779181,0.256489,17783.3,157.387,15024.8,0.534694,0.984748,0.018931,33258.9,-0.00104152,1.45386,13.3447,11.4579,122.84,82.5541,1.18772,12.9611,12.2049,121.633,130.866,1.20614,-48.3116 
231,0.26,0.61,43.1607,231,31854.7,-0.207591,54.5698,13.1112,122.09,0.15555,95.7572,405.033,-5.86291,-1.18338,-13.5026,-6.0263,-1.72324,-58.0992,17234.4,175.776,14800.9,23775.9,-5.49708,-0.817549,-12.7709,-5.66046,-1.3574,0.510757,17280.7,179.983,14847.2,0.530518,0.9821,0.021843,32573.3,-0.000996097,1.39992,13.428,11.5378,122.472,82.1248,1.15708,13.1085,12.3501,121.373,130.353,1.09908,-48.2283 
