cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,43.9498,0,10720.4,-0.0190011,28.3471,11.229,123.508,-0.0647695,-6.47723,500,-2.58522,-4.80746,-7.45586,-6.00504,-4.35804,121.344,7721.68,51.8975,6206.39,10375.7,-3.3493,-5.57153,-8.984,-6.76911,-5.12212,0.698484,7590.64,46.549,6075.36,0.609645,0.989382,0.0139177,12450.9 
1,43.9798,1,10722.4,-0.00804402,27.9702,11.3018,123.288,0.00586787,9.21892,6.38287e-12,-0.780703,-0.722681,-3.66773,-4.93028,-4.03905,93.0545,7517.85,48.3183,6351.26,10292.4,-1.36664,-1.30862,-4.83961,-5.51622,-4.62499,0.725896,7417.36,44.2168,6250.78,0.597308,0.989676,0.0128631,12418 
2,43.9998,2,10076.3,-0.0242295,26.9859,11.007,123.172,0.140858,-12.9507,0.0798387,-3.09928,-2.50196,-4.46679,-4.83302,1.09778,113.404,7320.72,48.1058,5636.71,9728.77,-3.81335,-3.21603,-5.89493,-5.5471,0.383703,0.674092,7198.25,43.1073,5514.24,0.620023,0.989629,0.0141961,11609.6 
3,44.0398,3,14417.5,0.242383,25.1263,11.3699,123.245,-0.201978,-78.1748,496.028,7.01432,3.8986,3.53316,3.80135,-0.56511,54.4181,6703.53,40.7567,5609.34,9813.92,6.67167,3.55595,2.84784,3.45869,-0.907766,0.817754,6644.76,38.3581,5550.58,0.599425,0.989999,0.0125701,11085.2 
4,44.0498,4,16083.2,0.121511,29.7183,11.2917,123.347,-0.0573644,65.5006,0.457841,2.35274,1.23638,0.191489,3.53742,3.09167,11.5114,7874.85,36.9281,6507.3,11046.3,2.28026,1.1639,0.0465211,3.46493,3.01919,0.995336,7862.42,36.4207,6494.87,0.602101,0.991959,0.0102242,13058.3 
5,44.0898,5,19080.4,0.0283445,34.5811,11.2882,123.309,-0.00137612,-36.4409,2.72673e-12,2.51395,3.50611,2.54614,-1.56756,0.245034,56.8296,9155.32,47.7648,7501.33,12709.1,2.15611,3.14827,1.83046,-1.9254,-0.112807,0.640849,9093.95,45.2599,7439.96,0.604413,0.991366,0.011082,15045.9 
6,44.0298,6,16462,-0.00408592,29.3517,11.6202,123.247,-0.0180415,29.1382,1.36011e-10,0.312439,3.09876,-1.63767,0.10162,2.98862,7.28506,7957.6,37.7437,6544.81,11120.2,0.266567,3.05289,-1.72941,0.0557483,2.94275,1.3769,7949.73,37.4226,6536.94,0.603199,0.991829,0.0104356,13179.3 
7,44.0098,7,13747.3,0.000792719,24.7345,11.1929,123.131,0.0012705,3.14815,6.38503e-11,5.91026,-0.00692194,1.89267,-1.09465,4.73575,15.0181,6477.39,30.1968,5271.27,9012.57,5.81569,-0.101487,1.70354,-1.18921,4.64119,0.843276,6461.17,29.5348,5255.05,0.605817,0.992064,0.010247,10665.2 
8,43.9698,8,14934.9,0.140805,27.0549,10.9735,123.141,-0.00464855,-133.899,499.989,-0.871321,-1.64495,8.45867,-0.13332,1.68553,-0.212957,7022.46,26.2072,5738.9,9684.96,-0.86998,-1.6436,8.46135,-0.131979,1.68687,-0.127781,7022.69,26.2165,5739.13,0.604675,0.993509,0.00834457,11614 
9,44.0598,9,16733.1,-0.0176206,30.0094,11.3888,123.096,-0.0086907,-4.39773,3.99246e-11,-0.102462,5.66976,4.02442,0.696441,-3.54917,51.0294,8020.46,39.926,6487.59,11127,-0.423781,5.34844,3.38178,0.375122,-3.87049,0.297084,7965.35,37.6768,6432.48,0.607516,0.99179,0.0106745,13111.3 
10,43.9598,10,17146.8,0.234304,30.7884,11.2342,122.925,-0.144515,7.33927,306.62,2.85451,0.46287,0.127393,-0.0158114,0.668741,48.9667,8345.22,45.8738,6577.72,11294.2,2.54618,0.15454,-0.489267,-0.324141,0.360411,1.21767,8292.35,43.7155,6524.84,0.613692,0.990859,0.0121914,13512.2 
11,44.0198,11,14696.3,0.273315,25.8572,11.1471,123.233,-0.0846198,-94.7026,491.577,-1.01394,0.545999,-3.49668,4.05156,-2.31507,42.8417,6894.34,32.5011,5651.44,9643.78,-1.2837,0.276236,-4.0362,3.7818,-2.58483,-0.0492647,6848.07,30.6127,5605.17,0.604302,0.992238,0.00996047,11332.2 
12,43.9898,12,14962.4,0.0192215,27,11.3271,122.868,-0.00699151,-41.1278,500,4.61469,4.15532,2.06902,-3.52005,2.03328,8.67991,7300.12,42.2873,5745.27,9965.22,4.56003,4.10067,1.95971,-3.5747,1.97863,0.782841,7290.75,41.9048,5735.9,0.613727,0.990042,0.0132792,11879.5 
13,44.0798,13,15569.1,0.000559856,29.1545,11.146,123.159,-0.00449954,3.57931,3.32851e-11,3.55559,2.17363,4.22021,1.38,-0.80893,65.7214,7507,39.3224,6398.2,10578.9,3.14176,1.7598,3.39254,0.966169,-1.22276,0.577911,7436.02,36.4256,6327.23,0.594986,0.9915,0.0104936,12497.8 
14,44.0998,14,16300.7,0.0556338,30.3267,11.2327,123.148,-0.00713559,-16.7864,2.1924e-11,-0.409354,1.73509,9.25988,3.04839,0.720533,14.9839,7919.47,40.9612,6717.76,11093.2,-0.503703,1.64074,9.07118,2.95404,0.626184,0.342117,7903.29,40.3007,6701.58,0.59582,0.991155,0.0109563,13264.6 
15,44.0698,15,16156.8,-0.0151597,29.6668,11.4162,123.223,-0.036887,-0.235114,500,-5.30274,1.94149,4.65224,2.56314,-1.49498,21.581,8086.11,35.6523,6317.07,11025.5,-5.43863,1.8056,4.38046,2.42725,-1.63087,-1.83742,8062.81,34.701,6293.76,0.615584,0.992525,0.0100544,13097.8 
16,43.9498,16,14946.5,0.116204,27.8294,11.0198,123.247,-0.186617,-102.266,499.715,0.594703,3.51834,4.63574,2.07475,4.70248,37.0269,7117.4,33.8853,6154.03,10604.5,0.361555,3.28519,4.16944,1.8416,4.46933,0.704863,7077.42,32.2532,6114.05,0.591329,0.992088,0.00962407,11968.7 
17,43.9798,17,15781.7,0.170611,29.1918,11.0803,123.026,0.0367935,-174.729,34.5284,-3.59286,-2.2008,6.33336,1.03928,-1.04792,52.8584,7752.96,31.3252,6187.62,10738.8,-3.92569,-2.53364,5.66769,0.706446,-1.38076,4.86622,7695.88,28.9953,6130.54,0.610769,0.99345,0.00863726,12600.3 
18,43.9998,18,12557.7,0.183187,23.0273,10.9435,123.158,0.0871215,-250.258,155.884,0.795518,2.95854,-6.05314,-0.318795,2.24816,54.7919,6203.72,23.3239,4681.95,8913.14,0.450507,2.61353,-6.74316,-0.663805,1.90315,-1.76384,6144.55,20.9088,4622.78,0.62427,0.99408,0.008263,9842.77 
19,44.0398,19,14049.1,-0.0236987,25.1226,11.4744,123.117,-0.000306415,11.5975,500,3.89351,-0.833987,2.05311,2.22509,2.04663,21.6361,6846.24,20.3378,5369.08,9384.18,3.75728,-0.970224,1.78064,2.08885,1.91039,0.79215,6822.87,19.3842,5345.72,0.614704,0.995053,0.00663536,11099.4 
20,44.0498,20,14198.8,0.043808,26.4817,11.0295,123.258,-0.0297953,-14.72,500,-3.56154,-1.6362,-1.10682,-2.98346,-0.24026,31.2691,7169.78,37.4035,5332.91,9522.44,-3.75844,-1.8331,-1.50061,-3.18036,-0.437153,0.859882,7136.01,36.0252,5299.15,0.627324,0.991243,0.0123683,11375.3 
21,44.0898,21,16539.9,0.0733896,30.7846,11.4002,123.404,0.071617,432.536,62.0501,-0.296605,-2.70954,-2.71313,3.92879,-1.46496,11.2426,8324,34.8843,6794.77,12433,-0.367397,-2.78033,-2.85472,3.858,-1.53575,0.224304,8311.86,34.3887,6782.63,0.605028,0.992812,0.00925327,13738 
22,44.0298,22,15287.5,0.176239,27.348,-11.4115,123.07,0.0224858,-164.998,475.77,0.198955,-1.62443,-0.0480586,-0.832471,2.8059,13.1111,7473.57,27.9423,6023.79,10280,0.116398,-1.70699,-0.213173,-0.915028,2.72335,47.8054,7459.42,27.3644,6009.63,0.608082,0.993621,0.00831812,12267.1 
23,44.0098,23,14800.2,0.00277257,27.0821,11.1555,123.134,0.00385237,-9.84083,1.50934e-10,4.18502,0.754419,-2.63651,-1.97039,4.84078,-3.87893,7289.41,35.8798,5580.97,9836.08,4.20945,0.778843,-2.58766,-1.94596,4.86521,1.48641,7293.6,36.0508,5585.16,0.620113,0.991424,0.0117506,11761.7 
24,43.9698,24,15300.9,0.108792,27.4219,-11.4049,123.001,-0.034373,-25.1154,26.1815,4.64342,1.02275,-2.60471,1.45976,3.257,38.3183,7469.71,30.122,6126.51,10209,4.40214,0.781469,-3.08727,1.21848,3.01572,1.48768,7428.33,28.433,6085.13,0.604105,0.993346,0.00853386,12296.4 
25,44.0598,25,16864.6,0.197017,30.4699,11.2034,123.134,0.160067,-197.416,0.051654,3.93855,2.42565,-1.30993,-0.274669,-0.630041,25.0462,8245.67,47.4506,6596.92,12141.3,3.78084,2.26794,-1.62534,-0.432378,-0.78775,1.5074,8218.63,46.3466,6569.87,0.609938,0.990228,0.0128283,13474.5 
26,43.9598,26,15428.1,0.00219876,29.1867,-11.1167,122.977,-0.00577972,8.99929,4.66752e-11,4.65136,1.46842,4.45749,0.154115,1.24337,1.92406,7761.05,43.4983,6151.75,10564,4.63924,1.4563,4.43326,0.142,1.23125,0.627522,7758.97,43.4135,6149.67,0.611968,0.990303,0.0128374,12678.7 
27,44.0198,27,14077.9,0.0254876,25.725,11.4101,123.395,-0.0431508,-27.519,499.96,-3.45447,-2.14243,-1.6717,1.581,2.7735,35.5961,7019.55,31.8515,5521.03,9593.85,-3.67861,-2.36657,-2.11997,1.35686,2.54936,0.502229,6981.11,30.2825,5482.59,0.614146,0.992466,0.0100722,11367.2 
28,43.9898,28,16494.2,0.136067,30.218,11.3459,123.395,0.0803713,-91.9517,40.117,-2.86555,5.26019,-1.25989,1.95649,4.75493,-3.94491,8163.7,47.0094,6562.85,11401.5,-2.84071,5.28503,-1.21021,1.98133,4.77977,1.15137,8167.96,47.1833,6567.11,0.608566,0.989992,0.0130623,13421.6 
29,44.0798,29,16403.5,0.114894,30.8716,11.1191,123.373,0.150258,-52.6681,46.3501,0.792022,0.528416,1.72421,3.60456,1.75517,69.0979,8119.38,44.8981,6765.41,11432.1,0.356931,0.0933248,0.854025,3.16947,1.32008,0.852597,8044.76,41.8525,6690.79,0.600472,0.990978,0.0113915,13397.4 
30,44.0998,30,15869.8,0.100283,29.5423,-11.1933,123.086,-0.0714742,-4.66899,6.64691e-13,0.846682,-3.18461,-4.8776,3.11512,1.68629,15.4665,7859.04,41.2926,6410.04,10775.5,0.749294,-3.282,-5.07238,3.01774,1.5889,-0.691669,7842.33,40.6109,6393.33,0.605258,0.991019,0.0115658,12957 
31,44.0698,31,15375.9,0.103377,29.6072,-10.8847,123.331,0.000950535,-50.8536,13.1069,-1.34341,1.57855,12.2764,2.2676,-0.351848,3.30847,7661.94,40.781,6185.59,10492.4,-1.36425,1.55772,12.2348,2.24677,-0.372681,0.144561,7658.37,40.6352,6182.01,0.607615,0.9908,0.0119635,12604 
32,43.9498,32,16964.5,0.0784585,32.117,11.1849,123.453,-0.154583,-0.610961,500,-1.14096,0.754175,2.07505,1.8042,2.18735,8.68537,8446.55,41.7067,7005.95,11697.1,-1.19565,0.699486,1.96567,1.74951,2.13266,0.6327,8437.17,41.3238,6996.57,0.601177,0.991502,0.0107629,14034.4 
33,43.9798,33,16646.3,-0.0141944,31.3355,11.3551,123.11,-0.00206301,-57.4162,1.02233e-11,0.509835,0.602855,4.45671,5.87966,0.195067,68.2418,8087.46,40.8468,7122.25,11586.8,0.0801346,0.173154,3.5973,5.44996,-0.234634,0.603206,8013.77,37.8389,7048.56,0.586977,0.991805,0.00979216,13652.6 
34,43.9998,34,13677,0.0544589,25.0912,11.4948,123.025,0.0229797,-43.9835,184.171,1.05794,0.776497,-0.816692,-1.77759,-3.18326,42.5304,6816.3,42.8246,5413.67,9421.89,0.790133,0.508694,-1.3523,-2.04539,-3.45106,0.756339,6770.37,40.95,5367.74,0.611897,0.989526,0.0138585,11064.6 
35,44.0398,35,12973.8,0.103947,23.4218,11.5287,123.248,-0.0248922,-20.8621,472.597,-4.81457,-1.55353,-0.552381,0.412742,2.93453,33.7705,6316.69,18.9267,5206.6,8807.05,-5.02722,-1.76618,-0.977668,0.200099,2.72189,0.798381,6280.22,17.4382,5170.13,0.602921,0.995164,0.00617481,10416.3 
36,44.0498,36,14509.5,0.0225123,26.9058,11.1368,123.242,-0.0256703,0.520971,500,-1.49697,3.54408,3.91119,5.65184,4.71997,48.3173,7180.9,37.0475,5646.93,9754.83,-1.80121,3.23984,3.3027,5.3476,4.41572,0.7723,7128.72,34.9178,5594.75,0.614305,0.991501,0.0113662,11604.5 
