cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.03,0,9157.76,0.0361916,10.977,12.6833,124.206,-0.175685,55.699,499.857,2.63369,1.78216,4.3885,-0.909927,2.63907,330.027,2985,36.9289,2603.84,4850.78,0.555604,-0.29593,0.232321,-2.98802,0.560976,1.12006,2628.61,22.3823,2247.45,0.477465,0.985318,0.018015,5505.34 
1,43.98,1,11778.1,0.0355903,12.7508,12.6252,124.209,0.0349023,-84.6038,499.942,2.71644,1.45269,1.88705,3.11054,0.0574186,388.904,3416.42,43.5144,3116,5336.6,0.267618,-0.996134,-3.01059,0.661715,-2.3914,0.449496,2996.45,26.3726,2696.03,0.464756,0.984831,0.0177006,6447.36 
2,44.065,2,2875.8,-0.000609643,-10.8088,10.7625,124.369,0.00468703,-10.5856,500,0.0797744,-1.00439,-0.407221,-3.75361,-3.85345,-169.406,2720.9,22.4596,2363.12,3788.52,1.14648,0.0623189,1.72619,-2.68691,-2.78674,1.67996,2903.84,29.9265,2546.06,0.471189,0.982284,0.0211933,6162.8 
3,43.96,3,671.95,-0.0524219,-11.1458,9.8851,123.941,0.0152184,-94.5559,500,-1.55951,0.161191,-3.80233,-6.44328,0.0530252,-347.715,2746.39,19.7673,2143.66,3633.48,0.629964,2.35066,0.576609,-4.25381,2.2425,0.627011,3121.88,35.0935,2519.16,0.491913,0.980708,0.0250197,6346.4 
4,44.04,4,6590.58,0.325193,9.28603,11.4451,124.287,0.195644,-86.1104,318.087,-1.48534,-0.789917,0.980708,-0.963635,-0.499176,103.765,2532.7,39.5931,2263.76,4008.18,-2.13872,-1.4433,-0.326053,-1.61702,-1.15256,0.951172,2420.64,35.0194,2151.71,0.467772,0.975308,0.0291079,5174.83 
5,44.09,5,7500.03,0.225119,12.2223,11.2367,124.322,-0.593994,843.515,326.545,4.77212,2.38723,-0.468408,-4.72749,-0.657926,125.747,3185.28,43.645,2779.56,20781.4,3.98033,1.59544,-2.052,-5.51929,-1.44972,0.404397,3049.49,38.1024,2643.76,0.474001,0.978602,0.0258621,6433.51 
6,43.955,6,4565.09,-0.0278838,12.5481,10.7349,124.424,0.0468155,-42.6942,499.999,0.766364,-0.0581394,2.46014,-2.00434,3.88324,-36.3813,3104.6,33.748,2722.78,4450.08,0.995447,0.170944,2.9183,-1.77526,4.11232,0.54556,3143.89,35.3516,2762.07,0.470689,0.980702,0.023034,6679.34 
7,44.1,7,4964.19,-0.021842,17.2163,10.551,124.26,0.0905642,-0.855681,496.556,-1.13235,0.480305,-3.03039,-0.0935501,-1.61615,-188.203,3943.91,45.3,4074.64,5915.81,0.0527155,1.66537,-0.660267,1.09151,-0.431092,1.38427,4147.14,53.5954,4277.88,0.430969,0.977884,0.0225582,9622.83 
8,44.045,8,4586.61,0.00586192,9.21928,11.3557,124.299,-0.00804373,4.09666,1.1029e-11,-0.490469,0.776723,-3.25914,0.378225,-1.21741,39.0415,2329.64,36.3306,2055,3409.13,-0.736303,0.530889,-3.75081,0.13239,-1.46325,0.290571,2287.48,34.6097,2012.84,0.470296,0.974205,0.0307016,4863.91 
9,44.08,9,3358.34,-0.00656066,-12.0585,10.7275,124.488,0.0446608,9.13517,1.84426e-11,-0.787446,-0.39315,-1.06896,-1.28099,2.15723,-158.761,2888.1,30.5542,2672.15,4224.28,0.21223,0.606525,0.930386,-0.28131,3.1569,0.798824,3059.54,37.5519,2843.59,0.456693,0.978973,0.0237487,6699.34 
