cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.29,0,10506.3,0.346198,16.0756,11.6002,122.776,-0.0716995,792.264,498.32,5.69937,-1.00632,7.78248,1.24206,5.0094,-6.55867,2771.6,14.9719,5068.41,7919.75,5.74067,-0.965024,7.86508,1.28336,5.0507,0.585498,2778.68,15.261,5075.49,0.299578,0.99048,0.00550832,9275.32 
1,44.3,1,8838.85,0.173108,13.169,11.6783,122.753,0.124897,-182.082,500,5.1321,2.42702,-5.31007,-0.665684,1.73209,-23.2994,2300.25,15.507,4114.87,5746.72,5.27881,2.57373,-5.01665,-0.518974,1.8788,2.19566,2325.41,16.5339,4140.03,0.304986,0.98771,0.00730303,7624.65 
2,44.31,2,8503.87,0.317377,12.2552,-12.1357,122.662,-0.0443957,-27.027,20.467,0.0939014,-2.76168,1.63368,-5.94158,4.0847,-2.59394,2269.65,28.0135,3885.09,4880.57,0.110235,-2.74535,1.66635,-5.92524,4.10103,1.59662,2272.45,28.1279,3887.89,0.313487,0.978798,0.0131519,7248.94 
3,44.43,3,10197.3,0.310418,16.538,11.2648,122.934,-0.0996087,-148.096,47.2587,2.60634,-3.24046,0.756114,4.28057,3.38216,6.00603,2778.87,22.2695,5072.01,6544.83,2.56853,-3.27828,0.680477,4.24275,3.34434,0.909964,2772.39,22.0048,5065.53,0.299515,0.9863,0.00793863,9256.26 
4,44.44,4,10435.6,0.0233851,17.1808,11.5575,123.017,-0.068695,-1.36537,499.997,-0.601405,1.96952,5.57335,-1.8098,3.138,-38.3613,2656.58,13.8976,5432.68,6467.09,-0.359854,2.21107,6.05645,-1.56825,3.37955,0.376842,2698.01,15.5885,5474.1,0.278006,0.98999,0.00521834,9704.86 
5,44.24,5,10667.8,-0.00321395,18.5558,11.3786,123.05,-0.00832296,-3.61701,500,0.736334,0.41885,-1.04787,-2.89038,3.76328,-25.6876,2754.91,19.4652,5938.92,6874.26,0.898082,0.580598,-0.724378,-2.72863,3.92503,1.37134,2782.65,20.5974,5966.66,0.26705,0.987212,0.00631891,10420 
6,44.33,6,8078.91,0.327969,11.9873,11.5367,123.181,-3.395,1121.09,292.968,3.07392,0.51514,2.2176,-3.04094,-1.00458,-14.3161,3070.07,19.5987,2729.2,128402,3.16406,0.605285,2.39789,-2.95079,-0.914436,-0.0416505,3085.53,20.2297,2744.66,0.467598,0.988657,0.0133955,6598.69 
7,44.41,7,8839.24,0.323696,13.197,11.7673,122.87,-0.0820441,-215.161,138.569,-1.35959,3.52497,-3.79376,-0.00731305,4.79446,-44.1147,2733.53,20.2282,3738.14,5629.98,-1.08181,3.80275,-3.2382,0.270465,5.07224,1.67107,2781.17,22.1726,3785.78,0.364649,0.98624,0.0106737,7626.96 
8,44.26,8,10436.6,-0.0110415,17.6909,-11.4639,122.825,0.00346236,6.34809,7.82093e-11,-0.678481,3.42082,1.68986,2.60516,1.0335,-52.7925,2679.1,23.7268,5565.57,6602.76,-0.346061,3.75325,2.3547,2.93758,1.36592,0.76606,2736.11,26.0538,5622.58,0.275457,0.983609,0.00846365,9933.01 
9,44.28,9,8296.4,0.110464,13.4165,-11.2309,122.752,-0.461036,360.102,500,-4.91435,0.837097,-0.991421,-3.34229,-1.89405,-39.511,2121.29,9.93767,4099.94,10309.6,-4.66556,1.08589,-0.49384,-3.0935,-1.64526,0.94396,2163.96,11.6792,4142.61,0.289822,0.990643,0.00516659,7466.5 
