cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.02,0,21615,0.0631961,37.1783,-12.5004,122.92,-0.0498929,-45.5544,3.20578e-11,4.77864,2.85669,7.57904,-0.0266747,1.98652,14.172,8676.49,52.6263,12295.8,15202.9,4.6894,2.76745,7.40056,-0.115912,1.89728,0.555222,8661.19,52.0016,12280.5,0.392853,0.989602,0.00774001,22046.9,0.000450105,0.84033,12.0408,10.4509,123.37,84.137,0.940477,13.0948,12.4153,121.992,134.182,1.37846,-50.0448 
1,43.94,1,21825.9,-0.00605393,36.7376,12.9235,122.537,0.00345106,-6.073,110.627,0.960218,-3.3103,1.78564,-1.10256,-3.30538,-28.0835,9192.53,40.5138,12119.3,15456.3,1.13705,-3.13347,2.13931,-0.925724,-3.12855,1.54694,9222.86,41.7516,12149.7,0.410525,0.99214,0.00629047,22466,0.000354447,0.837463,12.478,10.7771,122.939,83.9622,0.896404,13.3528,12.5266,121.572,133.999,1.36717,-50.0364 
2,43.92,2,21380,0.0456836,34.4827,-13.3175,123.131,-0.0463262,18.014,450.634,-1.54151,1.45674,-2.23569,2.38908,-3.2554,6.46464,8911,34.3254,11628.8,14976.4,-1.58222,1.41603,-2.31711,2.34838,-3.29611,0.324659,8904.02,34.0404,11621.8,0.412762,0.993354,0.0053666,21571.8,0.000656846,0.775267,12.7399,10.9823,123.579,83.7153,0.818834,13.7491,12.8281,122.166,133.285,1.41359,-49.5701 
3,44.12,3,21199.4,-0.0100551,33.4138,13.8154,122.267,-0.031017,4.87357,353.469,-3.10359,-0.0532625,-5.36312,-0.0791256,-1.42983,31.8604,9279.04,36.9953,11165.8,15032.3,-3.30421,-0.253879,-5.76435,-0.279742,-1.63045,0.486821,9244.64,35.591,11131.4,0.432439,0.993308,0.00585536,21377.9,0.00044642,0.78361,13.2334,10.9521,122.609,84.1482,0.746883,14.2743,13.1346,120.89,134.161,1.71873,-50.0126 
4,44.04,4,22606.6,-0.0363596,38.0972,12.9976,123.501,-0.0907092,123.064,130.731,3.28812,-1.06192,8.71448,0.482371,1.42754,11.5686,9371.84,40.3213,12638,16482.9,3.21527,-1.13476,8.56879,0.409527,1.35469,0.309721,9359.35,39.8114,12625.5,0.404795,0.992611,0.00577506,23121.2,0.000356878,0.859213,12.4414,10.7079,124.015,83.5843,0.941677,13.3937,12.4974,122.541,133.345,1.47406,-49.7606 
5,44.18,5,8916.94,0.0123682,12.2521,15.5527,122.399,-0.061579,21.9704,2.00592,-2.1493,0.12042,0.453012,-0.755484,2.40826,25.6474,2924.9,8.77825,5328.05,6247.18,-2.31079,-0.0410745,0.130022,-0.916979,2.24677,1.14576,2897.21,7.64779,5300.36,0.333988,0.995402,0.00265089,8674.6,0.000459158,0.214872,14.1852,11.646,123.189,84.6183,0.303451,16.1572,13.748,121.396,135.155,1.79347,-50.5363 
6,44.1,6,22701.3,-0.00421543,38.178,12.9285,123.164,0.0321118,-28.4481,28.5578,-2.0442,-1.49184,-6.71083,2.34065,1.4271,-16.6093,9915.92,44.1302,12248.5,16097.5,-1.93961,-1.38726,-6.50166,2.44523,1.53168,-0.111087,9933.86,44.8622,12266.5,0.426267,0.992159,0.00669206,23304.3,0.000423879,0.890985,12.4915,10.811,123.591,83.6067,0.889623,13.3552,12.7932,122.158,133.527,1.43298,-49.9199 
7,43.96,7,21235.8,-0.168091,35.2506,13.3076,122.992,0.0691119,60.2335,1.86488e-11,1.58857,2.77634,8.94281,-1.97559,-1.81837,-11.0127,9314.91,33.9102,11493.8,15406.3,1.65792,2.84568,9.0815,-1.90624,-1.74903,0.0854322,9326.81,34.3956,11505.7,0.426505,0.993588,0.00547672,21868,0.000187221,0.82949,12.6479,10.8458,123.165,83.8375,0.818637,13.7521,12.7785,121.941,133.971,1.22399,-50.1338 
8,43.9,8,23727,0.0246812,38.2297,13.4081,123.766,-0.048954,-10.7904,318.658,-1.75289,3.03973,10.666,5.96875,4.23719,-10.6451,9694.35,51.3118,13223.2,16703.6,-1.68586,3.10676,10.8,6.03578,4.30422,0.521295,9705.85,51.781,13234.7,0.402204,0.99075,0.00715571,24131.6,0.000680029,0.819973,12.7174,11.163,124.075,83.8364,0.890432,13.9731,13.2556,122.784,134.019,1.29102,-50.1825 
9,44,9,21328.1,0.0601827,36.5667,12.4828,123.203,-0.102413,37.4695,88.6071,-0.790083,1.73291,13.6539,2.94115,5.84908,17.7272,8887.78,46.5313,11717.8,14984.1,-0.901707,1.62129,13.4306,2.82953,5.73746,0.408791,8868.64,45.7499,11698.7,0.410201,0.991053,0.00715236,21620.2,0.000544726,0.843747,12.0269,10.6427,123.53,83.7418,0.892947,13.0143,12.5475,122.167,133.761,1.36341,-50.019 
10,44.2,10,12875.1,0.0837989,18.7978,14.372,123.343,-0.0164032,-28.7889,181.006,1.68584,0.505433,4.17108,1.08891,-0.7817,-47.0979,5130.28,19.5008,6924.97,8810.06,1.9824,0.801996,4.7642,1.38548,-0.485137,0.436118,5181.14,21.5768,6975.83,0.405258,0.992765,0.00566549,12784.8,0.000617419,0.391197,13.9677,11.405,123.675,83.9363,0.407842,15.1819,14.0337,122.4,134.614,1.27432,-50.6776 
11,44.06,11,21821.1,0.00607848,37.5758,-12.5958,122.621,-0.0126165,-8.31116,237.338,1.47647,0.251259,2.44488,-2.033,3.38395,-4.11201,9414.76,36.7598,11770.3,15410.9,1.50237,0.277151,2.49667,-2.00711,3.40984,0.560362,9419.2,36.941,11774.7,0.423266,0.993183,0.00574606,22253.6,0.000515311,0.865203,12.2153,10.8466,122.924,84.0417,0.904625,12.8486,12.5293,121.564,133.965,1.35973,-49.9237 
12,44.14,12,20051.9,0.00658654,34.8012,-12.4941,123.253,-0.0544189,168.771,470.735,-1.44704,1.43811,6.6161,-1.20073,3.71557,22.2932,9058.92,37.3133,10389.2,14453.5,-1.58742,1.29774,6.33535,-1.34111,3.5752,0.234839,9034.85,36.3307,10365.1,0.444348,0.993012,0.00641534,20332.8,0.000507884,0.866938,12.0316,10.5015,123.473,83.6164,0.812829,12.8215,12.3922,122.224,133.309,1.24946,-49.6923 
13,44.16,13,13812.1,0.0792319,23.8378,12.223,123.682,-0.0296517,14.1954,11.9653,0.13614,4.0222,7.99982,-3.56275,0.915276,12.7111,5664.82,10.9722,7389.77,9498.73,0.0561012,3.94216,7.83974,-3.64279,0.835238,0.131855,5651.1,10.4119,7376.05,0.41276,0.996786,0.00259355,13691,0.000682066,0.571318,11.6353,10.3108,124.354,83.8907,0.580981,12.6697,12.3977,122.673,133.814,1.68039,-49.9233 
14,44.08,14,23807.1,0.062325,39.9619,12.7636,122.759,-0.245842,-20.1034,411.136,3.74929,-1.63278,-0.144715,2.71709,0.653625,0.644363,9991.12,46.4647,13009.6,16765,3.74523,-1.63683,-0.15283,2.71303,0.649568,1.02874,9990.42,46.4363,13008.9,0.413338,0.991931,0.00653259,24170.1,0.000608195,0.90796,12.4782,10.7367,123.062,83.5262,0.980026,13.0232,12.667,121.846,133.279,1.21578,-49.7526 
