cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.96,0,32054.2,-0.0245312,50.8153,13.7566,123.329,0.103033,-75.0434,438.362,0.0161458,-2.18412,3.27409,0.290028,1.09814,-27.2332,15775.8,92.9361,15381.8,23008,0.187626,-2.01264,3.61705,0.461508,1.26962,-0.0266499,15805.3,94.1365,15411.2,0.484772,0.989684,0.0111269,32603.5,0.000617757,1.20985,13.4053,11.8215,123.584,83.8084,0.96728,14.1096,14.1064,122.386,134.038,1.19822,-50.2297 
1,43.97,1,33270.1,-0.0799696,53.7493,13.6146,123.307,0.121095,-106.067,2.65769,2.96955,1.01559,-1.50803,-2.13086,-0.150229,-50.8845,16173.2,89.3893,16376.3,24239.8,3.28996,1.336,-0.867214,-1.81045,0.170177,1.40936,16228.1,91.6322,16431.2,0.475366,0.990215,0.0101684,34138.2,0.00031494,1.24947,13.4599,11.768,123.53,83.3771,1.03921,13.9692,14.1519,122.407,133.503,1.12345,-50.1257 
2,43.81,2,30118.3,-0.0222246,48.0162,13.6773,123.347,-0.00857625,-25.5841,330.11,4.46656,0.0520661,8.14693,2.59332,1.6087,-13.6188,14728.6,88.6369,14593.7,21386,4.55231,0.13782,8.31843,2.67907,1.69445,0.521437,14743.3,89.2372,14608.4,0.480763,0.989519,0.0111275,30666.5,0.000557891,1.15598,13.4181,11.5617,123.532,83.3046,0.940662,13.9885,13.833,122.347,133.118,1.18487,-49.813 
3,43.89,3,28399,-0.0251631,45.4204,13.6442,123.155,-0.0501138,-39.0107,493.298,1.76168,4.73505,5.40311,3.68633,3.16595,-18.555,13568,84.0271,14139.8,20237.7,1.87851,4.85189,5.63678,3.80316,3.28278,0.710238,13588,84.845,14159.9,0.468193,0.989191,0.0109173,29022.2,0.000495838,1.05082,13.4797,11.6389,123.392,83.8868,0.916247,14.0477,13.6961,122.053,133.846,1.33938,-49.9593 
4,43.84,4,29075.4,-0.0244374,45.4037,13.971,123.214,-0.0364636,7.48659,244.142,0.704817,2.19718,-0.584471,0.529822,1.46358,-22.6903,13897,78.9383,14347.1,20658.5,0.847692,2.34006,-0.298721,0.672697,1.60645,1.0578,13921.5,79.9384,14371.6,0.470534,0.990051,0.0101423,29586.6,0.000532693,1.031,13.6797,12.0009,123.438,83.8701,0.880408,14.3613,14.2099,122.266,134.346,1.17187,-50.4757 
5,43.98,5,28880.8,-0.016413,46.0962,13.6668,123.102,-0.119962,106.579,500,-0.804163,-4.99809,-0.269874,-2.86524,-0.594111,-2.06399,13698.9,81.0925,14450.9,20924.3,-0.791167,-4.9851,-0.243882,-2.85225,-0.581115,0.974202,13701.1,81.1834,14453.1,0.465154,0.989737,0.0102412,29455,0.000455411,1.06285,13.3444,11.7676,123.348,84.1278,0.908094,14.2024,14.0117,122.22,134.174,1.12815,-50.0466 
6,43.91,6,30941,-0.0943419,50.0309,13.6472,123.203,0.767607,-254.811,38.1664,2.38921,-2.0867,-2.67818,-0.496344,-2.60242,-25.1725,15006.4,84.1968,15327.4,28594.1,2.54772,-1.9282,-2.36118,-0.33784,-2.44392,0.47801,15033.6,85.3063,15354.6,0.4732,0.990167,0.0101306,31770.2,0.000319165,1.16572,13.3911,11.711,123.401,83.8003,0.973215,14.019,14.0683,122.354,133.916,1.047,-50.1153 
7,44,7,24371.7,-0.0697051,39.2232,13.6984,123.533,0.0674355,1.36632,55.464,-1.8632,-1.52817,-2.6138,0.116672,2.32373,-28.52,11711.3,68.6276,12141.9,17493.7,-1.68362,-1.34859,-2.25464,0.296255,2.50331,0.0935307,11742.1,69.8847,12172.7,0.469491,0.989692,0.0104651,25010.3,0.00029136,0.904461,13.4587,11.7596,123.796,83.8254,0.766653,14.1101,14.0034,122.517,133.929,1.27906,-50.1034 
8,43.9,8,34478.3,0.0645791,55.0507,13.5773,123.458,0.00955608,138.428,5.82556e-12,1.67014,1.67476,6.23496,-5.21694,0.101278,-45.0753,16682.1,101.482,16886.3,24374.8,1.95396,1.95859,6.80262,-4.93311,0.385105,-0.103039,16730.7,103.469,16935,0.475442,0.989293,0.0111296,35189.8,0.000715522,1.30268,13.2615,11.6965,123.655,83.904,1.07773,14.0701,13.8841,122.525,134.13,1.1309,-50.2262 
9,43.93,9,33440.9,-0.0267873,53.422,13.654,122.973,-0.00116489,-2.39116,315.803,-6.3389,-1.14463,-3.51676,-1.3683,-3.84933,-52.9709,16100.7,92.4063,16544.6,23745.2,-6.00535,-0.811082,-2.84967,-1.03476,-3.51579,0.799554,16157.9,94.7411,16601.8,0.471709,0.989843,0.0104029,34253.9,0.00052893,1.25161,13.4094,11.6738,123.27,83.941,1.05607,13.9543,14.016,122.004,134.041,1.26617,-50.1004 
