cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.405,0,12665.2,-0.208084,18.5608,16.0933,117.563,-0.150897,353.718,298.039,-3.88588,-5.9724,-5.43967,-1.82818,-2.37513,-17.7415,4656.32,55.419,7841.17,11461.4,-3.77417,-5.86069,-5.21624,-1.71647,-2.26342,0.722997,4675.47,56.2009,7860.33,0.395276,0.979398,0.0129997,11828.4 
1,44.525,1,12308,-0.112816,19.4109,14.5684,116.662,0.530121,-426.513,500,-1.93015,-1.39455,-5.62846,-1.02268,-0.74541,-0.594902,5974.96,53.9232,6277.19,16566,-1.9264,-1.39081,-5.62097,-1.01893,-0.741664,0.474616,5975.6,53.9494,6277.84,0.511241,0.984446,0.0155837,11688.4 
2,44.565,2,10627,-0.170364,16.53,15.1334,117.537,-0.121879,69.9948,73.173,-4.98833,-3.49919,-5.96878,-3.37404,2.30982,-5.32807,4618.24,51.8405,6000.21,8421.07,-4.95478,-3.46564,-5.90168,-3.34049,2.34337,0.614753,4624,52.0753,6005.97,0.458301,0.980672,0.015721,10089.4 
3,44.455,3,9805.22,-0.21718,15.4283,15.4011,117.303,0.236058,-120.785,23.8274,-6.17278,-3.38574,-4.78537,-0.170701,-1.72141,-5.56687,3530.3,43.8934,6302.26,8663.26,-6.13773,-3.35069,-4.71527,-0.135648,-1.68636,0.705768,3536.31,44.1388,6308.27,0.381198,0.978624,0.0127251,9276.84 
4,44.575,4,11795,-0.267401,17.7553,16.1354,118.064,0.123601,96.479,61.925,-0.800571,-2.01286,-2.73639,-1.03108,1.13822,-38.805,5143.1,50.6373,6627.85,9714.34,-0.556227,-1.76852,-2.2477,-0.786739,1.38257,0.43477,5185.01,52.3477,6669.76,0.460706,0.982639,0.0142517,11254.5 
5,44.505,5,10904.8,-0.19933,16.0924,16.123,116.777,-0.483258,-568.429,339.625,-3.43205,-5.29601,-3.9244,-1.95686,1.06511,-15.5255,5555.46,34.3752,5302.13,17388.5,-3.33429,-5.19825,-3.72888,-1.8591,1.16287,0.712226,5572.22,35.0595,5318.9,0.535152,0.989109,0.0119966,10412.4 
6,44.475,6,10439.9,-0.20269,15.7891,15.8179,116.309,0.0343219,192.691,281.654,-2.08355,-6.86405,-6.25403,-0.38154,-2.52504,-29.5468,3594.89,40.1418,6879.7,8345.49,-1.8975,-6.678,-5.88194,-0.195491,-2.33899,0.653839,3626.79,41.4441,6911.61,0.365739,0.980394,0.0109251,9916.36 
7,44.465,7,10993.6,-0.0272392,16.1524,15.8832,117.237,0.0163067,6.03771,500,-1.1627,-4.23458,-4.54676,1.30892,1.35443,-15.9291,3766.41,30.9188,7239.6,8354.83,-1.0624,-4.13428,-4.34616,1.40922,1.45474,0.349269,3783.61,31.6209,7256.8,0.364254,0.985585,0.00796291,10387.3 
8,44.495,8,10791,-0.229384,15.8793,16.3993,116.653,0.36436,-617.777,498.739,-3.46994,-3.08646,-4.37656,-1.72791,-3.29239,-24.0264,4253.48,37.6585,6598.41,15804.7,-3.31865,-2.93517,-4.07398,-1.57662,-3.14111,0.729223,4279.43,38.7175,6624.36,0.415172,0.984414,0.0106519,10307.6 
9,44.605,9,11257.3,-0.186277,17.6092,15.0858,117.24,0.0717235,-174.504,154.979,-2.16244,-3.8685,-5.0052,-2.20911,-0.663442,-63.4969,4854.16,38.8648,6419.16,9055.19,-1.76262,-3.46868,-4.20555,-1.80929,-0.263619,0.63461,4922.73,41.6636,6487.73,0.45469,0.985405,0.0116915,10826.6 
