cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46,0,21088.3,-1.09489,47.9464,12.144,127.414,-0.0699739,-285.376,149.471,-2.87068,-0.628179,-2.19211,-1.93773,-6.6988,102.697,138.546,22.3995,24929.2,19604.6,-3.51734,-1.27483,-3.48542,-2.58438,-7.34546,0.808571,27.6445,17.8729,24818.3,0.00127868,0.46917,0.00132484,21619.6 
1,46.8282,1,26618,0.0953781,55.2186,12.2673,127.409,0.182638,-65.5156,500,-3.18605,0.265744,2.85926,0.789188,-4.00681,70.765,169.921,40.7799,30481.9,22440.5,-3.63164,-0.179844,1.96808,0.3436,-4.45239,1.33065,93.5027,37.6608,30405.5,0.00352225,0.586558,0.00227647,26546.3 
2,46.9932,2,26111.7,0.0269133,53.9029,12.4843,127.362,-0.0577772,-15.4269,7.07051e-12,2.85794,-3.12814,-1.0682,2.43483,-0.624601,167.052,551.582,45.1718,29533.5,21935.4,1.80606,-4.18002,-3.17196,1.38295,-1.67648,0.456804,371.184,37.8086,29353.1,0.0143268,0.848713,0.00236713,25908.4 
3,47.0182,3,25708.8,0.0203964,51.8515,12.6911,127.529,-0.0250838,-74.5347,499.738,2.06003,5.89489,0.770829,-1.4797,-4.88149,155.274,443.824,31.8185,29137.5,21482.6,1.08231,4.91717,-1.18461,-2.45742,-5.85921,0.66171,276.145,24.9745,28969.8,0.0108378,0.863357,0.00158554,25479.9 
4,46.9732,4,24256.6,-0.0593718,51.081,-12.4613,127.403,0.296765,-333.907,499.997,0.423006,-4.72891,-2.38016,1.8287,-2.57563,144.057,614.701,40.3555,27901.9,23947.1,-0.484085,-5.636,-4.19435,0.921606,-3.48272,0.674239,459.135,34.0059,27746.3,0.0186652,0.885258,0.0022526,24598.5 
5,46.9482,5,22314.7,0.037002,49.1784,11.8315,127.295,-0.0636127,16.6366,2.5202e-12,2.73004,-3.56582,-2.26969,-4.09359,1.17518,94.3143,669.258,31.0042,25431.9,18975.8,2.13617,-4.15969,-3.45743,-4.68747,0.581306,0.639367,567.409,26.8471,25330,0.0251016,0.92353,0.00194863,22604.5 
6,47.0982,6,26397.7,-0.422668,54.1601,12.7243,127.342,-3.48804,988.773,7.55328e-05,-3.52881,-0.296049,-4.41641,-2.16483,-5.04289,103.682,371.192,43.6987,30130.9,134706,-4.18167,-0.948906,-5.72213,-2.81769,-5.69574,0.704529,259.227,39.1287,30018.9,0.00982825,0.791044,0.00239537,26375.7 
7,46.9982,7,23742.4,-0.0845136,51.3132,-11.9849,127.391,-0.0449495,63.5216,499.657,-2.12891,2.93815,0.709098,0.154445,-3.81488,127.687,477.541,38.3333,27163.3,20112.6,-2.93292,2.13413,-0.898929,-0.649569,-4.6189,0.870958,339.652,32.7052,27025.4,0.0142401,0.855792,0.00222429,23851.7 
8,47.1082,8,25506.2,-0.0196145,52.6479,12.2915,127.509,-0.139412,116.739,499.958,-3.53575,3.31884,0.539241,-1.69378,-0.731156,69.7573,314.431,37.4884,28692.1,21595.7,-3.975,2.8796,-0.339244,-2.13302,-1.1704,0.9284,239.101,34.4137,28616.8,0.00951241,0.7988,0.00221037,25135.7 
9,46.9882,9,22320.8,-0.041567,49.7128,-11.7708,127.445,-0.0420232,118.733,500,-0.539782,0.162439,-5.20677,-2.57985,-4.74373,94.565,398.449,29.7148,25816.1,19211.3,-1.13523,-0.433011,-6.39767,-3.1753,-5.33918,0.611801,296.33,25.5466,25714,0.0130729,0.868909,0.00182677,22667.5 
10,46.9282,10,21424,-0.890564,49.6715,11.9642,127.495,-0.886954,2738.82,237.406,0.83408,-0.211766,-5.27487,-5.05687,2.17423,84.8312,938.071,37.0591,24530.8,98424.4,0.29992,-0.745926,-6.34319,-5.59103,1.64007,0.409395,846.462,33.32,24439.2,0.0382866,0.935553,0.0025052,22108.6 
11,46.8682,11,20084.4,0.00788712,48.7625,10.725,127.949,0.00799751,-7.30133,22.4633,-1.58301,-0.0965944,2.04257,1.15948,-6.08728,62.9481,15692.8,59.1972,8065.46,17026.6,-1.97937,-0.492962,1.24983,0.76311,-6.48365,1.18001,15624.8,56.4226,7997.48,0.691895,0.99372,0.0128294,22582.6 
12,46.9082,12,21686.7,-0.176988,49.5396,-11.7398,127.486,-0.374262,2770.77,0.346439,-0.467041,1.34098,-6.66573,-4.33967,-10.1972,94.5583,1247.05,48.8459,24551.1,52690,-1.06245,0.745568,-7.85654,-4.93508,-10.7926,0.671289,1144.93,44.6781,24449,0.0510777,0.936076,0.00335497,22415.5 
13,47.0382,13,22363.6,-1.06289,49.5897,-12.2419,127.229,1.59047,200.527,415.131,-0.546898,0.796711,-4.74263,1.23158,-2.47722,44.0272,241.849,45.4685,25995.6,30144.6,-0.824125,0.519483,-5.29708,0.954353,-2.75445,0.284354,194.304,43.5279,25948.1,0.00853367,0.718373,0.00308061,22769.1 
14,47.0032,14,21625.7,-0.159522,46.739,12.216,127.426,0.342334,-870.668,500,-5.48355,-1.9967,-8.20462,-4.41316,-2.23537,79.315,319.53,34.4635,25419.1,28289.6,-5.98298,-2.49613,-9.20347,-4.91258,-2.73479,0.636657,233.878,30.9675,25333.5,0.0105001,0.811876,0.00224672,22274 
15,46.9632,15,22733.6,0.0798377,50.0902,-11.8617,127.312,-0.116111,66.0893,3.95579e-12,-4.75287,-2.76948,-3.04073,-1.55219,-3.9737,97.371,587.712,30.8392,26255.7,19591.4,-5.36599,-3.3826,-4.26697,-2.16531,-4.58682,0.784144,482.562,26.5474,26150.5,0.0207701,0.912181,0.00186657,23233.5 
16,47.0782,16,22003.8,-0.132621,47.5606,-12.2038,127.276,0.0339301,-17.9914,6.07847e-11,-3.98516,-3.24186,-0.619723,-4.34879,-5.493,110.649,209.137,34.8676,25877.8,18914.5,-4.68189,-3.93858,-2.01318,-5.04552,-6.18973,0.907943,89.6485,29.9905,25758.3,0.0039845,0.630742,0.00214018,22499.3 
17,47.0082,17,22169.7,-0.0377463,49.0216,11.8005,127.273,0.0971826,-122.902,500,-0.152336,1.88041,-2.58119,3.48829,-2.15435,85.9131,260.02,41.6983,25955.3,19220.2,-0.693308,1.33944,-3.66314,2.94732,-2.69532,-0.324816,167.243,37.9115,25862.5,0.00737805,0.715974,0.00269304,22667.7 
18,46.9532,18,22276.8,-0.0852594,47.0003,12.1152,127.316,-0.0598307,68.7498,500,-0.368797,-2.34441,-11.4761,-3.15835,-3.08989,34.0736,656.551,36.5818,24917.3,18670.4,-0.58335,-2.55896,-11.9052,-3.3729,-3.30445,0.452,619.756,35.08,24880.5,0.0278344,0.909872,0.00259052,22265.8 
19,46.9582,19,21962.4,-0.646066,47.8244,11.7711,127.223,1.03624,-828.77,224.189,2.29103,0.691302,4.86592,0.135085,-4.96926,81.4004,681.968,37.2456,24987.9,46282.9,1.77847,0.178745,3.8408,-0.377472,-5.48182,63.6864,594.064,33.6577,24900,0.026691,0.909795,0.00248382,22257.1 
20,46.8882,20,21779.1,-0.267261,46.2187,12.2728,127.42,0.192941,51.5792,500,-0.621176,-1.79276,-4.61449,-3.25108,-7.52883,66.491,1724.12,55.6722,23352.2,18789.3,-1.03985,-2.21144,-5.45184,-3.66976,-7.94751,0.731706,1652.32,52.7415,23280.4,0.0754267,0.947096,0.00415592,21906.3 
21,46.9782,21,23545,-1.06696,49.516,-12.7722,127.484,1.21293,-1665.24,99.9645,2.08843,-2.09913,-4.79905,-5.96335,-8.43654,89.4768,571.718,31.7643,26713.9,86339.5,1.52502,-2.66254,-5.92588,-6.52677,-8.99995,0.737678,475.093,27.8205,26617.3,0.0201037,0.907049,0.00192167,23632.2 
22,46.9382,22,23896.2,-0.231829,50.7645,12.2158,127.284,0.180598,-11.2218,3.05335e-08,-2.3375,0.0862315,-0.313586,-3.92965,-5.41169,62.9149,920.197,47.9388,26612.9,20253.2,-2.73366,-0.309927,-1.1059,-4.32581,-5.80785,0.922573,852.256,45.1657,26544.9,0.0355902,0.915129,0.00312452,23946.3 
23,46.9232,23,22690.1,-1.11504,49.9252,12.4048,127.323,-3.22058,2729.2,271.877,-1.96523,-5.32466,-2.31815,-4.45979,-9.23106,28.4813,1082.45,42.7859,25433.5,306291,-2.14457,-5.504,-2.67683,-4.63913,-9.4104,0.890181,1051.69,41.5305,25402.8,0.0454255,0.935361,0.00300258,23152.1 
24,46.8482,24,24468.3,-0.153425,56.097,-11.051,127.739,0.128573,-57.9079,499.785,1.02302,-4.75808,-7.22861,-6.3894,-2.80907,25.2093,13167.5,92.2511,14641.2,20423,0.864286,-4.91682,-7.54608,-6.54814,-2.96781,0.642612,13140.3,91.14,14613.9,0.508241,0.988008,0.0113578,25854.4 
25,46.8582,25,27580.2,-0.0889998,55.6634,12.3233,128.093,0.103527,-58.6951,500,-3.79098,-3.06132,-0.846578,-3.4294,-2.6145,-32.1712,27462.2,95.9255,3068.6,22528.1,-3.58841,-2.85874,-0.441431,-3.22683,-2.41192,0.964763,27496.9,97.3435,3103.34,0.91059,0.993843,0.0546255,30196.9 
26,46.9182,26,22081.3,0.0318336,47.5378,12.0228,127.257,-0.0888341,39.0261,0.00199219,-1.69026,-3.19038,-3.48054,-2.50727,-4.14432,-25.3835,1084.35,44.4489,24643.3,18718.2,-1.53042,-3.03055,-3.16087,-2.34744,-3.98449,0.775087,1111.76,45.5677,24670.7,0.049247,0.933073,0.0033909,22575.3 
27,46.8782,27,21336.2,-0.936068,49.0976,11.6018,127.439,-0.538643,1649,321.131,1.57603,-0.648161,1.07069,1.86283,-2.03606,-1.24107,2922.01,51.4509,21708.1,47457.6,1.58384,-0.640347,1.08632,1.87065,-2.02824,0.41977,2923.35,51.5056,21709.4,0.134034,0.970089,0.00435138,21810.5 
28,47.0582,28,21222.8,0.00333881,45.9619,-11.9539,127.21,-0.025807,31.1087,7.79883e-12,-0.706524,-5.96895,-8.37461,-3.88959,-7.58431,-9.98225,216.665,32.9005,24756.8,17911.7,-0.643668,-5.90609,-8.24889,-3.82673,-7.52145,0.684517,227.445,33.3404,24767.6,0.0104451,0.795844,0.00247359,21775.2 
29,46.8982,29,18246.9,0.0528033,41.4667,11.5947,127.437,-0.0264231,-31.7075,500,-5.46033,-5.15241,-2.81439,-2.65651,-5.71456,52.5425,1136.99,36.5698,20531.4,15678.7,-5.79118,-5.48325,-3.47608,-2.98736,-6.04541,0.853843,1080.25,34.2539,20474.6,0.0571766,0.947426,0.00307236,18893.2 
30,46.9132,30,20881.6,-0.0483638,46.9171,-11.6209,127.461,0.0278493,-31.1645,499.909,-2.50368,-3.6243,-2.93878,-2.62118,-6.21737,71.3705,1085.07,35.0947,23379.8,17777,-2.95308,-4.0737,-3.83758,-3.07058,-6.66677,0.813725,1008,31.9488,23302.7,0.0473654,0.947448,0.00251923,21281.4 
31,47.0482,31,21362.4,-0.0290578,47.7947,11.7333,127.323,0.039368,-21.8282,500,2.48635,-2.23965,-2.34978,-2.04822,-3.80364,29.4707,182.203,29.0628,25045.1,18283.5,2.30078,-2.42522,-2.72091,-2.23379,-3.98921,0.699955,150.378,27.7638,25013.3,0.00686285,0.755803,0.00204049,21911.9 
32,47.0282,32,23574.5,-1.09885,50.4831,12.6118,127.276,3.33766,-1208.47,30.473,-4.85089,-5.28139,-0.633913,-2.01126,-6.6209,52.8489,292.186,38.822,27240.4,152029,-5.18366,-5.61417,-1.29946,-2.34403,-6.95367,0.939263,235.115,36.4926,27183.3,0.0098438,0.786398,0.00246686,23884.6 
33,46.9332,33,21842.1,-0.45905,47.8702,-12.1527,127.173,0.697697,6.14156,5.91116e-09,-2.06025,-3.15696,-1.01863,-2.56235,-7.96885,111.231,918.167,38.7773,24580.2,19077.5,-2.76064,-3.85735,-2.41941,-3.26274,-8.66925,0.884622,798.05,33.8746,24460.1,0.0361463,0.930855,0.00254462,22078.3 
