cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.144,0,27871.4,-0.0249567,50.6865,11.6828,119.657,-0.0724954,45.8168,1.33235e-11,-2.68945,1.6138,-2.05289,1.84631,-1.50016,-137.075,-21.4524,30.1931,26710.1,19384.9,-1.82633,2.47692,-0.32665,2.70944,-0.63704,1.13631,126.573,36.235,26858.1,0.00538766,0.666229,0.00247907,23493.1 
1,47.194,1,28161.4,0.194256,54.5528,10.7147,119.82,-0.131829,-4.87085,1.77129,6.58861,4.39823,0.343011,1.92802,1.69549,-161.951,-15.2324,21.9002,26645.2,19048.8,7.60837,5.418,2.38254,2.94778,2.71526,0.886933,159.657,29.0386,26820.1,0.00679589,0.758558,0.0019905,23493.2 
2,46.994,2,23646.7,0.137673,42.6417,11.6794,119.677,-0.162098,-54.4544,17.3528,-3.25478,0.459736,-2.28755,-0.70218,-3.86976,-146.95,576.351,17.5856,21879.8,16499.8,-2.32947,1.38504,-0.436938,0.223128,-2.94445,0.8935,735.041,24.0628,22038.5,0.0369209,0.945815,0.00200727,19908.5 
3,47.094,3,28049.7,0.171952,48.1404,12.2513,119.523,-0.0760845,-261.459,100,1.10062,0.205166,-0.92087,-2.93568,0.32888,-200.251,60.135,41.1356,26781.1,19847,2.36155,1.46609,1.60099,-1.67476,1.58981,0.700396,276.384,49.9621,26997.3,0.0116304,0.759677,0.00339748,23764 
4,47.024,4,26110.5,0.00616462,46.7177,11.6027,119.784,-0.105322,-9.18989,500,-4.4616,-2.93284,-6.31723,-3.3459,-2.42681,-163.54,308.836,28.3662,23994.7,17677,-3.43184,-1.90308,-4.2577,-2.31614,-1.39704,0.680012,485.441,35.5745,24171.4,0.0225634,0.886332,0.00270382,21514.5 
5,47.174,5,27576.9,0.0321435,48.7496,11.8492,119.573,-0.0563879,-0.760211,2.71719e-11,-2.2294,-1.75983,-4.04906,-3.45877,-3.21191,-206.926,-5.2224,38.0527,26093.6,18805.6,-0.926445,-0.45687,-1.44315,-2.15581,-1.90895,0.790582,218.235,47.1734,26317,0.00944165,0.725543,0.00329112,23114.1 
6,47.054,6,26083.9,-0.0242614,48.5475,11.4384,119.827,-0.0154245,18.3499,1.75762e-11,6.67499,4.43887,0.537004,1.31686,-2.46494,-121.641,141.704,22.264,24875.9,18086.2,7.44093,5.20481,2.06888,2.0828,-1.699,0.862974,273.062,27.6256,25007.2,0.0123954,0.849584,0.00203085,22029.4 
7,47.164,7,26921.5,0.0083071,50.9034,11.0853,119.822,-0.177088,118.743,500,-0.0542272,3.99235,2.36873,-1.16442,-2.27905,-181.487,-78.9351,18.1976,25586.3,19053.7,1.08855,5.13513,4.65428,-0.0216463,-1.13628,0.521166,117.051,26.197,25782.3,0.00519128,0.718564,0.00186824,22547.6 
8,47.124,8,26372.8,0.0801392,48.1103,11.6605,119.835,-0.135961,0.45918,500,2.53026,2.51085,-0.324797,-3.29044,-1.34959,-170.708,-83.2917,15.9437,25238.5,18264.1,3.60517,3.58576,1.82501,-2.21554,-0.274681,0.720335,101.055,23.468,25422.9,0.00454812,0.711033,0.00169757,22219 
9,47.184,9,25936,-0.0558654,47.8954,11.4198,119.804,-0.0107454,-0.967994,1.00519e-11,6.34111,5.08929,0.21812,1.09375,-2.23725,-172.217,-109.384,14.6823,24643.5,17805.6,7.42551,6.1737,2.38693,2.17816,-1.15284,0.859687,76.5913,22.2732,24829.5,0.0035331,0.66273,0.00164973,21678.2 
