cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.5069,10,0,22527.9,-0.0217608,45.5276,11.0748,119.534,-0.0244969,31.7506,1.35516e-11,-3.99574,2.35242,-3.39979,2.16571,-0.714978,96.2157,145.482,-7.53672,22018.8,16439,-4.60158,1.74658,-4.61148,1.55986,-1.32082,0.361949,10.53,-12.5349,21883.9,0.000480943,-0.92318,-0.00105626,21894.4,-1.35949e-05,-0.0135862,8.09019,9.94189,111.445,72.7912,2.18778,11.3717,11.1485,119.086,130.292,-7.64158,-57.5012 
1,48,10,1,17678.8,0.0329488,34.9433,10.9567,119.059,-0.030372,-3.13514,8.88371e-11,-1.80772,0.909736,-1.67973,3.58914,-2.0481,-58.7356,1.33502,-12.8334,16866.6,12466.6,-1.43788,1.27958,-0.940047,3.95898,-1.67826,1.79505,83.7174,-9.78222,16949,0.00491508,1.25705,-0.00106431,17032.7,0.000842211,-0.0638312,-10.6245,-13.4686,94.8099,108,1.703,11.3454,11.0809,118.634,129.077,-23.8238,-21.0768 
2,47.3469,10,2,21918.5,-0.00856314,41.9144,-11.5631,119.313,-0.00960545,18.6444,2.07562e-12,0.419148,6.61396,2.25258,-1.49883,0.141029,-64.3064,78.0927,-20.522,21178.7,15783.2,0.824068,7.01888,3.06242,-1.09391,0.545949,0.704325,168.289,-17.1814,21268.9,0.0078503,1.21753,-0.00149031,21437.2,0.000752796,-0.073899,10.314,16.7526,95.0751,108,2.03197,11.927,11.1791,118.832,129.293,-23.7574,-21.2932 
3,47.0319,10,3,20080.2,-0.0501929,39.2736,11.2509,119.231,0.110601,-70.7734,10.6562,1.97309,1.13834,-4.81287,1.71011,-2.80047,0.66027,228.467,-3.62954,19180.8,14638.9,1.96893,1.13418,-4.82119,1.70595,-2.80463,-0.711608,227.541,-3.66384,19179.9,0.0117244,1.029,-0.000352012,19407.4,1.27107e-05,0.0362731,10.0889,12.4562,125.8,94.6341,1.86036,11.5041,11.277,118.748,129.347,7.05205,-34.7125 
4,47.1069,10,4,20897.1,-0.0725858,41.3362,11.1802,119.493,0.00340407,96.4794,405.759,0.614332,3.40801,0.762323,1.99898,-1.82813,3.75503,119.09,-7.97939,20252.2,15055.1,0.590687,3.38437,0.715034,1.97533,-1.85178,0.851457,113.823,-8.17446,20246.9,0.00559034,1.14375,-0.000744284,20360.7,0.000173193,-0.0165354,-6.98278,7.80291,110.293,78.1012,2.00904,11.4471,11.0706,119.035,130.854,-8.74199,-52.7528 
5,46.8069,1.5,5,26642.4,-0.0366121,53.154,11.0336,120.415,0.0322599,-32.3197,1.4018e-11,-2.54616,-0.315478,1.0432,-0.138539,1.20708,215.639,18267.4,36.933,8035.29,19125.7,-3.90398,-1.6733,-1.67244,-1.49636,-0.150736,0.812018,17964.9,25.731,7732.83,0.699085,0.9975,0.00609226,25697.7,0.00020422,2.0189,11.212,9.90836,120.442,81.0753,0.809949,11.0016,11.1534,119.272,129.079,1.16959,-48.004 
6,47.0169,10,6,20581.8,-0.0494555,41.1541,11.0023,119.338,-0.0664642,103.648,500,2.51095,1.94898,-2.85302,2.32358,-0.845113,12.1398,239.112,-5.87023,19682.3,14964.1,2.43451,1.87254,-3.0059,2.24713,-0.921554,2.14435,222.085,-6.50087,19665.3,0.0111671,1.05399,-0.000609326,19887.4,-0.000156014,0.0474911,-3.07189,69.1385,127.287,108,1.93363,11.1845,11.309,118.793,129.903,8.4948,-21.9032 
7,46.9869,10,7,14804.6,-0.0530026,28.6024,11.4532,119.512,0.0530997,-47.9207,173.623,-1.06087,-2.55644,0.054019,-0.589175,1.50115,37.8634,177.461,-6.43132,13975.5,10746.9,-1.29928,-2.79485,-0.422812,-0.827591,1.26273,0.896415,124.354,-8.39824,13922.3,0.0088529,1.13403,-0.00111243,14046.7,0.000177621,0.0328252,-9.62988,-12.2182,126.037,95.8262,1.30704,11.6999,11.4504,118.953,130.068,7.08401,-34.2415 
8,46.9269,10,8,17676.4,0.0227006,34.1421,11.4405,119.348,-0.0158049,-29.0145,4.18389e-11,2.26616,-1.99912,0.362952,1.79856,0.653451,-16.2231,616.911,-6.98496,16546.1,12730.3,2.36832,-1.89697,0.567257,1.90071,0.755604,0.846476,639.666,-6.1422,16568.9,0.0371714,1.01709,-0.000683348,17208.6,-0.000148084,0.0605803,9.52072,14.822,122.818,85.3523,1.55042,11.9536,11.3382,118.792,129.585,4.02526,-44.2331 
9,47.3669,10,9,11208.3,-0.0547551,22.497,11.098,119.195,0.0147117,11.0771,0.0769862,-1.89898,-1.40078,-8.94735,1.30219,-2.8904,20.9497,145.575,-9.76918,10503.2,8132.93,-2.0309,-1.53269,-9.21117,1.17028,-3.02231,0.370253,116.191,-10.8575,10473.8,0.0109718,1.1955,-0.00191324,10590,0.000481305,-7.22021e-05,-0.00191418,34.2356,152.021,85.8155,0.957127,11.2516,12.1343,118.693,130.146,33.3276,-44.3309 
10,47.0469,10,10,21314.9,0.0319177,42.4205,11.0729,119.403,-0.0622992,17.5248,5.99027e-11,-2.9659,-0.317218,3.62115,-2.16384,-4.43902,-0.583739,167.547,-13.7438,20607.3,15326.4,-2.96223,-0.313542,3.6285,-2.16017,-4.43535,1.58123,168.366,-13.7135,20608.1,0.00810368,1.16623,-0.00122732,20776.5,-0.000227977,0.0340868,8.34734,14.2425,126.524,94.1506,2.01507,11.3523,11.3801,118.915,131.169,7.6097,-37.0182 
11,46.8219,2,11,14792.6,-0.0321824,29.6629,-10.9553,119.391,0.02317,-31.4837,355.651,-2.92115,3.11348,1.44504,4.16407,-3.78335,-24.3805,183.598,-6.43131,14011.5,10602.5,-2.76764,3.26699,1.75208,4.31759,-3.62983,0.403892,217.794,-5.16479,14045.7,0.0152693,1.0433,-0.000677824,14263.5,-8.6264e-05,0.0332302,4.24025,72.7999,126.804,108,1.40188,11.0884,11.1025,118.694,130.078,8.10957,-22.0778 
12,46.8519,3.5,12,22599.3,-0.0623883,45.3334,10.9854,119.59,-0.0342002,42.7874,1.41264,-3.21216,-1.81697,-0.672248,-2.46564,-2.48057,-2.8756,342.76,-19.5225,21692.9,16259.4,-3.19406,-1.79886,-0.636034,-2.44753,-2.46246,0.939649,346.793,-19.3731,21696.9,0.0157321,1.10835,-0.00164752,22043.7,-0.000148092,0.0583256,-3.00264,62.6814,127.415,108,2.13352,11.1408,11.2832,119.046,130.351,8.36913,-22.3509 
13,47.1669,10,13,19423.2,-0.0961383,39.1807,11.0463,119.56,-0.0056932,12.3836,40.2162,1.73621,-1.35209,1.18174,1.25898,-1.12554,-57.0013,51.5526,-12.5124,18759.5,14091.5,2.09514,-0.993167,1.89958,1.6179,-0.766617,0.506965,131.502,-9.55127,18839.4,0.00693179,1.14561,-0.00093479,18970.9,0.000703374,-0.0733351,-10.5828,13.5432,94.7815,108,1.90295,11.2837,11.1203,118.995,129.572,-24.2135,-21.5715 
14,47.1469,10,14,19455.7,-0.0762909,39.4974,10.9187,119.56,0.0160819,5.98674,130.915,-2.27296,0.999062,0.913998,-0.670155,-3.80321,-13.4815,90.557,-13.7128,18723.2,14042,-2.18807,1.08395,1.08378,-0.585265,-3.71832,1.25065,109.466,-13.0124,18742.1,0.00580673,1.26267,-0.00128059,18851.6,0.000118749,-0.0209944,4.56233,-3.15302,150.328,92.2302,1.94496,11.1848,10.8984,119.12,129.88,31.2079,-37.6496 
15,46.9119,10,15,17504.3,-0.028207,34.8552,11.1871,119.793,-0.025262,17.6826,500,-2.21477,-2.47458,-1.13639,-1.85529,-2.93098,62.1477,729.57,-12.4442,16213.7,12708.1,-2.60609,-2.86591,-1.91905,-2.24661,-3.32231,0.851925,642.402,-15.6726,16126.5,0.0383091,1.0446,-0.00179347,16768.9,3.81791e-06,0.074925,9.8998,14.9559,123.76,84.782,1.58243,11.4356,11.2384,119.153,130.294,4.60721,-45.512 
16,46,10,16,21680.5,-0.0324631,43.5588,-10.9765,119.383,0.0258812,34.2854,500,1.11522,0.510837,0.590523,0.74779,4.39423,39.3728,86.9103,-15.6612,20949.4,15593.4,0.867303,0.262917,0.0946826,0.49987,4.14631,0.983873,31.6861,-17.7066,20894.2,0.00151421,45.2921,-0.00156351,20925.9,0.000197869,-0.0196465,-7.10086,-7.77119,111.141,79.9727,2.08303,11.1679,11.3499,118.951,130.345,-7.81044,-50.3723 
17,47.1869,10,17,20811.6,-0.0350157,40.8009,-11.2089,119.487,-0.0218243,-22.1649,500,4.32013,2.00416,-0.831476,3.1923,-1.36274,4.67564,176.673,-17.0901,19959.6,14903.4,4.29069,1.97471,-0.890358,3.16286,-1.39218,1.1246,170.115,-17.333,19953,0.00845369,1.217,-0.00160278,20123.1,0.000290423,-0.0192525,-4.94335,7.44345,113.732,73.4485,2.00056,11.4576,10.982,119.056,129.663,-5.32308,-56.2149 
18,47.0019,10,18,19188.2,-0.03757,37.7022,11.1832,119.388,0.0174782,10.8322,4.65917e-11,-2.67342,2.71378,2.24121,-1.79592,0.358991,-3.87319,258.949,-3.36975,18246.8,13731.6,-2.64903,2.73816,2.28999,-1.77153,0.383379,-1.31086,264.381,-3.16855,18252.2,0.0142781,1.02142,-0.000319888,18516.6,-6.61332e-05,0.0482985,3.18012,59.859,126.976,108,1.77182,11.4385,11.1991,118.775,130.285,8.20154,-22.2848 
19,47.2869,10,19,20777.3,0.00836189,40.7539,11.1016,119.376,-0.0415633,14.1323,1.51157e-10,-0.640352,2.01643,6.97368,-0.897852,0.665384,-23.1591,46.6379,-27.2699,19946.7,14747.4,-0.494525,2.16226,7.26534,-0.752025,0.81121,0.192045,79.1208,-26.0668,19979.2,0.00394455,2.36154,-0.00240918,20058.3,0.000883674,-0.0709331,-10.511,-14.3323,94.5632,108,1.98992,11.3854,11.169,118.933,130.497,-24.3695,-22.4968 
20,47.0669,10,20,20308.9,-0.0663959,39.3387,11.4181,119.391,0.148524,-103.497,500,2.20295,4.46528,2.53856,-5.9496,0.906458,-76.7327,69.8194,-12.6015,19605.4,15122.5,2.68611,4.94845,3.50489,-5.46643,1.38962,0.503742,177.444,-8.61535,19713,0.0089211,1.09286,-0.000805721,19890.4,-0.000287729,0.0345491,-8.26981,13.8603,126.922,94.0341,1.87783,11.6915,11.338,118.935,130.259,7.98712,-36.2248 
21,46.9419,10,21,18500.2,-0.0365288,36.3543,11.1677,119.506,-0.0285623,6.67502,12.8051,-0.497015,2.01921,1.46745,3.01875,0.180937,40.1649,447.578,-16.0737,17454,13222.7,-0.749922,1.7663,0.961632,2.76584,-0.0719708,0.794166,391.243,-18.1602,17397.6,0.0219937,1.08841,-0.00192655,17788.9,-9.55832e-05,0.0520933,9.09497,15.0703,123.406,85.0897,1.70598,11.5726,11.1893,119.011,129.725,4.39461,-44.6353 
22,47.2069,10,22,22415.3,-0.0228261,44.4424,11.0377,119.57,-0.0163181,27.5373,2.9557e-10,0.215574,-1.50293,-7.19494,-0.355155,0.147791,-89.3508,49.3246,-18.3831,21715.4,15983.4,0.778193,-0.940311,-6.0697,0.207463,0.710409,-0.142221,174.648,-13.7415,21840.7,0.00793299,1.15968,-0.00116034,22015.4,0.000810254,-0.0756925,10.5041,14.1231,94.8083,108,2.1466,11.3783,11.246,119.06,129.677,-24.2513,-21.6772 
23,47.1269,10,23,20660.6,-0.0447492,40.9296,11.0886,119.482,0.0384393,-53.5851,497.735,2.28193,-1.19031,-0.443143,4.01323,1.45066,-42.1131,140.299,-26.6838,19796.7,14841.5,2.5471,-0.925131,0.0872066,4.27841,1.71584,0.988679,199.367,-24.4961,19855.8,0.00994094,1.27392,-0.00227778,20055.1,4.67151e-05,0.0368961,8.43847,-12.6766,127.556,96.5566,1.98442,11.3186,11.068,118.959,130.399,8.59638,-33.8429 
24,47.2269,10,24,19777.4,-0.0492428,39.2915,-11.1702,119.528,-0.0316112,45.12,500,3.13185,-1.95927,2.07589,0.0725217,1.21574,-4.25751,80.6068,0.954718,19123.1,14333.9,3.15866,-1.93246,2.12951,0.0993301,1.24255,0.54668,86.5784,1.17589,19129,0.00450563,0.976784,0.000113224,19215.6,-0.00010961,0.0365363,-9.39247,10.8062,126.963,97.7655,1.88892,11.4122,11.142,119.044,130.36,7.91952,-32.5946 
25,47.3069,10,25,20899.5,-0.0508449,39.94,11.5106,119.387,0.0672117,-72.1842,250.535,3.00099,1.98607,-0.142148,3.48437,0.933637,-37.435,81.0354,-15.7318,20121.2,15123.8,3.23671,2.22179,0.329289,3.72009,1.16936,0.96916,133.542,-13.7871,20173.7,0.00657606,1.22051,-0.00126052,20307.2,0.000757622,-0.0716908,10.1628,15.5556,95.3394,108,1.9549,11.8589,11.0831,118.85,129.627,-23.5104,-21.6267 
26,47.2469,10,26,14308.7,-0.0127257,27.9597,11.2736,119.557,-0.00904419,1.51756,0.00134057,4.10716,3.55261,2.03224,-1.82235,-2.4764,-36.8176,7.55657,-10.7884,13531.8,10261.4,4.33899,3.78444,2.4959,-1.59052,-2.24457,0.632103,59.1969,-8.87583,13583.5,0.00433911,1.35573,-0.00120514,13642.6,0.000899689,-0.0482289,-11.4561,17.6114,95.8717,108,1.32099,11.7184,11.1495,118.957,129.102,-23.0853,-21.1017 
27,47.3269,10,27,18175,-0.018009,35.3548,11.378,119.422,-0.00415999,3.69838,499.467,2.9936,2.99625,0.821639,-0.921932,-1.82175,-36.7624,205.084,-5.04237,17319.2,13095.7,3.22508,3.22773,1.28461,-0.690449,-1.59027,0.764582,256.647,-3.13263,17370.8,0.0145595,1.02183,-0.000332314,17627.4,0.00022326,0.0166742,-15.0082,6.13528,88,60.3034,1.63854,11.6074,11.4674,118.822,130.092,-30.8219,-69.7885 
28,47.3869,10,28,22846.1,-0.0475901,44.5086,11.2708,119.54,0.00316467,72.5438,476.674,1.80206,-2.23035,1.36907,-5.83879,2.07377,-92.3066,138.415,-6.43397,21976.4,16337.8,2.38329,-1.64912,2.53153,-5.25756,2.655,-2.81744,267.884,-1.63882,22105.9,0.0119731,1.01082,-0.000136583,22373.8,0.306836,-0.309059,925.971,1224.47,95.5525,65.5093,2.11265,11.5674,11.3498,119.062,129.156,-23.5099,-63.6472 
29,46.9719,10,29,17999.7,-0.0765559,33.1554,-12.0542,119.374,-0.00837915,-22.9675,28.9389,-3.52716,1.43527,2.03014,-4.19777,-2.22894,119.569,453.177,-3.39891,16826.7,13016.6,-4.28005,0.682376,0.524344,-4.95066,-2.98184,1.04764,285.47,-9.6103,16659,0.0168473,1.0626,-0.00106381,16944.5,0.000100752,0.0384124,-9.82161,18.8884,125.169,88.9551,1.52419,12.1652,11.4369,118.729,130.598,6.43948,-41.6427 
30,46.8669,5,30,21339,-0.0831656,43.0345,10.99,119.156,0.579681,-291.64,23.9103,4.18403,1.13356,-2.54951,2.74522,0.189136,71.2563,395.088,-15.2312,20327.9,20899.4,3.73535,0.684879,-3.44688,2.29654,-0.259546,2.14501,295.144,-18.9328,20228,0.014381,1.12645,-0.00172714,20523.1,-0.000123334,0.0411434,9.09262,18.8696,123.603,90.4547,2.04619,11.2922,11.0865,118.676,130.178,4.92756,-39.7229 
31,46.8969,10,31,18463.8,-0.108483,33.927,-12.1839,119.271,0.0544271,4.54044,54.513,-2.8293,1.28107,3.81432,-0.71238,-2.53091,-15.2696,1187.92,-2.18272,16753.3,13464.4,-2.73315,1.37722,4.00662,-0.616231,-2.43476,11.0089,1209.34,-1.38949,16774.7,0.0672453,1.00201,-0.00015261,17984,-0.000164191,0.117849,10.8346,11.5093,121.574,82.2265,1.4587,12.5129,11.7166,118.559,129.886,3.01469,-47.6597 
