cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.7992,10,0,19145.2,-0.242151,30.1925,14.6832,116.83,0.112893,130.928,56.3545,-0.274381,-0.0685641,2.18577,0.786682,2.39323,129.764,1332.01,31.5795,16320.1,14912.8,-1.09147,-0.885656,0.551591,-0.0304098,1.57614,-3.58932,1150.01,24.8385,16138.1,0.0629918,0.963579,0.0028272,18256.4,0.00141972,0.0569433,14.9005,16.9137,121.452,85.5736,0.930076,14.7662,14.6037,116.063,134.415,5.38847,-48.8413 
1,45.6,10,1,17097.6,-0.191499,28.5172,14.1701,116.228,0.0984304,-162.695,500,0.638916,-1.22963,-0.14048,-4.26853,0.658062,118.804,235.607,1.46659,15587.6,13675.9,-0.109163,-1.97771,-1.63664,-5.0166,-0.0900171,0.814653,68.9728,-4.70506,15421,0.00420175,1.13556,-0.000562356,16415.2,0.00105537,-0.1447,49.8775,-0.264403,88.4807,81.4822,0.957034,14.4494,14.1093,115.47,133.967,-26.9897,-52.4852 
2,46.6892,3.5,2,15806.1,-0.210152,23.9687,15.3184,115.521,0.0283956,252.724,339.407,0.878146,-1.15647,-3.87469,-2.51572,1.96933,95.1518,1212.58,10.4586,13292.2,12186,0.279,-1.75561,-5.07298,-3.11487,1.37019,0.388376,1079.12,5.51567,13158.7,0.0718103,0.991135,0.000771551,15027.4,0.00121571,0.0597732,15.2695,14.2357,118.571,84.4794,0.710886,15.5302,14.8397,114.241,133.846,4.3297,-49.3662 
3,46.7592,10,3,15373.6,-0.129897,22.5532,15.7525,116.174,0.0177479,-10.5856,0.657644,-2.0771,-0.924086,1.11716,1.82965,2.30262,104.418,1287.62,29.1972,12919.2,11571.3,-2.73459,-1.58158,-0.197816,1.17216,1.64513,0.883411,1141.17,23.7729,12772.8,0.0777345,0.964826,0.00341684,14680.3,0.000960707,0.0597176,16.6647,14.5637,119.649,85.1373,0.673859,16.1178,14.7842,115.249,134.119,4.40002,-48.9812 
4,46.7392,10,4,16935.3,-0.000826786,26.1795,14.7599,115.946,0.00685912,-14.6527,1.91501,4.08798,-0.354307,1.42505,-5.37088,2.77799,125.243,1204.62,21.0463,14184.4,12582.1,3.29936,-1.14293,-0.152199,-6.1595,1.98937,0.92973,1028.95,14.5402,14008.8,0.0648026,0.975867,0.00190834,15878.2,0.00137154,0.0536945,15.0383,15.053,120.077,84.6623,0.736126,15.0692,15.8972,114.961,134.705,5.11527,-50.043 
5,45.2,10,5,17313,-0.298909,28.4873,14.391,116.328,0.218711,119.109,33.8722,0.158677,-0.849536,-3.45385,1.37831,1.79833,35.8755,275.014,9.0491,15752.9,14193.6,-0.0672213,-1.07543,-3.90564,1.15241,1.57243,-0.680958,224.695,7.18544,15702.6,0.0133197,0.947003,0.000842231,16869.4,-0.00167662,0.0296295,13.686,9521.6,119.408,83.8019,0.897082,14.8335,13.9631,115.327,135.281,4.08101,-51.4787 
6,46.7042,5,6,14732.8,-0.13054,22.8029,15.1417,116.319,0.00507219,96.7429,6.35196e-06,-4.06327,-6.05699,-0.218974,-6.36481,-0.683997,91.8074,1312.3,19.8356,12238.5,11255.8,-4.64136,-6.63508,-1.37515,-6.9429,-1.26208,0.934066,1183.53,15.0664,12109.7,0.0844179,0.978208,0.00228663,14019.8,0.000874536,0.0679643,15.1655,14.5967,119.423,84.9044,0.653412,15.4605,15.1815,115.244,134.891,4.17821,-49.9862 
7,46.6742,2.5,7,14533.8,-0.00921325,21.1122,15.628,115.959,-0.002845,2.34871,0.094503,-2.2981,1.25586,-3.23148,-1.24471,1.208,134.618,850.829,19.3238,12393,10740.9,-3.14575,0.408205,-4.92679,-2.09236,0.360349,0.47567,662.014,12.3306,12204.2,0.0486829,0.968434,0.00185773,13598.5,0.00106314,0.0358381,15.2421,16.8712,120.071,86.7196,0.660852,16.1012,14.4858,114.94,134.272,5.1315,-47.552 
8,46.8792,10,8,14655.5,-0.193283,21.8815,15.55,116.366,0.0494712,22.7261,488.822,-2.06045,-2.01624,2.1716,-1.15829,-3.48141,83.7386,951.802,22.1339,12315.6,11113.1,-2.58773,-2.54352,1.11704,-1.68557,-4.00869,1.11506,834.351,17.7839,12198.2,0.0606166,0.964041,0.00267844,13764.4,0.00128729,0.0294606,16.5851,19.422,120.626,84.6345,0.654936,15.7695,14.7406,115.504,135.066,5.12271,-50.4311 
9,46.9992,10,9,16401.9,-0.186228,25.3527,14.8857,115.828,0.0657555,39.5393,442.923,1.02387,-1.37299,-1.87875,1.07659,-1.46082,53.422,523.259,23.8567,14359,12370,0.687489,-1.70938,-2.55152,0.74021,-1.7972,0.448964,448.329,21.0815,14284.1,0.0287584,0.923967,0.00271134,15589.5,0.00150692,0.0252682,11.5062,13.7445,125.224,94.871,0.787498,14.8395,15.0682,114.827,134.564,10.3965,-39.6934 
10,46.7192,9,10,18565.2,-0.0114638,26.4345,15.8956,116.144,-0.0283602,37.2543,0.237967,0.923998,-2.30522,-1.36076,-0.106497,-0.811537,95.5146,1545.06,20.6691,15492.7,13713,0.322568,-2.90665,-2.56362,-0.707927,-1.41297,0.647302,1411.09,15.7073,15358.8,0.0797614,0.980892,0.00188037,17691.4,0.00134255,0.0695939,16.2001,15.1555,119.792,85.1982,0.797435,16.3967,14.6682,115.041,133.878,4.75103,-48.6795 
11,46.8992,10,11,15694.1,-0.239697,24.4633,15.0463,116.036,-0.0577779,85.2702,152.521,-0.958254,-1.42714,2.11213,0.815758,-3.60417,81.9163,967.534,18.966,13300.8,12142.7,-1.47406,-1.94295,1.08052,0.299953,-4.11998,1.17551,852.638,14.7106,13185.9,0.0574953,0.970692,0.00205089,14829.7,0.0012842,0.0352785,15.5407,18.4648,119.914,81.9227,0.72534,15.0865,15.0216,115.029,133.37,4.88488,-51.4473 
12,46.6442,1.5,12,19313.7,-0.101879,30.0327,14.3536,117.193,0.00269509,169.234,389.397,-1.02089,0.493368,-4.25928,1.72796,0.980495,148.919,9486.18,67.119,8886.94,14047.9,-1.95859,-0.444333,-6.13468,0.790258,0.042794,0.203759,9277.31,59.383,8678.07,0.502126,0.988923,0.0124484,18476.1,0.00107546,0.644063,14.0648,12.651,117.606,84.5414,0.532638,14.6989,13.6869,115.436,134.122,2.17006,-49.5804 
13,46.8592,10,13,13236.8,-0.135049,19.1745,15.7938,116.19,-0.0841819,117.097,0.302669,-2.29992,1.38535,-0.127667,0.591307,-1.04383,48.9882,947.652,22.5747,10952.2,10179.3,-2.60839,1.07688,-0.744599,0.282841,-1.3523,0.777437,878.941,20.0299,10883.5,0.0707942,0.961649,0.00337874,12415.4,0.00115769,0.036034,18.2282,14.1649,121.346,84.2987,0.535666,16.0976,15.8694,115.225,134.304,6.12098,-50.0049 
14,46.7792,10,14,14223.1,-0.162181,21.495,15.2287,116.084,-0.129235,-133.099,171.422,3.72851,1.69478,-6.07235,3.74973,1.26324,111.44,1302.06,27.3341,11813.1,11215.9,3.0268,0.99307,-7.47577,3.04802,0.561533,49.6563,1145.76,21.545,11656.8,0.0848589,0.968141,0.00339317,13501.9,0.00101355,0.0605723,16.8243,14.6268,119.614,85.4792,0.652559,15.2438,14.6094,114.943,135.332,4.67149,-49.853 
15,46.8192,10,15,14900.7,-0.187916,23.7716,14.512,116.136,0.162428,-111.438,0.908737,1.41806,1.67512,5.10231,-0.576159,1.1057,59.4902,454.95,14.4806,13364.6,11819.3,1.04346,1.30053,4.35312,-0.950753,0.731107,0.327959,371.509,11.3902,13281.2,0.0257107,0.949078,0.00157733,14449.6,0.00101269,0.0210191,11.1402,18.1994,124.565,90.0744,0.799594,14.5176,14.1528,115.333,134.592,9.23112,-44.5173 
16,46.9592,10,16,16935.9,-0.328919,27.3216,14.8298,116.526,-0.584778,498.34,172.815,0.6683,-0.628665,3.0522,-3.05869,-4.10159,78.1581,668.746,34.4273,14873.1,22676.4,0.17616,-1.12081,2.06792,-3.55083,-4.59373,1.29452,559.122,30.3671,14763.5,0.0344958,0.913203,0.00377473,16208.4,0.00108802,0.0260831,11.8846,18.1704,125.366,87.7169,0.79687,15.1453,15.4789,115.652,134.173,9.71443,-46.4557 
17,46.6592,2,17,14577.9,-0.021552,22.2852,14.9951,116.887,-0.0143883,5.85446,500,-4.93377,-0.0903106,-2.90518,-2.85462,-4.08851,106.438,527.736,23.7043,13051.9,10881,-5.60399,-0.760525,-4.24561,-3.52484,-4.75873,0.77529,378.446,18.175,12902.7,0.0269255,0.922471,0.00258812,14055.3,0.000952149,0.0245188,12.2637,17.476,121.873,87.994,0.735026,15.4166,14.1355,116.148,134.079,5.72494,-46.0851 
18,46.9392,10,18,13883.7,-0.164704,20.8278,15.3763,115.714,0.154132,-42.8557,371.782,4.5546,0.628834,1.40964,2.00891,-2.18422,129.511,612.948,32.4793,12115.2,10640.3,3.73911,-0.18666,-0.221349,1.19342,-2.99972,1.14517,431.297,25.7514,11933.5,0.0329717,0.905398,0.00395935,13080.8,0.00103231,0.0181806,16.1866,19.8825,122.503,82.5707,0.61313,15.6197,15.658,114.755,134.175,7.74733,-51.6039 
19,46.8392,10,19,15109,-0.180566,21.9965,15.8809,116.097,-0.335758,255.456,450.919,-1.91387,1.36634,-2.39028,-1.12712,1.2388,60.5603,1165.42,21.4329,12788,14163.8,-2.2952,0.985006,-3.15294,-1.50845,0.857473,0.383482,1080.48,18.2869,12703,0.0742816,0.971234,0.00264483,14545.7,0.0010931,0.0456683,16.3871,17.6307,121.407,85.8194,0.680932,16.0928,14.3082,114.901,134.256,6.5063,-48.4363 
20,47.0192,10,20,15295.5,-0.206992,24.7572,14.6903,116.039,0.0699733,-5.33382,18.8889,-1.16059,-1.71626,-0.882994,1.01433,-4.84415,117.359,463.811,12.5135,13686.5,11851.5,-1.89957,-2.45523,-2.36095,0.275352,-5.58312,0.803639,299.204,6.4169,13521.8,0.0204481,0.963826,0.000873422,14632.4,-0.00156349,0.0265461,14.4697,10956.8,119.275,105.471,0.783665,14.8897,13.8945,114.967,134.436,4.30765,-28.9655 
21,46.9792,10,21,14612.3,-0.0837765,23.2548,14.5141,116.154,0.0222979,17.929,499.718,0.974274,-3.01408,4.97401,1.88424,2.00567,93.8395,617.473,11.3397,12970.9,11000.5,0.383392,-3.60497,3.79224,1.29336,1.41479,-0.156588,485.854,6.46495,12839.3,0.0344687,0.977244,0.000926693,14095.5,0.000952422,0.0258234,13.0096,17.0174,125.15,88.7557,0.767076,14.8128,14.0931,115.186,134.093,9.96334,-45.3374 
22,46.9192,10,22,13799.3,-0.191291,20.6215,15.5873,116.242,-0.025084,267.268,45.5556,-0.833997,-1.15577,-1.61644,1.2585,-1.05938,123.789,760.558,33.4534,11853.3,10682,-1.61346,-1.93524,-3.17538,0.479035,-1.83884,0.607197,586.932,27.0228,11679.6,0.0452623,0.925436,0.00424394,12967.3,0.00104787,0.0251682,15.3282,21.618,122.826,86.1522,0.631498,15.6706,14.776,114.991,134.837,7.83562,-48.6846 
